PSA_1,PSA_2,Attribute,Category
HOM,LIG,Brand,Decorative Lighting
HOM,LIG,Type,Decorative Lighting
HOM,LIG,Colour,Decorative Lighting
HOM,LIG,Power,Decorative Lighting
HOM,LIG,Pack Qty,Decorative Lighting
HOM,LIG,Size,Decorative Lighting
HOM,PHO,Brand,Decorative Photo Frames
HOM,PHO,Type,Decorative Photo Frames
HOM,PHO,Colour,Decorative Photo Frames
HOM,PHO,Pack Qty,Decorative Photo Frames
HOM,PHO,Size,Decorative Photo Frames
HOU,HEA,Brand,Dehumidifiers & Air Purification Systems
HOU,HEA,Type,Dehumidifiers & Air Purification Systems
HOU,HEA,Colour,Dehumidifiers & Air Purification Systems
HOU,HEA,Power,Dehumidifiers & Air Purification Systems
HOU,HEA,Size,Dehumidifiers & Air Purification Systems
HOU,HEA,Model Number,Dehumidifiers & Air Purification Systems
TOI,DEN,Brand,Dental Care
TOI,DEN,Type,Dental Care
TOI,DEN,Colour,Dental Care
TOI,DEN,Pack Qty,Dental Care
TOI,DEN,Size,Dental Care
TOI,DEN,Brand,Denture Care
TOI,DEN,Type,Denture Care
TOI,DEN,Pack Qty,Denture Care
TOI,DEN,Size,Denture Care
TOI,FEM,Brand,Deodorants and Body Sprays
TOI,FEM,Type,Deodorants and Body Sprays
TOI,FEM,Pack Qty,Deodorants and Body Sprays
TOI,FEM,Size,Deodorants and Body Sprays
SBK,OFF,Brand,Desk Storage and Filing
SBK,OFF,Type,Desk Storage and Filing
SBK,OFF,Colour,Desk Storage and Filing
SBK,OFF,Pack Qty,Desk Storage and Filing
SBK,OFF,Size,Desk Storage and Filing
SBK,OFF,Material,Desk Storage and Filing
GAR,SUN,Brand,Digging and Planting
GAR,SUN,Type,Digging and Planting
HOM,DIN,Brand,Dining Chairs
HOM,DIN,Type,Dining Chairs
KIT,PLA,Brand,Dish Drainers & Washing Up Bowls
KIT,PLA,Type,Dish Drainers & Washing Up Bowls
KIT,PLA,Colour,Dish Drainers & Washing Up Bowls
KIT,PLA,Pack Qty,Dish Drainers & Washing Up Bowls
KIT,PLA,Size,Dish Drainers & Washing Up Bowls
CLE,DIS,Brand,Dishwashing
CLE,DIS,Type,Dishwashing
CLE,DIS,Colour,Dishwashing
CLE,DIS,Pack Qty,Dishwashing
CLE,DIS,Size,Dishwashing
TOY,SST,Brand,Disney Cars and Planes
TOY,SST,Type,Disney Cars and Planes
TOY,SST,Colour,Disney Cars and Planes
TOY,SST,Power,Disney Cars and Planes
TOY,SST,Pack Qty,Disney Cars and Planes
TOY,SST,Age,Disney Cars and Planes
SBK,KFL,Brand,Disney Finding Dory
SBK,KFL,Type,Disney Finding Dory
SBK,PAR,Brand,Disney Princess Range
SBK,PAR,Type,Disney Princess Range
SBK,PAR,Colour,Disney Princess Range
SBK,PAR,Power,Disney Princess Range
SBK,PAR,Pack Qty,Disney Princess Range
SBK,PAR,Age,Disney Princess Range
SBK,KID,Brand,DO NOT USE Craft Kits
SBK,KID,Type,DO NOT USE Craft Kits
SBK,KID,Pack Qty,DO NOT USE Craft Kits
SBK,KID,Brand,DO NOT USE Kids Crafts
SBK,KID,Type,DO NOT USE Kids Crafts
SBK,KID,Pack Qty,DO NOT USE Kids Crafts
SBK,KID,Age,DO NOT USE Kids Crafts
SBK,KID,Brand,DO NOT USE Modelling Dough
SBK,KID,Type,DO NOT USE Modelling Dough
SBK,KID,Pack Qty,DO NOT USE Modelling Dough
PET,BED,Brand,Dog Beds & Carriers
PET,BED,Type,Dog Beds & Carriers
PET,BED,Colour,Dog Beds & Carriers
PET,BED,Pack Qty,Dog Beds & Carriers
PET,BED,Size,Dog Beds & Carriers
PET,GEN,Brand,Dog Bowls & Food Storage Containers
PET,GEN,Capacity,Dog Bowls & Food Storage Containers
PET,GEN,Type,Dog Bowls & Food Storage Containers
PET,GEN,Colour,Dog Bowls & Food Storage Containers
PET,GEN,Pack Qty,Dog Bowls & Food Storage Containers
PET,GEN,Size,Dog Bowls & Food Storage Containers
PET,GEN,Material,Dog Bowls & Food Storage Containers
PET,GEN,Brand,"Dog Collars, Coats & Leads"
PET,GEN,Type,"Dog Collars, Coats & Leads"
PET,GEN,Colour,"Dog Collars, Coats & Leads"
PET,GEN,Pack Qty,"Dog Collars, Coats & Leads"
PET,GEN,Size,"Dog Collars, Coats & Leads"
PET,100,Brand,Dog Crates & Cages
PET,100,Type,Dog Crates & Cages
PET,100,Colour,Dog Crates & Cages
PET,100,Pack Qty,Dog Crates & Cages
PET,100,Size,Dog Crates & Cages
PET,100,Brand,Dog Grooming Supplies
PET,100,Type,Dog Grooming Supplies
PET,GEN,Brand,Dog Health & Wellbeing DO NOT USE
PET,GEN,Type,Dog Health & Wellbeing DO NOT USE
PET,GEN,Colour,Dog Health & Wellbeing DO NOT USE
PET,GEN,Pack Qty,Dog Health & Wellbeing DO NOT USE
PET,GEN,Size,Dog Health & Wellbeing DO NOT USE
PET,GEN,Brand,"Dog Healthcare, Shampoo & Grooming Supplies"
PET,GEN,Type,"Dog Healthcare, Shampoo & Grooming Supplies"
PET,GEN,Colour,"Dog Healthcare, Shampoo & Grooming Supplies"
PET,GEN,Pack Qty,"Dog Healthcare, Shampoo & Grooming Supplies"
