"PSA_1","PSA_2","Article","Web Description","DQ Score"
"DEC","WAL","454065","Arthouse Wallpaper Glitterati Plain Ice White",0.9
"DEC","WAL","454066","Arthouse Wallpaper Glitterati Stripe Black",0.9
"DEC","WAL","454067","Arthouse Wallpaper Glitterati Stripe Platinum",0.9
"DEC","WAL","ah00067","Arthouse Imagine Fern Motif Green",0.6
"DEC","WAL","436918","Superfresco Wallpaper Classica Damask Duck Egg",0.95
"DEC","WAL","454111","Walltastic Sea Adventure Wallpaper Mural",0.95
"DEC","WAL","454112","Walltastic My First JCB Wallpaper Mural",0.95
"DEC","WAL","454113","Walltastic Avengers Assemble Wallpaper Mural",0.95
"DEC","WAL","454114","Walltastic Blaze and the Monster Machines Wallpaper Mural",0.95
"DEC","WAL","454115","Walltastic Disney Frozen Wallpaper Mural",0.95
"DEC","WAL","454116","Walltastic Paw Patrol Wallpaper Mural",0.95
"DEC","WAL","454118","Walltastic Paradise Beach Wallpaper Mural",0.95
"DEC","WAL","454121","Walltastic Avengers Assemble Room Decor Kit",0.9
"DEC","WAL","454122","Walltastic Paw Patrol Room Decor Kit",0.9
"DEC","WAL","454123","Walltastic My Little Pony Room Decor Kit",0.9
"DEC","WAL","454124","Walltastic Shopkins Room Decor Kit",0.9
"DEC","WAL","454125","Walltastic Blaze and the Monster Machines Room Decor Kit",0.9
"DEC","WAL","ws00003","Walltastic Dinosaur Land 8ft x 10ft",0.95
"DEC","WAL","ws00007","Walltastic Jungle Adventure 8ft x 10ft",0.95
"DEC","WAL","ws00045","Walltastic Space Adventure 8ft x 10ft",0.95
"DEC","WAL","ws00051","Walltastic Dinosaur Land Decor Kit",0.95
