"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Coverage","DQ Score"
"DEC","WAL","436921","Fresco Wallpaper Flutter Forest Multicoloured","Fresco","1000.0CM","52.0CM",".1CM","Animal Print Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436929","Fresco Wallpaper Industrial Script Multicoloured","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436933","Fresco Wallpaper Graffiti Multicoloured","Fresco","1000.0CM","52.0CM",".1CM","Kids Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436934","Fresco Wallpaper Bookcases Multicoloured","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","436936","Fresco Wallpaper Wood Panel Neutral","Fresco","1000.0CM","52.0CM",".1CM","Wooden Effect Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","438566","Fresco Wallpaper Apple Blossom Teal and Pink","Fresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Green","1","Paper","5.2m²",1
"DEC","WAL","438567","Fresco Wallpaper Apple Blossom Grey and Pink","Fresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","439092","Fresco Wallpaper Cloud 9 Blue","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439097","Fresco Wallpaper Mai Blue","Fresco","1000.0CM","52.0CM",".1CM","Animal Print Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439098","Fresco Wallpaper Mai Grey","Fresco","1000.0CM","52.0CM",".1CM","Animal Print Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","439099","Fresco Wallpaper Oriental Blue","Fresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Blue","1","Paper","5.2m²",1
"DEC","WAL","439101","Fresco Wallpaper Plank Love Heart","Fresco","1000.0CM","52.0CM",".1CM","Wooden Effect Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m²",1
"DEC","WAL","439104","Fresco Wallpaper Vintage Frames Neutral","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","439105","Fresco Wallpaper Vision Plum","Fresco","1000.0CM","52.0CM",".1CM","Floral Wallpaper","10m x 0.52m","Purple","1","Paper","5.2m²",1
"DEC","WAL","439107","Fresco Wallpaper Wine Bottles","Fresco","1000.0CM","52.0CM",".1CM","Motif Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
"DEC","WAL","450111","Superfresco Wallpaper Romantic Wood","Fresco","1000.0CM","52.0CM",".1CM","Wooden Effect Wallpaper","10m x 0.52m","Multi","1","Paper","5.2m²",1
"DEC","WAL","451497","Holden K2 Border Squares Chocolate","Holden","500.0CM","13.2CM",".2CM","Wallpaper Border","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451498","Holden K2 Border Kittens Multi","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451499","Holden K2 Border Cassia Floral Neutral","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451500","Holden K2 Border Megan Floral Duck Egg and Pink","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451501","Holden K2 Border Cassia Floral Teal","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Green","1","Paper","N/A",1
"DEC","WAL","451502","Holden K2 Border Barcode Stripe Black and White","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Multi","1","Paper","N/A",1
"DEC","WAL","451503","Holden K2 Border Swirl Mocha","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Brown","1","Paper","N/A",1
"DEC","WAL","451504","Holden K2 Border Ornamental Grey","Holden","500.0CM","13.2CM",".1CM","Wallpaper Border","5m x 0.13m","Grey","1","Paper","N/A",1
"DEC","WAL","424012","Superfresco Easy Wallpaper Prairie Charcoal Grey","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Grey","1","Paper","5.2m2",1
"DEC","WAL","436877","Superfresco Wallpaper Aria Neutral","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Cream","1","Paper","5.2m²",1
"DEC","WAL","436882","Superfresco Wallpaper Milan Taupe","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Gold","1","Paper","5.2m²",1
"DEC","WAL","436888","Superfresco Wallpaper Matrix Taupe","Superfresco","1000.0CM","52.0CM",".1CM","Plain and Textured Wallpaper","10m x 0.52m","Brown","1","Paper","5.2m²",1
