"PSA_1","PSA_2","Article","Web Description","Brand","Type","Size","Material","Colour","Pack Qty","Coverage","DQ Score"
"DEC","INS","97194","PVC Brush Strip White SFDP02","Wilko","Draught Excluder","840mm",NA,NA,"1",NA,0.88
"DEC","PAS","158290","Solvite Wallpaper Adhesive Super Smooth Ready to Use 4.5kg","Solvite","Wallpaper Paste","4.5kg",NA,NA,NA,NA,0.8
"DEC","PAS","2774240","Solvite Wallpaper All Purpose Adhesive Extra Strong 92g","Solvite","Wallpaper Paste","5 roll",NA,NA,NA,NA,0.8
"DEC","PAS","2774940","Solvite Wallpaper Adhesive All Purpose Extra Strong Natural 185g","Solvite","Wallpaper Paste","10roll",NA,NA,"1",NA,0.85
"DEC","PAS","302378","Solvite Wallpaper Adhesive Paste The Wall 230g","Solvite","Wallpaper Paste","237g",NA,NA,"1",NA,0.85
"DEC","PAS","157037","Wilko Wallpaper Stripper Concentrated 500ml","Wilko","Wallpapering Tools","500ml",NA,NA,"1",NA,0.85
"DEC","PAS","2780240","Wilko All Purpose Wallpaper Adhesive 5 rolls","Wilko","Wallpaper Paste",NA,NA,NA,"5pk",NA,0.8
"DEC","PAS","2780940","Wilko Decorator All-Purpose Wallpaper Adhesive","Wilko","Wallpaper Paste",NA,NA,NA,"10pk",NA,0.8
"DEC","PAS","281050","Wilko Wallpaper Paste Brush 130mm","Wilko","Wallpapering Tools","130mm",NA,NA,NA,NA,0.8
"DEC","PAS","281051","Wilko Wallpaper Hanging Brush 210mm","Wilko","Wallpapering Tools","210mm",NA,NA,NA,NA,0.8
"DEC","PAS","281756","Atlas Plumb Bob","Wilko","Wallpapering Tools",NA,NA,NA,"1",NA,0.75
"DEC","PAS","341325","Wilko Ready Mixed Adhesive Wallcover 2.5Kg","Wilko","Wallpaper Paste","2.5kg",NA,NA,NA,NA,0.8
"DEC","PAS","341326","Wilko Ready Mixed Adhesive Wallcover 5Kg","Wilko","Wallpaper Paste","5kg",NA,NA,NA,NA,0.8
"DEC","PAS","341561","Wilko Plastic Paste Table","Wilko","Wallpaper Pasting Table",NA,NA,NA,"1",NA,0.8
"DEC","PAS","49868","Wilko Border and Overlap Adhesive All Purpose Ready Mixed 250g","Wilko","Wallpaper Paste","250g",NA,NA,"1","1.3m²",0.9
"DEC","PAS","2784040","Paste Table with Hardboard Top","Wilko Functional","Wallpaper Pasting Table","1 Pack",NA,NA,"1",NA,0.8
"DEC","PAS","343882","Wilko Functional Wallpaper Hanging Set 4pk","Wilko Functional","Wallpaper Tools","Assorted",NA,"Black","4pk",NA,0.9
"DEC","PRP","451167","3M Sandblaster Sanding Sponge 180 Grit Fine","3M","Sanding Block","11 x 2.5 x 5.7cm","Aluminium Oxide Mineral, Paper Backing","Gold","1",NA,0.9
"DEC","PRP","451168","3M Sandblaster Sanding Sponge 100 Grit Medium","3M","Sanding Block","37.5 x 25 x 0.1cm","Aluminium Oxide Mineral, Paper Backing","Purple","1",NA,0.9
"DEC","PRP","451169","3M Sandblaster Sponge 60 Grit Coarse","3M","Sanding Block","26.25 x 37.5 x 1cm","Aluminium Oxide Mineral, Paper Backing","Green","1",NA,0.9
"DEC","PRP","454503","3M Sandblaster Sandpaper 150 Grit Medium 3pk","3M","Sandpaper","23.2 x 30.5 x 0.4cm","Aluminium Oxide Mineral, Paper Backing","Yellow","3pk",NA,0.9
"DEC","PRP","454504","3M Sandblaster Sandpaper 240 Grit Fine 3pk","3M","Sandpaper","23.2 x 30.5 x 0.4cm","Aluminium Oxide Mineral, Paper Backing","Yellow","3pk",NA,0.9
"DEC","PRP","342836","Disposable Coverall Large","Draper","Tarpaulins and Protective Sheets","Large",NA,NA,NA,NA,0.75
"DEC","PRP","289167","Nitromors Paint Varnish Remover 375ml","Nitromors","Paint and Varnish Remover","375ml",NA,NA,"1",NA,0.85
"DEC","PRP","160827","Thompsons uPVC Restorer 480ml","Thompson's","UPVC Restorer","480ml",NA,NA,NA,NA,0.75
"DEC","PRP","10056","Wilko Sand Block Fine / Medium","Wilko","Sandpaper and Blocks","Medium","Aluminium Oxide, Glue, Foam","Black",NA,NA,0.9
"DEC","PRP","10057","Wilko Sand Block Medium / Coarse","Wilko","Sandpaper and Blocks","Medium","Aluminium Oxide, Glue, Foam",NA,NA,NA,0.85
"DEC","PRP","127762","Wilko Sugar Soap Ready To Use Trigger Gun 500ml","Wilko","Sugar Soap","500ml",NA,NA,"1",NA,0.85
"DEC","PRP","150173","Wilko Masking Tape 25mm x 50m","Wilko","Masking Tape","25mmx50m",NA,NA,NA,NA,0.8
"DEC","PRP","159218","Wilko Decorators Jumbo Sponge","Wilko","Sponges and Cloths","22cmx11.5cm",NA,NA,NA,NA,0.8
"DEC","PRP","182560","Wilko Cellulose Thinners 125ml","Wilko","White Spirit","125ml",NA,NA,NA,NA,0.8
"DEC","PRP","227026","Wilko Sugar Soap 500g","Wilko","Sugar Soap","500g",NA,NA,"1",NA,0.85
"DEC","PRP","2697940","Wilko Decorator Mineralised Methylated Spirit 500ml","Wilko","Brush Cleaner","500ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2698540","Wilko Turpentine Substitute 750ml","Wilko","Brush Cleaner","750ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2699140","Wilko Decorator White Spirit 750ml","Wilko","Brush Cleaner","750ml",NA,NA,NA,NA,0.9125
"DEC","PRP","2722440","Wilko Masking Tape General Purpose 48mm x 50m","Wilko","Masking Tape","48mmx50m",NA,NA,NA,NA,0.8
"DEC","PRP","287562","Wilko Wet and Dry Paper Fine 140mm x 230mm 10pk","Wilko","Sandpaper and Blocks","23x14cm","Silicon Carbide, Glue, Paper",NA,"10 Pack",NA,0.9
"DEC","PRP","287563","Wilko Wet and Dry Paper Assorted 140mmx230mm x 10","Wilko","Sandpaper and Blocks","23 x 14cm","Silicon Carbide, Glue, Paper",NA,"10pk",NA,0.9
"DEC","PRP","287564","Wilko Emery Cloth Assorted 140mm x 230mm 10pk","Wilko","Sponges and Cloths","23 x 14cm","Aluminium Oxide, Glue, Emery Cloth",NA,"10pk",NA,0.9
"DEC","PRP","287568","Wilko Sanding Block Cork","Wilko","Sandpaper and Blocks","11 x 6.2 x 3.1cm","Cork","Yellow","1pk",NA,0.95
"DEC","PRP","287953","Wilko Mini Brush Set Abrasive","Wilko","Decorating Tools","Mini","Wire, Brass, Nylon",NA,"1",NA,0.9
"DEC","PRP","287954","Wilko Wire Brush Secure Comfort Grip Handle","Wilko","Decorating Tools","1 Pack",NA,NA,"1",NA,0.85
"DEC","PRP","299049","Wilko Paint and Varnish Stripper All Purpose 500ml","Wilko","Paint and Varnish Remover","500ml",NA,NA,NA,NA,0.8
"DEC","PRP","342405","Wilko Aluminium Oxide Fine 10pk","Wilko","Sandpaper and Blocks","10 Pack","Aluminium Oxide, Glue, Foam",NA,"1",NA,0.9
"DEC","PRP","342406","Wilko Aluminium Oxide Medium 10pk","Wilko","Sandpaper and Blocks","23 x 14cm","Aluminium Oxide, Glue, Foam",NA,"10 Pack",NA,0.9
"DEC","PRP","342408","Wilko Aluminium Oxide Assorted 10pk","Wilko","Sandpaper and Blocks","23 x 14cm","Aluminium Oxide, Glue, Paper",NA,"10pk",NA,0.9
"DEC","PRP","342716","Wilko Nitrile Gloves","Wilko","Disposable Gloves",NA,NA,"Blue","1",NA,0.85
"DEC","PRP","342744","Wilko Carpet Protection Tape 600mmx25m","Wilko","Tarpaulins and Protective Sheets","600mm x 25M",NA,NA,"1",NA,0.85
"DEC","PRP","342779","Wilko Masking Tape 24mm x 25m","Wilko","Masking Tape","24mm x 25M",NA,NA,NA,NA,0.8
"DEC","PRP","342780","Wilko Masking Tape Low Tack 24mm x 25m","Wilko","Masking Tape","24mm x 25M",NA,NA,"1",NA,0.85
"DEC","PRP","343136","Wilko Protective Dustsheet 2.4 x 3.6m","Wilko","Tarpaulins and Protective Sheets","2.4x3.6m",NA,NA,NA,NA,0.8
"DEC","PRP","343145","Wilko Steel Wool  Assorted 3pk","Wilko","Steel Wool",NA,"Steel","Silver","3pk",NA,0.9
"DEC","PRP","343146","Wilko 5 In 1 Tool","Wilko","Decorating Tools",NA,NA,"Red","1",NA,0.85
"DEC","PRP","343147","Wilko Putty Knife","Wilko","Putty Knife",NA,NA,"Red","1",NA,0.85
"DEC","PRP","343148","Wilko Combination Shavehook","Wilko","Shavehook",NA,NA,"Red","1",NA,0.85
"DEC","PRP","343149","Wilko Chisel Knife 38mm","Wilko","Decorating Tools","38mm",NA,"Red","1",NA,0.9
"DEC","PRP","343150","Wilko Flexible Filling Knife 50mm","Wilko","Filling Knife","50mm",NA,"Red","1",NA,0.9
"DEC","PRP","343151","Wilko Stiff Scraper 75mm","Wilko","Scraper","75mm",NA,"Red","1",NA,0.9
"DEC","PRP","343152","Wilko Stiff Scraper 100mm","Wilko","Scraper","100mm",NA,"Red","1",NA,0.9
"DEC","PRP","343300","Wilko Filling Blades 4pk","Wilko","Filling Knife","4 Pack",NA,"Red","4pk",NA,0.9
"DEC","PRP","343652","Wilko Glass Scraper","Wilko","Decorating Tools","1 Pack",NA,NA,"1",NA,0.85
"DEC","PRP","343653","Wilko Replacement Blade 39mm 5pk","Wilko","Decorating Tools","39mm",NA,"Silver","5pcs",NA,0.9
"DEC","PRP","343654","Wilko Glass And Tile Scraper","Wilko","Decorating Tools","1 Pack",NA,"Red","1",NA,0.9
"DEC","PRP","343655","Wilko Replacement Blade 89mm 5pk","Wilko","Decorating Tools","89mm",NA,"Silver","5pcs",NA,0.9
"DEC","PRP","344321","Wilko Tarpaulin 2mx1.35m","Wilko","Tarpaulins and Protective Sheets","2.3mx1.35m",NA,NA,NA,NA,0.8
"DEC","PRP","344322","Wilko Tarpaulin 3.5m x 2.6m","Wilko","Tarpaulins and Protective Sheets","3.65x2.74m",NA,NA,"1",NA,0.85
"DEC","PRP","454733","Wilko Sugar Soap Wipes 50pk","Wilko","Sugar Soap","19cm x 13cm","PP, Viscose non-woven fabric",NA,"50pk",NA,0.9
"DEC","PRP","60969","Wilko Paint Brush Cleaner 500ml","Wilko","Brush Cleaner","500ml",NA,NA,NA,NA,0.9125
"DEC","PRP","66386","Wilko Sugar Soap Concentrated 500ml","Wilko","Sugar Soap","500ml",NA,NA,NA,NA,0.8
"DEC","PRP","342783","Wilko Best Cellulose Sponge","Wilko Best","Sponges and Cloths","1 Pack",NA,NA,NA,NA,0.8
"DEC","PRP","343156","Wilko Best Laminated Cotton Dust Sheet","Wilko Best","Tarpaulins and Protective Sheets",NA,NA,NA,"1",NA,0.8
"DEC","PRP","343299","Wilko Best Wire Brush With Scraper","Wilko Best","Scraper","1 Pack",NA,"Red","1",NA,0.9
"DEC","PRP","159223","Wilko Decorator Disposable Gloves Polythene One Size 25pk","Wilko Functional","Disposable Gloves","OneSize","Polythene",NA,"25pk",NA,0.85
"DEC","PRP","2702940","Wilko Decorators Sponge 14cm x 10cm x 3.5cm","Wilko Functional","Sponges and Cloths","14cmx10cmx3.5cm",NA,NA,"1",NA,0.8
"DEC","PRP","287561","Wilko Sandpaper Assorted Grades Pack x 10 sheets","Wilko Functional","Sandpaper and Blocks","23 x 14cm","Quartz Sand, Glue, Paper",NA,"10pk",NA,0.85
"DEC","PRP","287952","Wilko General Purpose Wire Brush","Wilko Functional","Decorating Tools","1 Pack",NA,NA,NA,NA,0.75
"DEC","PRP","309327","Wilko Decorating Tool Set","Wilko Functional","Decorating Tools",NA,NA,"Black","3pk",NA,0.8
"DEC","PRP","343139","Wilko Functional Protection Roll 2 x 50m","Wilko Functional","Tarpaulins and Protective Sheets","2M x 50M",NA,NA,"1",NA,0.85
"DEC","PRP","343298","Wilko Functional Filling Knives","Wilko Functional","Filling Knife",NA,NA,"Yellow","3pk",NA,0.85
"DEC","PRP","343811","Wilko Polythene Dust Sheet 12x9ft","Wilko Functional","Tarpaulins and Protective Sheets","12x9ft",NA,NA,"1",NA,0.8
"DEC","ROL","418559","Harris No Loss Evolution Paint Brush 0.5in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418560","Harris No Loss Evolution Paint Brush 1in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418562","Harris No Loss Evolution Paint Brush 1.5in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418563","Harris No Loss Evolution Paint Brush 2in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418564","Harris No Loss Evolution Paint Brush 3in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418565","Harris No Loss Evolution Paint Brush 4in","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"1",NA,0.825
"DEC","ROL","418566","Harris No Loss Evolution Paint Brush Set 3pcs","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"3",NA,0.825
"DEC","ROL","418567","Harris No Loss Evolution Paint Brush Set 5 Piece","Harris","Emulsion and Gloss Brushes",NA,NA,NA,"5",NA,0.825
"DEC","ROL","419392","Harris Powercoat Roller Sleeve and Extension Pole9in","Harris",NA,"9in",NA,NA,NA,NA,0.766666666666667
"DEC","ROL","419393","Harris Powercoat Roller Set 9in","Harris","Rollers and Sleeves","9in",NA,NA,NA,NA,0.825
"DEC","ROL","419394","Harris Powercoat Replacement Roller Sleeve 9in","Harris","Rollers and Sleeves","9in",NA,NA,NA,NA,0.825
"DEC","ROL","419395","Harris Powercoat Jumbo Mini Roller Set 4in","Harris","Rollers and Sleeves","4in",NA,NA,NA,NA,0.825
"DEC","ROL","419396","Harris Powercoat Jumbo Mini Replacement Sleeves","Harris","Rollers and Sleeves",NA,NA,NA,NA,NA,0.766666666666667
"DEC","ROL","445633","Harris Taskmaster Decorating Set 10pcs","Harris","Decorating Set",NA,NA,"Black","10pk",NA,0.883333333333333
"DEC","ROL","453054","Harris Masonry Roller Extendable Pole 9in","Harris","Extending Pole Roller","9in Roller Frame and Sleeve, 1-2m Extension Pole",NA,NA,"1",NA,0.883333333333333
"DEC","ROL","287949","Wilko Artist Brush x 5","Wilko","Artist Brushes","5 Pack",NA,NA,"5",NA,0.93
"DEC","ROL","287950","Wilko General Purpose Paintbrush Set 2pcs","Wilko","Emulsion and Gloss Brushes","2 Pack",NA,NA,"2pk",NA,0.883333333333333
"DEC","ROL","288309","Wilko Comfy Grip Shed/Fence Block Brush","Wilko","Timber Brushes","130mm",NA,"Multi","1",NA,0.941666666666667
"DEC","ROL","288311","Wilko Flat Timbercare Brush 4in","Wilko","Timber Brushes","100mm",NA,NA,NA,NA,0.825
"DEC","ROL","288318","Wilko Mini Paint Container Capacity 800ml","Wilko","Painting Tools","0.8L",NA,NA,NA,NA,0.825
"DEC","ROL","343090","Wilko Roller and Tray 9in","Wilko","Rollers and Sleeves","9in",NA,NA,"1",NA,0.883333333333333
"DEC","ROL","343094","Wilko Roller Kit 4in","Wilko","Rollers and Sleeves","4in",NA,NA,NA,NA,0.825
"DEC","ROL","343098","Wilko Masonry Kit","Wilko","Masonry Brushes","9in",NA,"Multi","1",NA,0.941666666666667
"DEC","ROL","343104","Wilko Stick Roller Frame 4in","Wilko","Rollers and Sleeves","4in",NA,"Multi","1",NA,0.941666666666667
"DEC","ROL","343108","Wilko Long Armstick Roller Frame 4in","Wilko","Rollers and Sleeves","4in",NA,NA,NA,NA,0.825
"DEC","ROL","343110","Wilko Smooth Sleeve 9in","Wilko","Rollers and Sleeves","9in",NA,NA,"1",NA,0.883333333333333
"DEC","ROL","343111","Wilko Rough Sleeve 9in","Wilko","Rollers and Sleeves","9in",NA,NA,"1",NA,0.883333333333333
"DEC","ROL","343127","Wilko Extending Pole 1-2m","Wilko","Extending Poles","2m",NA,"Multi","1",NA,0.941666666666667
"DEC","ROL","343129","Wilko Paint Tray 9in","Wilko","Paint Trays","9in",NA,NA,NA,NA,0.825
"DEC","ROL","343158","Wilko Scuttle Capacity 15L","Wilko","Painting Tools","15L",NA,NA,NA,NA,0.825
