"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"434655","Crown Matt Emulsion PaintToasted Almond 2.5L","Crown","Matt Paint","35 Square metres","Brown","1","2.5L",1
"434656","Crown Matt Emulsion PaintWheatgrass 2.5L","Crown","Matt Paint","35 Square metres","Brown","1","2.5L",1
"435272","Crown Feature Wall Emulsion PaintChatterbox 1.25L","Crown","Feature Wall Paint","15 Square Metres","Pink","1","1.25L",1
"435273","Crown Feature Wall Emulsion PaintDance Fever 1.25L","Crown","Feature Wall Paint","15 Square Metres","Orange","1","1.25L",1
"435276","Crown Feature Wall Emulsion PaintQuick Kiss 1.25L","Crown","Feature Wall Paint","15 Square Metres","Pink","1","1.25L",1
"435277","Crown Feature Wall Emulsion PaintSecret Escape 1.25L","Crown","Feature Wall Paint","15 Square Metres","Green","1","1.25L",1
"435278","Crown Feature Wall Emulsion PaintAddiction 1.25L","Crown","Feature Wall Paint","15 Square Metres","Purple","1","1.25L",1
"435279","Crown Feature Wall Emulsion PaintBlue Gravel 1.25L","Crown","Feature Wall Paint","15 Square Metres","Grey","1","1.25L",1
"435280","Crown Feature Wall Emulsion PaintChartreuse Mix 1.25L","Crown","Feature Wall Paint","15 Square Metres","Green","1","1.25L",1
"435281","Crown Feature Wall Emulsion PaintPalm Springs 1.25L","Crown","Feature Wall Paint","15 Square Metres","Blue","1","1.25L",1
"435282","Crown Feature Wall Emulsion PaintRebel 1.25L","Crown","Feature Wall Paint","15 Square Metres","Black","1","1.25L",1
"435283","Crown Feature Wall Emulsion PaintScrumptious 1.25L","Crown","Feature Wall Paint","15 Square Metres","Purple","1","1.25L",1
"435284","Crown Metallic Emulsion PaintCopper 1.25L","Crown","Metallic Paint","15 Square Metres","Orange","1","1.25L",1
"435438","Crown Matt Emulsion Paint Tester PotAntique Cream 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435439","Crown Matt Emulsion Paint Tester PotBeige White 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435441","Crown Matt Emulsion Paint Tester PotBrandy Snap 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435444","Crown Matt Emulsion Paint Tester PotChoc Chip 40ml","Crown","Paint Tester Pot","0.56 square meters","Brown","1","40ml",1
"435445","Crown Matt Emulsion Paint Tester PotCity Break 40ml","Crown","Paint Tester Pot","0.56 square meters","Grey","1","40ml",1
"435446","Crown Matt Emulsion Paint Tester PotClay White 40ml","Crown","Paint Tester Pot","0.56 square meters","White","1","40ml",1
"435447","Crown Matt Emulsion Paint Tester PotCloud Burst 40ml","Crown","Paint Tester Pot","0.56 square meters","Grey","1","40ml",1
"435449","Crown Matt Emulsion Paint Tester PotCream White 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435452","Crown Matt Emulsion Paint Tester PotDash of Nutmeg 40ml","Crown","Paint Tester Pot","0.56 square meters","Brown","1","40ml",1
"435453","Crown Matt Emulsion Paint Tester PotDelicate Cream 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435454","Crown Matt Emulsion Paint Tester PotDream White 40ml","Crown","Paint Tester Pot","0.56 square meters","White","1","40ml",1
"435455","Crown Matt Emulsion Paint Tester PotDuck Egg 40ml","Crown","Paint Tester Pot","0.56 square meters","Blue","1","40ml",1
"435456","Crown Matt Emulsion Paint Tester PotEnglish Fire 40ml","Crown","Paint Tester Pot","0.56 square meters","Red","1","40ml",1
"435458","Crown Matt Emulsion Paint Tester PotFairy Dust 40ml","Crown","Paint Tester Pot","0.56 square meters","Pink","1","40ml",1
"435459","Crown Matt Emulsion Paint Tester PotForgotten Paradise 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435460","Crown Matt Emulsion Paint Tester PotGentle Olive 40ml","Crown","Paint Tester Pot","0.56 square meters","Green","1","40ml",1
"435461","Crown Matt Emulsion Paint Tester PotGentle Dust 40ml","Crown","Paint Tester Pot","0.56 square meters","Grey","1","40ml",1
"435463","Crown Matt Emulsion Paint Tester PotHappy Daze 40ml","Crown","Paint Tester Pot","0.56 square meters","Yellow","1","40ml",1
"435464","Crown Matt Emulsion Paint Tester PotHare 40ml","Crown","Paint Tester Pot","0.56 square meters","Brown","1","40ml",1
"435466","Crown Matt Emulsion Paint Tester PotIvory Cream 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435470","Crown Matt Emulsion Paint Tester PotMagnolia 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435471","Crown Matt Emulsion Paint Tester PotMellow Sage 40ml","Crown","Paint Tester Pot","0.56 square meters","Green","1","40ml",1
"435472","Crown Matt Emulsion Paint Tester PotMilk White 40ml","Crown","Paint Tester Pot","0.56 square meters","White","1","40ml",1
"435474","Crown Matt Emulsion Paint Tester PotMustard Jar 40ml","Crown","Paint Tester Pot","0.56 square meters","Yellow","1","40ml",1
"435476","Crown Matt Emulsion Paint Tester PotOn the Rocks 40ml","Crown","Paint Tester Pot","0.56 square meters","Brown","1","40ml",1
"435477","Crown Matt Emulsion Paint Tester PotPale Gold 40ml","Crown","Paint Tester Pot","0.56 square meters","Yellow","1","40ml",1
"435479","Crown Matt Emulsion Paint Tester PotPicnic Basket 40ml","Crown","Paint Tester Pot","0.56 square meters","Brown","1","40ml",1
"435481","Crown Matt Emulsion Paint Tester PotPowder Blue 40ml","Crown","Paint Tester Pot","0.56 square meters","Blue","1","40ml",1
"435482","Crown Matt Emulsion Paint Tester PotRoof Garden 40ml","Crown","Paint Tester Pot","0.56 square meters","Green","1","40ml",1
"435483","Crown Matt Emulsion Paint Tester PotSail White 40ml","Crown","Paint Tester Pot","0.56 square meters","White","1","40ml",1
"435485","Crown Matt Emulsion Paint Tester PotSeldom Seen 40ml","Crown","Paint Tester Pot","0.56 square meters","Grey","1","40ml",1
"435486","Crown Matt Emulsion Paint Tester PotSerene White 40ml","Crown","Paint Tester Pot","0.56 square meters","White","1","40ml",1
"435487","Crown Matt Emulsion Paint Tester PotSmoked Glass 40ml","Crown","Paint Tester Pot","0.56 square meters","Grey","1","40ml",1
"435489","Crown Matt Emulsion Paint Tester PotSnowfall 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435490","Crown Matt Emulsion Paint Tester PotSoft Cream 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435491","Crown Matt Emulsion Paint Tester PotSoft Lime 40ml","Crown","Paint Tester Pot","0.56 square meters","Green","1","40ml",1
"435492","Crown Matt Emulsion Paint Tester PotSoft Linen 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435497","Crown Matt Emulsion Paint Tester PotStepping Stone 40ml","Crown","Paint Tester Pot","0.56 square meters","Blue","1","40ml",1
"435499","Crown Matt Emulsion Paint Tester PotSunrise 40ml","Crown","Paint Tester Pot","0.56 square meters","Yellow","1","40ml",1
"435500","Crown Matt Emulsion Paint Tester PotSweet Dreams 40ml","Crown","Paint Tester Pot","0.56 square meters","Purple","1","40ml",1
"435501","Crown Matt Emulsion Paint Tester PotToasted Almond 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435502","Crown Matt Emulsion Paint Tester PotWheatgrass 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
"435503","Crown Matt Emulsion Paint Tester PotWinterbloom 40ml","Crown","Paint Tester Pot","0.56 square meters","Cream","1","40ml",1
