"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"DIS","FOO","330844","Wilko  Zip Seal Food and Freezer Bags 26 x26cm30pk","Wilko",NA,"Food Bags",NA,"30pk","Medium",NA,0.85
"DIS","FOO","330856","Wilko Tie Handle Food and Freezer BagsMedium 26 x 42cm 30pk","Wilko",NA,"Food Bags",NA,"30pk","Medium","Polythene",0.9
"DIS","FOO","330857","Wilko Resealable Food and Freezer Bags 18 x20cm30pk","Wilko",NA,"Food Bags",NA,"1","Small",NA,0.85
"DIS","FOO","330862","Wilko Easy Seal Sandwich Bags 19 x 21cm 60pk","Wilko",NA,"Food Bags",NA,"60pk","Large","Polythene",0.9
"DIS","FOO","330864","Wilko Resealable Pour and Store Bags 23 x 15cm10pk","Wilko",NA,"Food Bags",NA,"10pk","23cmx15cm",NA,0.85
"DIS","FOO","333063","Wilko Aluminium Tray Bakes Small 3pk","Wilko",NA,"Foil Trays",NA,"3pk","Small","Aluminium",0.9
"DIS","FOO","333067","Wilko Aluminium Flan Dishes Large 6pk","Wilko",NA,"Flan Cases",NA,"6pk","Large","Aluminium",0.9
"DIS","FOO","333068","Wilko Aluminium Containers with Lids Large 3pk","Wilko",NA,"Foil Trays",NA,"3pk","Large","Aluminium",0.9
"DIS","FOO","333417","Wilko Greaseproof n Bake Paper 5m x 37.5cm","Wilko",NA,"Greaseproof Paper",NA,NA,"5m","Paper",0.85
"DIS","FOO","333522","Wilko Foil Backed Baking Parchment Foil Backed5m x 30cm","Wilko",NA,"Aluminium Foil",NA,NA,"300mmx5m",NA,0.8
"DIS","FOO","400397","Wilko Multipurpose Cling Film 50m x 350mm","Wilko",NA,"Cling Film",NA,"1","50m x 350mm",NA,0.85
"DIS","FOO","419994","Wilko Plastic Containers and Lids 6pk","Wilko",NA,"Plastic Containers",NA,NA,NA,NA,0.75
"DIS","FOO","420106","Wilko Food Bags Small 150pk","Wilko",NA,"Food Bags",NA,"150",NA,NA,0.8
"DIS","FOO","318979","Wilko Functional Wrapping Foil 20m x 29cm","Wilko Functional",NA,"Aluminium Foil",NA,"1","290mmx20m",NA,0.85
"DIS","FOO","332334","Wilko Functional Food Bags Medium 23 x 35cm 50pk","Wilko Functional",NA,"Food Bags",NA,"50pk","Medium",NA,0.85
"DIS","FOO","334768","Wilko Functional Wrapping Film 50m x 30cm","Wilko Functional",NA,"Cling Film",NA,NA,"50mx300ml",NA,0.8
"DIS","TAB","419990","Paloma Disposable Napkins Spots 20pk","Paloma",NA,"Napkins",NA,"20pk","33x33cm",NA,0.93
"DIS","TAB","150005","Wilko Insulated Bowls White 10pk","Wilko",NA,"Plates and Bowls","White","10pk",NA,NA,0.93
"DIS","TAB","203993","Wilko Drinking Straws Neon 200pk","Wilko",NA,"Straws","Multi","200pk",NA,NA,0.93
"DIS","TAB","298761","Muffin Cases Multi Coloured 48pk","Wilko",NA,"Cake Cases","Multi","48pk",NA,NA,0.8
"DIS","TAB","331992","Wilko Paper Plates Small White 30pk","Wilko",NA,"Plates and Bowls",NA,"30pk","Small",NA,0.93
"DIS","TAB","332569","Wilko Paper Plates Red 20pk","Wilko",NA,"Plates and Bowls","Red","20pk",NA,NA,0.93
"DIS","TAB","332589","Wilko Paper Plates Cream 20pk","Wilko",NA,"Plates and Bowls","Cream","20pk",NA,NA,0.93
"DIS","TAB","332641","Wilko Insulated Cups Small White 10pk","Wilko",NA,"Cups",NA,"10pk","Small",NA,0.93
"DIS","TAB","333427","Wilko Disposable Teaspoons Clear 30pk","Wilko",NA,"Cutlery","Clear","30pk",NA,NA,0.93
"DIS","TAB","333428","Wilko  Disposable Knives Clear 30pk","Wilko",NA,"Cutlery","Clear","30pk",NA,NA,0.93
"DIS","TAB","333430","Wilko Disposable Forks Clear 30pk","Wilko",NA,"Cutlery","Clear","30pk",NA,NA,0.93
"DIS","TAB","333431","Wilko Disposable Dessert Spoons Clear 30pk","Wilko",NA,"Cutlery","Clear","30pk",NA,NA,0.93
"DIS","TAB","333432","Wilko Party Cutlery Set Clear  Knives Forks andSpoons 10 Sets","Wilko",NA,"Cutlery","Clear","30pk",NA,NA,0.93
"DIS","TAB","333446","Wilko Disposable Wine Glasses Clear 10pk","Wilko",NA,"Glasses","Clear","10pk",NA,NA,0.93
"DIS","TAB","334087","Wilko Plastic Plates Clear 10pk","Wilko",NA,"Plates and Bowls","Clear","10pk",NA,NA,0.93
"DIS","TAB","419988","Wilko Disposable Red Cups 10pk","Wilko",NA,"Cups",NA,"10pk",NA,NA,0.86
"DIS","TAB","419992","Wilko Disposable Plates Spots 20pk","Wilko",NA,"Plates and Bowls",NA,NA,NA,NA,0.79
"DIS","TAB","419995","Wilko Shot Glasses 16pk","Wilko",NA,"Shot Glasses",NA,"16",NA,NA,0.86
"DIS","TAB","797540","Wilko Wooden Cocktail Sticks 100pk","Wilko",NA,"Cocktail Sticks","Brown","1","100 Pack",NA,0.9
"DIS","TAB","203985","Wilko Functional Paper Tablecovers White 90 x90cm 4pk","Wilko Functional",NA,"Tablecloth",NA,"4pk","90cmx90cm",NA,0.93
"DIS","TAB","331993","Wilko Functional Plastic Cups White 30pk","Wilko Functional",NA,"Cups",NA,"30pk","Small",NA,0.93
"DIS","TAB","63821","Wilko Functional Napkins 1 Ply White 100pk","Wilko Functional",NA,"Napkins",NA,"100pk","1ply",NA,0.93
"DIS","TIS","410247","Kleenex Original Tissues Pocket Pack 8pk","Kleenex",NA,"Facial Tissues",NA,"8pk",NA,NA,0.9125
"DIS","TIS","301930","Velvet Facial Tissue Box 80 Sheets 3 Ply","Velvet",NA,"Facial Tissues",NA,NA,"Family",NA,0.9125
"DIS","TIS","351803","Wilko Ultra Soft Balm Tissues 80 Sheets 3 Ply","Wilko",NA,"Facial Tissues",NA,"1",NA,NA,0.9125
"DIS","TIS","351805","Wilko Super Soft Tissues Cube 56 Sheets 3 Ply","Wilko",NA,"Facial Tissues",NA,NA,"60s",NA,0.9125
"DIS","TOI","333517","Wilko Toilet Wipes Clean and Fresh 42pk","Wilko",NA,"Moist Wipes",NA,"1",NA,NA,0.9125
"DIS","TOI","351810","Wilko Functional Toilet Tissues White 6 Rolls190 Sheets 2 Ply","Wilko Functional",NA,"Toilet Roll",NA,"6",NA,NA,0.9125
"DIS","TOW","422452","Wilko Ultra Household Towel Extra LargeSingle Roll 3 Ply","Wilko",NA,"Kitchen Towels",NA,"1",NA,NA,0.9125
"DIS","TOW","435080","Wilko Ultra Household Towel2 Rolls 3 Ply","Wilko",NA,"Kitchen Towels",NA,"2",NA,NA,0.9125
