"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","DQ Score"
"456762","Botanica Bath Fizzer","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456763","Botanica Bath Foam Bauble 150ml","Wilko","Female Gift Sets",NA,NA,"150ml",NA,0.775
"456764","Kiss Weekend Rucksack","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456765","Botanica Mirror","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456766","Glow Cosmetic Brush Collection","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456767","Kiss Double Mascara","Wilko","Cosmetics Gift Set",NA,NA,"9ml",NA,0.775
"456768","Kiss Duo Eyebrow Pencil Brown","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456769","Kiss Compact Eye Pallet","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456770","Kiss False Eyelashes","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456771","Kiss Duo Lip Gloss","Wilko","Cosmetics Gift Set",NA,NA,"9ml",NA,0.775
"456773","Kiss Blush & Glow Cheek Palette","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456775","Kiss Party Eye Palette","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456777","Kiss Cosmetic Brush Set Tin","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456778","Kiss Strobe and Contour Set","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456779","Kiss Eyebrow Set","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456781","Kiss Large Accessories Kit","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456782","Kiss Cosmetic Kit","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"456783","Kiss Foundation Blotter","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456904","Botanica Green Floral Scarf","Wilko","Female Gift Sets","Green",NA,"180cm X 110cm","CO-308800",0.891666666666667
"456905","Botanica Purple Flower Scarf","Wilko","Female Gift Sets","Purple",NA,"180cm X 110cm","CO-308800-A",0.891666666666667
"456906","Glow Pen and Stylus","Wilko","Stationery Gift Set",NA,NA,"3cm x 4cm x 15cm","CO-308799",0.833333333333333
"456907","Kiss Camera Bag","Wilko","Cosmetics Gift Set",NA,NA,"6cm x 19 cm x 14 cm","CO-307700",0.833333333333333
"456908","Botanica Hanging Heart Decoration","Wilko","Novelty Gift Sets",NA,NA,NA,NA,0.716666666666667
"456910","Botanica Cosmetic Mirror","Wilko","Cosmetics Gift Set",NA,NA,NA,NA,0.716666666666667
"456936","Glow Notebook A5 2pk","Wilko","Stationery Gift Set",NA,NA,NA,NA,0.716666666666667
"456937","Glow Diary","Wilko","Stationery Gift Set",NA,NA,NA,NA,0.716666666666667
"457484","Botanica Bath Confetti","Wilko","Female Gift Sets",NA,NA,NA,NA,0.716666666666667
"457510","Wilko Fruits Miniature Shower Gels Gift Set","Wilko","Shower Gel and Body Wash",NA,NA,"50ml",NA,0.825
