"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Assembly","Material","DQ Score"
"416197","Nice'n Easy Age Defy Permanent LightAsh Blonde 9A","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"416199","Nice'n Easy Age Defy Permanent Light Blonde 9","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"416231","Nice'n Easy Age Defy Permanent Medium Blonde 8","Clairol","Permanent","Blonde","1",NA,NA,NA,NA,0.88
"428982","Nice'n Easy Permanent Rich Dark Brown R4","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"428983","Nice'n Easy Permanent Natural Dark CoolBlonde 7C","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"428985","Nice'n Easy Permanent Natural Light Caramel Brown6W","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429002","Nice'n Easy Permanent Natural Dark Burgundy 4BG","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429003","Nice'n Easy Permanent Natural Medium Auburn 5R","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429294","Nice'n Easy Permanent Natural Burgundy Black 2BG","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429296","Nice'n Easy Root Touch Up Permanent DarkGolden Brown 4G","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429298","Nice'n Easy Root Touch Up Permanent  LightBlonde 9","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"429299","Nice'n Easy Root Touch Up PermanentMedium Blonde 8","Clairol","Permanent",NA,"1",NA,NA,NA,NA,0.81
"453501","Nice'n Easy Colour Enhancer Beige Blonde 70","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453502","Nice'n Easy Colour Enhancer Light Ash Brown 75","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453503","Nice'n Easy Colour Enhancer Dark Brown 79","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453504","Nice'n Easy Colour Enhancer Medium Brown 765","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453505","Nice'n Easy Colour Enhancer Medium Golden Brown 78","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453506","Nice'n Easy Colour Enhancer Medium Ash Brown 77","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"453507","Nice'n Easy Colour Enhancer Medium Ash Blonde 73","Clairol","Semi-Permanent",NA,NA,NA,NA,NA,NA,0.69
"442214","Colourless Hair Colour Remover Maximum Conditioner","Colourless","Conditioner",NA,"1",NA,NA,NA,NA,0.9125
"442215","Colourless Hair Colour Remover Maximum Effect","Colourless","Hair Colour Remover",NA,"1",NA,NA,NA,NA,0.86
"100856","Garnier Belle Color 5 Natural Brown PermanentHair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"100857","Garnier Belle Color 4 Natural Dark BrownPermanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"100858","Garnier Belle Color 6 Natural Light BrownPermanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"100859","Garnier Belle Color 7 Natural Dark BlondePermanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"125970","Garnier Belle Color 3 Dark Brown Permanent HairDye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"128001","Garnier Belle Color 9.3 Natural Light HoneyBlonde Permanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"141267","Garnier Belle Color 110 Ultra Light NaturalBlonde Permanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"141268","Garnier Belle Color 7.1 Natural Dark Ash BlondePermanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"150254","Garnier Nutrisse 100 Extra Light Blonde PermanentHair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"150262","Garnier Nutrisse 3.6 Deep Reddish Brown PermanentHair Dye","Garnier","Permanent","Brown",NA,NA,NA,NA,NA,0.86
"150264","Garnier Nutrisse 4.3 Dark Golden Brown PermanentHair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"150265","Garnier Nutrisse 9 Light Blonde Permanent HairDye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"150269","Garnier Nutrisse 6 Light Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"152338","Garnier Nutrisse 5.3 Golden Brown Permanent HairDye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"152340","Garnier Nutrisse 4.6 Deep Red Permanent Hair Dye","Garnier","Permanent","Red","1",NA,NA,NA,NA,0.93
"246260","Garnier Nutrisse 4 Dark Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"247517","Garnier Nutrisse 5 Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"302132","Garnier Nutrisse 10.1 Ultra Ice Blonde PermanentHair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"302154","Garnier Nutrisse 5.62 Ultra Vibrant Red PermanentHair Dye","Garnier","Permanent","Red","1",NA,NA,NA,NA,0.93
"302230","Garnier Nutrisse 5.25 Ultra Chestnut BrownPermanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"302231","Garnier Nutrisse 60 Ultra Fiery Red PermanentHair Dye","Garnier","Permanent","Red","1",NA,NA,NA,NA,0.93
"302232","Garnier Nutrisse 4.15 Ultra Iced Coffee BrownPermanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"330872","Garnier Nutrisse Creme Vanilla Blonde 8","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"331435","Garnier Nutrisse 4 1/2 Medium Dark BrownPermanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"331436","Garnier Nutrisse 4.26 Deep Burgundy Red PermanentHair Dye","Garnier","Permanent","Red","1",NA,NA,NA,NA,0.93
"331658","Garnier Nutrisse 3 Darkest Brown Permanent HairDye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"331659","Garnier Nutrisse 2.6 Ultra Dark Cherry RedPermanent Hair Dye","Garnier","Permanent","Red","1",NA,NA,NA,NA,0.93
"331732","Garnier Olia 9.0 Light Blonde Permanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"331733","Garnier Olia 0 Light Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"331735","Garnier Olia 4.15 Iced Chocolate Brown PermanentHair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"331740","Garnier Olia 3.0 Soft Black Permanent Hair Dye","Garnier","Permanent","Black","1",NA,NA,NA,NA,0.93
"331741","Garnier Olia 5.0 Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"331742","Garnier Olia 4.0 Dark Brown Permanent Hair Dye","Garnier","Permanent","Brown","1",NA,NA,NA,NA,0.93
"340162","Garnier Nutrisse D+++ Bleach Lightener PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"351771","Garnier Belle Color 1 Black Permanent Hair Dye","Garnier","Permanent","Black","1",NA,NA,NA,NA,0.93
"351773","Garnier Nutrisse 10.01 Baby Blonde Permanent HairDye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"351774","Garnier Nutrisse 9.03 Light Beige BlondePermanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"351775","Garnier Nutrisse 8.13 Medium Beige BlondePermanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"351871","Garnier Belle Color 111 Extra Light Ash BlondePermanent Hair Dye","Garnier","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"429021","Garnier Belle Color 112 Natural Light SummerBlonde Permanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"429025","Garnier Belle Color 10 Natural Light Baby BlondePermanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"429026","Garnier Belle Color 4.3 Natural Dark Golden BrownPermanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"429080","Garnier Belle Color 7.3 Natural Dark GoldenBlonde Permanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"430220","Garnier Belle Color 3 Light Golden BrownPermanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"430221","Garnier Belle Color 9 Natural Light BlondePermanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"430222","Garnier Belle Color 4 Natural Copper PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"430223","Garnier Nutrisse 8.32 Gold Pearl Blonde PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"430225","Garnier Nutrisse 3 Golden Light Brown PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.86
"456257","Garnier Olia 9.3 Golden Light Blonde PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.81
"456258","Garnier Nutrisse 1 Black Permanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.81
"456259","Garnier Nutrisse 7N Nude Dark Blonde PermanentHair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.81
"456266","Garnier Olia 60 Intense Red Permanent Hair Dye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.81
"456280","Garnier Nutrisse 7.3 Golden Copper Permanent HairDye","Garnier","Permanent",NA,"1",NA,NA,NA,NA,0.81
"340261","Jerome Russell Bblonde Maxium Lift Cream Peroxide","Jerome and Russell","Highlights",NA,"1",NA,NA,NA,NA,0.81
"340262","Jerome Russell BBlonde Powder Bleach","Jerome and Russell","Highlights",NA,"1",NA,NA,NA,NA,0.81
"442212","Jerome Russell Maximum Colour Toner Silver","Jerome Russell","Toner",NA,"1",NA,NA,NA,NA,0.81
"442213","Jerome Russell Maximum Colour Toner Steel","Jerome Russell","Toner",NA,"1",NA,NA,NA,NA,0.86
"456416","Jerome Russell Lilac Max Colour Toner","Jerome Russell","Toner",NA,"1",NA,NA,NA,NA,0.81
"116972","L'Oreal Preference Les Blondissimes 01 LightestNatural Blonde Permanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"116975","L'Oreal Preference Les Blondissimes 03 LightestAsh Blonde Permanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"125974","L'Oreal Preference Infinia 7.3 Florida HoneyBlonde Permanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"152488","L'Oreal Excellence Creme 8 Natural BlondePermanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"240168","L'Oreal Preference Infinia 3.66 Dark RedPermanent Hair Dye","L'Oreal","Permanent","Red","1",NA,NA,NA,NA,0.93
"258472","L'Oreal Casting Creme Gloss 415 Iced ChocolateBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"258481","L'Oreal Casting Creme Gloss 500 Medium Brown SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"258482","L'Oreal Casting Creme Gloss 600 Light Brown SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"258483","L'Oreal Casting Creme Gloss 550 Mahogany SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Red","1",NA,NA,NA,NA,0.93
"258484","L'Oreal Casting Creme Gloss 515 Chocolate TruffleBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"258486","L'Oreal Casting Creme Gloss 535 Chocolate BrownSemi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"331657","L'Oreal Casting Creme Gloss 554 Chilli ChocolateBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.88
"331738","L'Oreal Casting Creme Gloss 400 Dark Brown SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"331739","L'Oreal Casting Creme Gloss 200 Ebony Black SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Black","1",NA,NA,NA,NA,0.93
"331748","L'Oreal Preference Platinum Extreme PlatinumBlonde Permanent Hair Dye","L'Oreal","Highlights","Metal","1",NA,NA,NA,NA,0.88
"331756","L'Oreal Casting Creme Gloss 360 Black Cherry SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Black","1",NA,NA,NA,NA,0.93
"331757","L'Oreal Casting Creme Gloss 316 Plum SemiPermanent Hair Dye","L'Oreal","Semi-Permanent","Purple","1",NA,NA,NA,NA,0.93
"331758","L'Oreal Casting Creme Gloss 300 Darkest BrownSemi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"331764","L'Oreal Casting Creme Gloss 603 Chocolate CaramelBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"345286","L'Oreal Casting Creme Gloss 734 Rich Honey BlondeSemi Permanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.86
"345287","L'Oreal Casting Creme Gloss 830 Sweet HoneyBlonde Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Yellow","1",NA,NA,NA,NA,0.93
"345288","L'Oreal Casting Creme Gloss 513 Iced TruffleBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.86
"345290","L'Oreal Casting Creme Gloss 323 Dark ChocolateBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Brown","1",NA,NA,NA,NA,0.93
"345291","L'Oreal Casting Creme Gloss 1010 Light IcedBlonde Semi Permanent Hair Dye","L'Oreal","Semi-Permanent","Blonde","1",NA,NA,NA,NA,0.93
"345601","L'Oreal Casting Creme Gloss 613 Iced Mocha LightBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.86
"351711","L'Oreal Excellence Creme Blondes Supreme LightestBlonde Permanent Hair Dye","L'Oreal","Permanent",NA,"1",NA,NA,NA,NA,0.86
"444978","L'Oreal Magic Retouch Dark Brown Root Touch Up","L'Oreal","Root Retouch",NA,"1",NA,NA,NA,NA,0.86
"444979","L'Oreal Magic Retouch Brown Root Touch Up","L'Oreal","Root Retouch",NA,"1",NA,NA,NA,NA,0.86
"444980","L'Oreal Magic Retouch Dark Blonde Root Touch Up","L'Oreal","Root Retouch",NA,"1",NA,NA,NA,NA,0.86
"450015","L'Oreal Magic Retouch Light Golden Blonde RootTouch Up","L'Oreal","Root Retouch",NA,"1",NA,NA,NA,NA,0.86
"456251","L'Oreal Casting Creme Gloss 356 Cherry Cola DarkBrown Semi Permanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.81
"456252","L'Oreal Casting Creme Gloss 700 Dark Blonde SemiPermanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.81
"456264","L'Oreal Excellence Creme 5.3 Golden BrownPermanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.81
"456265","L'Oreal Excellence Creme 3 Natural Darkest BrownPermanent Hair Dye","L'Oreal","Semi-Permanent",NA,"1",NA,NA,NA,NA,0.81
"60224","L'Oreal Preference Infinia 3 Brasilia Dark BrownPermanent Hair Dye","L'Oreal","Permanent","Brown","1",NA,NA,NA,NA,0.93
"60226","L'Oreal Preference Infinia 9.13 Bergen LightBeige Blonde Permanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"60231","L'Oreal Preference Infinia 7 Rimini Dark BlondePermanent Hair Dye","L'Oreal","Permanent","Brown","1",NA,NA,NA,NA,0.93
"87775","L'Oreal Excellence Creme 4 Natural Dark BrownPermanent Hair Dye","L'Oreal","Permanent","Brown","1",NA,NA,NA,NA,0.93
"87776","L'Oreal Excellence Creme 5 Natural BrownPermanent Hair Dye","L'Oreal","Permanent","Brown","1",NA,NA,NA,NA,0.93
"87779","L'Oreal Excellence Creme 6 Natural Light BrownPermanent Hair Dye","L'Oreal","Permanent","Brown","1",NA,NA,NA,NA,0.93
"87780","L'Oreal Excellence Creme 7 Dark Blonde PermanentHair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"87783","L'Oreal Excellence Creme 9 Natural Light BlondePermanent Hair Dye","L'Oreal","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"33778","Pin Up Orignal Lasting Perm","Perm","Highlights","Brown","1",NA,NA,NA,NA,0.93
"451104","Root Perfect Blonde 75ml","Root Perfect","Root Retouch",NA,"1","75ml",NA,NA,NA,0.93
"451105","Root Perfect Light Brown 75ml","Root Perfect","Root Retouch",NA,"1","75ml",NA,NA,NA,0.93
"451106","Root Perfect Medium Brown 75ml","Root Perfect","Root Retouch",NA,"1","75ml",NA,NA,NA,0.93
"451107","Root Perfect Dark Brown 75ml","Root Perfect","Root Retouch",NA,"1","75ml",NA,NA,NA,0.93
"451108","Root Perfect Black 75ml","Root Perfect","Root Retouch",NA,NA,NA,NA,NA,NA,0.79
"126561","Schwarzkopf Poly Color Tint Warm Brown 38","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"126562","Schwarzkopf Poly Color Tint Medium Brown 39","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"126563","Schwarzkopf Poly Color Tint Medium Brown 41Brown 41","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"126564","Schwarzkopf Poly Color Tint Dark Brown 43","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"126566","Schwarzkopf Poly Color Tint Mahogany 71","Schwarzkopf","Permanent","Wood","1",NA,NA,NA,NA,0.93
"172793","Schwarzkopf Poly Color Tint Natural Black 45","Schwarzkopf","Permanent","Black","1",NA,NA,NA,NA,0.93
"172795","Schwarzkopf Poly Color Tint Red, Black 87","Schwarzkopf","Permanent","Red","1",NA,NA,NA,NA,0.93
"229200","Schwarzkopf Live Intense Colour Red Passion 043","Schwarzkopf","Permanent","Red","1",NA,NA,NA,NA,0.93
"229201","Schwarzkopf Live Intense Colour Mystic Violet 087","Schwarzkopf","Permanent","Purple","1",NA,NA,NA,NA,0.93
"229204","Schwarzkopf Live Intense Highlighter AbsolutePlatinum 00A","Schwarzkopf","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"250369","Schwarzkopf Poly Color Tint Raven Black 49","Schwarzkopf","Permanent","Black","1",NA,NA,NA,NA,0.93
"250370","Schwarzkopf Poly Color Tint Dark Blonde 37","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"276593","Schwarzkopf Live Intense ColourTempting Chocolate 880","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"329433","Schwarzkopf Live Intense HighlighterMax Blonde 00B","Schwarzkopf","Permanent","Blonde","1",NA,NA,NA,NA,0.93
"332880","Schwarzkopf Live Ultra Brights Pillar Box Red 092","Schwarzkopf","Semi-Permanent","Red","1",NA,NA,NA,NA,0.93
"33751","Schwarzkopf Poly Style Foam Perm Dry","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"33755","Schwarzkopf Poly Style Foam Perm Normal","Schwarzkopf","Permanent",NA,"1",NA,NA,NA,NA,0.86
"351876","Schwarzkopf Live Ultra Brights TurquoiseTemptation 880","Schwarzkopf","Semi-Permanent","Blue","1",NA,NA,NA,NA,0.93
"412524","Schwarzkopf Live Intense Bitter Sweet Chocolate089","Schwarzkopf","Permanent","Brown","1",NA,NA,NA,NA,0.93
"446252","Schwarzkopf Live Lightener + Twist Cool Rose 101","Schwarzkopf","Permanent",NA,NA,NA,NA,NA,NA,0.79
"446253","Schwarzkopf Live Lightener + Twist Cool Lilac 104","Schwarzkopf","Permanent",NA,NA,NA,NA,NA,NA,0.79
