"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"413926","Wilko Tapered Shade Taupe 30cm","Wilko","Light Shades",NA,NA,"1","Shade - 19.5 (H) x 23 Dia 28 Dia cm",NA,0.93
"413928","Wilko Tapered Shade Plum 30cm","Wilko","Light Shades",NA,NA,"1","Shade - 19.5 (H) x 23 Dia/ 28 Dia cm",NA,0.93
"413929","Wilko Tapered Shade White 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia/ 22 Dia cm",NA,0.93
"413930","Wilko Tapered Shade Grey 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,0.93
"413931","Wilko Tapered Shade Black 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,0.93
"413932","Wilko Tapered Shade Parchment 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia/ 22 Dia cm",NA,0.93
"413933","Wilko Tapered Shade Taupe 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia 22 Dia cm",NA,0.93
"413935","Wilko Tapered Shade Plum 22cm","Wilko","Light Shades",NA,NA,"1","Shade - 17 (H) x 16 Dia/ 22 Dia cm",NA,0.93
"413938","Wilko Tapered Shade Teal 22cm","Wilko","Light Shades",NA,NA,NA,NA,NA,0.79
"413977","Wilko Floral Laser Table Lamp Duck Egg","Wilko","Table Lamps",NA,"SES Candle 42W Eco Halogen / 11W Energy Candle","1",NA,"No",0.9
"413979","Wilko Floral Laser Pendant Duck Egg","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"413980","Wilko 3 Tier Pendant Shade Taupe","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"413981","Wilko 3 Tier Pendant Shade White","Wilko","Light Shades",NA,NA,"1",NA,NA,0.86
"414372","Wilko Atole Table Lamp Parchment","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"414373","Wilko Atole Table Lamp Light Grey","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"418279","Wilko Latham Light Fitting Large","Wilko","Ceiling Lighting",NA,NA,"1","Large","No",0.9
"423269","Wilko Glass Balls Table Lamp Cool Grey","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"423270","Wilko Glass Balls Table Lamp Parchment","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"423273","Wilko Glass Table Lamp Champagne Gold","Wilko","Table Lamps",NA,"60W","1","30x30x57cm","No",0.95
"427922","Wilko Bottle Table Lamp White","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436427","Wilko Milan Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436428","Wilko Milan Table Lamp Parchment","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
"436429","Wilko Milan Table Lamp Plum","Wilko","Table Lamps",NA,NA,"1","39.5cm Height, 16cm Diameter","No",0.9
