"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","Power","Capacity","Coverage","DQ Score"
"151595","Wilko Telescopic Shower Curtain Pole White122-218cm","Wilko","Shower Curtain Rails",NA,"1",NA,"122-218cm, 3.3cm Diam",NA,NA,NA,NA,1
"161632","Wilko Bathroom Waste Bin Stainless Steel 3L","Wilko","Bathroom Bin","Silver","1",NA,"22 x 16.7 x 24cm",NA,NA,"3L",NA,1
"178596","Wilko Extra Life Alkaline Batteries AA LR6 1.5V8pk","Wilko","AA",NA,"8pk",NA,"AA",NA,"1.5V",NA,NA,1
"188343","Wilko Extra Life Alkaline Batteries AAA 1.5V 8pk","Wilko","AAA",NA,"8pk",NA,"AAA",NA,"1.5V",NA,NA,1
"188756","Wilko Stainless Steel Shower Hose 150cm","Wilko","Shower Hoses",NA,"1",NA,"150cm",NA,NA,NA,NA,1
"188788","Wilko Pedestal and Bath Mat Set Cream","Wilko","Pedestal Set","Cream",NA,"Washable","45x70cm","100% Cotton",NA,NA,NA,1
"194332","Wilko Over the Door Hooks Chrome Plated","Wilko","Towel Rails and Hooks","Silver","1",NA,"Single",NA,NA,NA,NA,1
"194765","Wilko Toilet Roll Holder Chrome Plated","Wilko","Toilet Roll Holders","Metal","1",NA,"Single",NA,NA,NA,NA,1
"194816","Wilko Telescopic Shower Curtain Rod Silver EffectExtends to 260cm","Wilko","Shower Curtain Rails",NA,"1",NA,"180-240cm",NA,NA,NA,NA,1
"212344","Wilko Pedestal and Bath Mat Set White","Wilko","Pedestal Set","White",NA,"Washable","45x70cm","100% Cotton",NA,NA,NA,1
"224930","Wilko Pedestal and Bath Mat Set Aqua Blue","Wilko","Pedestal Set","Blue",NA,"Washable","45x70cm","100% Cotton",NA,NA,NA,1
"224957","Wilko Pedestal and Bath Mat Set Beige","Wilko","Bath Mats","Multi",NA,"Washable","45x70cm","100% Cotton",NA,NA,NA,1
"225126","Wilko Clear Jewel Toilet Brush Holder ChromeEffect","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"225128","Wilko Shower Hose 200cm","Wilko","Shower Hoses",NA,"1",NA,"200cm",NA,NA,NA,NA,1
"238817","Wilko Light Pull White Ceramic with Chrome Trim","Wilko","Light Pulls","White","1",NA,"Single",NA,NA,NA,NA,1
"249006","Wilko Bathroom Corner Shelf Chrome Plated","Wilko","Bathroom Shelves","Silver","1",NA,"Single","Iron",NA,NA,NA,1
"249013","Wilko Toilet Roll Tower Chrome Plated","Wilko","Toilet Roll Holders","Silver","1",NA,"Single",NA,NA,NA,NA,1
"249482","Wilko Robe Hook White Victoria Range","Wilko","Towel Rails and Hooks","White","1",NA,"Single",NA,NA,NA,NA,1
"249483","Wilko Glass Tumbler Victoria Range","Wilko","Tumblers","White","1",NA,"Single",NA,NA,NA,NA,1
"249529","Wilko Towel Bar White Victoria Range","Wilko","Towel Rails and Hooks","White","1",NA,"Single",NA,NA,NA,NA,1
"249530","Wilko Toilet Roll Holder Victoria Range","Wilko","Toilet Roll Holders","White","1",NA,"Single",NA,NA,NA,NA,1
"249531","Wilko Towel Ring Victoria Range","Wilko","Towel Rails and Hooks","White","1",NA,"Single",NA,NA,NA,NA,1
"271434","Wilko Under Basin Storage Unit Chrome Plated","Wilko","Under Basin Units","Silver","1",NA,"Single",NA,NA,NA,NA,1
"272455","Wilko Toilet Brush Holder Stainless Steel","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"272464","Wilko Bathroom Corner Unit 2 Tier Chrome Plated","Wilko","Bathroom Small Storage","Metal","1",NA,"Single",NA,NA,NA,NA,1
"272536","Wilko Self Adhesive Mirror Tiles 30 x 30cm 4pk","Wilko","Bathroom Mirrors",NA,"4pk",NA,"30x30cm",NA,NA,NA,NA,1
"272537","Wilko Rectangular Mirror 25 x 35cm","Wilko","Bathroom Mirrors",NA,"1",NA,"25x35cm",NA,NA,NA,NA,1
"273104","Wilko Modular Rail for Showers Polished Aluminium","Wilko","Shower Curtain Rails",NA,"1",NA,"Single",NA,NA,NA,NA,1
"273186","Wilko Natural Woven Rectangular Laundry BasketLarge","Wilko","Laundry Baskets","Cream","1",NA,"Single",NA,NA,NA,NA,1
"296708","Wilko Hand Wash Original Antibacterial 500ml","Wilko","Hand Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"296709","Wilko Hand Wash Antibacterial 500ml","Wilko","Hand Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"296710","Wilko Hand Wash Nourishing Antibacterial  500ml","Wilko","Hand Wash",NA,"1",NA,"500ml",NA,NA,NA,NA,1
"298357","Wilko Free Standing Mirror Chrome andCrystal Effect","Wilko","Bathroom Mirrors",NA,"1",NA,"Single",NA,NA,NA,NA,1
"298519","Wilko Ceramic Soap Dispenser White","Wilko","Soap Dispenser","White","1",NA,"6.5cm x 6.5cm x 15.5cm",NA,NA,NA,NA,1
"298521","Wilko Ceramic Tumbler White","Wilko","Tumblers","White","1",NA,"6.5 cm x 6.5 cm x 9.5 cm",NA,NA,NA,NA,1
"298522","Wilko Ceramic Soap Dish White","Wilko","Soap Dish","White","1",NA,"12 cm x 7.8 cm x 3 cm",NA,NA,NA,NA,1
"298523","Wilko Toilet Brush with Chrome Handle White","Wilko","Toilet Brushes and Holders",NA,NA,NA,NA,NA,NA,NA,NA,1
"310230","Wilko Shower Curtain Naturals Stripe","Wilko","Shower Curtains","Cream",NA,NA,"180cm x180cm",NA,NA,NA,"Painted Paper",1
"310276","Wilko Transparent Pebble Bath Mat","Wilko","Bath Mats","Clear",NA,"Wipe Clean Only","35x70cm","100% Rubber",NA,NA,NA,1
"310280","Wilko Bath Mat Non Slip Rubber White","Wilko","Bath Mats","White",NA,"Wipe Clean Only","40x70cm","100% Rubber",NA,NA,NA,1
"310281","Wilko Bath Mat Non Slip Rubber Cream","Wilko","Bath Mats","Cream",NA,"Wipe Clean Only","40x70cm","100% Rubber",NA,NA,NA,1
"310282","Wilko Bath Mat Non Slip Rubber Blue","Wilko","Bath Mats","Blue",NA,"Wipe Clean Only","40x70cm","100% Rubber",NA,NA,NA,1
"310371","Wilko Soap Dish White","Wilko","Soap Dish","White","1",NA,"Single",NA,NA,NA,NA,1
"310372","Wilko Bathroom Tumbler White","Wilko","Tumblers","White","1",NA,"Single",NA,NA,NA,NA,1
"310384","Wilko Shower Squeegee White and Teal","Wilko","Bathroom Squeegee",NA,"1",NA,"Single",NA,NA,NA,NA,1
"310481","Wilko Shower Head Contour 4 Function","Wilko","Shower Heads",NA,"1",NA,"Single",NA,NA,NA,NA,1
