"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","DQ Score"
"CLE","AIR","430998","Air wick Electrical Twin Refill Vanilla","Air Wick","Refills","2","34ml",NA,NA,0.93
"CLE","AIR","441498","Air Wick Wax Melt Refill Xmas Tree Wishes 6pk","Air Wick","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","443578","Air Wick Refill Spiced Mulled Wine 17ml","Air Wick","Refills","1","17ml",NA,NA,0.93
"CLE","AIR","443579","Air Wick Electric Twin Refill Mulled Wine 34ml","Air Wick","Refills","1",NA,NA,NA,0.86
"CLE","AIR","443580","Air Wick Candle Mulled Wine 105g","Air Wick","Candle","1",NA,NA,NA,0.86
"CLE","AIR","450626","Air Wick Electric Complete Linen And Lilac","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"CLE","AIR","450627","Air Wick Electric Complete Lavender Meadow","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"CLE","AIR","450628","Air Wick Electric Complete Vanilla Bean","Air Wick","Units","1","6.2 X 11.5 X 15",NA,NA,0.93
"CLE","AIR","333074","Ambi Pur Plug In Adjustable Diffuser","Ambi Pur","Units","1",NA,NA,"Mains",0.93
"CLE","AIR","333184","Ambi Pur with Febreze GP2 Refill Vanilla","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"CLE","AIR","333197","Ambi Pur 3Volution Plug In Unit","Ambi Pur","Units","1",NA,NA,"Mains",0.93
"CLE","AIR","333198","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"CLE","AIR","333200","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Cotton Essence 20ml","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","333208","Ambi Pur 3volution Adjustable Diffuser Refill withFebreze Vanilla Bouquet 20ml x 2","Ambi Pur","Refills",NA,"2x20ml",NA,NA,0.86
"CLE","AIR","346492","AmbiPur Plug In Diffuser Refill Vanilla Harmony 2x 20ml","Ambi Pur","Refills","2pk","40ml",NA,NA,0.88
"CLE","AIR","347399","Ambi Pur 3Volution Refill Vanilla 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"CLE","AIR","347404","Ambi Pur GP2 Refill Vanilla 20ml","Ambi Pur","Refills",NA,"20ml",NA,NA,0.86
"CLE","AIR","420458","Ambi Pur with Febreze Plug In Cotton Fresh","Ambi Pur","Units","1",NA,NA,NA,0.86
"CLE","AIR","420459","Ambi Pur with Febreze Plug In Blossom andBreeze","Ambi Pur","Units","1",NA,NA,NA,0.86
"CLE","AIR","420460","Ambi Pur with Febreze Plug In Lavender","Ambi Pur","Units","1",NA,NA,NA,0.86
"CLE","AIR","420463","Ambi Pur with Febreze 3 Volution Unit","Ambi Pur","Units","1",NA,NA,NA,0.86
"CLE","AIR","421425","Ambi Pur with Febreze Refill Blossom and Breeze","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421426","Ambi Pur with Febreze Refill Cotton Fresh 20ml","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421427","Ambi Pur with Febreze Refill Thai Orchid","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421428","Ambi Pur with Febreze 3 Volution Blossom andBreeze","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421429","Ambi Pur with Febreze 3 Volution Cotton Fresh","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421431","Ambi Pur with Fabreze Refill Lavender","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421432","Ambi Pur with Febreze 3 Volution Lavender","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421435","Ambi Pur with Febreze Refill Lavender 2pk","Ambi Pur","Units","1",NA,NA,NA,0.86
"CLE","AIR","421436","Ambi Pur with Febreze 3 Volution Thai Orchid","Ambi Pur","Refills","1",NA,NA,NA,0.86
"CLE","AIR","421556","Ambi Pur GP2 Twin Refill Cotton 2 x 20ml","Ambi Pur","Refills","2pk","2x20ml",NA,NA,0.93
"CLE","AIR","430232","Ambi Pur with Febreze 3 Volution Thai Orchid20ml","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","441487","Ambi Pur 3vol Cotton Starter Kit 20ml","Ambi Pur","Units","1","20ml",NA,NA,0.93
"CLE","AIR","441490","Ambi Pur 3vol Blossom Starter Kit 20ml","Ambi Pur","Units","1","20ml",NA,NA,0.93
"CLE","AIR","450176","Ambi Pur 3Volution Refill Pet Odour","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","450177","Ambi Pur 3Volution Refill Anti Tobacco","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","450179","Ambi Pur Plug In Air Freshener RefillAnti Tobacco","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","298004","Febreze Set and Refresh Non Energised Scented OilDiffuser Refill Cotton 5.5ml x 2","Febreze","Units",NA,"2x5.5ml",NA,NA,0.9125
"CLE","AIR","298005","Febreze Set and Refresh Cotton Fresh 5.5ml","Febreze","Units",NA,"5.5ml",NA,NA,0.9125
"CLE","AIR","298006","Febreze Set and Refresh Blossom and Breeze 5.5ml","Febreze","Units",NA,"5.5ml",NA,NA,0.9125
"CLE","AIR","333480","Febreze Car Discreet Vent Clip Air Freshener Cotton Fresh 2ml","Febreze","Air Fresheners",NA,"2ml",NA,NA,0.9125
"CLE","AIR","347441","Febreze Airspray Vanilla 300ml","Febreze","Room Sprays",NA,"300ml",NA,NA,0.9125
"CLE","AIR","347476","Febreze Car Gel Vanilla Blossom","Febreze","Air Fresheners","1",NA,NA,NA,0.9125
"CLE","AIR","403600","Febreze Set N Refresh Unit Vanilla Blossom","Febreze","Units","1",NA,NA,NA,0.9125
"CLE","AIR","403602","Febreze Fabric Refresher Vanilla Blossom 375ml","Febreze","Fabric Fresheners",NA,"375ml",NA,NA,0.9125
"CLE","AIR","133277","Glade Solid Air Freshener Lily of the Valley150g","Glade","Units",NA,"150g",NA,NA,0.9125
"CLE","AIR","137115","Glade Solid Air Freshener Lavender 150g","Glade","Units",NA,"150g",NA,NA,0.9125
"CLE","AIR","182744","Glade Touch n Fresh Unit Clean Linen","Glade","Units",NA,"10ml",NA,NA,0.9125
"CLE","AIR","216794","Glade Plug In Electric Refill Linen","Glade","Refills","1","20ml",NA,NA,0.93
"CLE","AIR","293109","Glade Solid Relaxing Zen 150g","Glade","Units",NA,"150g",NA,NA,0.9125
"CLE","AIR","298000","Glade Discreet Air Freshener Plug In and Refill Clean Linen 12g","Glade","Units","1","12g",NA,NA,0.93
"CLE","AIR","298122","Glade Discreet Air Freshener Refill Clean Linen 12g","Glade","Refills",NA,"12g",NA,NA,0.9125
"CLE","AIR","346447","Glade Automatic Spray Refill Relaxing Zen 269ml","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","346482","Glade Auto Refill Bali Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","346483","Glade Auto Refill  Clean Linen","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","347537","Glade Discreet Refill Relaxing Zen","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","348538","Glade Sense and Spray Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"CLE","AIR","349714","Glade Candle Relaxing Zen 120g","Glade","Branded Candles",NA,"120g","Multi",NA,0.93
"CLE","AIR","352945","Glade Sense and Spray Refill Relaxing Zen","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","403475","Glade 5in1 Air Freshener Relaxing Zen 300ml","Glade","Room Sprays","1",NA,NA,NA,0.9125
"CLE","AIR","403477","Glade Touch n Fresh Refill Lilly Of The Valley","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","403481","Glade Touch n Fresh Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"CLE","AIR","411790","Glade Plug In Electric Unit Clean Linen 20ml","Glade","Units","1","20ml",NA,NA,0.93
"CLE","AIR","411791","Glade Plug In Electric Unit Laven 20ml","Glade","Units","1","20ml",NA,NA,0.93
"CLE","AIR","411792","Glade Plug In Electric Unit Bali Sandal 20ml","Glade","Units","1","20ml",NA,NA,0.93
"CLE","AIR","411799","Glade Discreet Electric Relaxing Zen","Glade","Units","1",NA,NA,NA,0.86
"CLE","AIR","411805","Glade Discreet Refill Bali Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","412168","Glade Plug In Refill Bail Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.86
"CLE","AIR","420397","Glade Wax Refill Vanilla 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420399","Glade Wax Refill Clean Linen 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420400","Glade Wax Refill Bali Sandalwood and Jasmine 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"CLE","AIR","420416","Glade Automatic Spray Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"CLE","AIR","420417","Glade Automatic Spray Unit Bali Sandalwoodand Jasmine","Glade","Units","1",NA,NA,NA,0.9125
"CLE","AIR","425111","Glade Sense & Spray Refill Clean Linen 2pk","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","427211","Glade Sense & Spray Refill Relaxing Zen 2pk","Glade","Refills","1",NA,NA,NA,0.9125
"CLE","AIR","427212","Glade Autospray Refill Relaxing Zen 2pk","Glade","Refills",NA,NA,NA,NA,0.825
"CLE","AIR","427225","Glade Autospray Refill Clean Linen 2pk","Glade","Refills",NA,NA,NA,NA,0.825
"CLE","AIR","182715","Neutradol Gel Odour Destroyer Super Fresh","Neutradol","Units","1",NA,NA,NA,0.9125
"CLE","AIR","77647","Neutradol Gel Original","Neutradol","Units","1",NA,NA,NA,0.9125
"CLE","AIR","237924","Oust Odour Eliminator Air Freshener Garden Fresh300ml","Oust","Room Sprays",NA,"300ml",NA,NA,0.9125
"CLE","AIR","419544","Wilko Gel Pearl Cotton 100g","Wilko","Units",NA,NA,NA,NA,0.825
"CLE","AIR","419545","Wilko Gel Pearl Lavender 100g","Wilko","Units",NA,NA,NA,NA,0.825
"CLE","AIR","419546","Wilko Reed Diffuser Cotton","Wilko","Branded Reed Diffusers",NA,NA,NA,NA,0.825
"CLE","AIR","419547","Wilko Reed Diffuser Vanilla","Wilko","Branded Reed Diffusers",NA,NA,NA,NA,0.825
"CLE","AIR","419551","Wilko Liquid Wick Vanilla 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"CLE","AIR","419552","Wilko Liquid Wick Cotton 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"CLE","AIR","419553","Wilko Liquid Wick Lavender 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"CLE","AIR","419556","Wilko Plug In Starter Lavender","Wilko","Units",NA,NA,NA,NA,0.79
"CLE","AIR","429887","Wilko Plug In Twin Refill Cotton","Wilko","Refills","2",NA,NA,NA,0.86
"CLE","AIR","429889","Wilko Plug-in Refills Lavender 20ml","Wilko","Refills","2","20ml",NA,NA,0.93
"CLE","AIR","450202","Wilko Wax Melt Refill Pink Posies 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450203","Wilko Wax Melt Refill Orchid Delight 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450204","Wilko Wax Melt Refill Summer Fruits 5pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450205","Wilko Wax Melt Refill Rhubarb Sugar Melon 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450206","Wilko Wax Melt Refill Warming Spice 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450207","Wilko Wax Melt Refill Vanilla Pod 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450208","Wilko Wax Melt Refill Woodland Escape 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","AIR","450209","Wilko Wax Melt Refill White Linen 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"CLE","DIS","206463","Fairy Power Spray 375ml","Fairy","Multi-Purpose Cleaner",NA,"375ml",NA,NA,0.9125
"CLE","DIS","403605","Fairy Dish Washer Rinse Aid 475ml","Fairy","Rinsing and Care Agents","1",NA,NA,NA,0.9125
"CLE","DIS","425089","Fairy Original All in One Lemon 44pk","Fairy","Dishwasher Tablets and Gels","44",NA,NA,NA,0.9125
"CLE","DIS","425096","Fairy Original Lemon 780ml","Fairy","Washing Up Liquid",NA,"780ml",NA,NA,0.9125
"CLE","DIS","425098","Fairy Original 780ml","Fairy","Washing Up Liquid",NA,"780ml",NA,NA,0.9125
"CLE","DIS","438081","Fairy Lemon 1L","Fairy","Washing Up Liquid","1",NA,NA,NA,0.9125
"CLE","DIS","438082","Fairy Original 1L","Fairy","Washing Up Liquid","1",NA,NA,NA,0.9125
"CLE","DIS","457302","Fairy Original All in One Lemon DishwasherCapsules 61pk","Fairy","Dishwasher Tablets and Gels",NA,NA,NA,NA,0.825
"CLE","DIS","457303","Fairy Platinum All in One Dishwasher TabletsLemon 50pk","Fairy","Dishwasher Tablets and Gels",NA,NA,NA,NA,0.825
"CLE","DIS","230098","Finish Dishwasher Rinse Aid 400ml","Finish","Rinsing and Care Agents",NA,"400ml",NA,NA,0.9125
"CLE","DIS","254925","Finish Oudour Stop Dishwasher Freshener","Finish","Rinsing and Care Agents","1",NA,NA,NA,0.9125
"CLE","DIS","271982","Finish Dishwasher Cleaner 250ml","Finish","Rinsing and Care Agents",NA,"250ml",NA,NA,0.9125
"CLE","DIS","411901","Finish Dishwasher Tablets Quantum Max 18pk","Finish","Dishwasher Tablets and Gels","1",NA,NA,NA,0.9125
"CLE","DIS","168721","Wilko Dishwasher Salt Granules 2kg","Wilko","Rinsing and Care Agents",NA,"2kg",NA,NA,0.9125
"CLE","DIS","274245","Wilko Dishwasher Cleaner 250ml","Wilko","Rinsing and Care Agents",NA,"250ml",NA,NA,0.9125
"CLE","DIS","333362","Wilko Dishwasher Tablets 3in1 30pk","Wilko","Dishwasher Tablets and Gels","30s",NA,NA,NA,0.9125
"CLE","FLY","414769","Raid Fly and Wasp Killer Fast Action 300ml","Raid","Fly Spray and Repellent ","1",NA,NA,NA,0.9125
"CLE","FLY","211406","Rentokil Advance Mouse Trap 1pk","Rentokil","Rodenticides","1",NA,NA,NA,0.9125
"CLE","FLY","334446","Beacon Pest Control Mouse and Rat Repeller Plug In","Rentokil","Rodenticides","1",NA,NA,NA,0.8625
"CLE","FLY","424862","Rentokil Mouse Killer Bait 4pk","Rentokil","Rodenticides","4pk",NA,NA,NA,0.9125
"CLE","FLY","424863","Rentokil Rat Killer Bait 2pk","Rentokil","Rodenticides","2pk",NA,NA,NA,0.9125
"CLE","FLY","424864","Rentokil Clean Kill Mouse Trap 2pk","Rentokil","Rodenticides","Twin Pack",NA,NA,NA,0.9125
"CLE","FUR","1141040","Brasso Metal Polish 75g","Brasso","Multi-Purpose Cleaner",NA,"75g",NA,NA,0.9125
"CLE","FUR","42549","Brasso Metal Polish 175ml","Brasso","Multi-Purpose Cleaner",NA,"175ml",NA,NA,0.9125
"CLE","FUR","168718","Lord Sheraton Caretaker Wood Balsam Original  75ml","Lord Sheraton","Furniture Polish",NA,"75ml",NA,NA,0.9125
"CLE","FUR","117286","Mr Sheen Multi-Surface Polish 300ml","Mr Sheen","Furniture Polish",NA,"300ml",NA,NA,0.9125
"CLE","FUR","166221","Pledge Dry Dusting Cloths Citrus 20pk","Pledge","Dusters","1","20 Pack","White",NA,0.941666666666667
"CLE","FUR","221896","Pledge Dusters Starter Kit","Pledge","Dusters","1",NA,"Multi",NA,0.883333333333333
"CLE","FUR","221897","Pledge Fluffy Duster Refills 5pk","Pledge","Duster Refil","1","5 Pack","White",NA,0.941666666666667
"CLE","FUR","439371","Wilko Multi-Purpose Wipes 30pk","Wilko","Wipes","1",NA,NA,NA,0.9125
"CLE","FUR","439372","Wilko Leather Wipes 30pk","Wilko","Wipes","1",NA,NA,NA,0.9125
"CLE","FUR","439382","Wilko Multi-Purpose PolishVanilla and Rose Blossom 250ml","Wilko","Furniture Polish","1",NA,NA,NA,0.9125
"CLE","KIW","276784","Kiwi Express Shine Sponge Black","Kiwi","Shoe Sponge",NA,NA,"Black",NA,0.86
"CLE","KIW","276859","Kiwi Shoe Polish Black 50ml","Kiwi","Shoe Polish",NA,"50ml","Black",NA,0.93
"CLE","KIW","323774","Kiwi  Footwear Deo Fresh 100ml","Kiwi","Sprays and Powders",NA,"100ml",NA,NA,0.86
"CLE","KIW","324183","Kiwi Instant Wax Shine Black 75ml","Kiwi","Shoe Polish",NA,"75ml","Black",NA,0.93
"CLE","KIW","324618","Kiwi Outdoor Lace Black 180cm","Kiwi","Shoe Laces",NA,"180cm","Black",NA,0.93
"CLE","KIW","324621","Kiwi Parade Gloss Polish Black 50ml","Kiwi","Shoe Polish",NA,"50ml","Black",NA,0.93
"CLE","KIW","324628","Kiwi Round Lace Black 75cm","Kiwi","Shoe Laces",NA,"75cm","Black",NA,0.93
"CLE","KIW","324742","Kiwi Round Lace Brown 75cm","Kiwi","Shoe Laces",NA,"75cm","Brown",NA,0.93
"CLE","KIW","324747","Kiwi Shoe Polish Dark Tan 50ml","Kiwi","Shoe Polish",NA,"50ml","Brown",NA,0.93
"CLE","KIW","324750","Kiwi Sport Lace Black 110cm","Kiwi","Shoe Laces",NA,"110cm","Black",NA,0.93
"CLE","KIW","324751","Kiwi Sport Lace White 110cm","Kiwi","Shoe Laces",NA,"110cm","White",NA,0.93
"CLE","KIW","324752","Kiwi Sports Shoe Whitener 75ml","Kiwi","Shoe Whitener",NA,"75ml","White",NA,0.93
"CLE","KIW","339564","Kiwi Rain and Stain Shoe Protector 200ml","Kiwi","Sprays and Powders",NA,NA,NA,NA,0.79
"CLE","KIW","346484","Kiwi Shine and Protect Neutral 75ml","Kiwi","Shoe Polish",NA,"75ml","Cream",NA,0.93
"CLE","KIW","403558","Kiwi Suede and Nubuck Foam Cleaner 200ml","Kiwi","Sprays and Powders",NA,NA,NA,NA,0.79
"CLE","KIW","408865","Kiwi Suede & Nubuck Combination Brush","Kiwi","Shoe Brush","1",NA,NA,NA,0.86
"CLE","KIW","411806","Kiwi Leather Shoe Polishing Brush","Kiwi","Shoe Brush",NA,NA,NA,NA,0.79
"CLE","KIW","411807","Kiwi Shoe Polish Appllicator Brush","Kiwi","Shoe Brush",NA,NA,NA,NA,0.79
"CLE","KIW","411811","Kiwi Real Leather Insoles","Kiwi","Insoles and Cushions",NA,NA,NA,NA,0.79
"CLE","KIW","411812","Kiwi Cotton Deo Comfort Insoles","Kiwi","Insoles and Cushions",NA,NA,NA,NA,0.79
"CLE","KIW","411814","Kiwi Shoe Polish Black 100ml","Kiwi","Shoe Polish",NA,NA,"Black",NA,0.86
"CLE","KIW","428046","Kiwi Fresh Ins Woman Insoles","Kiwi","Insoles and Cushions","1","One Size",NA,NA,0.93
"CLE","LAU","130212","Ace Bleach Gentle Stain Remover 1L","Ace","Stain and Pre-Treatment Agents",NA,"1L",NA,NA,0.9125
"CLE","LAU","350025","Ariel Detergent  Powder Regular 650g","Ariel","Washing Powder",NA,"650g",NA,NA,0.9125
"CLE","LAU","350026","Ariel Washing Powder Colour 22 Washes 1.43kg","Ariel","Washing Powder",NA,"1.43kg",NA,NA,0.9125
"CLE","LAU","351262","Ariel Washing Liquid Colour 22 Washes 1.2L","Ariel","Liquid and Gel Detergents",NA,"1.2L",NA,NA,0.9125
"CLE","LAU","403534","Ariel Bio Liquitabs 30 Washes","Ariel","Liquitabs",NA,NA,NA,NA,0.825
"CLE","LAU","422364","Ariel Pods 3in1 Colour and Style 30 Washes","Ariel","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","432516","Ariel Washing Liquid Colour 40 Washes 2L","Ariel","Liquid and Gel Detergents","1",NA,NA,NA,0.9125
"CLE","LAU","432517","Ariel Washing Powder Regular 40 Washes 2.6kg","Ariel","Washing powder","1",NA,NA,NA,0.9125
"CLE","LAU","351268","Bold 2in1 Liquid Lotus Flower and Lilly 1.2L","Bold","Liquid and Gel Detergents",NA,"1.2L",NA,NA,0.9125
"CLE","LAU","413963","Bold 2 in 1 Liquid Tablets White Lily 18 Washes","Bold","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","413965","Bold 2 in 1 Liquid Tablets Lavender and Camomile18 Washes","Bold","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","413967","Bold 2 in 1 Liquid Tablets Sparkling Bloom18 Washes","Bold","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","432519","Bold 2 in 1 Liquid Tablets Lavender and Camomile29 Washes","Bold","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","432520","Bold 2 in 1 Liquid Pods White Lily 29 Washes","Bold","Liquitabs","1",NA,NA,NA,0.9125
"CLE","LAU","432521","Bold 2in1 Powder with Lenor Lavender andCamomile 2.6kg","Bold","Washing powder","1",NA,NA,NA,0.9125
"CLE","LAU","286247","Calgon Water Softener Gel 750ml","Calgon","Water Softener",NA,"750ml",NA,NA,0.9125
"CLE","LAU","255078","Comfort Fabric Conditioner Blue Skies42 Washes 1.5L","Comfort","Fabric Conditioners",NA,"1.5L",NA,NA,0.9125
"CLE","LAU","352861","Comfort Creations Fabric Conditioner Strawberryand Lily 1.16L","Comfort","Fabric Conditioners",NA,"1.16L",NA,NA,0.9125
"CLE","LAU","414155","Comfort Intense Fuchsia Passion 570ml","Comfort","Fabric Conditioners","1",NA,NA,NA,0.9125
"CLE","LAU","414156","Comfort Intense Fresh Sky 570ml","Comfort","Fabric Conditioners","1",NA,NA,NA,0.9125
"CLE","LAU","414157","Comfort Intense Fabric Conditioner Fresh Sky64 Washes","Comfort","Fabric Conditioners","1",NA,NA,NA,0.9125
"CLE","LAU","414158","Comfort Intense Fuchsia Passion 960ml","Comfort","Fabric Conditioners","1",NA,NA,NA,0.9125
"CLE","LAU","430857","Comfort Creations Fabric Conditioner Tuberose andVanilla Flower 33 Washes","Comfort","Fabric Conditioners",NA,"1.16L",NA,NA,0.9125
"CLE","LAU","451717","Comfort Intense Perfume Pearls Fuchsia Passion275g","Comfort","Fabric Conditioners",NA,NA,NA,NA,0.775
"CLE","LAU","451718","Comfort Intense Perfume Pearls Fresh Sky 275g","Comfort","Fabric Conditioners","1",NA,NA,NA,0.8625
"CLE","LAU","453863","Comfort Intense Flora 38 Washes","Comfort","Fabric Conditioners",NA,NA,NA,NA,0.775
"CLE","LAU","453865","Comfort Intense Fabric Conditioner Tropical Punch64 Washes","Comfort","Fabric Conditioners","64",NA,NA,NA,0.8625
"CLE","LAU","112320","Daz Handwash Laundry Powder 960g","Daz","Washing Powder",NA,"960g",NA,NA,0.9125
"CLE","LAU","334456","Daz Liquid Regular 1.0L","Daz","Liquid and Gel Detergents",NA,"1.0L",NA,NA,0.9125
"CLE","LAU","422365","Daz Liquid Tablets 27 Washes","Daz","Liquitabs","27",NA,NA,NA,0.9125
"CLE","LAU","450761","Daz Liquitabs 42 Washes","Daz","Liquitabs","42",NA,NA,NA,0.9125
"CLE","LAU","275063","Dr Beckmann Service It Washing Machine Cleaner 250ml","Dr Beckmann","Washing Machine Cleaner",NA,"250ml",NA,NA,0.9125
"CLE","LAU","321029","Dr Beckmann Colour and Dirt Sheets 20pk","Dr Beckmann","Stain and Pre-Treatment Agents","20s",NA,NA,NA,0.9125
"CLE","LAU","349717","Dr.Beckmann Stain Devils Survival Kit3 Bottles","Dr Beckmann","Stain and Pre-Treatment Agents","1",NA,NA,NA,0.8625
"CLE","LAU","349718","Dr.Beckmann Colour and Dirt Collector 50pk","Dr Beckmann","Stain and Pre-Treatment Agents","50s",NA,NA,NA,0.8625
"CLE","LAU","270597","Dylon Fabric Dye Flamingo Pink 50g","Dylon","Clothing Dye",NA,"50g","Pink",NA,0.93
"CLE","LAU","270598","Dylon Fabric Dye Tropical Green 50g","Dylon","Clothing Dye",NA,"50g","Green",NA,0.93
"CLE","LAU","270599","Dylon Hand Dye Bahama Blue 50g","Dylon","Clothing Dye",NA,"50g","Blue",NA,0.93
"CLE","LAU","277635","Dylon Curtain Whitener 3pk","Dylon","Stain and Pre-Treatment Agents",NA,"150ml",NA,NA,0.9125
