"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","DQ Score"
"CLE","AIR","429210","Air Wick Pure Air Freshener Aerosol Purple Lavender 250ml","Air Wick","17.2CM","6.5CM","6.5CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","429211","Air Wick Pure Air Freshener Soft Cotton 250ml","Air Wick","17.2CM","6.5CM","6.5CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","429214","Air Wick Reed Diffusers White Vanilla Bean 25ml","Air Wick","20.3CM","8.0CM","5.4CM","Branded Reed Diffusers","50ml",NA,"1",1
"CLE","AIR","429215","Air Wick Reed Diffuser Pink Sweet Pea 25ml","Air Wick","20.3CM","8.0CM","5.4CM","Branded Reed Diffusers","50ml",NA,"1",1
"CLE","AIR","430999","Air Wick Reed Diffuser Purple Blackberry Fig 25ml","Air Wick","20.5CM","7.5CM","5.4CM","Branded Reed Diffusers","25ml",NA,"1",1
"CLE","AIR","431657","Air Wick Pure Freshmatic Compact RefillPurple Lavender 24ml","Air Wick","17.5CM","8.0CM","4.5CM","Refills","24ml",NA,"1",1
"CLE","AIR","431659","Air Wick Pure Freshmatic Compact Refill CherryBlossom 24ml","Air Wick","17.5CM","8.0CM","4.5CM","Refills","24ml",NA,"1",1
"CLE","AIR","431661","Air Wick Pure Freshmatic Compact Refill SpringDelight 24ml","Air Wick","17.5CM","8.0CM","4.5CM","Refills","24ml",NA,"1",1
"CLE","AIR","431663","Air Wick Pure Freshmatic Compact Air Freshener KitSpring Delight","Air Wick","17.5CM","14.2CM","6.0CM","Units","24ml",NA,"1",1
"CLE","AIR","443577","Air Wick Freshmatic Single Refill Mulled Wine250ml","Air Wick","15.0CM","6.5CM","6.5CM","Refills","250ml",NA,"1",1
"CLE","AIR","443581","Air Wick Reed Diffuser Ginger and Mandarin 25ml","Air Wick","20.5CM","7.5CM","5.4CM","Branded Reed Diffusers","25ml",NA,"1",1
"CLE","AIR","450609","Air Wick Fresh Matic Max Pure Refill Cherry","Air Wick","15.0CM","6.6CM","6.6CM","Refills","6.6 X 6.6 X 15",NA,"1",1
"CLE","AIR","450610","Air Wick Fresh Matic Max Pure Refill Spring","Air Wick","15.0CM","6.6CM","6.6CM","Refills","6.6X6.6X15",NA,"1",1
"CLE","AIR","450611","Air Wick Fresh Matic Max Pure Refill Med Sun","Air Wick","15.0CM","6.6CM","6.6CM","Refills","6.6X6.6X15",NA,"1",1
"CLE","AIR","450612","Air Wick Fresh Matic Complete Max Pure Cherry","Air Wick","20.6CM","15.2CM","8.9CM","Units","8.9 X 15.2 X 20.6",NA,"1",1
"CLE","AIR","450613","Air Wick Fresh Matic Complete Max Pure Spring","Air Wick","20.6CM","15.2CM","8.9CM","Units","8.9 X 15.2 X 20.6",NA,"1",1
"CLE","AIR","450616","Air Wick Pure Air Freshener Aerosol Pure SmoothLily 250ml","Air Wick","17.2CM","6.6CM","6.6CM","Room Sprays","250ml",NA,"1",1
"CLE","AIR","450617","Air Wick Pure Air Freshener Aerosol Fresh Berries","Air Wick","17.2CM","6.6CM","6.6CM","Room Sprays","6.6X6.6X17.2",NA,"1",1
"CLE","AIR","450622","Air Wick Fresh Matic Max Twin Refill Lavender","Air Wick","15.0CM","13.2CM","6.6CM","Refills","6.6 X 13.2 X 15",NA,"2",1
"CLE","AIR","258364","Febreze Air Effect Air Freshener Blossom and Breeze 300ml","Febreze","24.3CM","5.8CM","5.8CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","258365","Febreze Air Effect Air Freshener Spray Cotton Fresh 300ml","Febreze","24.5CM","5.7CM","5.7CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","275387","Febreze Air Freshener Thai Orchid 300ml","Febreze","24.3CM","5.8CM","5.8CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","298002","Febreze Set And Refresh Refill Blossom","Febreze","15.9CM","5.5CM","2.9CM","Refills","2 x 5.5ml",NA,"1",1
"CLE","AIR","316255","Febreze Car Freshener Diffuser and RefillFresh Escapes 7ml","Febreze","17.1CM","11.7CM","7.5CM","Air Fresheners","7ml",NA,"1",1
"CLE","AIR","316256","Febreze Car Freshener Diffuser and Refill Blossomand Breeze 7ml","Febreze","17.1CM","11.7CM","7.5CM","Air Fresheners","7ml",NA,"1",1
"CLE","AIR","318609","Febreze Thai Orchid Refresh Refill 2pk","Febreze","15.9CM","9.5CM","2.9CM","Units","2x5.5ml",NA,"1",1
"CLE","AIR","333479","Febreze Car Vent Clip Air Freshener Blossom and Breeze 2ml","Febreze","16.5CM","7.3CM","4.6CM","Air Fresheners","2ml",NA,"1",1
"CLE","AIR","431009","Febreze Fabric Refresher Cotton 375ml","Febreze","23.8CM","9.3CM","4.6CM","Fabric Fresheners","375ml",NA,"1",1
"CLE","AIR","450159","Febreze Aerosol Lavender 300ml","Febreze","24.5CM","6.4CM","5.9CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","450160","Febreze Aerosol Fruity Tropics 300ml","Febreze","24.5CM","6.4CM","5.9CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","450162","Febreze Pet Odour 300ml","Febreze","24.5CM","6.4CM","5.9CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","450163","Febreze Anti Tobacco 300ml","Febreze","24.5CM","6.4CM","5.9CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","450168","Febreze Car Gel Pet Odour","Febreze","16.5CM","7.2CM","3.8CM","Car Air Freshener","2ml",NA,"1",1
"CLE","AIR","450169","Febreze Car Gel Thai Orchid","Febreze","16.5CM","7.2CM","3.8CM","Car Air Freshener","2ml",NA,"1",1
"CLE","AIR","450170","Febreze Fabric Refresher Blossom And Breeze375ml","Febreze","24.0CM","9.6CM","4.6CM","Fabric Fresheners","375ml",NA,"1",1
"CLE","AIR","450174","Febreze Heavy Duty Crisp Clean 300ml","Febreze","24.4CM","6.4CM","5.9CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","450592","Febreze Car Diffuser Unit Anti Tobacco","Febreze","17.0CM","11.8CM","6.8CM","Car Air Freshener","7ml",NA,"1",1
"CLE","AIR","450593","Febreze Car Diffuser Refill Anti Tobacco","Febreze","15.8CM","7.5CM","3.0CM","Car Air Freshener","7ml",NA,"1",1
"CLE","AIR","136420","Glade Candle Bali Sandalwood and Jasmine120g","Glade","7.1CM","8.0CM","8.0CM","Branded Candles","120g","Multi","1",1
"CLE","AIR","136422","Glade Fragranced Candle With Love 120g","Glade","7.1CM","8.0CM","8.0CM","Branded Candles","120g","Multi","1",1
"CLE","AIR","201667","Glade Touch n Fresh Refill Clean Linen 10ml","Glade","9.4CM","4.0CM","4.0CM","Refills","10ml",NA,"1",1
"CLE","AIR","201706","Glade Touch n Fresh Refill Relaxing Zen 10ml","Glade","9.4CM","4.0CM","4.0CM","Refills","10ml",NA,"1",1
"CLE","AIR","237326","Glade Candle Honey and Chocolate 120g","Glade","7.1CM","8.0CM","8.0CM","Branded Candles","120g","Multi","1",1
"CLE","AIR","269928","Glade Sense and Spray Automatic Unit with RefillClean Linen 18ml","Glade","16.4CM","9.5CM","5.8CM","Units","18ml",NA,"1",1
"CLE","AIR","269930","Glade Sense and Spray Refill CleanLinen 18ml","Glade","15.7CM","6.2CM","2.8CM","Refills","18ml",NA,"1",1
"CLE","AIR","283161","Glade Sense and Spray Automatic Spray Refill BaliSandalwood and Jasmine 18ml","Glade","15.7CM","6.0CM","3.0CM","Refills","18ml",NA,"1",1
"CLE","AIR","293100","Glade Refresh Air Spray 275ml Cotton","Glade","24.0CM","5.9CM","5.9CM","Room Sprays","275ml",NA,"1",1
"CLE","AIR","403474","Glade 5in1 Air Freshener Clean Linen 300ml","Glade","23.0CM","5.3CM","5.3CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","428372","Glade Discreet Refill Fresh Lemon","Glade","15.0CM","8.8CM",".5CM","Refills","8g",NA,"1",1
"CLE","AIR","450225","Glade Autospray Refill Hawaiian Breeze","Glade","14.3CM","6.5CM","6.5CM","Refills","269ml",NA,"1",1
"CLE","AIR","237922","Oust Odour Eliminator Air Freshener Clean Scent300ml","Oust","24.0CM","5.1CM","5.1CM","Room Sprays","300ml",NA,"1",1
"CLE","AIR","441178","Wilko Compact Premium AirSpray Vanilla240ml","Wilko","17.2CM","6.5CM","6.5CM","Room Sprays","240ml",NA,"1",1
"CLE","AIR","441179","Wilko Compact Premium Airspray Cotton240ml","Wilko","17.2CM","6.5CM","6.5CM","Room Sprays","240ml",NA,"1",1
"CLE","DIS","285764","Fairy Dishwasher Tablets Lemon 31pk","Fairy","21.5CM","20.0CM","7.0CM","Dishwasher Tablets and Gels","629g",NA,"31s",1
"CLE","DIS","293181","Fairy Dishwasher Platinum Tablets Lemon 27pk","Fairy","22.0CM","20.0CM","7.0CM","Dishwasher Tablets and Gels","505g",NA,"27s",1
"CLE","DIS","425091","Fairy Antibacterial Washing Up Liquid withEucalyptus 625ml","Fairy","24.0CM","9.3CM","5.6CM","Washing Up Liquid","625ml",NA,"1",1
"CLE","DIS","425101","Fairy Platinum Original 625ml","Fairy","24.0CM","9.3CM","5.6CM","Washing Up Liquid","625ml",NA,"1",1
"CLE","DIS","438086","Fairy Clean and Care Rose and Satin Scent 820ml","Fairy","24.9CM","11.0CM","6.2CM","Washing Up Liquid","820ml",NA,"1",1
"CLE","DIS","439936","Fairy Original 433ml","Fairy","20.3CM","9.3CM","5.3CM","Washing Up Liquid","433ml",NA,"1",1
"CLE","DIS","192939","Surcare Washing up Liquid 450ml","Surcare","20.3CM","9.1CM","4.8CM","Washing Up Liquid","450ml",NA,"1",1
"CLE","DIS","77545","Wilko Dishwasher Rinse Aid 500ml","Wilko","24.5CM","8.5CM","5.0CM","Rinsing and Care Agents","500ml",NA,"1",1
"CLE","FLY","229565","Johnsons Wax Raid Ant and Cockroach Killer 300ml","Raid","23.7CM","5.3CM","5.3CM","Ant Killers","300ml",NA,"1",1
"CLE","FLY","253760","Raid Protector Fly Wasp and Mosquito Killer 300ml","Raid","23.7CM","5.5CM","5.5CM","Fly Spray and Repellent ","300ml",NA,"1",1
"CLE","FLY","169922","Rentokil Rodine Mouse and Rat Killer 150g","Rentokil","18.5CM","10.3CM","4.4CM","Rodenticides","150g",NA,"3",1
"CLE","FLY","333213","Rentokill Flea Powder 300g","Rentokil","22.3CM","6.7CM","6.7CM","Flea and Worming Control","300g",NA,"1",1
"CLE","FLY","334460","Rentokil Fast Action Mouse Killer Pre-Baited Box2pk","Rentokil","15.2CM","13.1CM","4.5CM","Rodenticides","2x10g",NA,"2",1
"CLE","FLY","417482","Rentokil Clothes Moth Killer Papers 2pk","Rentokil","16.0CM","9.0CM",".2CM","Moth Powder and Paper","2 sheets",NA,"2",1
"CLE","FLY","433182","Rentokil Insectrol Insect Killer 250ml","Rentokil","20.5CM","5.2CM","5.2CM","Insect Spray","5.2 x 5.2 x 20.5 cm",NA,"1",1
"CLE","FLY","58809","Sanmex Fly and Wasp Killer Spray 300ml","Sanmex","23.5CM","5.3CM","5.3CM","Fly Spray and Repellent ","300ml",NA,"1",1
"CLE","FUR","73623","Mr Sheen Multi Surface Polish Spring Fresh 300ml","Mr Sheen","23.8CM","5.2CM","5.2CM","Furniture Polish","300ml",NA,"1",1
"CLE","FUR","296496","Leather Silk Non Silicone Leather Shine 250ml","Non Silicone","20.8CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","276154","Pledge Wood Polish Classic 250ml","Pledge","23.4CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","276168","Pledge Furniture Polish Lavender 250ml","Pledge","23.4CM","5.1CM","5.1CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","276588","Pledge Polish Springtime 250ml","Pledge","23.4CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","276597","Pledge  Multi Purpose Polish Jasmine 250ml","Pledge","23.4CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","319786","Pledge Polish Original 250ml","Pledge","23.4CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","425112","Pledge Extra Care Beeswax Aerosol 250ml","Pledge","23.6CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","437717","Vanish Gold Carpet Oxi Spray 500ml","Vanish","27.6CM","11.2CM","4.7CM","Carpet Cleaners and Fresheners","500ml",NA,"1",1
"CLE","FUR","333091","Wilko Furniture Polish Aerosol Spray CherryBlossom and Tonka Bean 250ml","Wilko","23.7CM","5.4CM","5.4CM","Furniture Polish","250ml",NA,"1",1
"CLE","FUR","95044","Wood Silk Non Silicone Furniture Polish with Beeswax 250ml","Wood Silk","21.0CM","5.2CM","5.2CM","Furniture Polish","250ml",NA,"1",1
"CLE","KIW","346485","Kiwi Shine and Protect Brown 75ml","Kiwi","14.5CM","3.8CM","4.0CM","Shoe Polish","75ml","Brown","1",1
"CLE","LAU","272578","Ariel Washing Gel Bio 16 Washes 592ml","Ariel","19.0CM","13.4CM","6.5CM","Liquid and Gel Detergents","592ml",NA,"1",1
"CLE","LAU","278061","Ariel Washing Gel Bio 24 Washes 888ml","Ariel","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","278062","Ariel Washing Gel Febreze 24 Washes 888ml","Ariel","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","278067","Ariel Washing Gel Colour 24 Washes 888ml","Ariel","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","333378","Ariel 3in1 Bio Liquid Tablets 19 Washes","Ariel","12.2CM","19.3CM","11.2CM","Liquitabs","19s",NA,"19s",1
"CLE","LAU","333379","Ariel 3in1 Tablets Colour and Style 19 Washes","Ariel","12.2CM","19.3CM","11.2CM","Liquitabs","19s",NA,"19s",1
"CLE","LAU","333380","Ariel 3 in 1 Liquid Tablets Febreze 19 Washes","Ariel","12.2CM","19.3CM","11.2CM","Liquitabs","19s",NA,"19s",1
"CLE","LAU","351261","Ariel Washing Liquid Original 22 Washes 1.2L","Ariel","25.5CM","14.4CM","7.8CM","Liquid and Gel Detergents","1.2L",NA,"1",1
"CLE","LAU","351264","Ariel Washing Liquid Original 40 Washes 2L","Ariel","31.4CM","16.0CM","9.2CM","Liquid and Gel Detergents","2L",NA,"1",1
"CLE","LAU","454183","Ariel Liquid Regular 3L","Ariel","34.2CM","10.8CM","18.0CM","Liquid and Gel Detergents","3L",NA,"1",1
"CLE","LAU","295254","Bold Gel With Lenor Lotus Flower and Lilly 888ml","Bold","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","295341","Bold Gel With Lenor Lavender and Camomile 888ml","Bold","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","330301","Bold Gel With Lenor Sparkling Bloom and YellowPoppy 24 Washes 888ml","Bold","25.0CM","12.7CM","6.4CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","351270","Bold 2in1 Liquid Lavender and Camomile 1.9L","Bold","30.0CM","14.5CM","9.0CM","Liquid and Gel Detergents","1.9L",NA,"1",1
"CLE","LAU","432518","Bold 2in1 with Lenor Sparkling Bloom andYellow Poppy 1.2L","Bold","25.2CM","14.4CM","7.8CM","Liquid and Gel Detergents","1.2L",NA,"1",1
"CLE","LAU","432522","Bold 2in1 Powder Sparkling Bloom 1.43kg","Bold","24.0CM","22.6CM","6.2CM","Washing powder","1.43kg",NA,"1",1
"CLE","LAU","168862","Calgon Water Softener 15pk","Calgon","13.8CM","14.1CM","5.4CM","Water Softener","218g",NA,"1",1
"CLE","LAU","275078","Calgon 2 in 1 Water Softener Powder 600g","Calgon","15.5CM","14.1CM","5.4CM","Water Softener","600g",NA,"1",1
"CLE","LAU","177822","Comfort Vaporesse Ironing Water 1L","Comfort","26.9CM","9.0CM","7.4CM","Ironing Water","1L",NA,"1",1
"CLE","LAU","255077","Comfort Sunshiny Days Fabric Conditioner 42Washes 1.5L","Comfort","28.0CM","12.0CM","9.2CM","Fabric Conditioners","1.5L",NA,"1",1
"CLE","LAU","255079","Comfort Pure Fabric Conditioner 42 Washes 1.5L","Comfort","28.0CM","12.0CM","9.2CM","Fabric Conditioners","1.5L",NA,"1",1
"CLE","LAU","332317","Comfort Blue Skies Fabric Conditioner 85 Washes 3L","Comfort","35.0CM","18.0CM","9.0CM","Fabric Conditioners","3L",NA,"1",1
"CLE","LAU","334443","Comfort Pure Fabric Conditioner 3L","Comfort","35.0CM","18.0CM","9.0CM","Fabric Conditioners","3L",NA,"1",1
"CLE","LAU","352863","Comfort Creations Honeysuckle and Sandalwood1.16L","Comfort","28.0CM","11.8CM","9.3CM","Fabric Conditioners","1.16L",NA,"1",1
"CLE","LAU","409225","Comfort Creations Fabric Conditioner CherryBlossom and Sweet Pea 1.16L","Comfort","28.0CM","11.8CM","9.3CM","Liquid and Gel Detergents","1.16L",NA,"1",1
"CLE","LAU","430856","Comfort Pure Fabric Conditioner 570ml","Comfort","19.5CM","9.3CM","7.2CM","Fabric Conditioners","570ml",NA,"1",1
"CLE","LAU","439876","Comfort Intense Luxurious 960ml","Comfort","24.7CM","11.7CM","7.2CM","Fabric Conditioners","960ml",NA,"1",1
"CLE","LAU","350030","Daz Detergent Powder   Regular 2.6kg","Daz","29.0CM","22.5CM","9.5CM","Washing Powder","2.6kg",NA,"1",1
"CLE","LAU","350031","Daz Detergent  Powder  Regular 1.43kg","Daz","24.0CM","22.6CM","6.2CM","Washing Powder","1.43kg",NA,"1",1
"CLE","LAU","450760","Daz Liquid 2.45L","Daz","34.0CM","17.4CM","9.2CM","Liquid and Gel Detergents","2.45L",NA,"1",1
"CLE","LAU","414377","Dettol Wash Machine Cleaner Gel 250ml","Dettol","14.5CM","6.2CM","4.4CM","Washing Machine Cleaner","250ml",NA,"1",1
"CLE","LAU","95059","Dr Beckmann Glowhite Super Whitener 5pk","Dr Beckmann","13.4CM","11.6CM","4.8CM","Stain and Pre-Treatment Agents","5x40g",NA,"1",1
"CLE","LAU","228002","Dylon Wash and Dye Velvet Black 350g","Dylon","17.9CM","12.6CM","6.6CM","Fabric Dyes","350g","Black","1",1
"CLE","LAU","270596","Dylon Fabric Dye Intense Violet 50g","Dylon","14.3CM","8.2CM","2.0CM","Clothing Dye","50g","Purple","1",1
"CLE","LAU","274482","Dylon Colour Catcher Sheets 24pk","Dylon","16.5CM","11.6CM","3.0CM","Stain and Pre-Treatment Agents","24 Sheets",NA,"1",1
"CLE","LAU","285879","Dylon Dye Salt 500g","Dylon","13.1CM","8.7CM","5.0CM","Clothing Dye","500g","Cream","1",1
"CLE","LAU","332023","Dylon Spray Starch Aerosol Spray 300ml","Dylon","23.8CM","5.3CM","5.3CM","Spray Starch","300ml",NA,"1",1
"CLE","LAU","454085","Dylon Dye Pod Navy Blue 350g","Dylon","8.5CM","8.5CM","9.9CM","Fabric Dyes ","350g","Blue","1",1
"CLE","LAU","454086","Dylon Dye Pod Forest Green 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Green","1",1
"CLE","LAU","454087","Dylon Dye Pod Intense Black 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Black","1",1
"CLE","LAU","454088","Dylon Dye Pod Jeans Blue 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes","350g","Blue","1",1
"CLE","LAU","454089","Dylon Dye Pod Tulip Red 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Red","1",1
"CLE","LAU","454090","Dylon Dye Pod Deep Violet 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Purple","1",1
"CLE","LAU","454091","Dylon Dye Pod Ocean Blue","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Blue","1",1
"CLE","LAU","454092","Dylon Dye Pod Passion Pink 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Pink","1",1
"CLE","LAU","454093","Dylon Dye Pod Fresh Orange 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes","350g","Orange","1",1
"CLE","LAU","454094","Dylon Dye Pod Espresso Brown 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Brown","1",1
"CLE","LAU","454095","Dylon Dye Pod Sunflower Yellow 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes","350g","Yellow","1",1
"CLE","LAU","454096","Dylon Dye Pod Sandy Beige 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Brown","1",1
"CLE","LAU","454097","Dylon Dye Pod Plum Red","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Red","1",1
"CLE","LAU","454098","Dylon Dye Pod Olive Green 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Green","1",1
"CLE","LAU","454099","Dylon Dye Pod Paradise Blue 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Blue","1",1
"CLE","LAU","454100","Dylon Dye Pod Emerald Green 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Green","1",1
"CLE","LAU","454101","Dylon Dye Pod Vintage Blue 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Blue","1",1
"CLE","LAU","454102","Dylon Dye Pod Smoke Grey 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes","350g","Grey","1",1
"CLE","LAU","454104","Dylon Dye Pod Peony Pink 350g","Dylon","9.9CM","8.5CM","8.5CM","Fabric Dyes ","350g","Pink","1",1
"CLE","LAU","316180","Fairy Gel Non Bio 24 Washes 888ml","Fairy","24.8CM","12.5CM","6.5CM","Liquid and Gel Detergents","888ml",NA,"1",1
"CLE","LAU","350034","Fairy Non Bio Regular Detergent Powder 1.43kg","Fairy","20.7CM","18.5CM","9.4CM","Washing Powder","1.43kg",NA,"1",1
"CLE","LAU","441966","Fairy Original Fabric Conditioner 2.905L","Fairy","36.8CM","9.2CM","19.0CM","Fabric Conditioners","2.905L",NA,"1",1
"CLE","LAU","297018","Febreze Fabric Freshener Lavender 500ml","Febreze","23.3CM","8.3CM","6.5CM","Fabric Fresheners","500ml",NA,"1",1
"CLE","LAU","400324","Lenor Unstoppables Fresh 375g","Lenor","22.5CM","7.5CM","7.5CM","Fabric Fresheners","375g",NA,"1",1
"CLE","LAU","400325","Lenor Unstoppables Lavish 375g","Lenor","22.5CM","7.5CM","7.5CM","Fabric Fresheners","375g",NA,"1",1
"CLE","LAU","400341","Lenor Fabric Conditioner Fresh Meadow 44 Washes1.1L","Lenor","28.0CM","11.0CM","7.0CM","Fabric Conditioners","1.1L",NA,"1",1
"CLE","LAU","400344","Lenor Fabric Conditioner Ocean Escape 37 Washes925ml","Lenor","27.5CM","9.5CM","6.5CM","Fabric Conditioners","925ml",NA,"1",1
"CLE","LAU","422363","Lenor Unstoppables Uplift 275g","Lenor","19.2CM","7.7CM","7.7CM","Fabric Fresheners","275g",NA,"1",1
"CLE","LAU","428910","Lenor Gold Orchid Fabric Conditioner 1.8L","Lenor","29.2CM","9.2CM","11.5CM","Fabric Conditioners","1.8L",NA,"1",1
"CLE","LAU","428911","Lenor Ocean Escape Fabric Conditioner 1.8L","Lenor","29.2CM","9.2CM","11.5CM","Fabric Conditioners","1.8L",NA,"1",1
"CLE","LAU","432514","Lenor Unstoppables Spring 375g","Lenor","22.9CM","7.7CM","7.7CM","Fabric Fresheners","375g",NA,"1",1
"CLE","LAU","338144","Persil Small and Mighty Washing LiquidColour Protect 770ml","Persil","25.8CM","13.8CM","6.2CM","Liquid and Gel Detergents","770ml",NA,"1",1
"CLE","LAU","351784","Persil Colour Protect Washing Powder1.61kg","Persil","23.0CM","19.4CM","8.0CM","Washing Powder","23 Washes",NA,"1",1
"CLE","LAU","351785","Persil Non-Bio Washing Powder1.61kg","Persil","23.0CM","19.4CM","8.0CM","Washing Powder","23 Washes",NA,"1",1
"CLE","LAU","434075","Persil Bio Capsules 22 Washes","Persil","26.0CM","17.0CM","8.5CM","Liquitabs","22 tabs",NA,"1",1
"CLE","LAU","434079","Persil Non Bio Capsules 22 Washes","Persil","26.0CM","17.0CM","8.5CM","Liquitabs","22 tabs",NA,"1",1
"CLE","LAU","434092","Persil Colour Protect Capsules 22 Washes","Persil","26.0CM","17.0CM","8.5CM","Liquitabs","22 tabs",NA,"1",1
"CLE","LAU","434094","Persil Powder Non Bio 45 Washes","Persil","32.0CM","23.5CM","9.3CM","Washing Powder","3.185kg",NA,"1",1
"CLE","LAU","434071","Surf Bio Capsules Tropical Lily and Ylang Ylang33 Washes","Surf","27.0CM","25.5CM","9.0CM","Liquitabs","33 tabs",NA,"1",1
"CLE","LAU","434096","Surf Bio Herbal Extract 33 Washes","Surf","27.0CM","25.5CM","9.0CM","Liquitabs","33 tabs",NA,"1",1
"CLE","LAU","206458","Vanish Oxi Action Stain Remover 500g","Vanish","12.1CM","8.9CM","8.9CM","Stain and Pre-Treatment Agents","500g",NA,"1",1
"CLE","LAU","243084","Vanish Oxi Action Crystal White Fabric StainRemover 500g","Vanish","12.1CM","9.3CM","9.2CM","Stain and Pre-Treatment Agents","500g",NA,"1",1
