"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"342783","Wilko Best Cellulose Sponge","Wilko Best","Sponges and Cloths",NA,NA,NA,"1 Pack",NA,0.8
"343156","Wilko Best Laminated Cotton Dust Sheet","Wilko Best","Tarpaulins and Protective Sheets",NA,NA,"1",NA,NA,0.8
"343299","Wilko Best Wire Brush With Scraper","Wilko Best","Scraper",NA,"Red","1","1 Pack",NA,0.9
"159223","Wilko Decorator Disposable Gloves Polythene One Size 25pk","Wilko Functional","Disposable Gloves",NA,NA,"25pk","OneSize","Polythene",0.85
"2702940","Wilko Decorators Sponge 14cm x 10cm x 3.5cm","Wilko Functional","Sponges and Cloths",NA,NA,"1","14cmx10cmx3.5cm",NA,0.8
"287561","Wilko Sandpaper Assorted Grades Pack x 10 sheets","Wilko Functional","Sandpaper and Blocks",NA,NA,"10pk","23 x 14cm","Quartz Sand, Glue, Paper",0.85
"287952","Wilko General Purpose Wire Brush","Wilko Functional","Decorating Tools",NA,NA,NA,"1 Pack",NA,0.75
"309327","Wilko Decorating Tool Set","Wilko Functional","Decorating Tools",NA,"Black","3pk",NA,NA,0.8
"343139","Wilko Functional Protection Roll 2 x 50m","Wilko Functional","Tarpaulins and Protective Sheets",NA,NA,"1","2M x 50M",NA,0.85
"343298","Wilko Functional Filling Knives","Wilko Functional","Filling Knife",NA,"Yellow","3pk",NA,NA,0.85
"343811","Wilko Polythene Dust Sheet 12x9ft","Wilko Functional","Tarpaulins and Protective Sheets",NA,NA,"1","12x9ft",NA,0.8
