"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"FOO","SP2","450032","Celebrations Gift Box 320g","Celebrations","18.2CM","22.0CM","3.8CM","Boxed Chocolate","320g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","283019","Bailey's Twistwraps 135g","Baileys","16.0CM","8.4CM","9.0CM","Boxed Chocolate","135g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","441969","Bailey's Truffle Bar 80g","Baileys","15.5CM","1.3CM","7.8CM","Confectionery Gifts","80g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","443353","Barratt Liquorice Novelties Tray 270g","Barr","16.8CM","35.0CM","3.8CM","Confectionery Gifts","270g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404679","Bassetts Liquorice Allsorts 495g","Bassetts","23.7CM","11.9CM","11.9CM","Confectionery Gifts","495g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404680","Bassetts Jelly Baby Jar 495g","Bassetts","23.7CM","11.9CM","11.9CM","Confectionery Gifts","495g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","338024","Flying Saucers Large Jar 140g","Bonds","22.0CM","12.0CM","12.0CM","Confectionery Gifts","140g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"FOO","SXM","444836","Bonds Mini Retro Sweet Shop 275g","Bonds","13.0CM","26.5CM","29.4CM","Confectionery Gifts","275g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","168607","Cadbury Dairy Milk Tree Decorations 83g","Cadbury","24.4CM","17.0CM","2.0CM","Confectionery Gifts","83g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","192973","Cadbury Freddo Faces Chocolate Tube 72g","Cadbury","4.6CM","18.0CM","4.6CM","Confectionery Gifts","72g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","192974","Cadbury Dairy Milk Chocolate Buttons Tube 72g","Cadbury","4.6CM","18.0CM","4.6CM","Confectionery Gifts","72g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","258053","Cadbury Small Selection Pack 95g","Cadbury","16.5CM","21.5CM","2.0CM","Selection Box","95g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","309825","Cadbury Snow Bites Bag 90g","Cadbury","14.5CM","12.0CM","2.0CM","Confectionery Gifts","90g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404671","Cadbury Dairy Milk Winter Edition 100g","Cadbury","7.6CM","16.5CM",".9CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404676","Cadbury Milk Tray 530g","Cadbury","24.4CM","33.9CM","4.6CM","Boxed Chocolate","530g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","404688","Cadbury Eclairs Carton 420g","Cadbury","18.6CM","12.7CM","6.6CM","Confectionery Gifts","420g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424375","Cadbury Freddo Selection Box 138g","Cadbury","20.1CM","29.0CM","2.6CM","Selection Box","138g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424376","Cadbury Selection Box Stocking 194g","Cadbury","20.7CM","42.8CM","2.9CM","Selection Box","194g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424377","Cadburys Milk Chocolate Hollow Santa 50g","Cadbury","14.8CM","5.8CM","3.8CM","Confectionery Gifts","50g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424378","Cadbury Mini Hollow Santas 5pk 75g","Cadbury","10.0CM","27.0CM","2.3CM","Confectionery Gifts","75g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","424379","Cadbury Hollow Santa 100g","Cadbury","19.0CM","7.2CM","4.2CM","Confectionery Gifts","100g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","425590","Cadbury Medium Selection Box 169g","Cadbury","21.3CM","30.4CM","2.6CM","Selection Box","169g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","425603","Cadburys Milk Tray 78g","Cadbury","12.8CM","21.0CM","3.0CM","Boxed Chocolate","78g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","441756","Cadbury Santa Gift Pack 97g","Cadbury","21.7CM","9.0CM","2.8CM","Confectionery Gifts","97g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","443297","Cadbury Dairy Milk 850g","Cadbury","17.5CM","42.1CM","1.5CM","Confectionery Gifts","850g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.65
"FOO","SXM","282239","Famous Names Signature Collection Liqueurs 185g","Elizabeth Shaw","17.8CM","24.3CM","2.8CM","Boxed Chocolate","185g",NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
