"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"PAI","CRO","434614","Crown Matt Emulsion PaintFairy Dust 2.5L","Crown","2.5L","Pink","1",NA,NA,"35 Square metres",1
"PAI","CRO","434616","Crown Matt Emulsion PaintGentle Olive 2.5L","Crown","2.5L","Green","1",NA,NA,"35 Square metres",1
"PAI","CRO","434617","Crown Matt Emulsion PaintGranite Dust 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434618","Crown Matt Emulsion PaintHappy Daze 2.5L","Crown","2.5L","Yellow","1",NA,NA,"35 Square metres",1
"PAI","CRO","434620","Crown Matt Emulsion PaintHoney Dip 2.5L","Crown","2.5L","Yellow","1",NA,NA,"35 Square metres",1
"PAI","CRO","434621","Crown Matt Emulsion PaintIvory Cream 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434622","Crown Matt Emulsion PaintLavender Cupcake 2.5L","Crown","2.5L","Purple","1",NA,NA,"35 Square metres",1
"PAI","CRO","434624","Crown Matt Emulsion PaintLupin 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434625","Crown Matt Emulsion PaintMagnolia 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434626","Crown Matt Emulsion PaintMellow Sage 2.5L","Crown","2.5L","Green","1",NA,NA,"35 Square metres",1
"PAI","CRO","434627","Crown Matt Emulsion PaintMilk White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434629","Crown Matt Emulsion PaintMustard Jar 2.5L","Crown","2.5L","Yellow","1",NA,NA,"35 Square metres",1
"PAI","CRO","434633","Crown Matt Emulsion PaintPaper Heart 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434634","Crown Matt Emulsion PaintPicnic Basket 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434636","Crown Matt Emulsion PaintPowder Blue 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434638","Crown Matt Emulsion PaintSail White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434639","Crown Matt Emulsion PaintSandcastle 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434640","Crown Matt Emulsion PaintSeldom Seen 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434641","Crown Matt Emulsion PaintSerene White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434642","Crown Matt Emulsion PaintSmoked Glass 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434644","Crown Matt Emulsion PaintSnowfall 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434646","Crown Matt Emulsion PaintSoft Lime 2.5L","Crown","2.5L","Green","1",NA,NA,"35 Square metres",1
"PAI","CRO","434647","Crown Matt Emulsion PaintSoft Linen 2.5L","Crown","2.5L","Cream","1",NA,NA,"35 Square metres",1
"PAI","CRO","434649","Crown Matt Emulsion PaintSpotlight 2.5L","Crown","2.5L","Grey","1",NA,NA,"35 Square metres",1
"PAI","CRO","434650","Crown Matt Emulsion PaintSpring White 2.5L","Crown","2.5L","White","1",NA,NA,"35 Square metres",1
"PAI","CRO","434651","Crown Matt Emulsion PaintStepping Stone 2.5L","Crown","2.5L","Blue","1",NA,NA,"35 Square metres",1
"PAI","CRO","434653","Crown Matt Emulsion PaintSunrise 2.5L","Crown","2.5L","Yellow","1",NA,NA,"35 Square metres",1
"PAI","CRO","434654","Crown Matt Emulsion PaintSweet Dreams 2.5L","Crown","2.5L","Purple","1",NA,NA,"35 Square metres",1
"PAI","CRO","434655","Crown Matt Emulsion PaintToasted Almond 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","434656","Crown Matt Emulsion PaintWheatgrass 2.5L","Crown","2.5L","Brown","1",NA,NA,"35 Square metres",1
"PAI","CRO","435272","Crown Feature Wall Emulsion PaintChatterbox 1.25L","Crown","1.25L","Pink","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435273","Crown Feature Wall Emulsion PaintDance Fever 1.25L","Crown","1.25L","Orange","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435276","Crown Feature Wall Emulsion PaintQuick Kiss 1.25L","Crown","1.25L","Pink","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435277","Crown Feature Wall Emulsion PaintSecret Escape 1.25L","Crown","1.25L","Green","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435278","Crown Feature Wall Emulsion PaintAddiction 1.25L","Crown","1.25L","Purple","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435279","Crown Feature Wall Emulsion PaintBlue Gravel 1.25L","Crown","1.25L","Grey","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435280","Crown Feature Wall Emulsion PaintChartreuse Mix 1.25L","Crown","1.25L","Green","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435281","Crown Feature Wall Emulsion PaintPalm Springs 1.25L","Crown","1.25L","Blue","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435282","Crown Feature Wall Emulsion PaintRebel 1.25L","Crown","1.25L","Black","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435283","Crown Feature Wall Emulsion PaintScrumptious 1.25L","Crown","1.25L","Purple","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435284","Crown Metallic Emulsion PaintCopper 1.25L","Crown","1.25L","Orange","1",NA,NA,"15 Square Metres",1
"PAI","CRO","435438","Crown Matt Emulsion Paint Tester PotAntique Cream 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
"PAI","CRO","435439","Crown Matt Emulsion Paint Tester PotBeige White 40ml","Crown","40ml","Cream","1",NA,NA,"0.56 square meters",1
