"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"GAR","SUN","436552","Forest Garden Overlap Garden Tool Chest","Forest Garden","93.4cm x 126cm x 85.8cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436554","Forest Garden Pressure Treated Maxi Garden WallStore","Forest Garden","184cm x 15.4cm x 8.5cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436556","Forest Garden Tall Garden Store","Forest Garden","20.4cm x 9.3cm x 5.8cm",NA,"Softwood","Yes",0.941666666666667
"GAR","SUN","436783","Forest Garden Overlap Garden Shed 4 x 3","Forest Garden","4 x 3",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436784","Forest Garden Overlap Apex Garden Shed 5 x 3","Forest Garden","5 x 3",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436785","Forest Garden Overlap Apex Garden Shed 3 x 5","Forest Garden","3 x 5",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436786","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden","6 x 4",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436787","Forest Garden Overlap Windowless Garden Shed 6 x 4","Forest Garden","6 x 4",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436788","Forest Garden Reverse Overlap Garden Shed 6 x 4","Forest Garden","6 x 4",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436789","Forest Garden Essential Overlap Garden Shed 5 x 7","Forest Garden","5 x 7",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436790","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden","7 x 5",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436791","Forest Garden Essential Overlap Garden 6 x 8","Forest Garden","6 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436792","Forest Garden Essential Overlap Garden Shed 6 x 8","Forest Garden","6 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436793","Forest Garden Overlap Pent Garden Shed 8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436794","Forest Garden Double Door Overlap Garden Shed8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436795","Forest Garden Reverse Apex Garden Shed 8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436796","Forest Garden Overlap Pent Garden Shed 10 x 6","Forest Garden","10 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436797","Forest Garden Double Door Overlap Garden Shed10 x 6","Forest Garden","10 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436798","Forest Garden Overlap Apex Garden Workshop 10 x 8","Forest Garden","10 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436799","Forest Garden Overlap Apex Garden Workshop 12 x 8","Forest Garden","12 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436800","Forest Garden Overlap Pent Garden Wall Shed","Forest Garden","203.3cm x 106.7cm x 180.8cm",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436801","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden","6 x 4",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436802","Forest Garden Overlap Garden Shed with Lean To6 x 4","Forest Garden","6 x 4",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436803","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden","7 x 5",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436804","Forest Garden Double Door Apex Garden Shed 7 x 5","Forest Garden","7 x 5",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436805","Forest Garden Double Door Overlap Apex GardenShed 7 x 7","Forest Garden","7 x 7",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436806","Forest Garden Overlap Apex Garden Shed 8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436807","Forest Garden Overlap Apex Windowless Garden Shed8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436808","Forest Garden Onduline Overlap Garden Apex Shed6 x 8","Forest Garden","6 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436809","Forest Garden Overlap Garden Workshop 10 x 8","Forest Garden","10 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436810","Forest Garden Overlap Garden Workshop 12 x 8","Forest Garden","12 x 8",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436811","Forest Garden Shiplap Apex Garden Shed 4 x 6","Forest Garden","4 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436812","Forest Garden Shiplap Pent Garden Shed 7 x 5","Forest Garden","7 x 5",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436813","Forest Garden Shiplap Apex Garden Shed 8 x 6","Forest Garden","8 x 6",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436816","Forest Garden Shedbase 6x4","Forest Garden","38cm x 179cm x 38cm",NA,NA,"Yes",0.93
"GAR","SUN","436817","Forest Garden Shedbase 7x5","Forest Garden","38cm x 203.8cm x 38cm",NA,NA,"Yes",0.93
"GAR","SUN","436818","Forest Garden Shedbase 7x7","Forest Garden","38cm x 203.8cm x 202.9cm",NA,NA,"Yes",0.93
"GAR","SUN","436819","Forest Garden Shedbase 8x6","Forest Garden","38cm x 225cm x 38cm",NA,NA,"Yes",0.93
"GAR","SUN","436820","Forest Garden Maxi Wall Store","Forest Garden","154.1cm x 84cmm x 183.6cm",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436821","Forest Garden Overlap Garden Bike Store 2m","Forest Garden","161.3cm x 212.5cm x 161.3cm",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436822","Forest Garden Overlap Garden Mower Store","Forest Garden","146.6cm x 143.1cm x 146.6cm",NA,NA,"Yes",0.883333333333333
"GAR","SUN","436823","Forest Garden Overlap Pent Tool Store","Forest Garden","184.6cm x 111.8cm x 184.6cm",NA,NA,"Yes",0.883333333333333
