"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Age","DQ Score"
"PAI","PLA","413311","Rust-Oleum Painter's Touch Gloss PaintGreen 250ml","Rust-Oleum","250ml","Green","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413312","Rust-Oleum Painter's Touch Gloss PaintDuck Egg Blue 250ml","Rust-Oleum","250ml","Blue","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413313","Rust-Oleum Painter's Touch Gloss PaintBright Orange 250ml","Rust-Oleum","250ml","Orange","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413314","Rust-Oleum Painter's Touch Gloss PaintPurple 250ml","Rust-Oleum","250ml","Purple","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413315","Rust-Oleum Crackle BasecoatClear 250ml","Rust-Oleum","250ml",NA,"1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413316","Rust-Oleum Crackle TopcoatClear 250ml","Rust-Oleum","250ml",NA,"1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413317","Rust-Oleum Painter's Touch Gloss PaintBlack 250ml","Rust-Oleum","250ml","Black","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413318","Rust-Oleum Painter's Touch Gloss PaintCherry Red 250ml","Rust-Oleum","250ml","Red","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413319","Rust-Oleum Painter's Touch Gloss PaintWhite  250ml","Rust-Oleum","250ml","White","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413321","Rust-Oleum Painter's Touch Gloss PaintHeirloom White 250ml","Rust-Oleum","250ml","White","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413322","Rust-Oleum Painter's Touch Satin PaintCandy Pink 250ml","Rust-Oleum","250ml","Pink","1","Acrylic","No","2sqm",NA,0.65
"PAI","PLA","413324","Rust-Oleum Painter's Touch Gloss Spray PaintBlack 400ml","Rust-Oleum","400ml","Black","1",NA,"No","2sqm","over 16",0.65
"PAI","PLA","413325","Rust-Oleum Painter's Touch Gloss Spray PaintCherry Red 400ml","Rust-Oleum","400ml","Red","1",NA,"No","2sqm","over 16",0.65
"PAI","PLA","413326","Rust-Oleum Painter's Touch Gloss Spray PaintBalmoral 400ml","Rust-Oleum","400ml","Red","1",NA,"No","2sqm","over 16",0.65
"PAI","PLA","413328","Rust-Oleum Painter's Touch Gloss Spray PaintAlmond 400ml","Rust-Oleum","400ml","Cream","1",NA,"No","2sqm","over 16",0.65
