"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Age","Washable","Power","Assembly","Model Number","Material","Capacity","DQ Score"
"TOI","BAN","417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430354","Pampers Baby Dry Pants Size 5 Junior 21pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430357","Pampers Baby Dry Pants Size 4 Maxi 23pk","Pampers","Nappies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","446371","Pampers Baby Dry Size 6+ Extra Large Plus 30pk","Pampers","Nappies","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","446372","pampers Baby Dry Nappies Size 3 Midi 50pk","Pampers","Nappies","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","446373","Pampers Baby Dry Nappies Size 4+ Maxi 41pk","Pampers","Nappies","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","351006","Simple Moisturising Baby Wipes 64pk","Simple","Baby Wipes","64s","64 Pack",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","173141","Wilko Tots Hand & Face WipesStrawberry Fragrance 60pk","Wilko","Baby Wipes","60pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","294172","Wilko Mum to Be Maternity Briefs Medium 5 Briefs","Wilko","Briefs","5","Medium","Multi",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAN","294174","Wilko Mum to Be Maternity Towels 10pk","Wilko","Pads","10",NA,"Multi",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAN","294175","Wilko Mum to Be Maternity Breast Pads 40pk","Wilko","Breast Pads","40","40 Pads","Multi",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAN","346703","Wilko Soft & Cosy New Born Nappies 23pk","Wilko","Nappies","23pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346704","Wilko Soft & Cosy New Born Nappies Size 2 Mini32pk","Wilko","Nappies","32pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346705","Wilko Snug & Comfy Dry Nappies Size 3 Midi 30pk","Wilko","Nappies","30pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346706","Wilko Snug & Comfy Dry Nappies Size 4 Maxi27pk","Wilko","Nappies","27pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346707","Wilko Snug & Comfy Dry Nappies Size 4+ Maxi 24pk","Wilko","Nappies","24pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346708","Wilko Snug & Comfy Dry Nappies Size 5 Junior23pk","Wilko","Nappies","23pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346709","Wilko Snug & Comfy Dry Nappies Size 5+ Junior 22pk","Wilko","Nappies","22pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346715","Wilko Comfy & Cosy Easy Up Pants Size 4 Maxi 22pk","Wilko","Nappies","22pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346720","Wilko Bed Mat 10pk","Wilko","Bed Mats","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","417479","Wilko Fragranced Nappy Bags 150pk","Wilko","Nappy bags","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","439620","Wilko Soft & Gentle Fragrance Free Baby Wipes64pk","Wilko","Baby Wipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","439622","Wilko Soft & Gentle Fragrance Free Baby Wipes 80pk","Wilko","Baby Wipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","439624","Wilko Kids Toilet Wipes Fragrance Free 60pk","Wilko","Baby Toilet Wipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAN","417478","Wilko Functional Nappy Bags 300pk","Wilko Functional","Nappy bags",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAT","225164","Carex Complete Sensitive Handwash 250ml","Carex","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","243296","Carex Complete Cleansing Wipes 15pk","Carex","Face Wipes and Pads","15s",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","253711","Carex Complete Moisture Plus Handwash 250ml","Carex","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","254008","Carex Complete Sensitive Hand Gel 50ml","Carex","Hand Wash",NA,"50ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","280273","Carex Liquid Handwash Manuka Honey and Oatmilk250ml","Carex","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325552","Carex Protect+ Plus Moisturising Handwash250ml","Carex","Hand Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325566","Carex Complete Handwash Strawberry Laces 250ml","Carex","Hand Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","450547","Carex Original Shower Gel 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450548","Carex Moisture Plus Shower Cream 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450549","Carex Strawberry Fun Shower and Bath 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450550","Care Care+ Plus Handwash Coconut Oil and Almond250ml","Carex","Hand Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","BAT","450552","Carex Care+ Plus Handwash Macadamia Oil andVanilla 250ml","Carex","Hand Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","BAT","78925","Carex Complete Original Handwash 250ml","Carex","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","93711","Cussons Mild Cream Soap 4 x 90g","Cussons","Soap","4pk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","324200","Dettol No Touch Handwash Refill, Odour Neutral250ml","Dettol","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","324203","Dettol No Touch Handwash Unit with Cucumber Refill","Dettol","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","140151","Dove Beauty Cream Handwash 250ml","Dove","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","166291","Dove Indulging Cream Bath 500ml","Dove","Bubble Bath, Creams and Oils",NA,"500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","228528","Dove Beauty Cream 2 x 100g","Dove","Soap",NA,"100g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","276789","Dove Liquid Hand Wash 250mlShea Butter and Warm Vanilla","Dove","Hand Wash",NA,"250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","276891","Dove Cream Bath 500mlShea Butter and Warm Vanilla","Dove","Bubble Bath, Creams and Oils",NA,"500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414576","Dove Go fresh Revive Body Wash 250ml","Dove","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414592","Dove Pro Age Body Wash 500ml","Dove","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","414596","Dove Bodywash Softening Silk 500ml","Dove","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","416202","Dove Deeply Nourishing Body Wash 250ml","Dove","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","438053","Dove Beauty Creme Bar 2 x 100gCucumber and Green Tea Scent","Dove","Soap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","69408","Dove Cream Bar 100g","Dove","Soap",NA,"100g",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","313499","Imperial Leather Ivory Bar Soap 4 x 100g +2 Free","Imperial Leather","Soap","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","424413","Imperial Leather Shower Cream 250mlComforting Marshmallow","Imperial Leather","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","425248","Imperial Leather Shower Creme 250mlCoconut and Tiare Flower","Imperial Leather","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","425249","Imperial Leather Shower Cream 250mlMango and Papaya","Imperial Leather","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","430234","Imperial Leather Foamburst for Men 200mlCitrus and Sea Minerals","Imperial Leather","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","430235","Imperial Leather Foamburst Body WashCherry Blossom and Vanilla 200ml","Imperial Leather","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","450545","Imperial Leather Shower Cream 250mlFoamy Banana","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450546","Imperial Leather Marshmallow Bath 500ml","Imperial Leather","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450553","Imperial Leather Bath Cream 500mlFoamy Banana","Imperial Leather","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","456926","Lynx Shower Gel You Refreshed 250ml","Lynx","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","BAT","456927","Lynx Shower Gel Energised You 250ml","Lynx","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","BAT","456928","Lynx Shower Gel Clean Fresh You 250ml","Lynx","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"TOI","BAT","403469","Nivea Shower Cream Indulging Moisture Coconut250ml","Nivea","Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","403471","Nivea Mens Silver Protect Shower Gel 250ml","Nivea","Male Shower Gel and Body Wash","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
