"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","FAC","303359","Garnier Intensive 7 Days Shea Butter Body LotionDry Skin 250ml","Garnier","19.1CM","7.7CM","3.4CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","338616","Garnier Intensive 7 Days Shea Butter Hand CreamDry Skin 100ml","Garnier","14.5CM","6.0CM","3.5CM","Hand Cream","100ml",NA,"1",NA,1
"TOI","FAC","413462","Garnier Pure Active Micellar Water 400ml","Garnier","17.6CM","7.0CM","5.6CM","Facial Lotion","400ml",NA,"1",NA,1
"TOI","FAC","433662","Garnier Micellar Water Sensitive Skin 125ml","Garnier","12.5CM","5.8CM","3.5CM","Make Up Remover","125ml",NA,"1",NA,1
"TOI","FAC","439889","Garnier Ultimate Blends Honey Body Lotion VeryDry Skin 400ml","Garnier","22.5CM","4.2CM","9.6CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","439890","Garnier Ultimate Blends Argan Oil Body LotionNormal Skin 400ml","Garnier","22.5CM","4.2CM","9.6CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","439891","Garnier Ultimate Blends Olive Body Lotion DrySkin 400ml","Garnier","22.5CM","4.2CM","9.6CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","207775","L'Oreal Paris Age Perfect Rehydrating Day Cream50ml","L'Oreal","6.0CM","7.0CM","6.9CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","331996","L'Oreal Paris Triple Active Night Cream 50ml","L'Oreal","6.1CM","7.0CM","7.1CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","342089","L'Oreal Paris Revitalift Anti Wrinkle Day CreamSPF 30 50ml","L'Oreal","7.0CM","7.0CM","7.0CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","403725","L'Oreal Paris Revitalift Magic Blur Anti AgeingMoisturiser 50ml","L'Oreal","7.2CM","7.2CM","7.0CM","Facial Moisturisers","50ml",NA,"1",NA,1
"TOI","FAC","433659","L'Oreal Paris Anti-Wrinkle Expert Hydrating Cream35+ 50ml","L'Oreal","6.1CM","7.0CM","7.1CM","Face Cream","50ml",NA,"1",NA,1
"TOI","FAC","433660","L'Oreal Paris Anti-Wrinkle Expert Firming Cream45+ 50ml","L'Oreal","6.1CM","7.0CM","7.1CM","Face Cream","50ml",NA,"1",NA,1
"TOI","FAC","433661","L'Oreal Paris Anti Wrinkle Expert Restoring Cream55+ 50ml ","L'Oreal","6.1CM","7.0CM","7.1CM","Face Cream","50ml",NA,"1",NA,1
"TOI","FAC","101056","Nivea Body Express Hydration Lotion 250ml","Nivea","19.4CM","6.3CM","3.9CM","Body Moisturiser","250ml",NA,"1",NA,1
"TOI","FAC","127966","Nivea Soft Moisturising Cream 75ml","Nivea","13.8CM","5.3CM","3.2CM","Body Moisturiser","75ml",NA,"1",NA,1
"TOI","FAC","137513","Nivea Soft Moisturising Cream 200ml","Nivea","5.2CM","8.3CM","8.3CM","Body Moisturiser","200ml",NA,"1",NA,1
"TOI","FAC","238494","Nivea Body Lotion Firming Q10 Energy+ 400ml NormalSkin","Nivea","20.5CM","8.0CM","5.3CM","Body Moisturiser","400ml",NA,"1",NA,1
"TOI","FAC","269390","Nivea Daily Essentials Light Moisturising DayCream SPF 15 50ml","Nivea","12.5CM","4.9CM","3.8CM","Facial Moisturisers","50ml",NA,"1",NA,1
