"PSA_1","PSA_2","Article","Web Description","DQ Score"
"TOI","COS","453680","Essence Glamaxy Top Coat 34",0.81
"TOI","COS","453682","Essence All in One Ridge Filler with Keratin",0.81
"TOI","COS","453686","Essence SOS Protect & Resist",0.81
"TOI","DEN","434474","Healthpoint Mouthwash Chlorhexdine Alcohol Free300ml",0.6
"TOI","DEN","437537","Oral- B Kids Toothpaste Frozen Stages 75ml",0.55
"TOI","DEN","447284","Oral B Power Handle ToothbrushPro 650 Cross Action",0.716666666666667
"TOI","FAC","454556","Dove Coconut and Almond Milk Lotion 400ml",0.8625
"TOI","FAC","454559","Dove Marula Oil and Mango Lotion 400ml",0.8625
"TOI","FAC","303391","Nivea Pure and Natural Soothing Day Cream 50ml",0.95
"TOI","FAC","304155","Nivea Pure and Natural Moisturising Day Cream 50ml",0.95
"TOI","FAC","433559","Olay Total Effects Feather Weight Moisturiser 50ml",0.8625
"TOI","FAC","419517","Vaseline Moisturiser Aerosol Essential 190ml",0.95
"TOI","FEM","412235","Charlie Divine Body Spray 75ml",0.8625
"TOI","FEM","454056","Impulse Sweet Smile Body Spray 75ml",0.95
"TOI","FEM","456467","Charlie Bodyspray Peach Passion 75ml",0.8125
"TOI","FOO","457169","Farleys Strawberry and Peach Biscotti",0.76
"TOI","FOO","457170","Heinz Strawberry and Banana Biscotti",0.81
"TOI","FOO","457171","Heinz Eat Play Peach and Apricot Biscuits",0.81
"TOI","FOO","457172","Heinz Eat Play Strawberry and Peach Biscuits",0.81
"TOI","HAI","453501","Nice'n Easy Colour Enhancer Beige Blonde 70",0.69
"TOI","HAI","453502","Nice'n Easy Colour Enhancer Light Ash Brown 75",0.69
"TOI","HAI","453503","Nice'n Easy Colour Enhancer Dark Brown 79",0.69
"TOI","HAI","453504","Nice'n Easy Colour Enhancer Medium Brown 765",0.69
"TOI","HAI","453505","Nice'n Easy Colour Enhancer Medium Golden Brown 78",0.69
"TOI","HAI","453506","Nice'n Easy Colour Enhancer Medium Ash Brown 77",0.69
"TOI","HAI","453507","Nice'n Easy Colour Enhancer Medium Ash Blonde 73",0.69
"TOI","HAI","456257","Garnier Olia 9.3 Golden Light Blonde PermanentHair Dye",0.81
"TOI","HAI","456258","Garnier Nutrisse 1 Black Permanent Hair Dye",0.81
"TOI","HAI","456259","Garnier Nutrisse 7N Nude Dark Blonde PermanentHair Dye",0.81
"TOI","HAI","456266","Garnier Olia 60 Intense Red Permanent Hair Dye",0.81
"TOI","HAI","456280","Garnier Nutrisse 7.3 Golden Copper Permanent HairDye",0.81
"TOI","HAI","442212","Jerome Russell Maximum Colour Toner Silver",0.81
"TOI","HAI","456416","Jerome Russell Lilac Max Colour Toner",0.81
"TOI","HAI","331657","L'Oreal Casting Creme Gloss 554 Chilli ChocolateBrown Semi Permanent Hair Dye",0.88
"TOI","HAI","331748","L'Oreal Preference Platinum Extreme PlatinumBlonde Permanent Hair Dye",0.88
"TOI","HAI","456251","L'Oreal Casting Creme Gloss 356 Cherry Cola DarkBrown Semi Permanent Hair Dye",0.81
