"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"453260","Wilko Matt Appearance Ladder Resist Tights15 Denier Natural 5pk M","Wilko","Tights ",NA,NA,"5",NA,0.825
"453261","Wilko Tights Lycra Ladder Resistant Natural15D Large 5pk.","Wilko","Tights ",NA,NA,"5",NA,0.825
"453262","Wilko Tights Lycra Ladder Resistant Natural15D Extra Large 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453263","Wilko Tights Lycra Ladder Resistant Black15D Medium 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453264","Wilko Tights Lycra Ladder Resistant Black15D Large 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453265","Wilko Tights Lycra Ladder Resistant Black15D Extra Large 5pk","Wilko","Tights",NA,NA,"5",NA,0.825
"453266","Wilko Knee High Lycra® Moisturising Finish Natural15D 5pk","Wilko","Knee High",NA,NA,"5",NA,0.825
"453267","Wilko Knee High Lycra® Moisturising Finish Black15D 5pk","Wilko","Knee High",NA,NA,"5",NA,0.825
"453268","Wilko Ankle High Lycra Moisture Finish Natural15D 5pk","Wilko","Ankle High",NA,NA,"5",NA,0.825
"453269","Wilko Ankle High Lycra Moisturising Finish Black15D 5pk","Wilko","Ankle High",NA,NA,"5",NA,0.825
"453270","Wilko Tights Bum Tum Thigh Shaper NaturalMedium","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453271","Wilko Tights Bum Tum Thigh Shaper NaturalLarge","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453272","Wilko Tights Bum Tum Thigh Shaper NaturalExtra Large","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453273","Wilko Tights Bum Tum Thigh Shaper BlackMedium","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453274","Wilko Tights Bum Tum Thigh Shaper BlackLarge","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453275","Wilko Tights Bum Tum Thigh Shaper BlackExtra Large","Wilko","Shaper Tights",NA,NA,"1",NA,0.825
"453371","Wilko TFF Tights Barely Black15D Extra Large 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"453372","Wilko TFF Tights Honey 15D Extra Large 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"453373","Wilko TFF Tights Mink 15D Extra Large 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"453375","Wilko Taller Fuller Figure Smooth Knit TightsBarely Black XXL 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"453376","Wilko TFF Tights Honey 15D Extra Extra Large 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"453377","Wilko TFF Tights Mink 15D Extra Extra Large 3pk","Wilko","Tights ",NA,NA,"3",NA,0.825
"51749","Wilko Tights Mink 15 Denier Regular 3pk","Wilko","Tights","Brown",NA,"3pk","Regular",0.941666666666667
"51755","Wilko Tights Barely Black 15 Denier Regular 3pk","Wilko","Tights","Black",NA,"3pk","Regular",0.941666666666667
"81626","Wilko Tights Natural 15 Denier Large 3pk","Wilko","Tights","Cream",NA,"3pk","Large",0.941666666666667
"234112","Right Price Smooth Knit Knee Highs Barely Black One Size 5pk","Wilko Functional","Knee High","Black",NA,"5pk","One Size",0.891666666666667
"234113","Right Price Smooth Knit Knee Highs Natural One Size 5pk","Wilko Functional","Knee High","Cream",NA,"5pk","One Size",0.891666666666667
"234115","Wilko Functional Smooth Knit Tights NaturalLarge 5pk","Wilko Functional","Tights",NA,NA,"5pk","Large",0.883333333333333
"234117","Right Price Tights Smooth Knit Natural Regular 5pk","Wilko Functional","Tights",NA,NA,"5pk","Regular",0.833333333333333
"234119","Right Price Tights Smooth Knit Natural ExtraLarge 5pk","Wilko Functional","Tights",NA,NA,"5pk","Extra Large",0.833333333333333
