"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","DQ Score"
"417708","Wilko Glitter Ball Light Up Balls","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"417715","Wilko Pin Art","Wilko","Pocket Money",NA,NA,"1","4+",0.883333333333333
"427890","Wilko Grab It Claw","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"433263","Wilko Super Stretchy Animals","Wilko","Pocket Money",NA,NA,"1","4+",0.883333333333333
"433264","Wilko Mega Magnet","Wilko","Pocket Money",NA,NA,"1","4+",0.883333333333333
"438415","Wilko Puzzle 500pcsAssorted","Wilko","Jigsaws and Puzzles","Multi",NA,"1","5 Years +",0.941666666666667
"438417","Wilko Puzzle 1000pcs","Wilko","Jigsaws and Puzzles","Multi",NA,"1","5 Years +",0.941666666666667
"447474","Wilko Glow in The Dark Yoyo","Wilko","YoYo",NA,NA,"1","3+ Years",0.883333333333333
"447838","Wilko Wind Up Speed Boat","Wilko","Pocket Money",NA,NA,"1","3+ Years",0.883333333333333
"456575","Wilko Dino Op Game","Wilko","Classic Games","Multi",NA,"1","5 Years +",0.941666666666667
"456576","Wilko Mouth Off Game","Wilko","Party Games","Multi",NA,"1","5 Years +",0.941666666666667
"456917","Wilko Prankz Cracked Screen","Wilko","Jokes","Multi",NA,"1","4+",0.941666666666667
"456919","Wilko Dino Egg","Wilko","Pocket Money","Multi",NA,"1","4+",0.941666666666667
"456922","Wilko Fishing Game","Wilko","Pocket Money","Multi",NA,"1","3+",0.941666666666667
"456923","Wilko X-Botz Robot","Wilko","Pocket Money","Multi",NA,"1","4+",0.941666666666667
"456924","Wilko Flarp Poo Potty","Wilko","Jokes","Multi",NA,"1","4+",0.941666666666667
"456925","Wilko Lab Putty LED Scribbler","Wilko","Pocket Money","Multi",NA,"1","4+",0.941666666666667
"457311","Wilko Flying Flamingos/Dinosaurs Assorted","Wilko","Pocket Money","Multi",NA,"1","6+",0.941666666666667
"457312","Wilko Duck Shoot","Wilko","Pocket Money","Multi",NA,"1","6+",0.941666666666667
"457317","Wilko Splat Fun","Wilko","Pocket Money","Multi",NA,"1","3+",0.941666666666667
"457341","Wilko Splat Face Game","Wilko","Party Games","Multi",NA,"1","5 Years +",0.941666666666667
