"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOU","JML","453443","JML Regis Copper Stone Pan 24cm","JML","46.0CM","26.0CM","5.5CM","Regis Stone Pan",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"HOU","JML","453444","JML Regis Copper Stone Pan 28cm","JML","49.0CM","29.0CM","5.6CM","Regis Stone Pan",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","454871","JML True Touch Pet Grooming Glove","JML","24.5CM","20.0CM","2.0CM","Grooming Glove",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"HOU","JML","454872","JML Simply Straight Gold Delux Hair Straightener","JML","28.0CM","7.5CM","5.0CM","Simply Straight",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","MAT","439175","Mighty Mat Stripe Mat","Mighty Mat",".7CM","40.0CM","60.0CM","Mats","40cm x 60cm",NA,NA,"Polypropylene",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439177","Mighty Mat Eco Printed Mat Large","Mighty Mat","1.0CM","50.0CM","75.0CM","Mats","50cm x 75cm",NA,NA,"Nylon",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","157773","Wilko Rubber Coir Doormat 70 x 40cm","Wilko","1.6CM","70.0CM","40.0CM","Mats","40x70cm","Multi",NA,"Rubber, Coir",NA,"Do Not Wash",NA,NA,NA,NA,NA,1
"HOU","MAT","191827","Wilko Half Moon Door Mat Assorted 60 x 40cm","Wilko","1.2CM","60.0CM","40.0CM","Mats","60x40cm",NA,NA,"Polypropylene, Rubber",NA,"Do Not Wash",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MAT","204644","Wilko Mat Rubber Backed 60 x 90cm","Wilko",".5CM","90.0CM","60.0CM","Mats","90x60cm",NA,NA,"Polypropylene, Rubber",NA,"Do Not Wash",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MAT","204651","Wilko Rubber Scraper Mat 40 x 60cm","Wilko","1.2CM","60.0CM","40.0CM","Mats","40x60cm","Black",NA,"Rubber",NA,"Do Not Wash",NA,NA,NA,NA,NA,1
"HOU","MAT","22351","Wilko Entrance Runner Mat Assorted","Wilko","13.0CM","62.0CM","13.0CM","Runners","61x180cm",NA,NA,"Polyester, Latex",NA,"Do Not Wash",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MAT","267049","Wilko Coir Mat Stripe Design 40 x 60cm","Wilko","1.4CM","60.0CM","40.0CM","Mats","40x60cm","Multi",NA,"Coir, Rubber",NA,"Do Not Wash",NA,NA,NA,NA,NA,1
"HOU","MAT","297603","Wilko Washable Mat  Assorted 40 x 60cm","Wilko",".5CM","60.0CM","41.0CM","Mats","40x60cm","Multi",NA,"Polypropylene, Latex",NA,"Washable",NA,NA,NA,NA,NA,1
