"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","Capacity","Power","Model Number","Washable","Assembly","DQ Score"
"HOU","JML","405447","JML Finishing Touch Elite Personal Hair Remover","JML","Finishing Touch Elite",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","406670","JML Mineral Magic","JML","Magic Minerals ","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","412526","JML Dryer Balls 2pk","JML","Dryer Balls",NA,"2 pk",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","413205","JML Multi Purpose Radiator Duster","JML","RadiClean Duster",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","413876","JML Purrfect Arch Cat Groomer and Massaging Toy","JML","Purrfect Arch Toy",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","419917","JML Hover Ball Floating Ball","JML","Hoverball",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","419919","JML Phoenix Gold Iron 2200W","JML","Irons",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","422379","JML Sensor Bright Motion Activated LED Light","JML","Sensor Bright",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","429306","JML Dish Drying Mat Assorted Colours","JML","Dish Drying Mat",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","433558","JML Veggetti 2.0","JML","Veggetti 2.0",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","437228","JML Ped Egg Power Pink","JML","Foot Care",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","438820","JML Wonderbroom","JML","Wonderbroom",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","440625","JML Mineral Magic Dark Shade","JML","Magic Minerals",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOU","JML","443306","JML Simply Straight","JML","Simply Straight",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","446877","JML Max Lash 2 Piece Kit","JML","Mascara ","Black","2",NA,NA,NA,NA,NA,NA,NA,0.93
"HOU","JML","453440","JML Clever Cutter","JML","Choppers",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","453441","JML Roto Clipper","JML","Electric Nail File And Trimmer",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","453442","JML Regis Copper Stone Pan 20cm","JML","Regis Stone Pan",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","453443","JML Regis Copper Stone Pan 24cm","JML","Regis Stone Pan",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"HOU","JML","453444","JML Regis Copper Stone Pan 28cm","JML","Regis Stone Pan",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","JML","454871","JML True Touch Pet Grooming Glove","JML","Grooming Glove",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"HOU","JML","454872","JML Simply Straight Gold Delux Hair Straightener","JML","Simply Straight",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"HOU","MAT","439175","Mighty Mat Stripe Mat","Mighty Mat","Mats",NA,NA,"40cm x 60cm","Polypropylene",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439177","Mighty Mat Eco Printed Mat Large","Mighty Mat","Mats",NA,NA,"50cm x 75cm","Nylon",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","191827","Wilko Half Moon Door Mat Assorted 60 x 40cm","Wilko","Mats",NA,NA,"60x40cm","Polypropylene, Rubber",NA,NA,NA,"Do Not Wash",NA,0.941666666666667
"HOU","MAT","204644","Wilko Mat Rubber Backed 60 x 90cm","Wilko","Mats",NA,NA,"90x60cm","Polypropylene, Rubber",NA,NA,NA,"Do Not Wash",NA,0.941666666666667
"HOU","MAT","22351","Wilko Entrance Runner Mat Assorted","Wilko","Runners",NA,NA,"61x180cm","Polyester, Latex",NA,NA,NA,"Do Not Wash",NA,0.941666666666667
"HOU","MAT","428350","Wilko Rubber Scraper Mat","Wilko","Mats",NA,NA,"45x75cm",NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428351","Wilko Stripe Loop Runner","Wilko","Mats",NA,NA,"57x150cm",NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428352","Wilko Ribbed Scraper Mat","Wilko","Mats",NA,NA,"40x70cm",NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428353","Wilko Loop  Mat Heart Design","Wilko","Mats",NA,NA,"44x75cm",NA,NA,NA,NA,NA,NA,0.825
"HOU","MAT","428354","Wilko Stripe Loop Mat","Wilko","Mats",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","MAT","428355","Mighty Mat Striped Mat","Wilko","Mats",NA,NA,"60x90cm",NA,NA,NA,NA,NA,NA,0.775
"HOU","MAT","439180","Wilko All Seasons Rubber Coir Mat","Wilko","Mats",NA,NA,"60cm x 90cm","Coir",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439181","Wilko Designer Coir Mat","Wilko","Mats",NA,NA,"40cm x 60cm","Coir",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439185","Wilko Wire Scraper Doormat","Wilko","Mats",NA,NA,"40cm x 60cm","Coir",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MAT","439186","Wilko Printed Designer Doormat","Wilko","Mats",NA,NA,"40cm x 70cm","Nylon",NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","328396","Addis Step Stool","Addis","Step Stools",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","454203","Packmate Flat Vacuum Storage Bags Medium 4pk","Pack Mate","Vacuum Storage Bag",NA,"1","Medium",NA,NA,NA,NA,NA,NA,0.8
"HOU","MOP","454205","Packmate High Volume Vacuum Storage Bags Large 2pk","Pack Mate","Vacuum Storage Bag",NA,"2","50x 85x 25cm","Polythene, Nylon",NA,NA,NA,NA,NA,0.85
"HOU","MOP","454208","Packmate Hanging Vacuum Storage Bag with Cover","Pack Mate","Vacuum Storage Bag",NA,"1","120 x 70cm","Polythene , Nylon Laminate",NA,NA,NA,NA,NA,0.85
"HOU","MOP","454209","Packmate Flat Vacuum Storage Bags 4pk","Pack Mate","Vacuum Storage Bag",NA,"4",NA,"Polythene, Nylon",NA,NA,NA,NA,NA,0.8
"HOU","MOP","155999","Vileda Super Mocio 3 Action Mop Head and Handle","Vileda","Mops","Multi","1",NA,"Cellulose, Polyester, Polypropylene, Polyamide",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","157423","Vileda SuperMocio 3 Action Refill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","181642","Vileda SuperMocio Bucket and Wringer Red and Black","Vileda","Buckets","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","204922","Vileda Magic Mop Flat","Vileda","Mops","Red","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","204923","Vileda Magic Mop Flat Refill Blue","Vileda","Mop Heads and Refills","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","265644","Vileda Supermocio Microfibre and Cotton Mop","Vileda","Mops","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","265645","Vileda Supermocio Mop Head Microfibre and CottonRefill","Vileda","Mop Heads and Refills","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","266271","Vileda  3 Action Broom Red","Vileda","Indoor Brooms and Brushes","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","292476","Vileda Active Max Mop Refill","Vileda","Mop Heads and Refills","Multi","1",NA,"Polyester Microfibre, Cotton",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","304986","Vileda Mop Active Max System","Vileda","Mops","Multi","1",NA,"Cotton, Polyester",NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","304988","Vileda Mop 1.2 Spray System","Vileda","Mops","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOU","MOP","304989","Vileda Active 1.2 Spray Cleaner 750ml","Vileda","Multi-Purpose Cleaner",NA,NA,"750ml",NA,NA,NA,NA,NA,NA,0.9125
"HOU","MOP","304990","Vileda Ultra Max 1.2 Replacement Mop Head","Vileda","Mop Heads and Refills","Multi","1","1.2L",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOU","MOP","417427","Vileda Dust Pan and Brush Set Red","Vileda","Dustpan and Brushes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","MOP","417436","Vileda Supermocio Soft Mop","Vileda","Mops",NA,NA,NA,"50% viscose, 30% PES, 20% PP (Head) Steel (Handle)",NA,NA,NA,NA,NA,0.825
"HOU","MOP","417437","Vileda Supermocio Soft Mop Refill","Vileda","Mop Heads and Refills",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOU","MOP","72831","Vileda Magic Mop 3 Action Red/Grey","Vileda","Mops","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
