"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"446142","Square Eyelet Blind Coffee 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446143","Square Eyelet Blind Coffee 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446144","Square Eyelet Blind Coffee 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446145","Square Eyelet Blind Coffee 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446146","Square Eyelet Blind Coffee 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446147","Square Eyelet Blind Cream 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446148","Square Eyelet Blind Cream 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446150","Square Eyelet Blind Cream 150 wide  x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446151","Square Eyelet Blind Cream 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446152","Square Eyelet Blind Cream 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446153","Square Eyelet Blind Duck Egg 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446156","Square Eyelet Blind Duck Egg 150 x 165cm","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446157","Square Eyelet Blind Duck Egg 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446158","Square Eyelet Blind Duck Egg 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446163","Square Eyelet Blind Grey 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446165","Square Eyelet Blind Olive 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446166","Square Eyelet Blind Olive 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446167","Square Eyelet Blind Olive 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446168","Square Eyelet Blind Olive 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446169","Square Eyelet Blind Olive 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446170","Square Eyelet Blind Olive 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446171","Square Eyelet Blind Red 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446173","Square Eyelet Blind Red 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446174","Square Eyelet Blind Red 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446175","Square Eyelet Blind Red 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446176","Square Eyelet Blind Red 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446177","Square Eyelet Blind Royal Blue60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446178","Square Eyelet Blind Royal Blue90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446179","Square Eyelet Blind Royal Blue120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446180","Square Eyelet Blind Royal Blue150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446181","Square Eyelet Blind Royal Blue180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446182","Square Eyelet Blind Royal Blue210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446183","Square Eyelet Blind Taupe 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446184","Square Eyelet Blind Taupe 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446185","Square Eyelet Blind Taupe 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446186","Square Eyelet Blind Taupe 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446187","Square Eyelet Blind Taupe 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446188","Square Eyelet Blind Taupe 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446189","Square Eyelet Blind White 60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446190","Square Eyelet Blind White 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446191","Square Eyelet Blind White 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446192","Square Eyelet Blind White 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446193","Square Eyelet Blind White 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446194","Square Eyelet Blind White 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"282012","Wilko Blackout Roller Blind Black60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Black","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"282013","Wilko Blackout Roller Blind Black90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Black","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"282014","Wilko Blackout Roller Blind Black120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Black","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"282015","Wilko Blackout Roller Blind Black180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Black","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"326828","Wilko Roller Blind Soft Cream180cm wide x 160cm drop","Wilko","Roller Blinds",NA,"Cream","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"326830","Wilko Roller Blind Soft Cream90cm wide x 160cm drop","Wilko","Roller Blinds",NA,"Cream","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"326831","Wilko Roller Blind Soft Cream60cm wide x 160cm drop","Wilko","Roller Blinds",NA,"Cream","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"327085","Wilko Roller Blind Linen Textured Effect60cm wide x 160cm drop","Wilko","Roller Blinds",NA,"White","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"327094","Wilko Blackout Roller Blind Cream180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Cream","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"327095","Wilko Blackout Roller Blind Cream120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Cream","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"327096","Wilko Blackout Roller Blind Cream90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Cream","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"327097","Wilko Blackout Roller Blind Cream60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Cream","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"327098","Wilko Blackout Roller Blind White180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"White","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"327099","Wilko Blackout Roller Blind White120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"White","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"327100","Wilko Blackout Roller Blind White90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"White","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"327101","Wilko Blackout Roller Blind White60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"White","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"327106","Wilko Blackout Roller Blind Blue180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"327107","Wilko Blackout Roller Blind Blue120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"327108","Wilko Blackout Roller Blind Blue90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"327109","Wilko Blackout Roller Blind Blue60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"327110","Wilko Blackout Roller Blind Pink180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Pink","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"327111","Wilko Blackout Roller Blind Pink120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Pink","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"327112","Wilko Blackout Roller Blind Pink90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Pink","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"327113","Wilko Blackout Roller Blind Pink60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Pink","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"339153","Wilko Blackout Roller Blind Duck Egg120cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue",NA,"Width 120cm x Drop 160cm",NA,0.85
"339154","Wilko Blackout Roller Blind Duck Egg180cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue",NA,"Width 180cm x Drop 160cm",NA,0.85
"339155","Wilko Blackout Roller Blind Duck Egg90cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue",NA,"Width 90cm x Drop 160cm",NA,0.85
"339156","Wilko Blackout Roller Blind Duck Egg60cm wide x 160cm drop","Wilko","Blackout Roller Blinds",NA,"Blue",NA,"Width 60cm x Drop 160cm",NA,0.85
"431116","Wilko Roller Blind Oatmeal 60cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431120","Wilko Blackout Roller Blind Red60cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431121","Wilko Blackout Roller Blind Red90cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431122","Wilko Blackout Roller Blind Red120cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431123","Wilko Blackout Roller Blind Red180cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431124","Wilko Blackout Roller Blind Green60cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431125","Wilko Blackout Roller Blind Green90cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431126","Wilko Blackout Roller Blind Green120cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431127","Wilko Blackout Roller Blind Green180cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431128","Wilko Blackout Roller Blind Plum60cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431129","Wilko Blackout Roller Blind Plum90cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431130","Wilko Blackout Roller Blind Plum120cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431131","Wilko Blackout Roller Blind Plum180cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431132","Wilko Black Roller Blind Grey60cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431133","Wilko Blackout Roller Blind Grey90cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431134","Wilko Blackout Roller Blind Grey120cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431135","Wilko Blackout Roller Blind Grey180cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431136","Wilko Blackout Roller Blind Stone60cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431137","Wilko Blackout Roller Blind Stone90cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431138","Wilko Blackout Roller Blind Stone120cm wide x 160cm drop","Wilko","Black Out Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431142","Wilko Tribal Fall Leaf Roller Blind120cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 160cm",NA,0.8
"431143","Wilko Tribal Fall Leaf Roller Blind180cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431144","Wilko Blue Stripe Roller Blind60cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
"431145","Wilko Blue Stripe Roller Blind90cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 160cm",NA,0.8
"431147","Wilko Blue Stripe Roller Blind180cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 160cm",NA,0.8
"431156","Wilko Textured Roller Blind Grey60cm wide x 160cm drop","Wilko","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 160cm",NA,0.8
