"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"429007","Pro Voke Touch Of Silver Intense Conditoner150ml","Touch of Silver","Conditioner","1","150ml",1
"429008","Pro Voke Touch Of Silver Colour Care Shampoo200ml","Touch of Silver","Shampoo","1","200ml",1
"429009","Pro Voke Touch Of Silver Colour Care Conditioner200ml","Touch of Silver","Conditioner","1","200ml",1
"219438","Tresemme Deep Cleansing Shampoo 900ml","Tresemme","Shampoo","1","900ml",1
"219439","Tresemme Remoisturising Conditioner 900ml","Tresemme","Conditioner","1","900ml",1
"219440","Tresemme Colour Revitalising Shampoo 900ml","Tresemme","Shampoo","1","900ml",1
"219441","Tresemme Colour Revitalise Colour Fade ProtectionConditioner 900ml","Tresemme","Conditioner","1","900ml",1
"219445","Tresemme Conditioner Moisture Rich 900ml","Tresemme","Conditioner","1","900ml",1
"243338","Tresemme Salon Silk Conditioner 900ml","Tresemme","Conditioner","1","900ml",1
"243339","Tresemme Salon Silk Shampoo 900ml","Tresemme","Shampoo","1","900ml",1
"334635","Tresemme Platinium Strengthening Conditioner 500ml","Tresemme","Conditioner","1","500ml",1
"449771","Tresemme Keratin Smooth Shampoo 500ml","Tresemme","Shampoo","1","500ml",1
"449772","Tresemme Keratin Smooth Conditioner 500ml","Tresemme","Conditioner","1","500ml",1
"306827","VO5 Nourish My Shine Conditioner 250ml","VO5","Conditioner","1","250ml",1
"306828","VO5 Nourish My Shine Shampoo 250ml","VO5","Shampoo","1","250ml",1
"306832","VO5 Give Me Moisture Conditioner 250ml","VO5","Conditioner","1","250ml",1
"429128","VO5 Smoothly Does It Conditioner 250ml","VO5","Conditioner","1","250ml",1
"100424","Vosene Original Shampoo 2in1 250ml","Vosene","Shampoo","1","250ml",1
"306004","Wilko Shampoo Apple  and Tea Tree 750ml","Wilko","Shampoo","1","750ml",1
"306005","Wilko Conditioner Apple Tea Tree 750ml","Wilko","Conditioner","1","750ml",1
"306007","Wilko Conditioner Vanilla 750ml","Wilko","Conditioner","1","750ml",1
"306008","Wilko Shampoo Jojoba 750","Wilko","Shampoo","1","750ml",1
"306009","Wilko Conditioner Jojoba 750ml","Wilko","Conditioner","1","750ml",1
"306011","Wilko Medicated Shampoo 300ml","Wilko","Shampoo","1","300ml",1
"306013","Wilko Anti Dandruff 2 in 1 300ml","Wilko","2 in 1 Shampoo and Conditioner","1","300ml",1
"341061","Wilko Dry Shampoo All Shades 200ml","Wilko","Dry Shampoo","1","200ml",1
"341063","Wilko Dry Shampoo Brunette 200ml","Wilko","Dry Shampoo","1","200ml",1
"347728","Wilko Dry Shampoo Volume 200ml","Wilko","Dry Shampoo","1","200ml",1
"347729","Wilko Dry Shampoo Fragranced 200ml","Wilko","Dry Shampoo","1","200ml",1
