"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Washable","Size","Material","Assembly","DQ Score"
"TOY","BOY","336365","Wilko Heroes Battle Tower Zone","Wilko","Cars and Playsets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","335980","Wilko Play Farm Animals Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","336383","Wilko Play Dinosaurs Small Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","336385","Wilko Play Jungle Animals Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","336386","Wilko Play Horses Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
"TOY","COL","336387","Wilko Play Knights Assortment","Wilko","Action Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","336388","Wilko Play Dragons Large Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","336390","Wilko Play Unicorns Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.9
"TOY","COL","336391","Wilko Play Dinosaurs Large Assortment","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","416680","Wilko Play Heroic Knight Figure Assortment","Wilko","Action Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","416683","Wilko Play Pirate Figure Assortment","Wilko","Action Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","416691","Wilko Soft T-Rex Dinosaur","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","416692","Wilko Soft Apatosaurus Dinosaur","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","416693","Wilko Soft Pteradactyl Dinosaur","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","438484","Wilko Dino Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","438485","Wilko Dog Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","COL","438486","Wilko Cat Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","439417","Crayola Creations Thread Wrapper","Crayola","Craft Kits","Multi",NA,"1","8 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","456570","Grafix 2 in 1 Geo Science Experiment Kit","Grafix","Science Fun","Multi",NA,"1","12 Months +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","456571","Grafix Ulitmate Magic Set","Grafix","Magic Set","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","454754","Harry Potter Cluedo","Harry Potter","Classic Games",NA,NA,"1","8 years+",NA,NA,NA,NA,0.883333333333333
"TOY","CRE","268008","Classic Monopoly","Hasbro","Board Games","Multi",NA,"1","8 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","454755","Game of Thrones Cluedo","Hasbro","Classic Games",NA,NA,"1","8 years+",NA,NA,NA,NA,0.783333333333333
"TOY","CRE","280110","Don't Say It Game","Paul Lamond Games","Card Games","Multi",NA,"1","6 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","291348","Yes No Card Game","Paul Lamond Games","Card Games","Multi",NA,"1","8 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","419540","FX 4 x 35pc Jigsaw Asst B","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","440504","Jigsaws 4 x 35piece Assorted Theme","Ravensburger","Jigsaws and Puzzles","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.891666666666667
"TOY","CRE","439968","Robo Fish","Robo Fish","Figures","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","439969","Robo Fish With Bowl","Robo Fish","Figure Playsets","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","243479","Wilko Connect Colours Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","243502","Wilko Hangman Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","320573","Wilko Blox Emergency Vehicle Starter Set Assortment","Wilko","Police and Fire Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","335883","Wilko Blox Ice Cream/Camper Van Assortment","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","335884","Wilko Blox Baseplate Assortment","Wilko","Accessories","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","335886","Wilko Blox Fashion Beauty Starter Set","Wilko","City Life Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","335982","Wilko Decorate Your Own Jewellery Box","Wilko","Beads and Jewels","Pink",NA,"1","6 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","335984","Wilko Torment Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","336343","Wilko Blox Figures 5pk Assortment","Wilko","Accessories","Multi",NA,"5","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","337773","Wilko Blox High Speed Tanker Set Assortment","Wilko","City Vehicles Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","350199","Wilko Blox Spaceship Starter Set Assorted","Wilko","Space Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","350201","Wilko Blox Park Cafe Small Set","Wilko","City Life Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","350854","Wilko Play Marble Race 90pcs","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","350902","Wilko Who Am I Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","350914","Wilko 3D Snakes and Ladders Game","Wilko","Classic Games","Multi",NA,"1","3 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414818","Wilko Blox Animal Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
"TOY","CRE","414819","Wilko Blox Dinosaur Assortment","Wilko","Fantasy Building Sets","Multi",NA,"1","5 Years +",NA,NA,NA,NA,0.941666666666667
