"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","DQ Score"
"PET","100","335652","Boredom Breaker Naturals Fenugreek Crunchies 200g","Boredom Breaker","16.0CM","10.0CM","4.5CM","Treats","200g",NA,"1",NA,1
"PET","100","335653","Boredom Breaker Naturals Healthy Fruit Salad 125g","Boredom Breaker","15.0CM","9.0CM","5.0CM","Treats","125g",NA,"1",NA,1
"PET","100","335657","Boredom Breaker Naturals Crunch N Munch Millet 3pk","Boredom Breaker","39.0CM","12.9CM","2.5CM","Treats","Small",NA,"1",NA,1
"PET","100","335660","Boredom Breaker Naturals Dandelion Delight 100g","Boredom Breaker","23.0CM","12.0CM","7.0CM","Treats","100g",NA,"1",NA,1
"PET","100","335661","Boredom Breaker Naturals Natures Salad 200g","Boredom Breaker","23.0CM","14.0CM","6.0CM","Treats","200g",NA,"1",NA,1
"PET","100","328365","Burgess Mature Complete Adult Chicken 12.5kg","Burgess","11.0CM","39.0CM","60.0CM","Large Bagged Food","12.5kg",NA,"1",NA,1
"PET","100","314473","Chappie Complete Beef and Whole Grain Cereal 15kg","Chappie","15.0CM","45.0CM","70.0CM","Large Bagged Food","15kg",NA,"1",NA,1
"PET","100","452647","Country Club Pet Bed/Cage Mat 55x75cm","Country Club","4.0CM","75.0CM","55.0CM","Mattresses","55 x 75cm","Multi","1",NA,1
"PET","100","452648","Country Club Pet Bed/Cage Mat 60x90cm","Country Club","4.0CM","90.0CM","60.0CM","Mattresses","60 x 90cm","Multi","1",NA,1
"PET","100","335058","Curver Petlife Covered Pet Litter Tray Cream","Curver","39.0CM","39.0CM","51.0CM","Litter Tray","39cmx39cmx51cm","Cream","1",NA,1
"PET","100","313599","Dog Life Dog Crate Double Door Black Medium","Dog Life","56.5CM","78.0CM","49.0CM","Crates","Medium","Black","1",NA,1
"PET","100","313600","Dog Life Dog Crate Double Door Black Large","Dog Life","56.0CM","93.0CM","57.5CM","Crates","Large","Black","1",NA,1
"PET","100","313603","Dog Life Dog Crate Double Door Black Extra Large","Dog Life","77.5CM","108.0CM","70.0CM","Crates","Extra Large","Black","1",NA,1
"PET","100","313790","Dog Life Durable Fun Rubber Puppy Tug","Dog Life","28.0CM","9.0CM","1.0CM","Puppy Toys","19.6x2.6cm",NA,"1",NA,1
"PET","100","335664","Evolution Aqua Pure Pond 500ml","Evolution Aqua","6.5CM","11.6CM","11.6CM","Cleaning and Water Control",NA,NA,NA,NA,1
"PET","100","440438","Forthglade Grain Free Adult Lamb 395g","Forthglade","15.5CM","13.0CM","3.3CM","Grain & Wheat Free Food","395g",NA,"1",NA,1
"PET","100","440439","Forthglade Grain Free Adult Turkey 395g","Forthglade","15.5CM","13.0CM","3.3CM","Grain & Wheat Free Food","395g",NA,"1",NA,1
"PET","100","440441","Forthglade Grain Free Multicase 12 x 395g","Forthglade","16.5CM","19.5CM","27.2CM","Grain & Wheat Free Food","395g",NA,"12",NA,1
"PET","100","453407","HandiPOD Purple Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","4.5CM","4.5CM","15.0CM","Waste Bags","14.5 x 4.5 x 4.5cm","Purple","1",NA,1
"PET","100","314878","Harringtons Rich in Lamb and Rice 15kg","Harringtons","15.0CM","30.0CM","48.0CM","Large Bagged Food","15kg",NA,"1",NA,1
"PET","100","314879","Harringtons Rich in Turkey with Veg 15kg","Harringtons","15.0CM","30.0CM","48.0CM","Large Bagged Food","15kg",NA,"1",NA,1
"PET","100","440069","HiLife Feed Me with Beef and Fresh Vegetables Flavoured with Cheese 6kg","Hilife","24.5CM","30.0CM","20.0CM","Boxed Food","6kg",NA,"1",NA,1
"PET","100","440070","HiLife Feed Me with Turkey,Chicken & Fresh Vegetables Flavoured with Bacon 6kg","Hilife","24.5CM","30.0CM","20.0CM","Boxed Food","6kg",NA,"1",NA,1
"PET","100","440071","HiLife Feed Me with Lamb and Chicken Flavoured with Tomato and Vegetables 6kg","Hilife","24.5CM","30.0CM","20.0CM","Boxed Food","6kg",NA,"1",NA,1
"PET","100","314864","Hills Science Plan Adult 1-6 Optimal Care Chicken400g","Hills","23.5CM","17.5CM","6.5CM","Bagged Food","400g",NA,"1",NA,1
"PET","100","314865","Hills Science Plan Adult 1-6 Optimal Care with Tuna 400g","Hills","23.5CM","17.5CM","6.5CM","Bagged Food","400g",NA,"1",NA,1
"PET","100","314866","Hills Science Plan Adult 1-6 Optimal Care Chicken2kg","Hills","33.5CM","19.3CM","14.0CM","Bagged Food","2kg",NA,"1",NA,1
"PET","100","314257","Iams Proactive Nutrition Adult Small Medium Rich in Succulent Roast Chicken 7.5kg","Iams","15.0CM","42.0CM","58.0CM","Large Bagged Food","7.5kg",NA,"1",NA,1
"PET","100","314433","King British Green Water Control Pond Water Treatment 250ml","King British","18.5CM","10.0CM","4.7CM","Cleaning and Water Control",NA,NA,NA,NA,1
"PET","100","314435","King British White Spot Control Pond Fish Medicine250ml","King British","18.5CM","10.0CM","4.7CM","Cleaning and Water Control",NA,NA,NA,NA,1
"PET","100","314437","King British Sludge Remover Pond Water Treatment 250ml","King British","18.7CM","10.0CM","5.0CM","Cleaning and Water Control",NA,NA,NA,NA,1
"PET","100","335691","King British Barley Straw Extract 250ml","King British","18.0CM","9.5CM","4.5CM","Cleaning and Water Control",NA,NA,NA,NA,1
"PET","100","334160","Komodo Daylight Neodymium Spot Bulb ES 150W","Komodo","12.0CM","9.1CM","9.1CM","Heating",NA,NA,NA,NA,1
"PET","100","334162","Komodo Daylight Neodymium Spot Bulb BC 75W","Komodo","10.0CM","6.0CM","6.0CM","Heating",NA,NA,NA,NA,1
"PET","100","334163","Komodo Daylight Neodymium Spot Bulb BC 100W","Komodo","10.9CM","7.6CM","7.6CM","Heating",NA,NA,NA,NA,1
"PET","100","334204","Komodo Mealworm Holding Dish Brown Small","Komodo","2.5CM","8.0CM","8.0CM","Bowl",NA,NA,NA,NA,1
"PET","100","334205","Komodo Smart Dish Mealworm Holder Brown","Komodo","4.5CM","8.0CM","13.0CM","Bowl",NA,NA,NA,NA,1
"PET","100","334223","Komodo Leopard Gecko Dusting Powder Premium 75g","Komodo","8.9CM","4.6CM","4.6CM","Food",NA,NA,NA,NA,1
"PET","100","334228","Komodo Tortoise Diet Complete Holistic Dandelion 340g","Komodo","17.5CM","8.3CM","8.3CM","Food",NA,NA,NA,NA,1
"PET","100","334230","Komodo Tortoise Diet Complete Holistic Fruit and Flower 340g","Komodo","17.5CM","8.3CM","8.3CM","Food",NA,NA,NA,NA,1
"PET","100","334238","Komodo Tropical Terrain Compact Brick","Komodo","20.3CM","10.0CM","5.8CM","Terrain",NA,NA,NA,NA,1
"PET","100","334240","Komodo Tropical Terrain Rainforest Substrate 6L","Komodo","44.5CM","30.5CM","14.0CM","Terrain",NA,NA,NA,NA,1
"PET","100","334241","Komodo Aspen Bed Terrain Snake Substrate 6L","Komodo","44.5CM","28.8CM","12.0CM","Terrain",NA,NA,NA,NA,1
"PET","100","428954","Komodo CaCo Sand White 4kg","Komodo","6.0CM","33.0CM","22.0CM","Sand",NA,NA,NA,NA,1
"PET","100","454289","Komodo Habitat Moss Compact Brick 100g","Komodo","1.5CM","10.5CM","20.0CM","Terrain",NA,NA,NA,NA,1
"PET","100","454291","Komodo Twin Jelly Pot Holder","Komodo","5.0CM","5.5CM","9.5CM","Food",NA,NA,NA,NA,1
"PET","100","334135","Kong Puppy Chewing Dog Toy Small","Kong","7.5CM","4.5CM","4.5CM","Puppy Toys","Small",NA,"1",NA,1
"PET","100","334136","Kong Puppy Chewing Dog Toy Medium","Kong","9.0CM","5.5CM","5.5CM","Puppy Toys","Medium",NA,"1",NA,1
"PET","100","334272","Marina Naturals Silk Plant Dracena Red/Green Large","Marina","39.5CM","14.5CM","4.0CM","Artificial Plants and Grass","Large","Red","1",NA,1
"PET","100","442016","Natures Feast Rabbit Nugget Mix 1.5kg","Natures Feast","30.0CM","21.0CM","10.0CM","Food","1.5kg",NA,"1",NA,1
"PET","100","452639","Naturo Adult Cat Chicken Mousse 85g","Naturo","8.2CM","8.2CM","3.8CM","Grain & Wheat Free Food","85g",NA,"1",NA,1
"PET","100","452640","Naturo Adult Cat Turkey Mousse 85g","Naturo","8.2CM","8.2CM","3.8CM","Grain & Wheat Free Food","85g",NA,"1",NA,1
"PET","100","452641","Naturo Adult Cat Salmon Mousse 85g","Naturo","8.2CM","8.2CM","3.8CM","Grain & Wheat Free Food","85g",NA,"1",NA,1
"PET","100","452642","Naturo Adult Cat Tuna Mousse 85g","Naturo","8.2CM","8.2CM","3.8CM","Grain & Wheat Free Food","85g",NA,"1",NA,1
"PET","100","335665","Pondnature Blanket Weed Solution 500g","Pondnature","6.5CM","11.6CM","11.6CM","Cleaning and Water Control","500g",NA,NA,NA,1
"PET","100","335666","Pondnature Fish Treats Mix","Pondnature","17.7CM","20.0CM","20.0CM","Food",NA,NA,NA,NA,1
"PET","100","335667","Pondnature Freshwater Shrimp","Pondnature","12.0CM","13.0CM","13.0CM","Food",NA,NA,NA,NA,1
"PET","100","335668","Pondnature Pond Pellets 1L","Pondnature","12.0CM","13.0CM","13.0CM","Food",NA,NA,NA,NA,1
"PET","100","335669","Pondnature Pond Flake","Pondnature","12.0CM","13.0CM","13.0CM","Food",NA,NA,NA,NA,1
"PET","100","335671","Pondnature Pond Pellets 5L","Pondnature","20.5CM","22.5CM","22.5CM","Food",NA,NA,NA,NA,1
"PET","100","335672","Pondnature Pond Sticks 5L","Pondnature","20.5CM","22.5CM","22.5CM","Food",NA,NA,NA,NA,1
"PET","100","314190","Rosewood 40 Winks Water Resistant Crate Mattress Green 56x45x7cm","Rosewood","7.0CM","56.0CM","45.0CM","Mattresses","Small","Multi","1",NA,1
"PET","100","314192","Rosewood 40 Winks Water Resistant Crate Mattress Green 88x64x8cm","Rosewood","8.0CM","88.0CM","64.0CM","Mattresses","Large","Multi","1",NA,1
"PET","100","314880","Rosewood Pet Products Pet Keeper Small 3L","Rosewood","16.5CM","23.0CM","15.5CM","Tanks and Aquariums",NA,NA,NA,NA,1
"PET","100","454031","Rosewood Meaty Takeaway Pet Toy Beef Flavour","Rosewood","2.8CM","19.0CM","8.6CM","Dental and Chew Toys","Small","Multi","1",NA,1
"PET","100","454034","Rosewood Jolly Doggy Dental Saucer Pet ToyThrow and Go","Rosewood","2.9CM","23.0CM","23.0CM","Dental and Chew Toys","23cm","Green","1",NA,1
"PET","100","454038","Rosewood Naturals Meadow Menu for Rabbits 2kg","Rosewood","22.5CM","18.2CM","11.7CM","Food","2kg",NA,"1",NA,1
"PET","100","454039","Rosewood Naturals Meadow Menu for Guinea Pigs2kg","Rosewood","22.5CM","18.2CM","11.7CM","Food","2kg",NA,"1",NA,1
"PET","100","454040","Rosewood Naturals Meadow Menu for Chinchillasand Degus 2kg","Rosewood","22.5CM","18.2CM","11.7CM","Food","2kg",NA,"1",NA,1
"PET","100","314347","Rotastak Home Zone Genus 200 Gerbil and HamsterWire Cage","Rotastak","51.0CM","64.0CM","30.0CM","Housing",NA,NA,NA,NA,1
"PET","100","314883","Rotastak Dreamland Complete Home for Hamsters, Gerbils and Mice","Rotastak","33.3CM","28.5CM","26.4CM","Housing",NA,NA,NA,NA,1
"PET","100","314885","Rotastak Super Pod","Rotastak","26.0CM","61.0CM","30.0CM","Housing",NA,NA,NA,NA,1
"PET","100","313648","Simple Solution Patio and Decking Stain and OdourRemover 4L","Simple Solution","29.0CM","19.0CM","12.5CM","Stain and Odour Remover","4L",NA,"1",NA,1
"PET","100","314634","Supa Suet Pellet Feeder","Supa","33.8CM","17.8CM","17.8CM","Suet Feeder","12in",NA,"1",NA,1
"PET","100","314647","Supa Wild Bird Fort Knuts Peanut Feeder","Supa","31.0CM","15.0CM","15.0CM","Peanut Feeder","8in",NA,"1",NA,1
"PET","100","314649","Supa Turtle Food 1L","Supa","13.0CM","13.0CM","13.0CM","Food",NA,NA,NA,NA,1
"PET","100","314650","Supa Vacation Pond Fish Food 50g","Supa","22.6CM","11.6CM","1.5CM","Food",NA,NA,NA,NA,1
"PET","100","336192","Supa Wild Bird Seed Feeder 30in","Supa","80.0CM","6.5CM","6.5CM","Seed Feeder","80cm",NA,"1",NA,1
"PET","100","423001","Supersoft Pet Bed Red Striped","Supersoft","18.0CM","52.0CM","70.0CM","Soft Beds","Small","Multi","1",NA,1
"PET","100","314559","Wagg Complete Worker with Chicken and Veg 17kg","Wagg","15.0CM","42.0CM","62.0CM","Large Bagged Food","17kg",NA,"1",NA,1
"PET","100","334297","Webbox Working Dogs Adult Complete Original 7.5kg","Webbox","56.0CM","28.0CM","15.0CM","Large Bagged Food","7.5kg",NA,"1",NA,1
"PET","100","303760","Wilko Poultry Pecker Block 280g","Wilko","5.4CM","15.4CM","6.8CM","Treats","280g",NA,"1",NA,1
"PET","100","454007","Wilko Muesli Pea Feast for Rabbits 7.5kg","Wilko","10.0CM","35.0CM","65.0CM","Food","65cm x 35cm x 10cm",NA,"1",NA,1
"PET","100","455266","Wilko Rabbit Nuggets 7.5kg","Wilko","10.0CM","35.0CM","65.0CM","Food","65cm x 35cm x 10cm",NA,"1",NA,1
"PET","BED","335077","Rosewood Dog Bed Cushion Reversable and AssortedColours 46 x 33cm","Rosewood","6.0CM","46.0CM","35.0CM","Bed Cushions","46cmx33m","Multi","1",NA,1
"PET","BED","335078","Rosewood Dog Bed Cushion Reversable and AssortedColours 61 x 39cm","Rosewood","6.0CM","61.0CM","45.0CM","Bed Cushions","61cmx39cmx6cm","Multi","1",NA,1
"PET","BED","420141","Rosewood Dog Bed Cord Plush Pet Bed 20in","Rosewood","7.0CM","38.0CM","52.0CM","Soft Beds","21 x 64 x 30cm","Multi","1",NA,1
"PET","BED","420142","Rosewood Dog Bed Cord Plush Pet Bed 25in","Rosewood","7.0CM","45.0CM","60.0CM","Soft Beds","25 x 72 x 36cm","Multi","1",NA,1
"PET","BED","420143","Rosewood Dog Bed Cord Plush Pet Bed 32in","Rosewood","9.0CM","45.0CM","82.0CM","Soft Beds","28 x 84 x cm","Multi","1",NA,1
"PET","BED","190153","Wilko Dog Blanket  Fleece Assorted Colours 120 x120cm","Wilko","13.0CM","13.0CM","35.0CM","Pet Blanket","120x120cm","Multi","1",NA,1
"PET","BED","66225","Wilko Pet Carrier Assorted Colours Small","Wilko","30.0CM","30.0CM","46.0CM","Pet Carriers","Small","Multi","1",NA,1
"PET","BED","80183","Wilko Pet Carrier Assorted Colours Medium","Wilko","38.0CM","38.0CM","58.0CM","Pet Carriers","Medium","Multi","1",NA,1
"PET","CAT","416645","Beaphar Cat Flea Care Collar Assorted SparkleDesigns","Beaphar","18.5CM","10.0CM","1.5CM","Flea Collar","From 12 weeks","Multi","1",NA,1
"PET","CAT","248796","Bob Martin Spot On Dewormer 2 x 20mg","Bob Martin","10.1CM","8.0CM","1.6CM","Flea and Worming Control","20mg",NA,"2",NA,1
"PET","CAT","428891","Bob Martin Clear Home Flea and Tick Spray 300ml","Bob Martin","18.5CM","8.3CM","5.0CM","Flea and Worming Control","300ml",NA,"1",NA,1
"PET","CAT","243635","Butchers Classic Tinned Cat Food Chicken BeefGame in Jelly 6 x 400g","Butchers","11.0CM","22.0CM","15.0CM","Adult Tins 1+ Years","6x400g",NA,"6pk",NA,1
"PET","CAT","252472","Butchers Classic Tinned Cat Food Haddock TroutOcean Fish in Jelly 6 x 400g","Butchers","11.0CM","22.0CM","15.0CM","Adult Tins 1+ Years","6x400g",NA,"6pk",NA,1
"PET","CAT","286523","Dreamies Cat Treats Beef 60g","Dreamies","17.3CM","10.8CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","286524","Dreamies Cat Treats Cheese 60g","Dreamies","17.3CM","10.8CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","412797","Dreamies Cat Treats Beef and Cheese Mix 60g","Dreamies","17.5CM","11.0CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","437718","Dreamies Cat Treats Cheese Mega Pack 180g","Dreamies","19.3CM","15.7CM","5.0CM","Biscuit Treats","180g",NA,"180g",NA,1
"PET","CAT","440893","Dreamies Cat Treats Snacky Mouse 60g","Dreamies","18.9CM","16.0CM","7.6CM","Treat Toys","60g",NA,"1",NA,1
"PET","CAT","449951","Dreamies Cat Treats Extra Crunch with Chicken 60g","Dreamies","17.3CM","10.8CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","449952","Dreamies Cat Treats Extra Crunch with Salmon 60g","Dreamies","17.3CM","10.8CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","449953","Dreamies Cat Treats Extra Crunch with Cheese 60g","Dreamies","17.3CM","10.8CM","4.0CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","457336","Dreamies Deli-Catz Treats With Turkey 5x5g","Dreamies","7.7CM","8.7CM","4.9CM","Biscuit Treats","5x5g",NA,"5",NA,1
"PET","CAT","457337","Dreamies Deli-Catz Treats With Chicken 5x5g","Dreamies","7.7CM","8.7CM","4.9CM","Biscuit Treats","5x5g",NA,"5",NA,1
"PET","CAT","457338","Dreamies Deli-Catz Treats With Beef 5x5g","Dreamies","7.7CM","8.7CM","4.9CM","Biscuit Treats","5x5g",NA,"5",NA,1
"PET","CAT","192898","Felix Pouch Cat Food Mixed Selection in Jelly12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","223035","Felix Pouch Cat Food Succulent Steaks in Jelly 12x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","243545","Felix Pouch Cat Food Fish Selection in Jelly 12 x100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","243546","Felix Pouch Cat Food Gravy Selection in Gravy12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","243693","Felix As Good As It Looks Pouch Cat Food OceanFeast in Jelly 12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","248322","Felix Pouch Cat Food Assorted Meat Selection 12 x100g","Felix","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","252527","Felix Pouch Cat Food Chicken Turkey Poultry andDuck in Jelly 12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"1",NA,1
"PET","CAT","260556","Felix As Good As It Looks Pouch Cat FoodFavourites in Jelly 12 x 100g","Felix","14.5CM","19.4CM","10.0CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","278055","Felix Pouch Cat Food Tuna in Jelly 100g","Felix","14.3CM","8.8CM","1.8CM","Adult Pouches 1+ Years","100g",NA,"1",NA,1
"PET","CAT","286519","Felix Pouch Cat Food Fish and Meat 12 x 100g","Felix","14.5CM","19.3CM","9.7CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","292507","Felix As Good As It Looks Senior Cat Food Pouchesin Jelly 12 x 100g","Felix","14.4CM","19.3CM","9.5CM","Senior Food 7+ Years","12x100g",NA,"12",NA,1
"PET","CAT","292512","Felix Pouch Senior Cat Food Mixed Selection 12 x100g","Felix","14.4CM","19.3CM","9.7CM","Senior Food 7+ Years","12x100g",NA,"12",NA,1
"PET","CAT","314550","Felix As Good As It Looks Pouch Cat Food FishSelection in Jelly Senior for Adult Cats 12 x 100g","Felix","14.2CM","19.4CM","9.8CM","Senior Food 7+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","315455","Felix Cat Treats Goody Bag Original Mix 60g","Felix","17.2CM","9.2CM","2.3CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","315457","Felix Cat Treats Goody Bag Seaside Mix 60g","Felix","17.2CM","9.2CM","2.3CM","Biscuit Treats","60g",NA,"1",NA,1
"PET","CAT","316264","Felix As Good As It Looks Pouch Cat Food Meat inJelly 12 x 100g","Felix","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","316265","Felix As Good As It Looks Pouch Cat Food Fish inJelly  12 x 100g","Felix","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","401014","FELIX Mixed Selection in Jelly 40x100g","Felix","18.8CM","14.5CM","39.0CM","Adult Pouches 1+ Years","40x100g",NA,"40",NA,1
"PET","CAT","412187","Felix As Good As It Looks Pouch Cat Food ChickenDuck Pork in Jelly 12 x 100g","Felix","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x100g",NA,"12pk",NA,1
"PET","CAT","412931","Felix As Good As It Looks Pouch Cat Food OceanChunks in Jelly 12 x 100g","Felix","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x100g",NA,"12",NA,1
"PET","CAT","431383","FELIX AGAIL Mixed Selection in Jelly 40x100g","Felix","18.8CM","14.5CM","39.0CM","Adult Pouches 1+ Years","40x100g",NA,"40",NA,1
"PET","CAT","255906","Gourmet Gold Tinned Cat Food Pate with Ocean Fish85g","Gourmet","3.7CM","6.4CM","6.4CM","Adult Tins 1+ Years","85g",NA,"1",NA,1
"PET","CAT","267168","Gourmet Gold Tinned Cat Food Chicken Liver 85g","Gourmet","3.7CM","6.4CM","6.4CM","Adult Tins 1+ Years","85g",NA,"1",NA,1
"PET","CAT","314569","Gourmet Perle Pouch Cat Food Chefs CollectionMini Fillets in Gravy 12 x 85g","Gourmet","14.3CM","19.3CM","9.9CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","314570","Gourmet Perle Ocean Delicacies Mini Fillets inGravy 12 x 85g","Gourmet","14.3CM","19.3CM","9.9CM","Adult Pouches 1+ Years","85g",NA,"1",NA,1
"PET","CAT","314571","Gourmet Perle Pouch Cat Food Chefs CollectionMini Fillets in Gravy 12 x 85g","Gourmet","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","336165","Gourmet Gold Adult Tinned Cat FoodDouble Delicacies 12 x 85g","Gourmet","20.5CM","14.0CM","7.5CM","Adult Pouches 1+ Years","12x85g",NA,"12",NA,1
"PET","CAT","336166","Gourmet Gold Adult Tinned Cat Food Pate RecipesFish Liver Turkey and Beef 12 x 85g","Gourmet","20.5CM","14.0CM","7.5CM","Adult Pouches 1+ Years","12x85g",NA,"12",NA,1
"PET","CAT","405692","Gourmet Mon Petit Pouch Cat Food Poultry Mix 6 x50g","Gourmet","13.0CM","9.0CM","7.0CM","Adult Foil Trays 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","405693","Gourmet Mon Petit Pouch Cat Food Salmon in Gravy 6x 50g","Gourmet","13.0CM","9.0CM","7.0CM","Adult Pouches 1+ Years","6 x 50g",NA,"6",NA,1
"PET","CAT","405694","Gourmet Mon Petit Pouch Cat Food Lamb in Gravy6 x 50g","Gourmet","13.0CM","9.0CM","7.0CM","Adult Pouches 1+ Years","6 x 50g",NA,"6",NA,1
"PET","CAT","411013","Gourmet Perle Pouch Cat Food Meats Duo 12 x 85g","Gourmet","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","12x85g",NA,"12",NA,1
"PET","CAT","413530","Gourmet Gold Cat Food Gravy Collection Multipack12 x 85g","Gourmet","7.3CM","20.0CM","13.5CM","Adult Pouches 1+ Years","12x85g",NA,"12",NA,1
"PET","CAT","431385","Gourmet Perle  Pouch Cat Food Country 12 x 85g","Gourmet","14.5CM","19.7CM","9.9CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","436236","Gourmet Mon Petit Pouch Cat Food Beef and Chicken6 x 50g","Gourmet","127.0CM","87.0CM","71.0CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","436237","Gourmet Mon Petit Pouch Cat FoodFish Menu  6 x 50g","Gourmet","127.0CM","87.0CM","71.0CM","Adult Pouches 1+ Years","6x50g",NA,"6",NA,1
"PET","CAT","302164","Iams Dry Adult Cat Food Fish and Chicken 800g","Iams","28.0CM","19.0CM","8.0CM","Bagged Food","800g",NA,"1",NA,1
"PET","CAT","428286","Iams Delights Pouch Cat Food Land and Sea inJelly 12 x 85g","Iams","14.2CM","9.4CM","19.5CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","428288","Iams Delights Pouch Cat Food Land and Sea in Gravy12 x 85g","Iams","14.2CM","9.4CM","19.5CM","Adult Pouches 1+ Years","85g",NA,"12",NA,1
"PET","CAT","430346","Iams Pouch Cat Food Chicken for Senior Cats 700g","Iams","29.0CM","10.0CM","22.0CM","Senior Food 7+ Years","700g",NA,"1",NA,1
