"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"PET","100","420149","Catit Senses Food Maze","Cat It","24.5CM","24.5CM","27.0CM","Treat Toys",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,NA,0.6
"PET","100","420150","Catit Senses Drinking Fountain","Cat It","22.5CM","19.0CM","21.0CM","Drinking Fountain",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","420151","Catit Senses Water Softening Filter","Cat It","20.5CM","4.5CM","16.5CM","Water Filter",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"PET","100","420220","Catit Senses Comfort Zone Bed","Cat It","44.0CM","7.0CM","38.0CM","Cat Bed",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.76
"PET","100","420221","Catit Play N Scratch Toy Green","Cat It","5.0CM","40.0CM","36.0CM","Scratching Posts",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","314473","Chappie Complete Beef and Whole Grain Cereal 15kg","Chappie","15.0CM","45.0CM","70.0CM","Large Bagged Food","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313616","Classic Pet Products Mini Carry Care Pet Carrier","Classic Pet Products","25.5CM","39.5CM","28.0CM","Pet Carriers",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313621","Classic Pet Products Hamster Town","Classic Pet Products","9.3CM","27.2CM","9.8CM","Tunnels and Hideaways",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313623","Aquarium Ornament Assorted Castles","Classic Pet Products","9.5CM","8.0CM","6.0CM","Ornaments","9.2x6.5cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","313624","Classic Pet Products Underwater Kingdom Aquarium Ornament Castle Ruin","Classic Pet Products","22.5CM","12.0CM","12.0CM","Ornaments","23cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313912","Classic Pet Products Underwater Kingdom Aquarium Ornament Starfish","Classic Pet Products","2.0CM","8.7CM","8.7CM","Ornaments",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313915","Classic Aquarium Ornament Divers Helmet","Classic Pet Products","17.0CM","12.5CM","13.0CM","Ornaments","18cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313916","Classi Aquarium Ornament Assorted Bridges","Classic Pet Products","9.0CM","16.7CM","7.0CM","Ornaments","16cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313917","Classic Aquarium Ornament Arizona Rock Large","Classic Pet Products","21.0CM","25.5CM","14.0CM","Ornaments","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313919","Classic Aquarium Ornament Trees, Skull and Barrel","Classic Pet Products","11.0CM","20.5CM","12.0CM","Ornaments","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313920","Classic Aquarium Ornament Garden","Classic Pet Products","13.0CM","11.0CM","9.2CM","Ornaments","13cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
