"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","DQ Score"
"416355","Wilko Card 220GSM A3 FSC White 8 Sheets","Wilko","Craft Paper and Card ","White",NA,"8",1
"416356","Wilko Felt Sheets A4 65 Micron 8pk Assorted","Wilko","Craft Kits","Multi",NA,"8",1
"416357","Wilko Scrap Pack FSC 220GSM 50pcs","Wilko","Craft Paper and Card","Multi",NA,"50",1
"416358","Wilko A4 Card Holographic 220gsm Assorted","Wilko","Craft Paper and Card","Multi",NA,"8",1
"416360","Wilko Card FSC A4 Pastel 220GSM Assorted","Wilko","Craft Paper and Card","Multi",NA,"8",1
"416361","Wilko Glitter Card A5 220GSM 10pk","Wilko","Craft Paper and Card","Multi",NA,"10",1
"416362","Wilko Card FSC A4 Bright 220GSM Assorted","Wilko","Craft Paper and Card","Multi",NA,"8",1
"416365","Wilko FSC A4 Coloured Paper 120GSM 12pk","Wilko","Craft Paper and Card","Multi",NA,"12",1
"416366","Wilko PaperTissue FSC 16GSM 10pk","Wilko","Craft Paper and Card","Multi",NA,"10",1
"416368","Wilko Pearlised Card FSC A4 220GSM 10pk","Wilko","Craft Paper and Card","Multi",NA,"10",1
"433038","Wilko Let's Create Doodle Pad A5 40 Sheets 80GSM","Wilko","Sketch and Paint Pads",NA,"A5","1",1
"433039","Wilko Let's Create Doodle Pad A4 40 Sheets 80GSM","Wilko","Sketch and Paint Pads",NA,"A4","1",1
"433049","Wilko Craft Platter 836 pcs","Wilko","Craf Set","Multi",NA,"836",1
"452668","Wilko Roll Away Felt Tip Case 30pcs","Wilko","Colouring Pens, Pencils and Crayons","Multi","15cm high each","30",1
"452669","Wilko Roll Away Pencil Case 30pcs","Wilko","Colouring Pens, Pencils and Crayons","Multi","15cm high each","30",1
"452670","Wilko Giant Multicolour Crayon","Wilko","Colouring Pens, Pencils and Crayons","Multi","21cm high","1",1
"452671","Wilko Chunky Multicolour Crayons 5pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","8cm high each","5",1
"452676","Wilko Alphabet Stickers","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452677","Wilko Butterfly Stickers","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452678","Wilko Superhero Stickers 9pk","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452679","Wilko Animal Stickers","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452680","Wilko Ice Cream Stickers","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452681","Wilko Rosette Awards Foam Stickers","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452682","Wilko Felt Owl Sticker","Wilko","Stickers and Stencils","Multi",NA,"1",1
"452687","Wilko Glitter Stars","Wilko","Glitter","Multi","3 X 5.5 cm","1",1
"452692","Wilko Metallic Paint Set 4 x 150ml","Wilko","Paints and Paint Brushes","Multi",NA,"4",1
"452693","Wilko Animal Print Tissue Paper 10pk","Wilko","Craft Paper and Card","Multi","50 X 65cm","10",1
"452694","Wilko A4 Animal Print Card 220gsm 10pk","Wilko","Craft Paper and Card","Multi","21 X 29.7cm","10",1
"452695","Wilko Kraft Card A4 10 Sheets","Wilko","Craft Paper and Card","Multi","21 X 29.7cm","10",1
"453380","Wilko A4 White Card 210gsm","Wilko","Craft Paper and Card","White","21 X 30 X 0.01 CM","1",1
"453381","Wilko A4 Black Card 210gsm","Wilko","Craft Paper and Card","Black","21 X 30 X 0.01 CM","1",1
"453382","Wilko A4 Vivid Red Card 210gsm","Wilko","Craft Paper and Card","Red","21 X 30 X 0.01 CM","1",1
"453383","Wilko Vivid Orange Card A4 210gsm","Wilko","Craft Paper and Card","Orange","21 X 30 X 0.01 CM","1",1
"453384","Wilko A4 Vivid Yellow Card 210gsm","Wilko","Craft Paper and Card","Yellow","21 X 30 X 0.01 CM","1",1
"453385","Wilko A4 Vivid Green Card 210gsm","Wilko","Craft Paper and Card","Green","21 X 30 X 0.01 CM","1",1
"453386","Wilko A4 Vivid Blue Card 210gsm","Wilko","Craft Paper and Card","Blue","21 X 30 X 0.01 CM","1",1
"453387","Wilko A3 White Card 210gsm","Wilko","Craft Paper and Card","White","30 X 42 X 0.01 CM","1",1
"453388","Wilko A3 Black Card 210gsm","Wilko","Craft Paper and Card","Black","30 X 42 X 0.01 CM","1",1
"453389","Wilko A3 Vivid Red 210gsm","Wilko","Craft Paper and Card","Red","30 X 42 X 0.01 CM","1",1
"453390","Wilko A3 Vivid Orange 210gsm","Wilko","Craft Paper and Card","Orange","30 X 42 X 0.01 CM","1",1
"453391","Wilko A3 Vivid Yellow 210gsm","Wilko","Craft Paper and Card","Yellow","30 X 42 X 0.01 CM","1",1
"453392","Wilko A3 Vivid Green 210gsm","Wilko","Craft Paper and Card","Green","30 X 42 X 0.01 CM","1",1
"453393","Wilko A3 Vivid Blue 210gsm","Wilko","Craft Paper and Card","Blue","30 X 42 X 0.01 CM","1",1
"453394","Wilko A2 White Card 210gsm","Wilko","Craft Paper and Card","White","42 X 60 X 0.01 CM","1",1
"453395","Wilko A2 Black Card 210gsm","Wilko","Craft Paper and Card","Black","42 X 60 X 0.01 CM","1",1
"453396","Wilko A2 Vivid Red Card 210gsm","Wilko","Craft Paper and Card","Red","42 X 60 X 0.01 CM","1",1
"453397","Wilko A2 Vivid Orange Card 210gsm","Wilko","Craft Paper and Card","Orange","42 X 60 X 0.01 CM","1",1
"453398","Wilko A2 Vivid Yellow Card 210gsm","Wilko","Craft Paper and Card","Yellow","42 X 60 X 0.01 CM","1",1
"453399","Wilko A2 Vivid Green Card 210gsm","Wilko","Craft Paper and Card","Green","42 X 60 X 0.01 CM","1",1
"453400","Wilko A2 Vivid Blue Card 210gsm","Wilko","Craft Paper and Card","Blue","42 X 60 X 0.01 CM","1",1
"453757","Wilko reward Sticker pack","Wilko","Stickers and Stencils","Multi",NA,"1000",1
"252952","Wilko Functional Value Paint Pallets 8 Colours","Wilko Functional","Paints and Paint Brushes","Multi",NA,"1",1
"253463","Wilko Functional A4 Fluorescent Pad 35 Sheets","Wilko Functional","Craft Paper and Card","Multi",NA,"1",1
