"Article","Web Description","Brand","Type","Colour","Power","Size","Model Number","Pack Qty","Material","DQ Score"
"318038","Zebra Z-Grip Mini Retractable Ball Point PensMedium Black 6pk","Zebra","Ballpoint Pens","Black",NA,NA,NA,"6pk",NA,0.93
"349352","Zebra Pens Z Grip Assorted 5pk","Zebra","Ballpoint Pens",NA,NA,NA,NA,"5pk",NA,0.86
"417036","Z-Grip Black 10pk","Zebra","Ballpoint Pens",NA,NA,NA,NA,NA,NA,0.74
"417040","Zebra Sarasa Metallic Gel Pen Assorted Colours2pk","Zebra","Gel Pens",NA,NA,"2395",NA,"2",NA,0.93
"417042","Zebra Selection Pack 6pk","Zebra","Stationery Sets",NA,NA,NA,NA,NA,NA,0.79
"432272","Zebra Funly Ballpoint Pens 4pk","Zebra","Ballpoint Pens","Multi",NA,NA,NA,"3",NA,0.93
"432282","Zebra Z-Grip Ballpoint Pen Assorted Colours 3pk","Zebra","Ballpoint Pens","Black",NA,NA,NA,"3",NA,0.88
"432293","Zebra Z-Grip Flight Pen Black","Zebra","Ballpoint Pens",NA,NA,NA,NA,"1",NA,0.86
"432296","Z-Grip Smooth Black","Zebra","Ballpoint Pens",NA,NA,NA,NA,"1",NA,0.81
"432298","Zebra Z-Grip Smooth Pen Green","Zebra","Ballpoint Pens","Green",NA,NA,NA,"1",NA,0.93
"432302","Zebra Z-Grip Zebra Print Pen Black","Zebra","Ballpoint Pens","Black",NA,NA,NA,"1",NA,0.93
"432305","Zebra Z-Grip Funky Brights","Zebra","Ballpoint Pens","Pink",NA,NA,NA,"1",NA,0.93
