"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"218823","Wilko Venetian Blind Aluminium Silver Effect180cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Silver","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"282016","Wilko Venetian Blind Vinyl Wood Effect60cm wide x 160cm drop","Wilko","Vinyl Venetian Blinds",NA,"Wood","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"282018","Wilko Venetian Blind Vinyl Wood Effect90cm wide x 160cm drop","Wilko","Vinyl Venetian Blinds",NA,"Wood","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"282020","Wilko Venetian Blind Vinyl Wood Effect120cm wide x 160cm drop","Wilko","Vinyl Venetian Blinds",NA,"Wood","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"282021","Wilko Venetian Blind Vinyl Wood Effect150cm wide x 160cm drop","Wilko","Vinyl Venetian Blinds",NA,"Wood","Wipe Clean Only","Width 150cm x Drop 160cm",NA,0.9
"282022","Wilko Venetian Blind Vinyl Wood Effect180cm wide x 160cm drop","Wilko","Vinyl Venetian Blinds",NA,"Wood","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"282023","Wilko Venetian Blind Aluminium Black60cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Black","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"282025","Wilko Venetian Blind Aluminium Black90cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Black","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"282027","Wilko Venetian Blind Aluminium Black120cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Black","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"282028","Wilko Venetian Blind Aluminium Black150cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Black","Wipe Clean Only","Width 150cm x Drop 160cm",NA,0.9
"282029","Wilko Venetian Blind Aluminium Black180cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"Black","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"282605","Wilko Venetian Blind Aluminium White60cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"White","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"282607","Wilko Venetian Blind Aluminium White90cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"White","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"282609","Wilko Venetian Blind Aluminium White120cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"White","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"282610","Wilko Venetian Blind Aluminium White150cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"White","Wipe Clean Only","Width 150cm x Drop 160cm",NA,0.9
"282611","Wilko Venetian Blind Aluminium White180cm wide x 160cm drop","Wilko","Aluminium Venetian Blinds",NA,"White","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"85957","Wilko Venetian Blind White 60cm","Wilko","Vinyl Venetian Blinds",NA,"White","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"85959","Wilko Venetian Blind White 90cm","Wilko","Vinyl Venetian Blinds",NA,"White","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"85961","Wilko Venetian Blind White 120cm","Wilko","Vinyl Venetian Blinds",NA,"White","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"85962","Wilko Venetian Blind White 150cm","Wilko","Vinyl Venetian Blinds",NA,"White","Wipe Clean Only","Width 150cm x Drop 160cm",NA,0.9
"85963","Wilko Venetian Blind White 180cm","Wilko","Vinyl Venetian Blinds",NA,"White","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
"85964","Wilko Venetian Blind Cream 60cm","Wilko","Vinyl Venetian Blinds",NA,"Cream","Wipe Clean Only","Width 60cm x Drop 160cm",NA,0.9
"85966","Wilko Venetian Blind Cream 90cm","Wilko","Vinyl Venetian Blinds",NA,"Cream","Wipe Clean Only","Width 90cm x Drop 160cm",NA,0.9
"85968","Wilko Venetian Blind Cream 120cm","Wilko","Vinyl Venetian Blinds",NA,"Cream","Wipe Clean Only","Width 120cm x Drop 160cm",NA,0.9
"85969","Wilko Venetian Blind Cream 150cm","Wilko","Vinyl Venetian Blinds",NA,"Cream","Wipe Clean Only","Width 150cm x Drop 160cm",NA,0.9
"85970","Wilko Venetian Blind Cream 180cm","Wilko","Vinyl Venetian Blinds",NA,"Cream","Wipe Clean Only","Width 180cm x Drop 160cm",NA,0.9
