"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","Age","Model Number","DQ Score"
"349632","Wilko Colouring Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"349633","Wilko Carry Handle Activity Set","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"349634","Wilko Build It Jet Car","Wilko","Craft Kits",NA,"1",NA,NA,NA,NA,0.86
"349641","Wilko Activity Pad","Wilko","Activity Books",NA,NA,NA,NA,NA,NA,0.79
"349645","Wilko Colouring Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"350703","Wilko Lets Learn 2 Activity Book","Wilko","Activity Book",NA,"1",NA,NA,NA,NA,0.86
"350708","Wilko Wobbly Eyes Colouring Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"350719","Wilko Activity And Sticker Book A3","Wilko","Activity Books",NA,NA,NA,NA,NA,NA,0.79
"350729","Wilko Seasonal Colour and Activity Book","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"414901","Wilko Mini Washable Pens 8pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"8",NA,NA,NA,NA,0.86
"414903","Wilko Colouring Pencils 30pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"30",NA,NA,NA,NA,0.86
"414905","Wilko Colouring Pencils with Soft Grip 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"10",NA,NA,NA,NA,0.86
"414906","Wilko Twistable Crayons 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"10",NA,NA,NA,NA,0.86
"414913","Wilko Small Air Clay Characters","Wilko","Dough and Modelling",NA,"1",NA,NA,NA,NA,0.86
"414914","Wilko Animal Foam Stamps With 1 Ink Pad","Wilko","Stickers and Stencils",NA,"1",NA,NA,"3+",NA,0.883333333333333
"415279","Wilko Cross Stitch Kit","Wilko","Make Your Own Kit",NA,"1",NA,NA,"8 years+",NA,0.883333333333333
"415280","Wilko Bumper Craft Kit 700pcs","Wilko","Craft Kits",NA,"1",NA,NA,"3+",NA,0.883333333333333
"415283","Wilko Finger Paint 28ml 4pcs","Wilko","Paints and Paint Brushes",NA,"4",NA,NA,NA,NA,0.86
"416109","Wilko Fashion Fun Assorted Book","Wilko","Activity Books","Multi","1",NA,NA,NA,NA,0.93
"416110","Wilko Fun Pad","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"416111","Wilko Jumbo Colouring Book","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"416112","Wilko Pretty Shaped Dot to Dot","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"416115","Wilko My First 123 and ABC","Wilko","Activity Books",NA,"1",NA,NA,NA,NA,0.86
"416359","Wilko Mirror Card FSC A4 220GSM 8pk","Wilko","Craft Paper and Card",NA,"8",NA,NA,NA,NA,0.9125
"416784","Wilko Washable Ready Mix Paint White 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416785","Wilko Washable Ready Mix Paint Red 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416786","Wilko Washable Ready Mix Paint Yellow 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416787","Wilko Washable Ready Mix Paint Green 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416788","Wilko Washable Ready Mix Paint Blue 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416789","Wilko Washable Ready Mix Paint Black 300ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416790","Wilko Sparkles Paint Assorted 150ml","Wilko","Paints and Paint Brushes",NA,"1",NA,NA,"3+",NA,0.93
"416792","Wilko Let's Create Princess Paint Set 150ml 4pk","Wilko","Paints and Paint Brushes",NA,"4pk",NA,NA,NA,NA,0.86
"416793","Wilko Let's Create Neon Paint Set 150ml 4pk","Wilko","Paints and Paint Brushes",NA,"4pk",NA,NA,"3+",NA,0.93
"417497","Wilko Colouring Pencils 15pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"15",NA,NA,NA,NA,0.86
"433040","Wilko Let's Create Fine Brush Tip Markers 14pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","14",NA,NA,NA,NA,0.93
"433041","Wilko Glue Sticks 4pk","Wilko","Glue","Multi","4",NA,NA,NA,NA,0.941666666666667
"433044","Wilko 4 Tier Fold Out Colouring Box","Wilko","Painting and Colouring Kits","Multi","1",NA,NA,NA,NA,0.93
"433045","Wilko Wax Crayons 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,NA,NA,NA,0.93
"433046","Wilko Felt Tips 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,NA,NA,NA,0.93
"433047","Wilko Colouring Pencils 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,NA,NA,NA,0.93
"433048","Wilko Foam Stickers Tub","Wilko","Foam Stickers","Multi","72",NA,NA,NA,NA,0.93
"433417","Wilko Make Your Own Pom Pom Puppies","Wilko","Make Your Own Kit","Multi","2",NA,NA,NA,NA,0.93
"433418","Wilko Make Your Own Foam Treasure Chest Assorted","Wilko","Make Your Own Kit","Multi","1",NA,NA,NA,NA,0.93
"433419","Wilko Make Your Own Foam Pull Along Foam Animals","Wilko","Make Your Own Kit","Multi","4",NA,NA,NA,NA,0.93
"433420","Wilko Make Your Own Diva Glasses 2Pk","Wilko","Make Your Own Kit","Multi","2",NA,NA,NA,NA,0.93
"433421","Wilko Make Your Own Pom Pom Animals","Wilko","Make Your Own Kit","Multi","10",NA,NA,NA,NA,0.93
"433422","Wilko Circular Paint Tray","Wilko","Paint Tray","Multi","1",NA,NA,NA,NA,0.93
"433427","Wilko Functional Fibre Tip Pens 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"10",NA,NA,NA,NA,0.86
"433428","Wilko Fibre Tip Pens 50pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"50",NA,NA,NA,NA,0.86
"433429","Wilko Fibre Tip Pens 15pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"15",NA,NA,NA,NA,0.86
"452672","Wilko Gem Stickers Asst","Wilko","Stickers and Stencils","Multi","1",NA,NA,NA,NA,0.93
"452673","Wilko Neon Wiggly Eyes 64pk","Wilko","Stickers and Stencils","Multi","64",NA,NA,NA,NA,0.93
"452674","Wilko Foam Rollers 10pk","Wilko","Stickers and Stencils","Multi","10",NA,NA,NA,NA,0.93
"452683","Wilko Make Your Own Fairy Wind Chime","Wilko","Make Your Own Kit",NA,"1",NA,NA,NA,NA,0.9125
