"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","BED","424546","Wilko Housewife Pillowcase Denim 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424547","Wilko Oxford Pillowcase Denim 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424548","Wilko Fitted Sheet Single Teal","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424549","Wilko Fitted Sheet Double Teal","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424550","Wilko Fitted Sheet King Size Teal","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424551","Wilko Housewife Pillowcase Teal 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424552","Wilko Oxford Pillowcases Teal 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424557","Wilko Oxford Pillowcases Plum 2pk","Wilko","75 x 50 x .1cm",NA,"2",NA,NA,NA,NA,NA,NA,0.85
"HOM","BED","424558","Wilko Fitted Sheet Single Red","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424559","Wilko Fitted Sheet Double Red","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424560","Wilko Fitted Sheet King Size Red","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424561","Wilko Housewife Pillowcases Red 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424562","Wilko Oxford Pillowcases Red 2pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.8
"HOM","BED","424563","Wilko Fitted Sheet Single Pink","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424564","Wilko Fitted Sheet Double Pink","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424565","Wilko Fitted Sheet King Pink","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424566","Wilko Housewife Pillowcases Pink 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424567","Wilko Oxford Pillowcases Pink 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424568","Wilko Fitted Sheet Single Soft Mauve","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424569","Wilko Fitted Sheet Double Soft Mauve","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424570","Wilko Fitted Sheet King Size Soft Mauve","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424571","Wilko Housewife Pillowcases Soft Mauve 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424573","Wilko Fitted Sheet Single Apple","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424576","Wilko Housewife Pillowcases Apple 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424577","Wilko Oxford Pillowcases Apple 2pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424578","Wilko Fitted Sheet Single Silver","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BED","424579","Wilko Fitted Sheet Double Silver","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
