"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","Model Number","DQ Score"
"TOI","BAT","440664","Nivea Shower Cream Indulgent Moisture Star Fruit250ml","Nivea",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","440665","Nivea Shower Cream Indulging Moisture Rose 250ml","Nivea",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","440666","Nivea Shower Gel Fresh Moisture Sea Minerals 250ml","Nivea",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451682","Nivea Shower Creme and Oil PearlsScent of Lotus 250ml","Nivea","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451683","Nivea Shower Creme and Oil Pearls Scent ofYlang Ylang 250ml","Nivea","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451684","Nivea Shower Creme and Oil Pearls Scent ofCherry Blossom 250ml","Nivea",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","451685","Nivea Shower Silk Mousse Creme Care 200ml","Nivea","200ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451686","Nivea Shower Silk Mousse Creme Smooth 200ml","Nivea","200ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451687","Nivea Silk Shower Mousse Creme Soft 200ml","Nivea","200ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","451692","Nivea Shower Cream Indulgent Moisture Cashmere250ml","Nivea",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","451693","Nivea Shower Cream Rich Moisture Soft 250ml","Nivea",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","224601","Original Source  Lime Shower 250ml","Original Source","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","224603","Original Source Shower Gel 250mlMint and Tea Tree","Original Source","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","238390","Original Source Lemon and Tea Tree Shower 250ml","Original Source","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","325568","Original Source Shower Gel 250mlCoconut and Shea Butter","Original Source",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","436299","Original Source Shower Milk 250mlCherry and Almond Milk","Original Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","436300","Oriiginal Source Shower Milk 250mlSweet Apple and Vanilla Milk","Original Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"TOI","BAT","436301","Original Source Shower Milk 250mlGreen Banana and Bamboo Milk","Original Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","450554","Original Source Shower Gel Mango 250ml","Original Source",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","189974","Palmolive Naturals Delicate Care Hand Wash 300ml","Palmolive","300ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","189975","Palmolive Naturals Nourishing With Milk and HoneyHand Wash 300ml","Palmolive","300ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","207708","Palmolive Hand Wash Aquarium","Palmolive","300ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","207711","Palmolive Shower Gel Milk Honey 250ml","Palmolive","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","207712","Palmolive Shower Milk Black Orchid","Palmolive","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","313525","Palmolive Toilet Soap Moisture Care with Olive 4 x90g","Palmolive",NA,NA,"4",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","315936","Palmolive Shower Gel Coconut 250ml","Palmolive","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","412902","Palmolive Aroma So Relaxed Shower Gel 250ml","Palmolive",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","412903","Palmolive Aroma Feel The Massage Shower Gel 250ml","Palmolive",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","412905","Palmolive Aroma Moments Feel Glamorous Shower Gel250ml","Palmolive",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","412909","Palmolive Pearly Shower Gel 250mlSo Vibrant","Palmolive",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","431637","Palmolive Gourmet  Body Butter Shower CremeChocolate Passion 250ml","Palmolive",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","431638","Palmolive Body Butter Shower Cream 250mlVanilla Pleasure","Palmolive",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","431639","Palmolive Body Butter Shower Cream 250mlStrawberry Touch","Palmolive",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAT","449844","Palmolive Body Butter Shower Cream 250mlMint Shake","Palmolive","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","228459","Radox Feel Good Fragrance Muscle Soak Bath Soak500ml","Radox","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","228463","Radox Feel Good Fragrance Relax Bath Soak 500ml","Radox","500ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","228464","Radox Feel Good Fragrance Stress Relief Bath Soak500ml","Radox","500ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","232256","Radox Feel Active 2in1 Shower Gel 250ml","Radox","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","232263","Radox Feel Awake for Men 2in1 Shower Gel 250ml","Radox","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","BAT","232265","Radox Feel Refreshed 2in1 Shower Gel 250ml","Radox","250ml",NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"TOI","BAT","232267","Radox Feel Pampered Shower Cream 250ml","Radox","250ml",NA,"1",NA,NA,NA,NA,NA,NA,1
