"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Age","DQ Score"
"TOI","FAC","49970","Vaseline Intensive Care Advanced RepairLotion 200ml","Vaseline","200ml",NA,"1",NA,NA,1
"TOI","FAC","66518","Vaseline Intensive Care Healthy Hands andStronger Nails Hand Cream 75ml","Vaseline","75ml",NA,NA,NA,NA,0.9125
"TOI","FAC","84534","Vaseline Healthy Hands and Stronger Nails HandCream 200ml","Vaseline","200ml",NA,"1",NA,NA,1
"TOI","FAC","347843","Skin Therapy Sensitive Skin Fragrance Free Wipes25pk","Wilko",NA,NA,"25",NA,NA,0.8625
"TOI","FAC","347844","Skin Therapy Normal and Combination LightyFragranced Wipes 25pk","Wilko",NA,NA,"25",NA,NA,0.8625
"TOI","FAC","347845","Skin Therapy Tea Tree  Wipes 25pk","Wilko",NA,NA,"25",NA,NA,0.8625
"TOI","FAC","347909","Skin Therapy Sensitive Skin Cleanser 150ml","Wilko",NA,NA,"1",NA,NA,0.8625
"TOI","FAC","347910","Skin Therapy Sensitive Skin Toner 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","347911","Skin Therapy Sensitive Skin Light Moisturiser75ml","Wilko","75ml",NA,"1",NA,NA,0.95
"TOI","FAC","347920","Wilko Anti Ageing Hand Lotion 75ml","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","348116","Skin Therapy Sensitive Skin Face Wash 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","348121","Skin Therapy Tea Tree Face Wash 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","348122","Skin Therapy TeaTree Blemish Serum 30ml","Wilko","30ml",NA,"1",NA,NA,0.95
"TOI","FAC","348552","Skin Therapy Tea Tree Moisture Lotion 75ml","Wilko","75ml",NA,"1",NA,NA,0.95
"TOI","FAC","348553","Spotless Intense Rapid Treatment Gel 15ml","Wilko","15ml",NA,"1",NA,NA,0.95
"TOI","FAC","348555","Spotless Deepclean Daily Face Wash 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","348561","Kiss Light Reflecting Facial Primer 30ml","Wilko","50ml",NA,"1",NA,NA,0.95
"TOI","FAC","348862","Kiss Lip Scrub 10g","Wilko","10g",NA,"1",NA,NA,0.88
"TOI","FAC","421445","Skin Therapy Sensitive Skin Facial Scrub 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","421446","Skin Therapy Tea Tree Facial Scrub 150ml","Wilko","150ml",NA,"1",NA,NA,0.95
"TOI","FAC","437773","Wilko Spotless Exfoliating Wash 150ml","Wilko",NA,NA,"1",NA,NA,0.9125
"TOI","FAC","450522","Kiss Exfoliating Body Scrub 200ml","Wilko","200ml",NA,"1",NA,NA,0.95
"TOI","FAC","452970","Wilko Aloe Vera Body Lotion 400ml","Wilko","400ml",NA,"1",NA,NA,1
