"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Model Number","DQ Score"
"HOM","BAT","310282","Wilko Bath Mat Non Slip Rubber Blue","Wilko","40x70cm","Blue",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,1
"HOM","BAT","310370","Wilko Soap Dispenser White and Chrome Effect","Wilko","Single","White",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310371","Wilko Soap Dish White","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310372","Wilko Bathroom Tumbler White","Wilko","Single","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310384","Wilko Shower Squeegee White and Teal","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310481","Wilko Shower Head Contour 4 Function","Wilko","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310508","Wilko Towel Rail Macau Collection Chrome Effect","Wilko","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310509","Wilko Shelf Macau Collection Glass and ChromeEffect","Wilko","47.2cm x 13.8cm x 5.2cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310520","Wilko Soap Dish Sandstone Effect","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310521","Wilko Tumbler Sandstone Effect","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310522","Wilko Soap Dispenser Sandstone Effect","Wilko","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310527","Wilko Rush 4 Drawer Unit Natural","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310528","Wilko Rush 2 Drawer Unit Natural","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310529","Wilko Robe Hook Paris Collection","Wilko","base 5x0.8 hook5.2cm","Clear","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310530","Wilko Glass and Holder Paris Collection","Wilko","metal 5x10cm glass 6.3x10cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,1
