"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"HOM","CHI","423198","Wilko Storage Box with Pink Lid 3pk","Wilko Functional",0.95
"HOM","CHI","423199","Wilko Storage Box with Blue Lid 3pk","Wilko Functional",0.95
"HOM","CHI","423200","Wilko Fold Flat Crate Pink","Wilko Functional",0.95
"HOM","CHI","423201","Wilko Fold Flat Crate Blue","Wilko Functional",0.95
"HOM","CHI","423202","Wilko Waste Bin Pink","Wilko Functional",0.95
"HOM","CHI","423203","Wilko Waste Bin Blue","Wilko Functional",0.95
"HOM","CHI","432870","Wilko 3 Drawer Tower Small Pink","Wilko Functional",0.95
"HOM","CHI","432871","Wilko 3 Drawer Tower Small Blue","Wilko Functional",0.95
"HOM","CLO","326591","Wilko Antique Effect Clock 30cm","Acctim",0.95
"HOM","CLO","287987","Wilko Round Wall Clock Black","Wilko Functional",0.891666666666667
"HOM","COO","454496","Glitterati Buddha 3D Wall Art Gold 60 x 60cm","Arthouse",0.88
"HOM","COO","454498","Glitterati Blossom and Birds 3D Wall Art 60 x 60cm","Arthouse",0.88
"HOM","COO","454499","Glitterati Butterflies 3D Wall Art 60 x 60cm","Arthouse",0.88
"HOM","COO","454501","Glitterati Dahlia 3D Wall Art CopperColoured 60x60cm","Arthouse",0.88
"HOM","COO","100899","Wet Foam Round Green 4pk","Wilko",0.95
"HOM","CPX","327721","Speedy Coiled Track 5m","Wilko",0.95
"HOM","CUR","421925","Seattle Eyelet Lined Curtains Natural 122 x 137cm","Global",0.8
"HOM","CUR","421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm","Global",0.8
"HOM","CUR","421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm","Global",0.8
"HOM","CUR","421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm","Global",0.8
"HOM","CUR","421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm","Global",0.8
"HOM","CUR","422105","Leaves Eyelet Lined Curtains Taupe 122 x 137cm","Global",0.85
"HOM","CUR","422106","Leaves Eyelet Lined Curtains Taupe 122 x 183cm","Global",0.85
"HOM","CUR","422108","Leaves Eyelet Lined Curtains Taupe 173 x 137cm","Global",0.85
"HOM","CUR","422109","Leaves Eyelet Lined Curtains Taupe 173 x 183cm","Global",0.85
"HOM","CUR","422110","Leaves Eyelet Lined Curtains Taupe 173 x 228cm","Global",0.85
"HOM","CUR","422112","Leaves Eyelet Lined Curtains Taupe 228 x 228cm","Global",0.85
"HOM","CUR","422113","Leaves Eyelet Lined Curtains Teal 122 x 137cm","Global",0.85
"HOM","CUR","422114","Leaves Eyelet Lined Curtains Teal 122 x 183cm","Global",0.85
"HOM","CUR","422116","Leaves Eyelet Lined Curtains Teal 173 x 137cm","Global",0.85
"HOM","CUR","422117","Leaves Eyelet Lined Curtains Teal 173 x 183cm","Global",0.85
"HOM","CUR","422118","Leaves Eyelet Lined Curtains Teal 173 x 228cm","Global",0.85
"HOM","CUR","422120","Leaves Eyelet Lined Curtains Teal 228 x 228cm","Global",0.85
"HOM","CUR","422130","Seattle Eyelet Lined Curtains Black 122 x 183cm","Global",0.85
"HOM","CUR","422132","Seattle Eyelet Curtains 66 x 54in Black","Global",0.85
"HOM","CUR","422133","Seattle Eyelet Curtains 66 x 72in Black","Global",0.85
"HOM","CUR","422134","Seattle Eyelet Curtains 66 x 90in Black","Global",0.85
"HOM","CUT","454614","Glitterati Sequin Cushion Bronze 30 x 30cm","Arthouse",0.6
"HOM","CUT","454616","Glitterati Sequin Cushion Silver 30 x 30cm","Arthouse",0.8
"HOM","CUT","454617","Glitterati Sequin Cushion Gold 45 x 45cm","Arthouse",0.8
"HOM","CUT","454618","Glitterati Sequin Cushion Midnight Blue 45 x 45cm","Arthouse",0.8
"HOM","CUT","454620","Glitterati Sequin Cushion Black 43 x 43cm","Arthouse",0.8
"HOM","CUT","454621","Glitterati Sequin Cushion Fuschia 43 x 43cm","Arthouse",0.8
"HOM","CUT","454623","Glitterati Sequin Cushion Red 43 x 43cm","Arthouse",0.8
"HOM","DIN","240687","Breakfast Dining Set 3 Piece","Wilko",0.891666666666667
"HOM","DIN","420757","Lisbon Chair Beige Pair","Wilko",0.95
"HOM","DIN","420758","Lisbon Chair Grey  Pair","Wilko",0.95
"HOM","DIN","421545","Oakhurst Dining Set with 4 Black Faux LeatherChairs","Wilko",0.833333333333333
"HOM","DUV","417737","Waffle Throw Silver 200 x 240cm","Wilko",0.95
"HOM","DUV","426766","Wilko Chenille Throw Teal 125 x 150cm","Wilko Functional",0.8
"HOM","DUV","426771","Wilko Chenille Throw Cream 125 x 150cm","Wilko Functional",0.85
"HOM","DUV","426819","Wilko Chenille Throw Taupe 125 x 150cm","Wilko Functional",0.8
"HOM","DUV","426824","Wilko Chenille Throw Black 125 x 150cm","Wilko Functional",0.8
"HOM","DUV","426873","Wilko Chenille Throw Chocolate 125 x 150cm","Wilko Functional",0.8
"HOM","DUV","426878","Wilko Chenille Throw Red 125 x 150cm","Wilko Functional",0.8
"HOM","DUV","428255","Wilko Teddy Throw Brown 200 x 200cm","Wilko Functional",0.6
"HOM","DUV","428256","Wilko Teddy Throw Mink and Latte 200 x 200cm","Wilko Functional",0.8
"HOM","DUV","428257","Wilko Teddy Throw Black 200 x 200cm","Wilko Functional",0.8
"HOM","FUR","a100007","Keswick Mattress Rolled Single","Airsprung",0.9
"HOM","FUR","a100008","Keswick Mattress Rolled Double","Airsprung",0.9
"HOM","FUR","a100088","Comfort Express Rolled Mattress Single","Airsprung",0.95
"HOM","FUR","a100089","Comfort Express Rolled Mattress Double","Airsprung",0.9
"HOM","FUR","a200001","York Mattress Medium Firm Single","Airsprung",0.9
"HOM","FUR","a200002","York Mattress Medium Firm Double","Airsprung",0.9
"HOM","FUR","a200003","York Mattress Medium Firm Kingsize","Airsprung",0.9
"HOM","FUR","a200004","Henley Trizone Deluxe Mattress Single","Airsprung",0.9
"HOM","FUR","a200005","Henley Trizone Deluxe Mattress Double","Airsprung",0.9
"HOM","FUR","a200069","Blythe Memory Foam No Turn Mattress Double","Airsprung",0.841666666666667
"HOM","FUR","440631","Value Folding Bed With Memory Foam Mattress Single","Jay-Be",0.833333333333333
"HOM","FUR","440632","Value Folding Bed With Memory Foam Mattress Double","Jay-Be",0.833333333333333
"HOM","FUR","440633","Advance Folding Bed With Airflow Mattress Single","Jay-Be",0.833333333333333
"HOM","FUR","440634","Jubilee Folding Bed With Airflow Mattress Single","Jay-Be",0.833333333333333
"HOM","FUR","440635","Jubilee Folding Bed With Airflow Mattress Double","Jay-Be",0.833333333333333
"HOM","FUR","440636","Royal Folding Bed With Pocket Sprung MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440637","Impression Folding Bed With Memory Foam MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440638","Revolution Folding Bed With Airflow Fibre MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440639","Inspire Folding Bed With Contract Fibre MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440640","Revolution Folding Bed With Pocket Sprung MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440641","Revolution Folding Bed With Memory Foam MattressSingle","Jay-Be",0.833333333333333
"HOM","FUR","440642","J-Bee Folding Bed With Performance AirflowMattress Single","Jay-Be",0.833333333333333
"HOM","FUR","440643","J-Bee Folding Bed With Performance AirflowMattress Double","Jay-Be",0.833333333333333
"HOM","FUR","ck00013","Clovelly Large Bookcase Rustic Oak","Kingston Furniture",0.95
"HOM","FUR","ck00014","Clovelly Large Side board Rustic Oak","Kingston Furniture",0.95
