"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","DQ Score"
"HOM","CHI","410441","Wilko Fun Bin Lilac 8L","Wilko","30.0CM","24.5CM","24.5CM","Kids Bins","8 Litre","Purple","1",NA,NA,NA,NA,NA,NA,1
"HOM","CHI","422993","Wilko Underbed Box Blue 32L","Wilko","19.0CM","60.0CM","40.0CM","Storage Box with Lid","40x60x19cm","Multi","1","Polypropelyne",NA,NA,NA,"32L",NA,1
"HOM","CHI","422994","Wilko Underbed Box Pink 32L","Wilko","19.0CM","60.0CM","40.0CM","Storage Box with Lid","40x60x19cm","Multi","1","Polypropelyne",NA,NA,NA,"32L",NA,1
"HOM","CHI","422996","Wilko Underbed Box Pink 45L","Wilko","27.0CM","60.0CM","40.0CM","Storage Box with Lid","40x60x27cm","Multi","1","Polypropelyne",NA,NA,NA,"45L",NA,1
"HOM","CLO","326363","Acctim Newton Wall Clock","Acctim","29.2CM","23.1CM","4.4CM","Wall Clock","Single","Brown","1",NA,NA,NA,"Battery",NA,NA,1
"HOM","CLO","287981","Wilko Square Alarm Clock Black","Wilko","9.5CM","11.5CM","4.5CM","Alarm Clock","Single","Black","1",NA,NA,NA,"Battery",NA,NA,1
"HOM","COO","437266","Wax Lyrical Reed Diffuser Mediterranean Orange 100","Wax Lyrical","26.0CM","6.0CM","5.3CM","Reed Diffusers","100ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","437267","Wax Lyrical Reed Diffuser Mediterranean Orange 50m","Wax Lyrical","16.5CM","5.5CM","4.3CM","Reed Diffusers","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","437270","Wax Lyrical Reed Diffuser Red Cherry 100ml","Wax Lyrical","26.0CM","6.0CM","5.3CM","Reed Diffusers","100ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","437271","Wax Lyrical Reed Diffuser Red Cherry 50ml","Wax Lyrical","16.5CM","5.5CM","4.3CM","Reed Diffusers","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","437274","Wax Lyrical Reed Diffuser Fresh Linen 100ml","Wax Lyrical","26.0CM","6.0CM","5.3CM","Reed Diffusers","100ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","437275","Wax Lyrical Reed Diffuser Fresh Linen 50ml","Wax Lyrical","16.5CM","5.5CM","4.3CM","Reed Diffusers","50ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455624","Wax Lyrical Vanilla Diffuser 50ml","Wax Lyrical","15.2CM","4.3CM","5.5CM","Reed Diffusers","4.3CM X 5.5CM X 15.2CM",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","181735","Wilko Chrysanthemum Flower Bunch Orange","Wilko","33.0CM","17.0CM","12.0CM","Artificial Bunch","Single","Orange","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","247143","Wilko Flower Bunch Lilac and Cream","Wilko","31.0CM","12.9CM","13.0CM","Artificial Bunch","Single","Purple","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258504","Wilko Pom Pom Flower Teal Single Stem","Wilko","74.0CM","16.0CM","16.0CM","Artificial Single Stem","Single","Green","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258505","Wilko Pom Pom Single Stem Flower Green","Wilko","74.0CM","16.0CM","16.0CM","Artificial Single Stem","Single","Green","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258507","Wilko Pom Pom Cream Single Stem","Wilko","68.0CM","15.0CM","15.0CM","Artificial Single Stem","Single","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258533","Wilko Flower Bunch Red","Wilko","40.0CM","16.0CM","15.0CM","Artificial Bunch","Single","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258541","Wilko Floral Pick Bunch Cream","Wilko","42.4CM","26.0CM","16.0CM","Artificial Bunch","Single","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258582","Wilko Mixed Flower Bunch Orange","Wilko","39.0CM","19.2CM","16.0CM","Artificial Bunch","Single","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258585","Wilko Flower Bush Gyposilia Blossom","Wilko","39.6CM","11.0CM","7.0CM","Artificial Bunch","Single","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","258618","Wilko Flower Bunch Pink and Yellow","Wilko","41.0CM","25.0CM","10.2CM","Artificial Bunch","Single","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","267768","Wilko Pom Pom Black Single Stem","Wilko","74.0CM","16.0CM","16.0CM","Artificial Single Stem","Single","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","267769","Wilko Pom Pom White Single Stem","Wilko","74.0CM","16.0CM","16.0CM","Artificial Single Stem","Single","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","274701","Wilko Gebera Single Stem Flower Cream","Wilko","65.0CM","18.0CM","13.0CM","Artificial Single Stem","Single","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","274703","Wilko Peony Single Stem Flower Cream","Wilko","78.0CM","20.0CM","20.0CM","Artificial Single Stem","Single","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","292919","Wilko Reed Diffuser Vanilla 70ml","Wilko","22.5CM","6.5CM","6.5CM","Reed Diffusers",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","COO","292921","Wilko Reed Diffuser Red Fruit 70ml","Wilko","22.5CM","6.5CM","6.5CM","Reed Diffusers",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","COO","292925","Wilko Candle Plates Glass Clear 2pk","Wilko","10.6CM","10.6CM","1.7CM","Candles Holders","2 Pack","Clear","2pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","296291","Wilko Tealights 8 Hour Burn Time 30pk","Wilko","7.0CM","24.0CM","18.5CM","Tealights","Bag of 30","White","30pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","304026","Wilko Candles Taper Ivory 10pk","Wilko","20.0CM","10.0CM","4.0CM","Tapered Candle","20cm","Cream","10pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327585","Wilko Feather Dried Grass Grey Multi-Stem","Wilko","86.0CM","9.0CM","2.0CM","Artificial Grass","3 Pack","Grey","3pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327586","Wilko Feather Dried Grass Orange Multi-Stem","Wilko","86.0CM","9.0CM","6.0CM","Artificial Grass","3 Pack","Orange","3pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327587","Wilko Feather Dried Grass Green Multi-Stem","Wilko","86.0CM","9.0CM","2.0CM","Artificial Grass","3 Pack","Green","3pk",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327592","Wilko Feather Dried Grass Black Multi-Stem","Wilko","86.0CM","9.0CM","6.0CM","Artificial Grass","1 Stem","Black","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327596","Wilko Orchid White Single Stem","Wilko","73.0CM","14.0CM","7.0CM","Artificial Single Stem","Single","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327602","Wilko Single Stem Gerbera Orange","Wilko","65.0CM","18.0CM","13.0CM","Artificial Single Stem","Single","Orange","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327728","Wilko Dahlia Bunch Yellow","Wilko","39.0CM","19.0CM","19.0CM","Artificial Bunch","Single","Yellow","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327732","Wilko Tulip Bunch Cream","Wilko","37.0CM","16.0CM","16.0CM","Artificial Bunch","Single","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","327794","Wilko Single Stem Pom Pom Flower Yellow","Wilko","74.0CM","16.0CM","16.0CM","Artificial Single Stem","Single","Yellow","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341083","Wilko Scented Pillar Candle Cotton 6 x 9.5cm","Wilko","10.0CM","6.0CM","6.0CM","Pillar Candle","6x9.5cm","Blue",NA,"Wax, wick, fragrance","No",NA,NA,NA,NA,1
"HOM","COO","341084","Wilko Scented Pillar Candle Lavender Fields7 x 14.5cm","Wilko","15.0CM","7.0CM","7.0CM","Fragranced Candles","7x14.5cm","Purple","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341085","Wilko Scented Pillar Candle Cotton 7 x 14.50cm","Wilko","15.0CM","7.0CM","7.0CM","Pillar Candle","7x14.5cm","Blue",NA,"Wax, wick, fragrance","No",NA,NA,NA,NA,1
"HOM","COO","341096","Wilko Tealight Lavender Field 30pk","Wilko","19.5CM","11.5CM","2.5CM","Tealights","30 Pack","Purple","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341098","Wilko Tealight Cotton 30pk","Wilko","19.5CM","11.5CM","2.5CM","Tealights","30 Pack","Blue",NA,"Wax, wick, fragrance","No",NA,NA,NA,NA,1
"HOM","COO","341102","Wilko Church Candle White 7 x 12.5cm","Wilko","13.0CM","7.0CM","7.0CM","Pillar Candle","7x12.5cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341103","Wilko Church Candle White 7 x 20cm","Wilko","20.0CM","8.0CM","8.0CM","Pillar Candle","7x20cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341144","Wilko Reed Diffuser Crisp Melon and Rhubarb 70ml","Wilko","21.5CM","5.6CM","5.6CM","Reed Diffusers","70ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341145","Wilko Reed Diffuser Tropical Passion Fruit andBlueberry 70ml","Wilko","21.5CM","5.6CM","5.6CM","Reed Diffusers","70ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","341146","Wilko Reed Diffuser Cotton Fresh 70ml","Wilko","21.5CM","5.6CM","5.6CM","Reed Diffusers","70ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","417729","Wilko Ultra Soft Throw Cream 120 x 150cm","Wilko",".8CM","120.0CM","150.0CM","Throws","120 x 150cm","Cream",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","COO","427167","Wilko Insense Oil Fragrance Sweet Strawberry andRed Fruits","Wilko","6.0CM","2.5CM","2.5CM","Insense Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","COO","427192","Wilko Live Laugh Love Multi Frame","Wilko","17.8CM","22.1CM","4.5CM","Photo Frames","4.5 x 22.1 x 22.8cm","Cream",NA,"Wood","No",NA,NA,NA,NA,1
"HOM","COO","427202","Wilko Swirl Glass Bowl Green Oasis Range","Wilko","6.0CM","27.5CM","27.5CM","Bowls","27.5 x 27.5 x 6cm","Green",NA,"Glass","No",NA,NA,NA,NA,1
"HOM","COO","427861","Wilko Room Spray Warm Vanilla Pod","Wilko","21.5CM","5.6CM","5.6CM","Room Spray",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","COO","427863","Wilko Insense Oil Fragrance Warm Vanilla Pod","Wilko","6.0CM","2.5CM","2.5CM","Insense Oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","COO","446912","Wilko Ceramic Blossom Vase","Wilko","22.5CM","9.0CM","9.0CM","Vases","22.5 x 9 x 9cm","White",NA,"Dolomite","No",NA,NA,NA,NA,1
"HOM","COO","446918","Wilko Ceramic Cylinder Vase White","Wilko","10.0CM","25.0CM","10.0CM","Vases","25 x 10 x 10cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","446924","Wilko Ceramic Posy Vase White","Wilko","12.5CM","26.0CM","12.5CM","Vases","26 x 12.5 x 12.5cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","446925","Wilko Ceramic Posy Vase Cream","Wilko","12.5CM","26.0CM","12.5CM","Vases","26 x 12.5 x 12.5cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447081","Wilko Cork Board","Wilko","42.0CM","30.0CM","2.0CM","Message Boards","42 x 30 x 2cm","Cream",NA,"MDF/Cork","No",NA,NA,NA,NA,1
"HOM","COO","447145","Wilko Rattan Drawers","Wilko","12.0CM","32.0CM","12.0CM","Storage Drawers","12 x 32 x 12cm","Cream",NA,"Paper/Wire","No",NA,NA,NA,NA,1
"HOM","COO","447148","Wilko Rattan Letter Holder","Wilko","20.0CM","25.0CM","8.0CM","Letter Racks","20 x 25 x 8cm","Cream",NA,"Paper/Wire","No",NA,NA,NA,NA,1
"HOM","COO","447151","Wilko Ceramic 3D Flower Vase","Wilko","20.0CM","11.4CM","11.4CM","Vases","20 x 11.4 x 11.4cm","Green",NA,"Stoneware","No",NA,NA,NA,NA,1
"HOM","COO","447154","Wilko Set of 3 3D Flower Bud Vase","Wilko","13.0CM","30.0CM","10.0CM","Ornaments","9 x 8 x 8cm","Multi",NA,"Stoneware","No",NA,NA,NA,NA,1
"HOM","COO","447228","Wilko Red Floral Canvas 48 x 48cm","Wilko","48.0CM","1.8CM","48.0CM","Wall Art","48 x 48 x 1.8cm","Multi",NA,"Canvas","No",NA,NA,NA,NA,1
"HOM","COO","447254","Wilko Peonies Canvas 60 x 90cm","Wilko","60.0CM","1.8CM","90.0CM","Wall Art","60 x 90 x 2.5cm","Multi",NA,"Canvas","No",NA,NA,NA,NA,1
"HOM","COO","447262","Wilko Blossom Canvas 60 x 90cm","Wilko","60.0CM","1.8CM","90.0CM","Wall Art","60 x 90 x 2.5cm","Multi",NA,"Canvas","No",NA,NA,NA,NA,1
"HOM","COO","447337","Wilko Gold Mosaic Tealight Holder","Wilko","7.0CM","10.0CM","10.0CM","Tealight Holders","10 x 10 x 7cm","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447338","Wilko Silver Mosaic Tealight Holder","Wilko","7.0CM","10.0CM","10.0CM","Tealight Holders","10 x 10 x 7cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447345","Wilko Gold Mosaic Photo Frame6 x 4in","Wilko","18.0CM","23.0CM","9.0CM","Photo Frames","9 x 23 x 18cm","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447346","Wilko Silver Mosaic Photo Frame6 x 4in","Wilko","18.0CM","23.0CM","9.0CM","Photo Frames","9 x 23 x 18cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447349","Wilko Gold Mosaic Vase","Wilko","23.0CM","12.0CM","12.0CM","Vases","12 x 12 x 23cm","Gold","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","447350","Wilko Silver Mosaic Vase","Wilko","23.0CM","12.0CM","12.0CM","Vases","12 x 12 x 23cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455421","Wilko Glitter Hellebore in Vase Silver","Wilko","22.0CM","16.0CM","16.0CM","Vases","16 x 22cm","Silver","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455422","Wilko Glitter Hellebore in Vase Red","Wilko","22.0CM","16.0CM","16.0CM","Vase with Flower","16 x 22cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455447","Wilko Dhalia in Glass Bottle","Wilko","38.0CM","10.0CM","15.0CM","Vase with Flower","15 x 10 x 38 cms","Red",NA,"POLYESTER WIRE GLASS","No",NA,NA,NA,NA,1
"HOM","COO","455461","Wilko Green Floral in Cream Bottle Vase","Wilko","40.0CM","16.0CM","26.0CM","Vase with Flower","26 x 16 x 40 cms","Green",NA,"POLYESTER WIRE GLASS","No",NA,NA,NA,NA,1
"HOM","COO","455468","Wilko Peony Mix Bush","Wilko","29.0CM","24.0CM","24.0CM","Artificial Bunch","24 x 24 x 29cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455469","Wilko Pom Pom Single Stem Grey","Wilko","68.0CM","15.0CM","15.0CM","Artificial Single Stem","15 x 68 x 15.3cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455470","Wilko Gypsophila Bush Dark Pink","Wilko","38.0CM","11.0CM","11.0CM","Artificial Bunch","11 x 11 x 38cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455471","Wilko Japonica Flower Bunch Red","Wilko","40.0CM","20.0CM","20.0CM","Artificial Bunch","20 x 20 x 40cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455472","Wilko Gerbera Mix Cream","Wilko","25.0CM","19.0CM","19.0CM","Artificial Bunch","19 x 19 x 25cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455474","Wilko Orchid and Lily Bright Mix","Wilko","45.0CM","22.0CM","22.0CM","Artificial Bunch","22 x 22 x 45cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455475","Wilko Carnation and Freesia Bright Mix","Wilko","47.0CM","20.0CM","20.0CM","Artificial Flower Bunch","20 x 20 x 47cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455476","Wilko Carnation and Rose Mix Light Pink","Wilko","38.0CM","15.0CM","15.0CM","Artificial Bunch","15 x 15 x 38cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455477","Wilko Red Gerbera Bunch","Wilko","25.0CM","19.0CM","19.0CM","Artificial Bunch","19 x 19 x 25cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455478","Wilko Dahlia Bush Red","Wilko","40.0CM","20.0CM","20.0CM","Artificial Bunch","20 x 20 x 40cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455479","Wilko Rose Single Stem Cream","Wilko","59.0CM","12.0CM","12.0CM","Artificial Single Stem","12 x 12 x 59cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455480","Wilko Dahlia Bush Cream","Wilko","40.0CM","20.0CM","20.0CM","Artificial Bunch","20 x 20 x 40cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455481","Wilko Gerbera Single Stem Grey","Wilko","64.0CM","18.0CM","18.0CM","Artificial Single Stem","18 x 18 x 64cm","Grey","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455482","Wilko Sunflower Mix Bush","Wilko","35.0CM","23.0CM","23.0CM","Artificial Bunch","23 x 23 x 35cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455483","Wilko Gerbera Single Stem Taupe","Wilko","64.0CM","18.0CM","18.0CM","Artificial Single Stem","18 x 18 x 64cm","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455484","Wilko Hydrangea Single Stem Cream","Wilko","70.0CM","15.0CM","15.0CM","Artificial Bunch","15 x 15 x 70cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455485","Wilko Gerbera Single Stem Magenta","Wilko","64.0CM","18.0CM","18.0CM","Artificial Single Stem","18 x 18 x 64cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455486","Wilko Blossom Single Stem Cream","Wilko","86.0CM","18.0CM","18.0CM","Artificial Bunch","18 x 18 x 86cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455487","Wilko Blossom Single Stem Red","Wilko","86.0CM","18.0CM","18.0CM","Artificial Bunch","18 x 18 x 86cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455488","Wilko Pom Pom Single Stem Taupe","Wilko","68.0CM","15.0CM","15.0CM","Artificial Single Stem","15 x 15 x 68cm","Brown","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455489","Wilko Orchid Single Stem Dusky Pink","Wilko","67.0CM","15.0CM","15.0CM","Artificial Bunch","15 x 15 x 67cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455490","Wilko Gerbera Single Stem Dusky Pink","Wilko","64.0CM","18.0CM","18.0CM","Artificial Single Stem","18 x 18 x 64cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455491","Wilko Pom Pom Single Stem Dusky Pink","Wilko","68.0CM","15.0CM","15.0CM","Artificial Single Stem","15 x 15 x 68cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455492","Wilko Peony Bunch Cream","Wilko","29.0CM","24.0CM","24.0CM","Artificial Bunch","24 x 24 x 29cm","Cream","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455493","Wilko Rose Bunch Cream and Pink","Wilko","28.0CM","20.0CM","20.0CM","Artificial Bunch","20 x 20 x 28cm","Pink","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455494","Wilko Single Stem Poppy Red","Wilko","73.0CM","20.0CM","20.0CM","Artificial Stem","18 x 13 x 70cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455495","Wilko Rose Single Stem Red","Wilko","59.0CM","12.0CM","12.0CM","Artificial Single Stem","12 x 12 x 59cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455609","Wilko LED Glitter Tealights Silver 6pk","Wilko","12.2CM","17.3CM","5.0CM","LED Candles","10.4 x 15 x 5cm","Silver","6",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455614","Wilko LED Glitter Tealights Red 6pk","Wilko","12.2CM","17.3CM","5.0CM","LED Candles","10.4 x 15 x 5cm","Red","6",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455620","Wilko Red Glitter Star Candle","Wilko","5.5CM","10.0CM","10.0CM","Candles","10 x 10 x 5.5cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455621","Wilko Candle and Diffuser Gift Set Red CinnamonSpice","Wilko","11.4CM","22.5CM","6.0CM","Reed Diffusers","11.5 x 22.5 x 6cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455622","Wilko Candle and Diffuser Gift Set SilverSparkling Winter","Wilko","6.0CM","22.5CM","11.5CM","Reed Diffusers","11.5 x 22.5 x 6cm",NA,"1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455630","Wilko Scented Tealight Silver Sparkling Winter24pk","Wilko","15.5CM","11.7CM","3.0CM","Tealights","3 x 11.7 x 15.5cm","Silver","24",NA,NA,NA,NA,NA,NA,1
"HOM","COO","455676","Wilko Light Up Word Plaque","Wilko","30.0CM","20.0CM","3.5CM","Wall Plaque","3.5 x 20 x 30cm","Red","1",NA,NA,NA,NA,NA,NA,1
"HOM","COO","456074","Wilko Fretwork Metal Hurricane Vase","Wilko","15.0CM","11.0CM","11.0CM","Candle Holders","Dia: 11cm x H: 15cm","Gold",NA,"Iron","No",NA,NA,NA,NA,1
"HOM","COO","70122","Wilko Round Dri-Foam Brick 4pk","Wilko","19.9CM","7.9CM","7.9CM","Dri-Foam","Single","Brown","4pk",NA,NA,NA,NA,NA,NA,1
"HOM","CPX","232215","Wilko Bay Window Curtain Pole Black Metal400cm long by 19mm diameter","Wilko","213.0CM","7.0CM","7.0CM","Bay Window Pole","400x7cm","Black","1","Steel and acrylic",NA,NA,NA,NA,NA,1
"HOM","CPX","232232","Wilko Firenze Bay Window Curtain Pole SilverEffect 400cm long x 19mm diameter","Wilko","213.0CM","7.0CM","7.0CM","Bay Window Pole","400x7cm","Silver","1","Steel and plastic",NA,NA,NA,NA,NA,1
"HOM","CPX","287700","Wilko Curtain Track White Plastic 200 x 2.6cm","Wilko","110.0CM","4.4CM","2.6CM","Track","200x2.6cm","White","1","Plastic",NA,NA,NA,NA,NA,1
"HOM","CPX","326595","Wilko Voile Pair Holdbacks Cream 2pk","Wilko","14.1CM","8.1CM","3.8CM","Holdbacks","Pack","Cream","2","Steel",NA,NA,NA,NA,NA,1
"HOM","CPX","326601","Wilko Arezzo Curtain Rings Antique Brass 10 - 13mm","Wilko","8.5CM","4.5CM","2.8CM","Curtain Rings","10-13mm","Metal","1","Steel",NA,NA,NA,NA,NA,1
"HOM","CPX","326604","Wilko Firenze Pair Holdbacks Cream 2pk","Wilko","17.7CM","13.2CM","4.1CM","Holdbacks","Pack","Cream","2pk","Steel",NA,NA,NA,NA,NA,1
"HOM","CPX","326606","Wilko Firenze Bay Window Curtain Pole Cream 400x 7cm","Wilko","213.0CM","7.0CM","7.0CM","Bay Window Pole","400x7cm","Cream","1","Steel and plastic",NA,NA,NA,NA,NA,1
"HOM","CPX","326611","Wilko Clear Curtain Pole Extendable Chrome125 - 215cm","Wilko","129.5CM","5.3CM","5.3CM","Extendable Pole","125-215cm","Metal","1","Steel and plastic",NA,NA,NA,NA,NA,1
"HOM","CPX","326612","Wilko Clear Curtain Pole Extendable Chrome170 - 300cm","Wilko","170.2CM","5.3CM","5.3CM","Extendable Pole","170-300cm","Metal","4","Steel and plastic",NA,NA,NA,NA,NA,1
"HOM","CPX","326759","Wilko Regato Curtain Pole Extendable Satin Finish120 - 210cm","Wilko","130.6CM","7.1CM","7.1CM","Extendable Pole","120-210cm","Silver","1","Steel",NA,NA,NA,NA,NA,1
"HOM","CPX","326760","Wilko Regato Curtain Pole Extendable Satin Finish170 - 300cm","Wilko","155.0CM","7.2CM","7.2CM","Extendable Pole","170-300cm","Silver","1","Steel",NA,NA,NA,NA,NA,1
"HOM","CUR","325326","Wilko Slot Top Voile Panel White 145 x 183cm","Wilko",".2CM","145.0CM","183.0CM","Voiles","145x183cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","CUR","325339","Wilko Popsicle Tab Top Voile Panel White145 x 228cm","Wilko",".2CM","145.0CM","228.0CM","Voiles","145x228cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","CUR","408330","Wilko Butterfly Design Voile 145 x 228cmSlot Top","Wilko",".2CM","145.0CM","228.0CM","Voiles","145x228cm","White","1",NA,NA,NA,NA,NA,NA,1
"HOM","CUS","295658","Wilko Faux Silk Paris Cushion Cream 43 x 43cm","Wilko","43.0CM","43.0CM","12.5CM","Faux Silk Cushion","43x43cm","Cream",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUS","305165","Wilko Paris Cushion Faux Silk Grey 43 x 43cm","Wilko","43.0CM","43.0CM","12.5CM","Faux Silk Cushions","43x43cm","Grey",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUS","311468","Wilko Cushion Inner Duck Feather and Down45 x 45cm","Wilko","45.0CM","45.0CM","11.0CM","Cushion Inner","45 x 45cm","White","1","100% Cotton",NA,"Dry Clean Only",NA,NA,NA,1
"HOM","CUS","311491","Wilko Jumbo Cushion Red 55 x 55cm","Wilko","55.0CM","55.0CM","15.5CM","Plain Cushion","55x55cm","Red",NA,"90% Polyester, 10% Polyamide","No",NA,NA,NA,NA,1
"HOM","CUS","325459","Wilko Crinkle Cushion Covers Teal Pair 43 x 43cm","Wilko","41.0CM","23.0CM","2.0CM","Cushion Covers","46.5x43cm","Green","1","100% Polyester",NA,"Hand Wash Only",NA,NA,NA,1
"HOM","CUS","325461","Wilko Crinkle Cushion Covers Chocolate Pair43 x 43cm","Wilko","41.0CM","23.0CM","2.0CM","Cushion Covers","46.5x43cm","Brown","1","100% Polyester",NA,"Hand Wash Only",NA,NA,NA,1
"HOM","CUS","325468","Wilko Jumbo Cushion Dark Teal 55 x 55cm","Wilko","55.0CM","55.0CM","15.5CM","Plain Cushion","55x55cm","Green",NA,"100% Polyester","No",NA,NA,NA,NA,1
"HOM","CUS","418551","Wilko Faux Silk Charcoal Cushion 43 x 43cm","Wilko","43.0CM","43.0CM","12.5CM","Plain Cushion",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","CUT","325473","Wilko Floral Cushion Red 43 x 43cm","Wilko","43.0CM","43.0CM","12.5CM","Patterned Cushion","43x43cm","Red",NA,"100% Cotton","No",NA,NA,NA,NA,1
