"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"HOM","BAT","310282","Wilko Bath Mat Non Slip Rubber Blue","Wilko","40.5CM","7.0CM","7.0CM","Bath Mats","40x70cm","Blue",NA,"100% Rubber",NA,"Wipe Clean Only",NA,NA,NA,NA,NA,1
"HOM","BAT","310370","Wilko Soap Dispenser White and Chrome Effect","Wilko","16.0CM","8.0CM","8.0CM","Soap Dispenser","Single","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310371","Wilko Soap Dish White","Wilko","3.0CM","10.0CM","14.0CM","Soap Dish","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310372","Wilko Bathroom Tumbler White","Wilko","10.5CM","8.5CM","8.5CM","Tumblers","Single","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310384","Wilko Shower Squeegee White and Teal","Wilko","2.0CM","26.0CM","18.0CM","Bathroom Squeegee","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310481","Wilko Shower Head Contour 4 Function","Wilko","34.0CM","17.0CM","5.5CM","Shower Heads","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310508","Wilko Towel Rail Macau Collection Chrome Effect","Wilko","5.0CM","51.0CM","8.0CM","Towel Rails and Hooks","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310509","Wilko Shelf Macau Collection Glass and ChromeEffect","Wilko","5.2CM","47.2CM","13.8CM","Bathroom Shelves","47.2cm x 13.8cm x 5.2cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310520","Wilko Soap Dish Sandstone Effect","Wilko","3.2CM","13.0CM","10.3CM","Soap Dish","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310521","Wilko Tumbler Sandstone Effect","Wilko","10.0CM","7.5CM","7.5CM","Tumblers","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310522","Wilko Soap Dispenser Sandstone Effect","Wilko","15.7CM","7.7CM","7.7CM","Soap Dispenser","Single","Cream","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310527","Wilko Rush 4 Drawer Unit Natural","Wilko","65.0CM","18.3CM","25.5CM","Storage Tower","Single","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310528","Wilko Rush 2 Drawer Unit Natural","Wilko","33.0CM","18.0CM","20.0CM","Storage Tower","Single","Brown","1",NA,NA,NA,NA,NA,NA,NA,NA,0.9
"HOM","BAT","310529","Wilko Robe Hook Paris Collection","Wilko","8.7CM","11.5CM","7.3CM","Towel Rails and Hooks","base 5x0.8 hook5.2cm","Clear","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310530","Wilko Glass and Holder Paris Collection","Wilko","13.0CM","15.8CM","9.4CM","Tumblers","metal 5x10cm glass 6.3x10cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310531","Wilko Towel Ring Paris Collection","Wilko","20.0CM","24.7CM","9.4CM","Towel Rails and Hooks","ring16cm base dia 5","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310532","Wilko Towel Rail Paris Collection","Wilko","13.0CM","58.3CM","7.0CM","Towel Rails and Hooks","rail 46 base dia 5x7cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310533","Wilko Glass Shelf Paris Collection","Wilko","12.8CM","51.7CM","8.0CM","Bathroom Shelves","glass 50x12cm","Silver","1","iron+chrom+glass",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310536","Wilko Triple Door Hook White Rubberised Ball","Wilko","22.5CM","29.0CM","11.0CM","Towel Rails and Hooks","40x50cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310538","Wilko Quadruple Door Hook White Rubberised Ball","Wilko","20.0CM","48.0CM","11.0CM","Towel Rails and Hooks","15x15cm","White","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","310543","Wilko Toilet Roll Holder Macau Collection","Wilko","7.0CM","23.0CM","10.0CM","Toilet Roll Holders","Single","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
