"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Washable","Coverage","Pack Qty","Capacity","Power","Model Number","Age","DQ Score"
"HOM","BAT","271542","Wilko Personal Mechanical Bathroom Scales Black","Wilko","Bathroom Scales","Black","Single",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","271550","Wilko Tongue and Groove Effect Toilet Seat White","Wilko","Toilet Seats","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","272465","Wilko Shower Caddy 3 Tier Chrome Effect","Wilko","Wall Units","Silver","12 x 22.5 x 46.5cm",NA,"Iron",NA,NA,"1",NA,NA,NA,NA,0.95
"HOM","BAT","273034","Wilko Electronic Bathroom Scales Black Glass","Wilko","Bathroom Scales","Black","Single",NA,NA,NA,NA,NA,NA,"Battery",NA,NA,0.941666666666667
"HOM","BAT","298738","Wilko Free Standing Storage Unit 3 Tier White","Wilko","Storage Tower","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","298784","Wilko Laundry Basket Silver Plastic 45L","Wilko","Laundry Baskets","Silver","45L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","310229","Wilko Shower Curtain Blue White and Aqua Stripe","Wilko","Shower Curtains","Blue","180cm x180cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310370","Wilko Soap Dispenser White and Chrome Effect","Wilko","Soap Dispenser","White","Single",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","BAT","310509","Wilko Shelf Macau Collection Glass and ChromeEffect","Wilko","Bathroom Shelves","Silver","47.2cm x 13.8cm x 5.2cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310527","Wilko Rush 4 Drawer Unit Natural","Wilko","Storage Tower","Brown","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","310528","Wilko Rush 2 Drawer Unit Natural","Wilko","Storage Tower","Brown","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","310532","Wilko Towel Rail Paris Collection","Wilko","Towel Rails and Hooks",NA,"rail 46 base dia 5x7cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","310536","Wilko Triple Door Hook White Rubberised Ball","Wilko","Towel Rails and Hooks",NA,"40x50cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","310546","Wilko Toilet Seat Hinge and Fittings Repair Set","Wilko","Toilet Seats","Silver","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310698","Wilko Set of 3 Baskets White","Wilko","Baskets","White",NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,0.85
"HOM","BAT","310707","Wilko Split Wood Storage Unit 2 Drawer White","Wilko","Storage Tower","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","310708","Wilko 4 Tier Storage Unit White","Wilko","Storage Tower","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","310718","Wilko Glass Corner Shelves 2pk","Wilko","Bathroom Shelves","Clear","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310720","Wilko Bath Rack Chrome Plated","Wilko","Bath Racks","Metal","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","327204","Wilko Freestanding Toilet Roll Holder","Wilko","Toilet Roll Holders",NA,"Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","327297","Wilko Pedestal Set Green Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Green","58.5x47.5cm",NA,NA,"Washable",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327298","Wilko Pedestal Set Neutral Stripe 50 x 70cm and50 x 50cm","Wilko","Bathmat Set","Cream","58.5x47.5cm",NA,NA,"Washable",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327701","Wilko Small Caddy Black","Wilko","Bathroom Caddy","Black","Small",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","327702","Wilko Large Caddy Black","Wilko","Bathroom Caddy","Black","Large",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","327818","Wilko Mosaic Glass Shelf Silver","Wilko","Bathroom Shelves","Silver","Single","No",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327819","Wilko Mosaic Towel Rail Silver","Wilko","Towel Rails and Hooks","Silver","Single","No",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327821","Wilko Mosaic Robe Hook Silver","Wilko","Towel Rails and Hooks","Silver","Single","No",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327822","Wilko Mosaic Towel Ring Silver","Wilko","Towel Rails and Hooks","Silver","Single","No",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","327823","Wilko Mosaic Glass and Holder Silver","Wilko","Tumblers","Silver","Single","No",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","337343","Croydex Slow Close Antibacterial Toilet Seat White","Wilko","Toilet Seats","White",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.833333333333333
"HOM","BAT","341652","Wilko Dome Pedal Bin Black Small","Wilko","Bathroom Bin","Black",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341655","Wilko Bath Mat Purple Chevron 50 x 70cm","Wilko","Bath Mats","Purple","50x70cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341656","Wilko Bath Mat Black Chevron 50 x 70cm","Wilko","Bath Mats","Black","50x70cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","341697","Wilko Light Pull Silver Mosaic","Wilko","Light Pulls","Silver",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","341702","Wilko Woven Design Caddy Aqua Small","Wilko","Storage Caddy","Green","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","BAT","342246","Wilko Stripe Laundry Bag Beige","Wilko","Laundry Bags","Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","342263","Wilko 4 Drawer Unit Beige Stripe","Wilko","Storage Tower","Brown","4 Drawer",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","342264","Wilko 4 Drawer Unit Blue Stripe","Wilko","Storage Tower","Blue","4 Drawer",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","342322","Wilko Laundry Bin Beige Stripe","Wilko","Laundry Baskets","Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"HOM","BAT","407423","Wilko Lights and Darks Laundry Bin","Wilko","Laundry Baskets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"HOM","BAT","407441","Wilko Retro Bin Grey","Wilko","Pedal Bins",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.825
"HOM","BAT","407450","Wilko Palm Tree Shower Curtain","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","421112","Wilko Dome Pedal Bin Small Aqua","Wilko","Pedal Bins",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.825
"HOM","BAT","423297","Wilko Aqua Soap Dispenser","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72
"HOM","BAT","423320","Wilko 3 Drawer Medium Tower Unit","Wilko","Storage Drawers",NA,"27cm x 19cm x 47.5cm",NA,"POLYPROPYLENE",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","423321","Wilko Swing Bin 12L","Wilko","Swing Bins",NA,"17.5cm x 24cm x 36cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.883333333333333
"HOM","BAT","423847","Wilko Dome Pedal Bin Small Purple","Wilko","Pedal Bins",NA,"16.8 x H28.6cm",NA,NA,NA,NA,"1","3 litre",NA,NA,NA,0.941666666666667
"HOM","BAT","425737","Wilko Words Toilet Seat","Wilko","Toilet Seats",NA,"45.5cm x 36.6cm x 5.2cm",NA,"Molded Wood and Zinc Alloy",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425738","Wilko Groove Toilet Seat Black","Wilko","Toilet Seats",NA,"45.5cm x 36.6cm x 5.2cm",NA,"Molded Wood and Zinc Alloy",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425739","Wilko Toilet Seat Matt Aqua","Wilko","Toilet Seats",NA,"45.5cm x 36.6cm x 5.2cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.883333333333333
"HOM","BAT","425889","Wilko Hearts Shower Curtain","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425890","Wilko Chevron Shower Curtain Black","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425891","Wilko Chevron Shower Curtain Aqua","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425892","Wilko Chevron Shower Curtain Purple","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425893","Wilko Pineapple Shower Curtain","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Painted Paper",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425894","Wilko Shower Curtain Metalic Plum","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Dye",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425897","Wilko Pop up  Bin Black","Wilko","Pop Up Bins",NA,"34cm x 45cm",NA,"Polyester",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","425898","Wilko Pop up Bin White","Wilko","Pop Up Bins",NA,"34cm x 45cm",NA,"Polyester",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","425899","Wilko Pop up Bin Aqua","Wilko","Pop Up Bins",NA,"34cm x 45cm",NA,"Polyester",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","425903","Wilko Satin Stripe Shower Curtain White","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Dye",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425904","Wilko Satin Stripe Shower Curtain Black","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Dye",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425908","Wilko Satin Stripe Shower Curtain Aqua","Wilko","Shower Curtains",NA,"180cm x180cm",NA,NA,NA,"Dye",NA,NA,NA,NA,NA,0.93
"HOM","BAT","425909","Wilko Clear Jewel Over Door Hook","Wilko","Door Hooks",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.86
"HOM","BAT","425938","Wilko Memory Foam Bath Mat Pebble Cream","Wilko","Bath Mats",NA,"61x43cm",NA,"100% polyester","Wash at 30",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","425939","Wilko Memory Foam Bath Mat Pebble White","Wilko","Bath Mats",NA,"61x43cm",NA,"100% polyester","Wash at 30",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","426362","Wilko Mosaic Waste Bin Silver","Wilko","Waste Paper Bin",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.825
"HOM","BAT","426378","Wilko Toilet Seat Oakwood Veneer","Wilko","Toilet Seats",NA,"45.5cm x 37cm x 5.5cm",NA,"MDF and Zinc Alloy",NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","426379","Wilko Foot Massage Bath Mat White","Wilko","Bath Mats",NA,"71cm x 41cm",NA,"PVC",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","426380","Wilko Comfort Bath Mat White","Wilko","Bath Mats",NA,"69cm x 40cm",NA,"PVC",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","426418","Wilko Sparkle Mirror Plaque","Wilko","Wall Signs",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.86
"HOM","BAT","426428","Wilko Bathroom Caddy Aqua and White","Wilko","Storage Caddy",NA,"24cm x 16.5cm x 10cm",NA,"ABS Plastic",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","426640","Wilko Nautical Stripe Laundry Bin","Wilko","Laundry Baskets",NA,"33cm x4 3cm x 60cm",NA,"Polyester Cotton",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","426641","Wilko Nautical Stripe 4 Drawer Unit","Wilko","Storage Drawers",NA,"27.5cm x 26cm x 90cm",NA,"Polyester Cotton",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","426642","Wilko Come Out In the Wash Laundry Bag","Wilko","Laundry Baskets",NA,"34cm x 36cm x 48cm",NA,"Polyester Cotton",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","426704","Wilko Bath Mat Aqua","Wilko","Bath Mats",NA,"50x70cm",NA,"100% Cotton","Wash at 40",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","426705","Wilko Sparkle Bath Mat Plum","Wilko","Bath Mats",NA,"50x70cm",NA,"100% Cotton","Wash at 40",NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","427760","Wilko Blue And White Striped Laundry Bag","Wilko","Laundry Baskets",NA,"34cmx36cmx48cm",NA,"Polyester Cotton",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","427898","Wilko Sparkle Hand Towel Plum","Wilko","Hand Towels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"HOM","BAT","428212","Wilko Bathroom Cabinet Single Mirror Door","Wilko","Bathroom Cabinets",NA,"30cm x 12cm x 50cm","No","STAINLESS STEEL430,GLASS",NA,NA,"1",NA,NA,NA,NA,0.95
"HOM","BAT","428213","Wilko Bathroom Double Cabinet Mirror Door","Wilko","Bathroom Cabinets",NA,"45cm x 13cm x 45cm","No","STAINLESS STEEL430,GLASS",NA,NA,"1",NA,NA,NA,NA,0.95
"HOM","BAT","451426","Wilko Coastal Shower Curtain Blue","Wilko","Shower Curtains",NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","451427","Wilko Coastal Plaque","Wilko","Wall Signs",NA,"1 x 23 x 30.5cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451430","Wilko Coastal Beach Hut Storage","Wilko","Bathroom Ornament",NA,"12 x 10 x 12cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451431","Wilko Coastal Soap Dispenser","Wilko","Soap Dispenser",NA,"L7.5 x W7.5 x H15 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451432","Wilko Coastal Soap Dish","Wilko","Soap Dish",NA,"L11 x W11 x H2.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451433","Wilko Coastal Tumbler","Wilko","Tumblers",NA,"L7.8 x W7.8 x H9.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451434","Wilko Stone Heart Light Pull","Wilko","Light Pulls",NA,"L2 x W4.7 x H134 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451435","Wilko Stone Hearts Set of 3","Wilko","Bathroom Ornament",NA,"L2 x W7.2 x H8 (CM) per heart",NA,NA,NA,NA,"3",NA,NA,NA,NA,0.93
"HOM","BAT","451438","Wilko Coastal Candle Blue","Wilko","Candles",NA,"5cm x 8cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451439","Wilko Laundry Bag Light Blue Stripes","Wilko","Laundry Bags",NA,"1.0 x 41 x 65cm",NA,"Paperloom 60% Polyester 40%",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","451440","Wilko Coastal Toilet Seat","Wilko","Toilet Seats",NA,"45.5cm x 36.6cm x 5.2cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451441","Wilko Symmetry Shower Curtain Aqua","Wilko","Shower Curtains",NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","451442","Wilko Love Your Bath Plaque Aqua","Wilko","Wall Signs",NA,"0.8 x 11 x 25.5cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451443","Wilko Soft Touch Toothbrush Holder Fresh Aqua","Wilko","Tumblers",NA,"L5.2 x W7.6 x H9.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451444","Wilko Soft Touch Soap Dispenser Fresh Aqua","Wilko","Soap Dispenser",NA,"L5.2 x W7.6 x H15.8 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451445","Wilko Soft Touch Toothbrush Holder White","Wilko","Tumblers",NA,"L5.2 x W7.6 x H9.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451446","Wilko Soft Touch Soap Dispenser White","Wilko","Soap Dispenser",NA,"L5.2 x W7.6 x H15.8 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451447","Wilko Symmetry Bath Mat","Wilko","Bath Mats",NA,"50 x 70cm",NA,"Pile - 100% Cotton",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","451449","Wilko Love Your Bath Plaque Grey","Wilko","Wall Signs",NA,"0.8 x 11 x 25.5cm",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451450","Wilko Grey Stripes Shower Curtain","Wilko","Shower Curtains",NA,"180cm x 180cm x 0.1mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","451451","Wilko Soft Touch Soap Dispenser Grey","Wilko","Soap Dispenser",NA,"L5.2 x W7.6 x H15.8 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451452","Wilko Soft Touch Toothbrush Holder Grey","Wilko","Tumblers",NA,"L5.2 x W7.6 x H9.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451453","Wilko Soft Touch Soap Dispenser Black","Wilko","Soap Dispenser",NA,"L5.2 x W7.6 x H15.8 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451454","Wilko Soft Touch Toothbrush Holder Black","Wilko","Tumblers",NA,"L5.2 x W7.6 x H9.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451455","Wilko Plastic Caddy Black","Wilko","Bathroom Caddy",NA,"24cm x 16.5cm x 10cm",NA,"ABS Plastic 100%",NA,NA,"1","3L",NA,NA,NA,0.95
"HOM","BAT","451456","Wilko Plastic Caddy Grey","Wilko","Bathroom Caddy",NA,"24cm x 16.5cm x 10cm",NA,"ABS Plastic 100%",NA,NA,"1","3L",NA,NA,NA,0.95
"HOM","BAT","451459","Wilko Suction Mirror","Wilko","Bathroom Mirrors",NA,"L1.3 x W15 x H20 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","451461","Wilko Baskets Set of 2","Wilko","Bathroom Caddy",NA,"17.5 x 30 x cm",NA,"Water Hyacinth 100%",NA,NA,"2",NA,NA,NA,NA,0.9
"HOM","BAT","452662","Wilko Over Door Bath Storage","Wilko","Over Door Storage",NA,"25cm x18cm x65cm",NA,"Iron wire",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BAT","453199","Wilko Coastal Bath Mat","Wilko","Bath Mats",NA,"50 x 70cm",NA,"Pile - 100% Cotton",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","453200","Wilko Resin Sparkle Soap Dispenser","Wilko","Soap Dispenser",NA,"L8 x W8 x H17.5 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","453201","Wilko Resin Sparkle Tumbler","Wilko","Tumblers",NA,"L8 x W8 x H11 (CM)",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.93
"HOM","BAT","83998","Wilko Shower Curtain PVC White","Wilko","Shower Curtains",NA,"Single",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"HOM","BAT","182571","Wilko Functional Bath Shower Spray","Wilko Functional","Shower Heads",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,0.9125
"HOM","BAT","273035","Wilko Functional Mechanical Bathroom Scales","Wilko Functional","Bathroom Scales","White","Single",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","310208","Wilko Functional Toilet Seat","Wilko Functional","Toilet Seats","White","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310377","Wilko Waste Bin Opaque Plastic","Wilko Functional","Bathroom Bin","Clear","Single",NA,NA,NA,NA,"1",NA,NA,NA,NA,0.891666666666667
"HOM","BED","324889","Wilko Fitted Sheet Double White","Wilko","Double Fitted Sheet","White","Double",NA,"52% Polyester, 48% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324890","Wilko Fitted Sheet King Size White 150 x 200cm","Wilko","Kingsize Fitted Sheet","White","Kingsize",NA,"52% Polyester, 48% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324892","Wilko Valance Double White 140 x 190cm","Wilko","Double Valance","White","Double",NA,"52% Polyester, 48% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324899","Wilko Valance Cream Double 140x190cm","Wilko","Double Valance","Cream","Double",NA,"52% Polyester, 48% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324905","Wilko Valance White Single","Wilko","Single Valance","White","Single",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324906","Wilko Valance Double White","Wilko","Double Valance","White","Double",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324918","Wilko Fitted Sheet Single Parchment","Wilko","Single Fitted Sheet","Brown","Single",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324920","Wilko Fitted Sheet King Size Parchment","Wilko","Kingsize Fitted Sheet","Brown","Kingsize",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","324921","Wilko Valance Single Parchment","Wilko","Single Valance","Brown","Single",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","325400","Wilko Fitted Sheet Double Taupe","Wilko","Double Fitted Sheet","Orange","Double",NA,"100% Cotton","Washable",NA,NA,NA,NA,NA,NA,0.95
"HOM","BED","423223","Wilko Fitted Sheet Single Black","Wilko","Single Fitted Sheet",NA,"90cm x 190cm x 25cm",NA,"Fabric","Wash at 40",NA,"1",NA,NA,NA,NA,0.95
"HOM","BED","423224","Wilko Fitted Sheet Double Black","Wilko","Double Fitted Sheet",NA,"Fitted sheet Double 140x190x25cm",NA,"Fabric",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BED","423225","Wilko Fitted Sheet King Size Black","Wilko","Kingsize Fitted Sheet",NA,"Fitted sheet King 150X200X25",NA,"Fabric",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BED","423226","Wilko Housewife Pillowcases Black 2pk","Wilko","Housewife Pillowcase",NA,"50 x 75 x 13cm",NA,"Fabric",NA,NA,"2",NA,NA,NA,NA,0.9
"HOM","BED","423227","Wilko Fitted Sheet Single Plum","Wilko","Single Fitted Sheet",NA,"Fitted sheet Single 90x190x25cm",NA,"Fabric",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BED","423228","Wilko Fitted Sheet Double Plum","Wilko","Double Fitted Sheet",NA,"Fitted sheet Double 140x190x25cm",NA,"Fabric",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BED","423229","Wilko Fitted Sheet King Size Plum","Wilko","Kingsize Fitted Sheet",NA,"Fitted sheet King 150X200X25cm",NA,"Fabric",NA,NA,"1",NA,NA,NA,NA,0.9
"HOM","BED","423231","Wilko Housewife Pillowcase Plum","Wilko","Housewife Pillowcase",NA,"Housewife Pillow Pair 50X75X13CM",NA,"Fabric",NA,NA,"2",NA,NA,NA,NA,0.9
"HOM","BED","424523","Wilko Fitted Sheet Single Caramel","Wilko","Single Fitted Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
