"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"PET","100","313751","Good Boy Lob It! Space Lobber Giant","Good Boy","Giant",NA,NA,NA,NA,NA,0.86
"PET","100","313766","Armitage Pet Care Floppy Moppy","Good Boy","19.4x9.2cm",NA,NA,NA,NA,NA,0.81
"PET","100","313810","Good Boy Clean Green Dog Loo","Good Boy",NA,"Green","1",NA,NA,NA,0.93
"PET","100","313763","Hagen Green-X Phosphate Remover 4g","Hagen","4g",NA,NA,NA,NA,NA,0.86
"PET","100","453407","HandiPOD Purple Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","14.5 x 4.5 x 4.5cm","Purple","1",NA,NA,NA,1
"PET","100","453408","HandiPOD Purple Antibacterial Hand SanitiserPOD and 40 Poop Bags","HandiPOD",NA,NA,NA,NA,NA,NA,0.79
"PET","100","453410","HandiPOD Black Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD",NA,NA,"1",NA,NA,NA,0.86
"PET","100","453411","HandiPOD Hand Sanitiser and Two Rolls Refill Pack","HandiPOD",NA,NA,"1",NA,NA,NA,0.86
"PET","100","453412","HandiPOD Poop Bag Refills Black 4pk","HandiPOD",NA,NA,"4",NA,NA,NA,0.86
"PET","100","454280","Little Rascals Sock Monkey Puppy Toy","Happy Pet","31 x 13 x 7cm",NA,"1",NA,NA,NA,0.88
"PET","100","454281","Little Rascals Teething Bone Keys","Happy Pet","15x5x3cm",NA,"1",NA,NA,NA,0.88
"PET","100","454282","Nuts for Knots King Size Dog Rope Tugger","Happy Pet","130x14x14cm",NA,"1",NA,NA,NA,0.88
"PET","100","454283","Happy Pet Vinyl Doughnuts Dog Toy","Happy Pet","14cm",NA,"1",NA,NA,NA,0.93
"PET","100","454284","Happy Pet Gum Gum Figure of 8 Dog Toy","Happy Pet","32x11x6cm",NA,"1",NA,NA,NA,0.93
"PET","100","454285","Happy Pet Egg Noggins Dog Toy","Happy Pet","13x10x8cm",NA,"1",NA,NA,NA,0.93
"PET","100","314878","Harringtons Rich in Lamb and Rice 15kg","Harringtons","15kg",NA,"1",NA,NA,NA,1
"PET","100","314879","Harringtons Rich in Turkey with Veg 15kg","Harringtons","15kg",NA,"1",NA,NA,NA,1
"PET","100","453909","Harringtons Hypoallergenic Dog Food Lamb andBrown Rice 5kg","Harringtons","5kg",NA,"1",NA,NA,NA,0.95
"PET","100","453910","Harringtons Hypoallergenic Turkey 5kg","Harringtons","5kg",NA,"1",NA,NA,NA,0.95
"PET","100","314241","Wild Bird Food High-Energy No-Mess 15kg","Harvest","15kg",NA,"1",NA,NA,NA,0.95
"PET","100","440069","HiLife Feed Me with Beef and Fresh Vegetables Flavoured with Cheese 6kg","Hilife","6kg",NA,"1",NA,NA,NA,1
"PET","100","440070","HiLife Feed Me with Turkey,Chicken & Fresh Vegetables Flavoured with Bacon 6kg","Hilife","6kg",NA,"1",NA,NA,NA,1
"PET","100","440071","HiLife Feed Me with Lamb and Chicken Flavoured with Tomato and Vegetables 6kg","Hilife","6kg",NA,"1",NA,NA,NA,1
"PET","100","314864","Hills Science Plan Adult 1-6 Optimal Care Chicken400g","Hills","400g",NA,"1",NA,NA,NA,1
"PET","100","314865","Hills Science Plan Adult 1-6 Optimal Care with Tuna 400g","Hills","400g",NA,"1",NA,NA,NA,1
"PET","100","314866","Hills Science Plan Adult 1-6 Optimal Care Chicken2kg","Hills","2kg",NA,"1",NA,NA,NA,1
"PET","100","314867","Hills Science Plan Adult 1-6 Optimal Care with Tuna 2kg","Hills","2kg",NA,NA,NA,NA,NA,0.8625
"PET","100","314868","Hills Science Plan Kitten Healthy Development Chicken 2kg","Hills","2kg",NA,"1",NA,NA,NA,0.88
"PET","100","314869","Hills Science Plan Kitten Healthy Development Chicken 400g","Hills","400g",NA,"1",NA,NA,NA,0.88
"PET","100","314257","Iams Proactive Nutrition Adult Small Medium Rich in Succulent Roast Chicken 7.5kg","Iams","7.5kg",NA,"1",NA,NA,NA,1
"PET","100","314260","Iams Proactive Nutrition Puppy and Junior Small and Medium Breed Rich Roast Chicken 3kg","Iams","3kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314831","Iams Proactive Nutrition Adult Large Rich in Succulent Roast Chicken 12kg","Iams","12kg",NA,NA,NA,NA,NA,0.9125
"PET","100","314075","Cat Scratcher 2 Tier Paw Shape 44cm","James & Steel","44cm",NA,NA,"Sisal","No",NA,0.6
"PET","100","303747","Keep Well Poultry Tonic 250g","Keep Well","250g",NA,NA,NA,NA,NA,0.9125
"PET","100","314433","King British Green Water Control Pond Water Treatment 250ml","King British",NA,NA,NA,NA,NA,NA,1
"PET","100","314435","King British White Spot Control Pond Fish Medicine250ml","King British",NA,NA,NA,NA,NA,NA,1
"PET","100","314437","King British Sludge Remover Pond Water Treatment 250ml","King British",NA,NA,NA,NA,NA,NA,1
"PET","100","335691","King British Barley Straw Extract 250ml","King British",NA,NA,NA,NA,NA,NA,1
"PET","100","334155","Komodo Ceramic Heater ES 100W","Komodo",NA,NA,NA,NA,NA,NA,0.95
