"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Age","DQ Score"
"DIY","CYC","445334","Flite Active Hardtail Mountain Bike Blue 20"" Wheel","Flite","130cm x 20cm x 76xm","Blue",NA,NA,NA,"12 Years +",1
"DIY","CYC","445335","Flite Active Hardtail Mountain Bike Purple18 Gears 26in Wheel","Flite","130cm x 20cm x 76xm","Purple",NA,NA,NA,"12 Years +",1
"DIY","CYC","445337","Flite Taser II Dual Suspension Mountain Bike Blackand Purple 18 Speed 26in Wheel","Flite","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","445338","Flite Phaser Dual Suspension Mountain Bike Black18 Gears 26in Wheel","Flite","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","431574","Kidzamo Dinosaur Helmet 48-54cm","Kidzamo","48-54cm","Green","1","No",NA,NA,0.65
"DIY","CYC","431575","Kidzamo Pony Helmet 48-54cm","Kidzamo","48-54cm","White","1","No",NA,NA,0.65
"DIY","CYC","445310","Sonic Daisy Bike White/Pink, 12"" Wheel","Sonic","67cm x 15cm x 36cm","Pink",NA,NA,NA,"2 - 4 Years",1
"DIY","CYC","445312","Sonic Buzz Bike Spoked Wheels, 12"" Wheel","Sonic","67cm x 15cm x 36cm","Black",NA,NA,NA,"2 - 4 Years",1
"DIY","CYC","445316","Sonic Glamour Bike, 16"" Wheel","Sonic","98cm x 16cm x 55cm","Purple",NA,NA,NA,"6 - 8 Years",1
"DIY","CYC","445365","Vitesse Swift 21 Speed Road Bike White, 22"" Wheel","Vittesse","130cm x 20cm x 76xm","White",NA,NA,NA,"12 Years +",0.95
"DIY","CYC","445366","Vitesse Rapid Alloy Road Bike 22in Frame 700c Wheel","Vittesse","130cm x 20cm x 76xm","Blue",NA,NA,NA,"12 Years +",0.95
"DIY","CYC","445367","Vitesse Rush Alloy Road Bike 22in Frame 700c Wheel","Vittesse","130cm x 20cm x 76xm","Red",NA,NA,NA,"12 Years +",0.95
"DIY","CYC","106136","Wilko Universal Brake Inner Wire 1.2m","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","106137","Wilko Cantilever Brake Pads 52mm Blocks","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","11468","Wilko Cycle Tyre Levers 3pk","Wilko","3 Pack",NA,"3pk",NA,NA,NA,0.883333333333333
"DIY","CYC","11541","Wilko Cycle Pump with Adaptor Black 15in","Wilko","15in",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","120313","Wilko Inner Tube 26in 1.75 x 2.125 Schrader Valve","Wilko","26x1.75",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","120314","Wilko Inner Tube 24in 1.75 x 2.125 Schrader Valve","Wilko","24x1.75",NA,NA,NA,NA,NA,0.825
"DIY","CYC","120315","Wilko Inner Tube 20in 1.75 x 2.125 Schrader Valve","Wilko","20x1.75s/v",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","120316","Wilko Inner Tube 27in 1 and 1/4in Presta Valve","Wilko","27x1.4s/v",NA,NA,NA,NA,NA,0.825
"DIY","CYC","128446","Wilko Clip On Front Mud Guard","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","128451","Wilko 12 Function Cycle Computer","Wilko","1 Pack",NA,"1","No","Battery",NA,0.65
"DIY","CYC","128490","Wilko I Love My Bike Cycle Bell","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","128513","Wilko Handlebar Grips Set of 2","Wilko","2 Pack",NA,"2pk",NA,NA,NA,0.883333333333333
"DIY","CYC","128517","Wilko Mountain Bike Cycle Pump","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","128523","Wilko Cycle Tyre 20 x 1.75in","Wilko","20 x 1.75in",NA,NA,NA,NA,NA,0.825
"DIY","CYC","128525","Wilko Mountain Bike Cycle Tyre 26 x 1.75in","Wilko","26X1.75",NA,NA,NA,NA,NA,0.825
"DIY","CYC","128526","Wilko Cycle Tyre Size 26 x 1.95in","Wilko","26x1.95",NA,NA,NA,NA,NA,0.825
"DIY","CYC","130970","Wilko Gel Filled Saddle Cover","Wilko",NA,NA,"1pk",NA,NA,NA,0.825
"DIY","CYC","194385","Wilko V- Style Brake Pads","Wilko","2 Pack",NA,"2pk",NA,NA,NA,0.883333333333333
"DIY","CYC","198925","Wilko Saddle Bag Black Small","Wilko","Small",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","198934","Wilko Trouser Bands Black 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,0.825
"DIY","CYC","199286","Wilko Cross Country Cycle Tyre","Wilko",NA,NA,"1pk",NA,NA,NA,0.825
"DIY","CYC","199287","Wilko Inner Tube 700C Presta Valve","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","226343","Wilko PVC Bicycle Cover","Wilko","One Size",NA,NA,NA,NA,NA,0.825
"DIY","CYC","257873","Wilko Universal Gear Inner Wire","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","258252","Wilko Cycle Water Bottle Cage Black Steel","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","258261","Wilko Universal Rear Mudguard Black","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","258262","Wilko Detachable Cycle Basket Black","Wilko","Large",NA,NA,NA,NA,NA,0.825
"DIY","CYC","258269","Wilko Pump Connector Dual Fitting","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","286539","Wilko Cycle Multi Tool","Wilko",NA,NA,"1pk",NA,NA,NA,0.825
"DIY","CYC","286541","Polisport Drinks Bottle 900ml","Wilko","900ml",NA,NA,NA,NA,NA,0.775
"DIY","CYC","286542","Wilko Water Bottle Cage Aluminium","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","286543","Wilko Cycle Bell Mini Flick Black","Wilko","Universal",NA,NA,NA,NA,NA,0.825
"DIY","CYC","286889","Wilko Bicycle Flick Bell Football Black and White","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","286890","Wilko Bicycle Flick Bell Ladybird","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","323218","Wilko 11 in 1 Multi Tool","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","323219","Wilko Inner Tube 700C Presta Valve","Wilko","700 x 18/20/25",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","323221","Bi-Tech Performance Track Mitts Black Small/Medium","Wilko","Small/Medium",NA,NA,NA,NA,NA,0.775
"DIY","CYC","323222","Bi-Tech Performance Track Mitts Black Large/Ex Large","Wilko","Large, Ex Large",NA,NA,NA,NA,NA,0.775
"DIY","CYC","323223","Bi-Tech Cycle Lightweight Gloves Grey Small/Medium","Wilko","Small, Medium",NA,NA,NA,NA,NA,0.775
"DIY","CYC","323224","Wilko Full finger Gloves Extra Large","Wilko","X Large",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","323225","Wilko Track Pump with Pressure Gauge Black","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","337663","Wilko Pocket Dual Valve Pump","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343816","Wilko Pannier Bag Black","Wilko","2 Pack",NA,NA,"No",NA,NA,0.65
"DIY","CYC","343818","Wilko Wicker Cycle  Basket Includes BracketAttachment","Wilko","1 Pack",NA,NA,"No",NA,NA,0.65
"DIY","CYC","343819","Wilko Bicycle Bugle Horn","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","343822","Wilko Cycle Chain 1-3 Speed","Wilko",NA,NA,"1pk",NA,NA,NA,0.825
"DIY","CYC","343860","Wilko Cycle Helmet Urban/BMX Black 54-58cm","Wilko","54-58cm",NA,NA,NA,NA,NA,0.825
"DIY","CYC","343862","Wilko Bicycle Gel Grips Black","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343864","Wilko Clip On Mud Guard 26in Set of 2","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343872","Wilko Toe Clips And Straps","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343873","Wilko Mini Cycle Pump","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343878","Wilko Comfort Gel Saddle Black","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","343879","Wilko Cruiser Gel Saddle With Coil Spring","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344091","Wilko Inner Tube 12 x 1.75in Schrader valve","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344092","Wilko Inner Tube 16 x 1.75-2.125in Schrader Valve","Wilko",NA,NA,"1pk",NA,NA,NA,0.825
"DIY","CYC","344093","Wilko Inner Tube 26 x 1.5-2.125in  Presta Valve","Wilko",NA,NA,"1 pk",NA,NA,NA,0.825
"DIY","CYC","344094","Wilko Inner Tube 29 x 1.9-2.3in Presta Valve","Wilko","29in",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344100","Wilko Inner Tube 29 x 1.9-2.3in Schrader Valve","Wilko","29in",NA,NA,NA,NA,NA,0.825
"DIY","CYC","344163","Wilko Alloy Rear  Carrier Black","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344165","Wilko Cycle Chain 9 Speed","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344170","Wilko Dumbell Spanner   6-15mm","Wilko","6-15mm",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344192","Wilko Cycle Helmet Adult 58-62cm","Wilko","58-62cm",NA,NA,NA,NA,NA,0.825
"DIY","CYC","344193","Wilko Cycle Helmet Youth 54-58cm","Wilko","54-58cm",NA,NA,NA,NA,NA,0.825
"DIY","CYC","344401","Wilko Handlebar Tape Black","Wilko","1 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344404","Wilko Cycle Helmet Junior Pink 48-52cm","Wilko","48-52cm",NA,NA,NA,NA,NA,0.825
"DIY","CYC","344405","Wilko Cycle Helmet Junior Flame 48-52cm","Wilko","48-52cm",NA,NA,NA,NA,NA,0.825
"DIY","CYC","344431","Wilko Pedal Resin Adult 9/16in","Wilko","9-16in",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344432","Wilko Pedal Alloy Adult 9/16in","Wilko","2 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","344435","Wilko Rack Top Bag","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","345583","Sam Browne  Reflective Belt and Sash Large","Wilko","Large",NA,"1",NA,NA,NA,0.833333333333333
"DIY","CYC","345585","Wilko Reflective Tape Yellow 25mm x 2m","Wilko","1 Pack",NA,NA,NA,NA,NA,0.825
"DIY","CYC","345587","Wilko Reflective Stickersheet 8pk","Wilko","8 Pack",NA,"1",NA,NA,NA,0.883333333333333
"DIY","CYC","345641","Water Bottle and Alloy  Cage Set","Wilko","2 Pack",NA,NA,NA,NA,NA,0.775
"DIY","CYC","431576","Wilko Universal Complete Brake Cable","Wilko","48-54cm","Black","1",NA,NA,NA,0.941666666666667
"DIY","CYC","431577","Wilko Reflective Spoke Sticks 10pk","Wilko","48-54cm","Yellow","10",NA,NA,NA,0.941666666666667
"DIY","CYC","431578","Wilko Shackle Lock 320 x 165mm","Wilko","12 x 165 x 320mm","Black","1",NA,NA,NA,0.941666666666667
"DIY","CYC","431580","Wilko Puncture Protection Tyre 26 x 1.90in","Wilko","26 x 1.90in","Black","1",NA,NA,NA,0.941666666666667
"DIY","MOT","ml00282","Barracuda Radon Alloy Gents Mountain Bike Black","Barracuda","26in","Black",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00286","Barracuda Vantos Flat Bar Road Bike Blue/White700c","Barracuda","700C","White",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00178","Moore Large Spokey Joe Trailer Blue","Moore Large",NA,"Blue","1",NA,NA,NA,0.883333333333333
"DIY","MOT","ml00227","Barracuda Lynx Mountain Bike Pink And White","Moore Large","26in","White",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00241","Barracuda Gents Liberty Trekking Bike Silver 700c","Moore Large","700C","Silver",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00267","Classic Touriste 700c Ladies Bike White","Moore Large","700C","White",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00279","Flite Taser 18 Speed Dual Suspension Ladies BikePink and Black","Moore Large","26in","Black",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00290","Lombardo 350 Gents 21-Speed Bike 26inch","Moore Large","26in","Blue",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00292","Lombardo 500 Gents 21-Speed 26inch","Moore Large","26in","White",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00293","Lombardo 600 Gents 27-Speed Bike 26inch","Moore Large","26in","Black",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00294","Lombardo Rimini Ladies Single-Speed 26in","Moore Large","26in","White",NA,NA,NA,"12+ years",0.95
"DIY","MOT","ml00204","M/L Sonic Glamour 16in Girls Bike Purple","Sonic","16in","Purple",NA,NA,NA,"5-7 years",1
"DIY","MOT","ml00261","Moore Large Sonic Daisy Girls Bike Pink","Sonic","12in","Pink",NA,NA,NA,"3.5-5 years",1
