"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","Model Number","DQ Score"
"XMD","LIG","440008","Wilko Christmas 100 Static LED Lights Red GreenCable","Wilko","8.4m","Green","1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
"XMD","LIG","440009","Wilko Christmas 100 Static LED Lights Warm WhiteClear Cable","Wilko","8.4m","Clear","1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
"XMD","LIG","440010","Wilko Christmas 100 Static LED Lights Pastel ClearCable","Wilko","8.4m","Clear","1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
"XMD","LIG","440011","Wilko Christmas 300 LED Lights White with ClearCable","Wilko","25m","Clear","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS300LXD-MF/W/C CONN",0.65
"XMD","LIG","440012","Wilko Christmas 300 Multifunction LED Lights Whitewith Black Cable","Wilko","25m","Black","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS300LXDMFWBCONN",0.65
"XMD","LIG","440014","Wilko Christmas 300 Multifunction LED Lights WarmWhite with Green Cable","Wilko","25m",NA,"1","PVC, Copper","No",NA,"Mains Operated",NA,"JS300LXD-MF/W1/G",0.65
"XMD","LIG","440015","Wilko Christmas 300 Multifunction LED LightsMulticoloured with Black Cable","Wilko","25m","Black","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS300LXD-MF/M/B CONN",0.65
"XMD","LIG","440016","Wilko Christmas 600 Multifunction LED Lights WarmWhite with Black Cable","Wilko","16m","Clear","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS600LXDY10-MF/W1",0.65
"XMD","LIG","440017","Wilko 600 Multifunction LED String Lights Whitewith Black Cable 16.4m","Wilko","16m","Black","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS600LXDY10-MF/W",0.65
"XMD","LIG","440018","Wilko Christmas 600 Multifunction LED LightsMulticoloured with Black Cable 16.4m","Wilko","16m","Clear","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS600LXDY10-MF/M",0.65
"XMD","LIG","440019","Wilko 1000 Multifunction LED String Lights WarmWhite with Black Cable 27m","Wilko","27m","Black","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS1000LXDY1-MF/W1",0.65
"XMD","LIG","440020","Wilko 1000 Multifunction LED String Lights Whitewith Black Cable 27m","Wilko","27m",NA,"1","PVC, Copper","No",NA,"Mains Operated",NA,"JS1000LXDY1-MF/W",0.65
"XMD","LIG","440021","Wilko Christmas 1000 Multifunction LED Lights Multicoloured with Black Cable 27m","Wilko","27m","Black","1","PVC, Copper","No",NA,"Mains Operated",NA,"JS1000LXDY1-MF/M",0.65
