"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"TOI","FEM","450023","Dove Deodorant Go Fresh 250ml","Dove","250ml",NA,"1",1
"TOI","FEM","451483","Dove Original Spray Deodorant 150ml","Dove","150ml",NA,"1",1
"TOI","FEM","451493","Dove Pomegranate Spray Deodorant 150ml","Dove",NA,NA,NA,0.825
"TOI","FEM","304186","Impulse Very Pink Body Spray 75ml","Impulse","75ml",NA,"1",1
"TOI","FEM","32543","Impulse Hint of Musk Bodyspray 75ml","Impulse","75ml",NA,NA,0.9125
"TOI","FEM","450024","Impulse Body Spray Instant Crush 75ml","Impulse","75ml",NA,"1",1
"TOI","FEM","454056","Impulse Sweet Smile Body Spray 75ml","Impulse","75ml",NA,"1",0.95
"TOI","FEM","73596","Impulse Tease Body Spray 75ml","Impulse","75ml",NA,"1",1
"TOI","FEM","83047","Impulse True Love Body Spray 75ml","Impulse","75ml",NA,"1",1
"TOI","FEM","189013","Sure Anti-Perspirant Cotton Dry 250ml","Sure","250ml",NA,"1",1
"TOI","FEM","252024","Sure Anti-Perspirant Crystal Clear 250ml","Sure",NA,NA,"1",0.9125
"TOI","FEM","278398","Sure Women Maximum Protection Anti-PerspirantEveryday Fresh 45ml","Sure",NA,NA,"1",0.9125
"TOI","FEM","286471","Sure Roll On Invisible Aqua 50ml","Sure","50ml",NA,"1",1
"TOI","FEM","304180","Sure Women Invisible Black and WhiteAnti Perspirant Deodorant Aerosol 250ml","Sure",NA,NA,"1",0.9125
"TOI","FEM","304183","Sure 48 Hour  Roll On Bright Bouquet 50ml","Sure","50ml",NA,"1",1
"TOI","FEM","304184","Sure Anti-Perspirant Bright Bouquet 250ml","Sure","250ml",NA,"1",1
"TOI","FEM","332844","Sure Anti-Perspirant Bright Bouquet 75ml","Sure","75ml",NA,"1",1
"TOI","FEM","335748","Sure Maximum Protection Anti-Perspirant Cream 45ml","Sure","45ml",NA,"1",1
"TOI","FEM","451487","Sure Invisible Aqua Spray Deodorant 150ml","Sure",NA,NA,NA,0.825
"TOI","FEM","451488","Sure Invisible Pure Spray Deodorant 150ml","Sure",NA,NA,NA,0.825
"TOI","FEM","49930","Sure Cool Blue Roll On 50ml","Sure","50ml",NA,"1",1
"TOI","FEM","62791","Sure Roll-On Cotton Dry 50ml","Sure","50ml",NA,"1",1
"TOI","FEM","286997","Vaseline Anti-Perspirant Active Fresh 250ml","Vaseline","250ml",NA,"1",1
"TOI","FEM","431454","Vaseline Anti-Perspirant Double Invisable 250ml","Vaseline",NA,NA,"1",0.9125
"TOI","FEM","451485","Vaseline Anti Perspirant Deodorant 150mlActive Fresh","Vaseline",NA,NA,NA,0.825
"TOI","FEM","451489","Vaseline Anti Perspirant Aloe Sensitive 48H150ml","Vaseline",NA,NA,NA,0.825
"TOI","FEM","95808","Vaseline Roll On Fresh 50ml","Vaseline","50ml",NA,"1",1
"TOI","FEM","95809","Vaseline Roll On Active 50ml","Vaseline","50ml",NA,"1",1
"TOI","MEN","225116","Brylcreem Gel Original 150ml","Brylcreem","150ml","Multi","1",1
"TOI","MEN","55412","Brylcreem Strong 24 Hour Hold Gel 150ml","Brylcreem","150ml","Multi","1",1
"TOI","MEN","286238","Dove Men+Care Clean ComfortAnti-Perspirant 250ml","Dove","250ml",NA,"1",1
"TOI","MEN","286241","Dove Men+Care Extra FreshAnti-Perspirant 250ml","Dove","250ml",NA,NA,0.9125
"TOI","MEN","286461","Dove Men+Care Body and Face Wash Clean Comfort250ml","Dove","250ml",NA,NA,0.9125
"TOI","MEN","332823","Dove Men+Care Deodorant Roll On Clean ComfortAnti-Perspirant 50ml","Dove","50ml",NA,"1",1
"TOI","MEN","450369","Dove For Men Shower Gel Minerals And Sage 250ml","Dove",NA,NA,"1",0.9125
"TOI","MEN","100599","Lynx Shower Gel Africa 250ml","Lynx","250ml",NA,"1",1
"TOI","MEN","200159","Lynx Dark Temptation Shower Gel 250ml","Lynx","250ml",NA,"1",1
"TOI","MEN","202523","Lynx Dry Africa Anti-Perspirant150ml","Lynx","150ml",NA,"1",1
"TOI","MEN","237052","Lynx Dry Roll-On Africa Anti-Perspirant 50ml","Lynx","50ml",NA,"1",1
"TOI","MEN","237119","Lynx Dry Stick Anti-Perspirant Africa 50ml","Lynx","50ml",NA,"1",1
"TOI","MEN","304362","Lynx Body Spray Dark Temptation 200ml","Lynx","200ml",NA,"1",0.95
"TOI","MEN","304363","Lynx Body Spray Africa 200ml","Lynx",NA,NA,"1",0.8625
"TOI","MEN","306845","Lynx Shower Gel Africa 400ml","Lynx","400ml",NA,"1",1
"TOI","MEN","332814","Lynx Dry Africa Anti-Perspirant 200ml","Lynx","200ml",NA,"1",1
"TOI","MEN","352526","Lynx Shower Gel Excite 400ml","Lynx","400ml",NA,"1",1
"TOI","MEN","412042","Lynx XL Bodyspray Black 200ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","412047","Lynx Dry Black Anti-Perspirant 200ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","412050","Lynx Dry Black Anti-Perspirant 150ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","412051","Lynx Deodorant Bodyspray Black 150ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","412784","Lynx Black Shower Gel 250ml","Lynx","250ml",NA,"1",1
"TOI","MEN","438752","Lynx Daily Fragrance Wood and Dark Vanilla 100ml","Lynx",NA,NA,"1",0.9125
"TOI","MEN","438753","Lynx Daily Fragrance Urban Black 100ml","Lynx",NA,NA,"1",0.9125
