"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"TOI","SHC","306004","Wilko Shampoo Apple  and Tea Tree 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","SHC","306005","Wilko Conditioner Apple Tea Tree 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","SHC","306006","Wilko Shampoo Vanilla 750ml","Wilko",NA,NA,"1",NA,0.9125
"TOI","SHC","306007","Wilko Conditioner Vanilla 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","SHC","306008","Wilko Shampoo Jojoba 750","Wilko","750ml",NA,"1",NA,1
"TOI","SHC","306009","Wilko Conditioner Jojoba 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","SHC","306010","Wilko 2in1 Shampoo 300ml","Wilko",NA,NA,"1",NA,0.9125
"TOI","SHC","306011","Wilko Medicated Shampoo 300ml","Wilko","300ml",NA,"1",NA,1
"TOI","SHC","306012","Wilko Anti Dandruff Shampoo 300ml","Wilko","300ml",NA,NA,NA,0.9125
"TOI","SHC","306013","Wilko Anti Dandruff 2 in 1 300ml","Wilko","300ml",NA,"1",NA,1
"TOI","SHC","306085","Wilko Style Gel Wet Look 250ml","Wilko","250ml","Multi","1",NA,1
"TOI","SHC","306086","Wilko Hair Gel Extra Hold 500ml","Wilko","500ml","Multi","1",NA,1
"TOI","SHC","347673","Wilko Kids Shampoo Strawberry 250ml","Wilko","250ml",NA,"1","Toddler",1
"TOI","SHC","347674","Wilko Kids Detangling Spray Conditioner 150ml","Wilko","125ml",NA,"1","Toddler",1
"TOI","SHC","347675","Wilko Kids Apple  Shampoo 250ml","Wilko","250ml",NA,"1","Toddler",1
