"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Model Number","DQ Score"
"HOM","PHO","296979","Wilko Silver Butterfly Detail Photo Frame 6 x 4in","Wilko","6x4in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","309999","Wilko Silver Butterfly Detail Photo Frame 8 x 6in","Wilko","6x8in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","310005","Wilko Silver Butterfly Detail Photo Frame 7 x 5in","Wilko","5x7in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","311817","Wilko Black Multi Aperture Photo Frame9 x 6 x4in","Wilko","6x4in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","311818","Wilko Light Wood Effect Multi Aperture Photo Frame9 x 6 x 4in","Wilko","6x4in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","311819","Wilko White Multi Aperture Photo Frame9 x 6 x 4in","Wilko","6x4in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","326478","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","9x7in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","326479","Wilko Dorchester Gold Photo Frame 7 x 5in","Wilko","7x5in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","339749","Wilko Cream Distressed Photo Frame 5 x 5in","Wilko","12x20x18.5cm","Cream","1",NA,NA,NA,NA,NA,1
"HOM","PHO","339758","Wilko Cream Distressed Photo Frame 7 x 5in","Wilko","15x20x24cm","Cream","1",NA,NA,NA,NA,NA,1
"HOM","PHO","339759","Wilko Cream Distressed Photo Frame 8 x 6in","Wilko","19x22.5x26cm","Cream","1",NA,NA,NA,NA,NA,1
"HOM","PHO","339760","Wilko Cream Distressed Photo Frame 10 x 8in","Wilko","20x27.5x31.7cm","Cream","1",NA,NA,NA,NA,NA,1
"HOM","PHO","339761","Wilko Cream Distressed Photo Frame 12 x 10in","Wilko","2x32.5x37.5cm","Cream","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436361","Wilko Pewter Photo Frame 11 x 14in","Wilko","11x14in","Brown","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436362","Wilko Pewter Multi Aperture 20 x 24in","Wilko","Multi App Frame","Brown","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436363","Wilko Gold Dorchester Multi Aperture Photo Frame20 x 24in","Wilko","Multi App Frame","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436364","Wilko Silver Dorchester Multi Aperture PhotoFrame 20 x 24in","Wilko","Multi App Frame","Silver","1","PS, PVC","No",NA,NA,NA,0.65
"HOM","PHO","436365","Wilko Rustic Frame Multi Aperture Photo Frame20 x 24in","Wilko","Multi App Frame","Brown","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436366","Wilko Black Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","Multi App Frame","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436367","Wilko White Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","Multi App Frame","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436368","Wilko Grey Box Multi 6 Aperture Photo Frame16 x 16in","Wilko","Multi App Frame","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436369","Wilko Grey Photo Frame 8 x 8in","Wilko","8x8in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436370","Wilko Grey Photo Frame 12 x 12in","Wilko","12x12in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436371","Wilko Black Photo Frame 8 x 8in","Wilko","8x8in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436372","Wilko Black Photo Frame 12 x 12in","Wilko","12x12in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436373","Wilko White Photo Frame 8 x 8in","Wilko","8x8in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436374","Wilko White Photo Frame 12 x 12in","Wilko","12x12in","White","1","MDF, glass","No",NA,NA,NA,0.65
"HOM","PHO","436375","Wilko Light Wood Photo Frame 8 x 8in","Wilko","8x8in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436376","Wilko Light Wood Photo Frame 12 x 12in","Wilko","12x12in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436377","Wilko Black Photo Frame 3.5 x 5in","Wilko","3.5x5in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436378","Wilko White Photo Frame 3.5 x 5in","Wilko","3.5x5in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436379","Wilko Light Wood Photo Frame 3.5 x 5in","Wilko","3.5x5in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436380","Wilko Grey Photo Frame 3.5 x 5in","Wilko","3.5x5in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436381","Wilko Grey Photo Frame 4 x 6in","Wilko","4x6in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436382","Wilko Grey Photo Frame 5 x 7in","Wilko","5x7in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436383","Wilko Grey Photo Frame 6 x 8in","Wilko","6x8in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436384","Wilko Grey Photo Frame 8 x 10in","Wilko","8x10in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436385","Wilko Grey Photo Frame 10 x 12in","Wilko","10x12in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436386","Wilko Grey Photo Frame 11 x 14in","Wilko","11x14in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436387","Wilko Grey Photo Frame 16 x 20in","Wilko","16x20in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436388","Wilko Grey Triple Photo Frame 6 x 4in Each","Wilko","Multi 3x 6x4","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436390","Wilko Rococo Multi Aperture Photo Frame","Wilko","Multi App Frame","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436391","Wilko Family Multi Aperture Photo Frame","Wilko","Multi App Frame","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436392","Wilko Love Multi Aperture Photo Frame","Wilko","Multi App Frame","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436398","Wilko Distressed Grey Photo Frame 5 x 5in","Wilko","5x5in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436399","Wilko Distressed Grey Photo Frame 5 x 7in","Wilko","5x7in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436400","Wilko Distressed Grey Photo Frame 6 x 8in","Wilko","6x8in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436401","Wilko Distressed Grey Photo Frame 8 x 10in","Wilko","8x10in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436402","Wilko Distressed Grey Photo Frame 10 x 12in","Wilko","10x12in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436403","Wilko Silver Effect Decorative Frame 6 x 4in","Wilko","6x4in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436404","Wilko Silver Decorative Photo Frame 5 x 7in","Wilko","5x7in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436405","Wilko Silver Decorative Frame 6 x 8in","Wilko","6x8in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436407","Wilko Glass and Silver Border Photo Frame3.5 x 5in","Wilko","3.5x5in","Clear","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436408","Wilko Silver Border Glass Frame 4 x 6in","Wilko","4x6in","Clear","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436409","Wilko Silver Border Glass Photo Frame 7 x 5in","Wilko","7x5in","Clear","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436410","Wilko Silver Border Glass Photo Frame 6 x 8in","Wilko","6x8in","Clear","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436411","Wilko Beaded Mirrored Photo Frame 6 x 4in","Wilko","6x4in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436412","Wilko Beaded Mirrored Photo Frame 5 x 7in","Wilko","5x7in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436413","Wilko Beaded Mirrored Photo Frame 6 x 8in","Wilko","6x8in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436414","Wilko Beaded Mirrored Photo Frame 8 x 10in","Wilko","8x10in","Gold","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436415","Wilko Silver Box Photo Frame 8 x 10in","Wilko","8x10in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","436416","Wilko Silver Box Fram 8 x 6in","Wilko","8x6in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","437155","Wilko Grey Multi Aperture Photo Frame","Wilko","Multi 9x 6x4","Grey","1",NA,NA,NA,NA,NA,1
"HOM","STO","233860","Wilko 3 Drawer Faux Leather Storage Box Brown","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,1
"HOM","STO","233861","Wilko 4 Drawer Faux Leather Storage Chest Brown","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,1
"HOM","STO","264227","Wilko Faux Leather Oval Waste Paper Bin Black","Wilko","Single","Black","1",NA,NA,NA,NA,NA,1
"HOM","STO","264229","Wilko Faux Leather Oval Waste Paper Bin Brown","Wilko","Single","Brown","1",NA,NA,NA,NA,NA,1
"HOM","STO","275726","Wilko 4 Drawer  Willow Storage Unit White","Wilko","Single","White","1",NA,NA,NA,NA,NA,1
"HOM","STO","327051","Wilko 3 Drawer Faux Leather Storage Tower Black","Wilko","Single","Black","1",NA,NA,NA,NA,NA,1
"HOM","STO","327052","Wilko 4 Drawer Faux Leather Storage Tower Black","Wilko","Single","Black","1",NA,NA,NA,NA,NA,1
"HOM","STO","327060","Wilko Willow Waste Paper Bin Grey","Wilko","Single","Grey","1",NA,NA,NA,NA,NA,1
"HOM","STO","327062","Wilko Willow Storage Basket Grey Set of 2","Wilko","Single","Grey","2pk",NA,NA,NA,NA,NA,1
"HOM","STO","327174","Wilko 4 Drawer Split Wood Storage Unit","Wilko","Single","White","1",NA,NA,NA,NA,NA,1
"HOM","STO","327177","Wilko 4 Drawer Willow Storage Tower Grey","Wilko","Single","Grey",NA,NA,NA,NA,NA,NA,0.93
"HOM","STO","410223","Wilko Faux Leather Storage Cube Black","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","STO","410224","Wilko Faux Leather Storage Cube Brown","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","STO","410226","Wilko Faux Leather Storage Ottoman Black","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","STO","410227","Wilko  Faux Leather Storage Ottoman Brown","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","STO","418130","Wilko Willow Storage Trunk White","Wilko","59x42x40Hcm",NA,"1","Willow, and Polester Lining",NA,NA,NA,NA,0.9
"HOM","STO","418134","Wilko Willow Waste Paper Bin White","Wilko","29x29x17Hcm",NA,"1",NA,NA,"Paint",NA,NA,0.941666666666667
"HOM","STO","418135","Wilko Willow Storage Basket White Set of 2","Wilko","39x27x17Hcm, 32x23x15Hcm",NA,"2","Willow, and Polester Lining",NA,NA,NA,NA,0.9
"HOM","STO","418136","Wilko Willow Storage Tote White","Wilko","42x35x30Hcm",NA,"1","Willow",NA,NA,NA,NA,0.9
"HOM","STO","418137","Wilko Williow Storage Tote Grey","Wilko","42x35x30Hcm",NA,"1","Willow, and Polester Lining",NA,NA,NA,NA,0.9
"HOM","STO","418141","Wilko Willow Storage Hamper White","Wilko","35x35x17Hcm",NA,"1","Willow and Polester Lining",NA,NA,NA,NA,0.9
"HOM","STO","418142","Wilko Willow Storage Hamper Grey","Wilko","35x35x17Hcm",NA,"1","Willow, and Polester Lining",NA,NA,NA,NA,0.9
"HOM","STO","423298","Wilko Faux Linen Square Cube Cream","Wilko","40x40x40cm",NA,"1","Fabric, MDF ,sponge","No",NA,"Faux Linen Fabric","4A-114GR-C",0.65
"HOM","STO","423299","Wilko Faux Linen Square Cube Grey","Wilko","40x40x40cm",NA,"1","Fabric, MDF ,sponge","No",NA,"Faux Linen Fabric","4A-114GR-G",0.65
"HOM","STO","423300","Wilko Large Faux Linen Ottoman Cream","Wilko","80x40x40cm",NA,"1","Fabric, MDF ,sponge","No",NA,"Faux Linen Fabric","4A-214GR-C",0.65
"HOM","STO","423301","Wilko Large Faux Linen Ottoman Grey","Wilko","80x40x40cm",NA,"1","Fabric, MDF ,sponge","No",NA,"Faux Linen Fabric","4A-214GR-G",0.65
"HOM","STO","431418","Wilko 4 Drawer Willow Unit Grey","Wilko","30Lx60Wx49H cm",NA,"1",NA,NA,NA,NA,NA,0.93
"HOM","STO","431419","Wilko Storage Trunk Grey","Wilko","42Lx59Wx40H cm",NA,"1","willow, polyester lining",NA,NA,NA,NA,0.9
"HOM","STO","454560","Wilko 4 Drawer Storage Faux Linen Cream","Wilko","44x32x73cm",NA,"1","MDF Linen Fabric",NA,NA,NA,NA,0.9
"HOM","STO","454561","Wilko 3 Drawer Storage Faux Linen Cream","Wilko","30x26x50cm",NA,"1","MDF board, Faux Linen fabric , Nonwoven liner",NA,NA,NA,NA,0.9
"HOM","STO","454562","Wilko Waste Bin Faux Linen Cream","Wilko","27.5x22.5x28cm","Cream","1","MDF board, Faux Linen fabric , Nonwoven liner","No",NA,NA,NA,0.65
"HOM","STO","454563","Wilko 4 Drawer Storage Faux Linen Grey","Wilko","44x32x73cm",NA,"1","MDF Linen Fabric",NA,NA,NA,NA,0.9
"HOM","STO","454564","Wilko 3 Drawer Storage  Faux Linen Grey","Wilko","30x26x50cm","Grey","1","MDF board, Faux Linen fabric , Nonwoven liner",NA,NA,NA,NA,0.95
"HOM","STO","454565","Wilko Waste Bin Faux Linen Grey","Wilko","27.5x22.5x28cm","Grey","1","MDF board, Faux Linen fabric , Nonwoven liner","No",NA,NA,NA,0.65
