"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Age","DQ Score"
"TOY","CRE","414824","Wilko Blox Emergency Medium Set Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","CRE","414825","Wilko Blox Pirate Ship Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","414842","Wilko Blox Storage Box","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","414843","Wilko Blox Base Plate 5pk","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","415877","Wilko Blox Military 10-in-1 Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","415878","Wilko Blox T-Rex Large Set","Wilko",NA,NA,"1",NA,"No",NA,"3+ Years",0.65
"TOY","CRE","415901","Wilko Decorate Your Own Fairy Lights","Wilko",NA,"Multi","1",NA,NA,"2x AA Batteries Not Included","3 Years +",1
"TOY","CRE","417586","Wilko Decorate Your Own Wall Clock","Wilko",NA,"Multi","1",NA,NA,"1x AA Battery Not Included","3 Years +",1
"TOY","CRE","417597","Wilko Blox Luxury Yacht Set","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","417598","Wilko Blox Space Station Rocket Set","Wilko",NA,NA,"1",NA,"No",NA,"3+ Years",0.65
"TOY","CRE","417599","Wilko Blox Advent Calendar","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","419989","Wilko Christmas Blox Crackers 6pk","Wilko",NA,"Multi","6",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","438388","Wilko Blox Space Ships Small Set Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","438392","Wilko Blox Aircraft Small Set","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","438393","Wilko Blox Robot 3 in 1 Small Set Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","438394","Wilko Blox Motorbikes Set Medium Assortment","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","438395","Wilko Blox Xmas Scene Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","438396","Wilko Blox Pet Parlour Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","CRE","438397","Wilko Blox Sweet Shop Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","CRE","438398","Wilko Blox London Bus Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","CRE","438399","Wilko Blox Rabbit and Dog Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438400","Wilko Blox Hot Air Balloon Large Set","Wilko","28cm x 32cm x 5cm","Multi","1",NA,"No",NA,"3 Years +",0.65
"TOY","CRE","438401","Wilko Blox 5 in 1 Airplane Large Set","Wilko",NA,"Multi","1",NA,"No",NA,"3 Years +",0.65
"TOY","CRE","438402","Wilko Blox 5 in 1 Helicopter Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","438403","Wilko Blox 3 Insects Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438405","Wilko Blox Fairground Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","438406","Wilko Blox Dragon Bumper Set 3pk","Wilko","Medium Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438408","Wilko Blox Castle Mega Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","CRE","438410","Wilko Blox Figure Set 50pcs","Wilko","Small Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438411","Wilko Blox Drawstring Playmat Carry Bag","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","438412","Wilko Blox Base Plate Road Straight","Wilko","Small Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438413","Wilko Blox Base Plates Assortment","Wilko","Small Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","438414","Wilko Bumper Craft Set","Wilko",NA,"Multi","1","Fabric","No",NA,"3 Years +",0.65
"TOY","CRE","438415","Wilko Puzzle 500pcsAssorted","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","438417","Wilko Puzzle 1000pcs","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","438430","Wilko Blox Figures 5pk Asst B","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","438431","Wilko Blox Figures 5pk Asst C","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","GAM","443722","Wooden Table Top Football","Wilko",NA,"Multi","1","Plastic","No",NA,"3 Years +",0.6
"TOY","PRE","438422","Wilko Safari 4 in 1 Puzzle Box","Wilko",NA,"Multi","1",NA,NA,NA,"2 Years +",0.941666666666667
"TOY","PRE","438423","Wilko Safari Matching Cards 20pk","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
