"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","450114","Arthouse Wallpaper Super Stripe Pink and Teal","Arthouse","10.05m x 0.53m","Multi","1","Paper",NA,"5.33m²",NA,0.95
"DEC","WAL","454058","Arthouse Wallpaper Glitterati Plain Black","Arthouse","10.05m x 0.53m","Black","1","Non-woven",NA,"5.33m²",NA,0.95
"DEC","WAL","454059","Arthouse Wallpaper Glitterati Plain Purple","Arthouse","10.05m x 0.53m","Purple","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454060","Arthouse Wallpaper Glitterati Plain Fuchsia","Arthouse","10.05m x 0.53m","Pink","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454061","Arthouse Wallpaper Glitterati Plain Emerald Green","Arthouse","10.05m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454062","Arthouse Wallpaper Glitterati Plain Mink","Arthouse","10.05m x 0.53m","Gold","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454063","Arthouse Wallpaper Glitterati Plain Silver","Arthouse","10.05m x 0.53m","Silver","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454064","Arthouse Wallpaper Glitterati Plain Platinum","Arthouse","10.05m x 0.53m","Silver","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454065","Arthouse Wallpaper Glitterati Plain Ice White","Arthouse","10.05m x 0.53m","White","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454066","Arthouse Wallpaper Glitterati Stripe Black","Arthouse","10.05m x 0.53m","Black","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","454067","Arthouse Wallpaper Glitterati Stripe Platinum","Arthouse","10.05m x 0.53m","Silver","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","ah00067","Arthouse Imagine Fern Motif Green","Arthouse","10m x 0.53m","Green","1","Vinyl, Paper","No","5.33m²",NA,0.6
"DEC","WAL","282909","Arthouse Wallpaper Opera Da Vinci Damask Cream 405101","Opera","10m x 0.53m","Cream","1",NA,"No","5.33m²","405101",0.65
"DEC","WAL","282910","Arthouse Wallpaper Opera Da Vinci Damask TexturedBlack 405107","Opera","10m x 0.53m","Black","1",NA,"No","5.33m²","405107",0.65
"DEC","WAL","285158","Arthouse Wallpaper Opera Adelphi Textured Stripe Red 905401","Opera","10m x 0.53m","Red","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","307020","Opera Wallpaper Heavyweight Super Stripe Blue 533602","Opera","10m x 0.53m","Blue","1",NA,"No","5.33m²","533602",0.65
"DEC","WAL","307022","Opera Wallpaper Heavyweight Retro Leaf Teal/Green408207","Opera","10m x 0.53m","Multi","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","307045","Opera Wallpaper Luxury Weight Textured Samba PlainCream 405902","Opera","10m x 0.53m","Cream","1",NA,"No","5.33m²","405902",0.65
"DEC","WAL","315081","Arthouse Samba Motif Aqua 406009","Opera","10m x 0.53m","Blue","1",NA,"No","5.33m²","405009",0.6
"DEC","WAL","319987","Arthouse Wallpaper Opera Boulevard Neutral 417905","Opera","10m x 0.53m","Cream","1",NA,"No","5.33m²","417905",0.65
"DEC","WAL","331981","Arthouse Wallpaper Opera Anouska Teal 871105","Opera","10m x 0.53m","Blue","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","336853","Arthouse Wallpaper Opera Diva Textured Neutral 871501","Opera","10m x 0.53m","Cream","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","436337","Wilko Wallpaper Apollo Teal","Wilko","10m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436338","Wilko Wallpaper Apollo Purple","Wilko","10m x 0.53m","Purple","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436339","Wilko Wallpaper Apollo Red/Grey","Wilko","10m x 0.53m","Multi","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436345","Wilko Wallpaper Bewitched Silver","Wilko","10m x 0.53m","Silver","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","449726","Wilko Wallpaper Sanctuary Green","Wilko","10.05m x 0.53m","Green","1","Paper",NA,"5.33m²",NA,1
