"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Washable","Power","Model Number","DQ Score"
"DIY","ELE","454625","Wilko Security Timer","Wilko","10 x 6 x 6.4 cm","White",NA,NA,NA,NA,NA,0.883333333333333
"DIY","ELE","454626","Wilko Colour Change Plug Through Night Light","Wilko","9 x 7.6 x 4.1 cm","White",NA,NA,NA,NA,NA,0.883333333333333
"DIY","ELE","454627","Wilko Magnetic Torch","Wilko",NA,"Multi","1",NA,NA,NA,NA,0.85
"DIY","ELE","454628","Wilko USB Rechargeable Torch","Wilko","1 x 3.7V","Multi","1",NA,NA,NA,NA,0.9
"DIY","ELE","454629","Wilko COB LED Aluminium Torch","Wilko","3 x AAA","Metal","1",NA,NA,NA,NA,0.9
"DIY","ELE","454630","Wilko LED Aluminium Torch","Wilko","3 x AAA","Metal","1",NA,NA,NA,NA,0.9
"DIY","ELE","454631","Wilko LED Armoured Torch 3W CREE","Wilko","2 x AA","Black","1",NA,NA,"Batteries not included",NA,0.95
"DIY","ELE","454632","Wilko LED Aluminium Torch 5W CREE","Wilko","3 x C","Black","1",NA,NA,"Batteries not included",NA,0.95
"DIY","ELE","454633","Wilko LED Telescopic Torch","Wilko","4 x LR44","Multi",NA,NA,NA,NA,NA,0.883333333333333
"DIY","ELE","454634","Wilko COB LED Multilight","Wilko","3 x AAA","Black",NA,NA,NA,NA,NA,0.883333333333333
"DIY","ELE","454636","Wilko LED Magnifying Glass","Wilko","2 x AAA","Black",NA,NA,NA,"Batteries not included",NA,0.941666666666667
"DIY","ELE","454637","Wilko Quick Release Keyring Torch","Wilko","2 x CR2032","Black","1",NA,NA,NA,NA,0.9
"DIY","ELE","454638","Wilko LED Bobble Light","Wilko","2 x CR2032","Silver",NA,NA,NA,NA,NA,0.883333333333333
"DIY","SEC","343853","Wilko  Portable Standard Door Chime","Wilko","L7 x W3.5 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","343868","Wilko  Plug In Standard Door Chime","Wilko","L7 x W6.6 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","343869","Wilko Portable Standard Twin Door Chime","Wilko","L7 x W3.5 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","343941","Wilko Standard Portable Plug In Twin Door Chime","Wilko","L7xW3.5xH9.8cm, L7xW6.6xH9.8cm, L2.8xW1.7xH7.8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","343988","Wilko Standard Level  Push Bell","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"DIY","SEC","344086","Wilko Modern Port  Door Chime","Wilko","L8 x W2.7 x H12.5cm, L3 x W1.9 x H8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","344087","Wilko Modern Plug In Door Chime","Wilko","L8 x W5.6 x H12cm, L3 x W1.9 x H8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","344097","Wilko Modern Plug Through Door Chime","Wilko","L8 x W7.1 x H13.9cm, L3 x W1.9 x H8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","344099","Wilko Modern Portable Plug In Twin Door Chime","Wilko","L8xW2.7xH12.5cm, L8xW5.6xH12cm, L3xW1.9xH8cm",NA,"1",NA,NA,NA,NA,0.93
"DIY","SEC","344109","Wilko Modern Bell Push","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
