"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","PAR","441573","Unique Handclapper Party Favours 4pk","Unique Party","4cm x 15cm x 17.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441574","Unique Water Pistol Party Favours 4pk","Unique Party","8cm x 6cm x 2cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441576","Unique Princess Bubble Wand Party Favours 4pk","Unique Party","42 x 5 x 2.5cm including the string","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441577","Unique Dinosaur Party Favours 4pk","Unique Party","7cm x 7cm x 2cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441578","Unique Foam Balls Party Favours 4pk","Unique Party","5cm x 5cm x 5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441580","Unique Crayons Party Favours 4pk","Unique Party","9cm x 0.7cm x 0.7cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441581","Unique Chevron Happy Birthday Tableware Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441582","Unique Princess Tableware Party Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441583","Unique Football Tableware Party Pack","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441585","Unique Tableware Party Pack Purple Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441586","Unique Tableware Party Pack Teal Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441587","Unique Tableware Party Pack Grey Chevron","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441589","Unique Tableware Party Pack Gold","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441590","Unique Tableware Party Pack Silver","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441592","Unique Tableware Party Pack Black","Unique Party",NA,"Multi","43",NA,NA,NA,0.88
"SBK","PAR","441594","Unique Polka Dot Tableware Party Pack Powder Blue","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441595","Unique Polka Dot Tableware Party Pack Pink","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","441596","Unique Polka Dot Tableware Party Pack Red","Unique Party",NA,"Multi","33",NA,NA,NA,0.88
"SBK","PAR","444686","Crepe Streamer 8ft Red","Unique Party","8ft","Red","1",NA,NA,NA,0.95
"SBK","PAR","246666","Wilko Pin the Tail on the Donkey Party Game","Wilko",NA,"Multi","1",NA,NA,"3 Years +",0.941666666666667
"SBK","PAR","270029","Wilko Foil Banner Birthday Girl 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","270030","Wilko Banner Birthday Boy 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","270561","Wilko Foil Banner Happy Birthday 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","270563","Wilko Balloon Pump","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","297824","Wilko Coloured Bunting 3.6m","Wilko",NA,"Multi","1",NA,NA,NA,1
"SBK","PAR","298056","Wilko Banner 1st Birthday Pink 3.6m","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","PAR","298057","Wilko Banner 1st Birthday Blue 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","298058","Wilko Banner 18th Birthday 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","298059","Wilko Banner Happy 21st Birthday 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","298060","Wilko Banner 30th Birthday 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","298061","Wilko Banner 40th Birthday 3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","298062","Wilko Banner Happy 50th Birthday 3.6m","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","PAR","298063","Wilko Banner Happy 60th Birthday  3.6m","Wilko",NA,NA,NA,NA,NA,NA,0.825
"SBK","PAR","413706","Sorry You're Leaving Foil Banner 3.6m","Wilko",NA,"Multi","1",NA,NA,NA,0.95
"SBK","PAR","413707","Congratulations Foil Banner 3.6m","Wilko",NA,"Multi","1",NA,NA,NA,0.95
"SBK","PAR","413708","Good Luck Foil Banner 3.6m","Wilko",NA,"Multi","1",NA,NA,NA,0.95
"SBK","PAR","413710","Wilko Birthday Balloons Assorted 10pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413712","Wilko Balloons Assorted 25pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413713","Wilko Balloons Pink 8pk","Wilko",NA,"Multi","8",NA,NA,NA,0.93
"SBK","PAR","413714","Wilko Shaped Balloons 5pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413715","Wilko Balloons Blue 8pk","Wilko",NA,"Multi","8",NA,NA,NA,0.93
"SBK","PAR","413716","Wilko Balloons Silver Effect 8pk","Wilko",NA,"Multi","8",NA,NA,NA,0.93
"SBK","PAR","413719","Wilko Balloons 21st Birthday 10pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413720","Wilko Balloons 18th Birthday 10pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413721","Wilko Balloons 40th Birthday 10pk","Wilko",NA,"Multi","10",NA,NA,NA,0.93
"SBK","PAR","413722","Wilko Balloons 50th Birthday 10pk","Wilko",NA,"Multi","10",NA,NA,NA,0.93
"SBK","PAR","413723","Wilko Balloons 30th Birthday 10pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413724","Wilko Balloons 60th Birthday 10pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413729","Giant Personalised Banner","Wilko",NA,"Multi","1",NA,NA,NA,0.95
"SBK","PAR","413732","Party Poppers 30pk","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413733","Sparkler Candles","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413734","Ice Fountain 2pk","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413736","Wilko Party Glow Sticks Bracelets 15pk","Wilko",NA,"Multi","1",NA,NA,NA,0.93
"SBK","PAR","413737","Wilko Party Glow Glasses","Wilko",NA,"Multi","1",NA,NA,"5 Years +",0.941666666666667
"SBK","PAR","413742","Generic Blowouts 4pk","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413745","Party Hats 6pk","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413770","Pirate Balloons 6pk","Wilko",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413786","Princess Award Ribbon Badge","Wilko",NA,NA,"1",NA,NA,"4 Years +",0.833333333333333
"SBK","PAR","413795","Princess Balloons 6pk","Wilko",NA,NA,"1",NA,NA,NA,0.81
"SBK","PAR","413808","Party Bubbles 4pk","Wilko",NA,NA,"4",NA,NA,"3 Years +",0.833333333333333
"SBK","PAR","414411","Heart Shaped Balloons Red 5pk","Wilko",NA,NA,"5",NA,NA,NA,0.81
"SBK","PAR","414412","Assorted Shape Balloons 50pk","Wilko",NA,NA,"50",NA,NA,NA,0.81
"SBK","PAR","414413","Pearlised Balloons Multi 8pk","Wilko",NA,NA,"8",NA,NA,NA,0.81
"SBK","PAR","414415","Neon Balloons Multi 8pk","Wilko",NA,NA,"8",NA,NA,NA,0.81
