"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"DIY","TOO","209343","Wilko Sabre Saw Set 5pk","Wilko",NA,NA,"5pk",NA,NA,NA,0.86
"DIY","TOO","209345","Wilko Jigsaw Blades Set of 8","Wilko",NA,NA,"8pk",NA,NA,NA,0.86
"DIY","TOO","209353","Wilko U Notch Trowel 11in","Wilko","11in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","209354","Wilko Open Combination Spanner Set Metric","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","209409","Wilko Precision Ruler 1m","Wilko","1m",NA,"1",NA,NA,NA,1
"DIY","TOO","209549","Wilko Tri and Mitre Square 100 and 200mm","Wilko","100-200mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","211938","Wilko Gas Plier 25cm","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","244518","Wilko SDS Drill Bit Set 5 Piece","Wilko",NA,NA,"5pcs",NA,NA,NA,0.86
"DIY","TOO","244525","Wilko Bolt Cutter 366mm","Wilko","18in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","244528","Wilko Magnetic Pick Up Tool","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","244530","Wilko Ruler and Level 600mm","Wilko","600mm",NA,"1",NA,NA,NA,1
"DIY","TOO","286569","Wilko Eyelets Gold Effect 100pk","Wilko",NA,NA,"100pk",NA,NA,NA,0.9125
"DIY","TOO","286570","Wilko Hammer Stubby","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","286614","Wilko Pliers Mini Set 3piece","Wilko","3Piece",NA,"3pcs",NA,NA,NA,1
"DIY","TOO","286615","Wilko Screw Puller 6 x 100mm","Wilko","6mmx150mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286620","Wilko Spirit Level 600mm","Wilko","600mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286621","Wilko Spirit Level 900mm","Wilko","900mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286625","Wilko Screwdriver Pozi No 1 100mm","Wilko","100mm, No 1",NA,"1",NA,NA,NA,1
"DIY","TOO","286626","Wilko Screwdriver Pozi No 2 100mm","Wilko","100mm, No 2",NA,"1",NA,NA,NA,1
"DIY","TOO","286627","Wilko Screwdriver Pozi No.3 150mm","Wilko","150mm, No 3",NA,"1",NA,NA,NA,1
"DIY","TOO","286628","Wilko Screwdriver Slotted Tip  100 x 5.5mm","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","286629","Wilko Screwdriver Slotted Tip Hard Grip 6.5x 100mm","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","286630","Wilko Screwdriver Slotted Tip 8 x 150mm","Wilko","150mmx8m",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286631","Wilko Screwdriver Slotted Tip 6.5 x 38mm","Wilko","6.5mmx38mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286632","Wilko Screwdriver Pozi No 2 38mm","Wilko","38mm, No 2",NA,"1",NA,NA,NA,1
"DIY","TOO","286633","Ultra Steel Screwdriver Set 38 Piece","Wilko","38piece",NA,"38pcs",NA,NA,NA,0.95
"DIY","TOO","286636","Wilko Adjustable Wrench 6in","Wilko","152mm, 6in",NA,"1",NA,NA,NA,1
"DIY","TOO","286637","Wilko Adjustable Wrench 200mm","Wilko","200mm, 8in",NA,"1",NA,NA,NA,1
"DIY","TOO","286638","Wilko Adjustable Wrench 250mm","Wilko","10in",NA,"1",NA,NA,NA,1
"DIY","TOO","323227","Wilko Hole Saw Cup Type","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","337765","Wilko Axe Drop Forged 20oz","Wilko","20oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","337766","Wilko Hammer Drop Forged 16oz","Wilko","16oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","339068","Wilko Speed Clamp 6in","Wilko","6in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343368","Wilko Allen Key 14pieces","Wilko",NA,NA,"14pcs",NA,NA,NA,0.9125
"DIY","TOO","343369","Wilko Ball End Hex Key Set Metric 9 Piece","Wilko","9pcs",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343370","Wilko G Clamp 1in","Wilko","1in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343373","Wilko Clamp 3/4in","Wilko","3/4in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343374","Wilko Clamp 1in","Wilko","1in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343375","Wilko Clamp 2in","Wilko","2in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343376","Wilko Mini Clamp 100mm 2pieces","Wilko","100mm",NA,"2pcs",NA,NA,NA,1
"DIY","TOO","343397","Wilko Triangle File 8in","Wilko","8in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343398","Wilko Flat File 8in","Wilko","8in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343399","Wilko Half Round File 8in","Wilko","8in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343400","Wilko Round File 8in","Wilko","8in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343401","Wilko Sledge Hammer 3Lb","Wilko","3Lb",NA,"1",NA,NA,NA,1
"DIY","TOO","343403","Wilko Interior Mallet 16oz","Wilko","16oz",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343414","Wilko Aluminium Frame Torpedo Level 9in","Wilko","9in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343426","Wilko Fibreglass Tape 30m","Wilko","30m",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343427","Wilko Wrench Locking 7In","Wilko","7in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343428","Wilko Aluminium Marking Ruler 800mm","Wilko","800mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343430","Wilko Cross Check Level","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343431","Wilko  Multi Function Aluminium Screwdriver","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343432","Wilko Hammer and  MultiTool 12 in 1","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343434","Wilko Wrecking Bar 18in","Wilko","18in",NA,"1",NA,NA,NA,1
"DIY","TOO","343435","Wilko Utility Bar 12in","Wilko","12in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343436","Wilko 12 in 1 Versatile MultiTool","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343437","Wilko Drill Strap with Drill Bits 12pieces","Wilko",NA,NA,"12pcs",NA,NA,NA,0.86
"DIY","TOO","343438","Wilko Metric Dog Bone Wrench","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343439","Wilko Cordless Precision Engraver","Wilko",NA,NA,"1",NA,NA,NA,0.86
"DIY","TOO","343440","Wilko Plane Block 175 x 40mm","Wilko","175X40mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343445","Wilko Leather Hole Punch","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343446","Wilko Eyelet Plier","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343447","Wilko Precision Screw driver 6pieces","Wilko",NA,NA,"6pcs",NA,NA,NA,0.9125
"DIY","TOO","343535","Wilko 8In1 Precision Screwdriver Set","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343560","Wilko Combination Spanner Set 6piece","Wilko",NA,NA,"6pcs",NA,NA,NA,0.9125
"DIY","TOO","343912","Wilko Wood Chisel 1/2In","Wilko","1/2in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343913","Wilko Wood Chisel 3/4in","Wilko","3/4in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343914","Wilko Wood Chisel 1In","Wilko","1in",NA,"1",NA,NA,NA,1
"DIY","TOO","343916","Wilko Aluminum Ruler 300mm","Wilko","300mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343917","Wilko Tape Measure 5m","Wilko","5m",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343918","Wilko Centre Punch 2pieces","Wilko",NA,NA,"2pcs",NA,NA,NA,0.9125
"DIY","TOO","343919","Wilko Tape Measure 8m","Wilko","8m",NA,"1",NA,NA,NA,1
"DIY","TOO","343920","Wilko Nail Punch 2pieces","Wilko",NA,NA,"2pcs",NA,NA,NA,0.9125
"DIY","TOO","344580","Wilko Thumb Wrench Set 3 Piece","Wilko",NA,NA,"3pcs",NA,NA,NA,0.9125
"DIY","TOO","344581","Wilko 7 In Pencil Carpenters 10pices","Wilko",NA,NA,"10pcs",NA,NA,NA,0.9125
"DIY","TOO","345092","Wilko Around The House  Tool Bag","Wilko",NA,NA,"1pk",NA,"No",NA,0.65
"DIY","TOO","345094","Wilko Folding Hex Key Set 8 Piece","Wilko",NA,NA,"8pcs",NA,NA,NA,0.9125
"DIY","TOO","345209","Wilko Heavy Duty Anti Shock Spirit level 24in","Wilko","24in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","345350","Wilko G Clamp Quick Release 4in","Wilko","4in",NA,"1",NA,NA,NA,1
"DIY","TOO","345405","Wilko Drive Socket Set 54pieces","Wilko",NA,NA,"53pcs",NA,"No",NA,0.65
"DIY","TOO","426637","Wilko Dust Mask 3pk","Wilko","13x13x5cm",NA,"3pk",NA,NA,NA,0.93
"DIY","TOO","426638","Wilko Filter Dust Mask 3pk","Wilko","13x13x5.5cm",NA,"3pk",NA,NA,NA,0.93
"DIY","TOO","427226","Wilko Double Drive Screwdriver Set 49 Piece","Wilko",NA,NA,NA,NA,NA,"427226",0.86
"DIY","TOO","427227","Wilko Dual Drive Ratchet and Socket Set","Wilko",NA,NA,NA,NA,NA,NA,0.79
"DIY","TOO","427228","Wilko Mini Folding Multitool 12 in 1","Wilko",NA,NA,NA,NA,NA,"427228",0.86
"DIY","TOO","427229","Wilko Adjustable Socket 5mm-15mm","Wilko",NA,NA,NA,NA,NA,NA,0.79
"DIY","TOO","427230","Wilko Adjustable Socket 15mm-27mm","Wilko",NA,NA,NA,NA,NA,NA,0.79
"DIY","TOO","343425","Wilko Tape Measure 8m","Wilko Best","8m",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343452","Wilko Best Magnetic Tip Screwdriver  5 x 100mm","Wilko Best","5X100mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343528","Wilko Best  Magentic Tip Screwdriver  8 x 150mm","Wilko Best","8X150mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343529","Wilko Best Screwdriver Pozi  1 x 100mm","Wilko Best","1X100mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343530","Wilko Best Screwdriver Pozi  2 x 100mm","Wilko Best","2X100mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343531","Wilko Best Screwdriver Pozi 3 x 150mm","Wilko Best","3X150mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","206883","Wilko Radio Screwdriver Small","Wilko Functional","Small",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","209131","Wilko Functional Metric Allen Key 8piece","Wilko Functional","1.5- 6mm",NA,"8pcs",NA,NA,NA,1
"DIY","TOO","209196","Wilko Precision Screwdriver Set 6 Piece","Wilko Functional",NA,NA,"6pcs",NA,NA,NA,0.8625
"DIY","TOO","209348","Functional Neon Tape Measure 3m","Wilko Functional","3m",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","211939","Wilko Functional Side Cutter 152mm","Wilko Functional","6in",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","211940","Wilko Functional Combination Plier 6in","Wilko Functional",NA,NA,"1",NA,NA,NA,0.9125
"DIY","TOO","343371","Wilko G Clamp 2in","Wilko Functional","2in",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343372","Wilko G Clamp 3in","Wilko Functional","3in",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343413","Wilko Plastic Torpedo Level 9in","Wilko Functional","9in",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343441","Wilko Long Nose Plier 6In","Wilko Functional","6in",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343448","Wilko Functional Screwdriver  5 x 100mm","Wilko Functional","5X100mm",NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343449","Wilko Functional Screwdriver 6 x 100mm","Wilko Functional","6X100mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343450","Wilko Functional Screwdriver Pozi  1 x 100mm","Wilko Functional","1X100mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343451","Wilko Functional Screwdriver Pozi 2 x 100mm","Wilko Functional","2X100mm",NA,"1",NA,NA,NA,1
"DIY","TOO","343453","Wilko Best Magnetic Tip Screwdriver  6 x 100mm","Wilko Functional","6X100mm",NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343552","Wilko Adjustable Wrench 8In","Wilko Functional","8in",NA,"1",NA,NA,NA,0.95
"DIY","TOO","343911","Wilko Wood Chisel Set","Wilko Functional",NA,NA,"3",NA,NA,NA,0.8625
