"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Age","Model Number","DQ Score"
"SBK","ADU","415368","Wilko Lets Create Acrylic Paint Sap Green 200ml","Wilko","42x30x19.5(cm)",NA,"1","PP/PE/PAINT","No","200ml",NA,NA,"PTA211SG-WK",0.65
"SBK","ADU","415369","Wilko Let's Create Oil Paints 12 x 12ml","Wilko","55x25x21(cm)",NA,"12",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415370","Wilko Sketching Pencils in Case Assorted Grades 8pk","Wilko","38.5x23x30(cm)",NA,"8",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415371","Wilko Let's Create Watercolour Pencils in Case Assorted Colours 12pk","Wilko","28x23x20(cm)",NA,"12",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415372","Wilko Let's Create Palette Knives 3pk","Wilko","26x31.5x32(cm)",NA,"3",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415374","Wilko Let's Create Shading Pastels Assorted Tones12pk","Wilko","57.5x35x14(cm)",NA,"12",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415375","Wilko Let's Create Soft Touch Detailers 4pk","Wilko","46x25.5x25(cm)",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415376","Wilko Let's Create Charcoal and Sketch Set","Wilko","50x28x17(cm)",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","ADU","415377","Wilko Let's Create Soft Pastels Assorted Colours 10pk","Wilko","57.5x35x14(cm)",NA,"10",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415378","Wilko Let's Create Tracing Paper A4 60gsm 30 Sheets","Wilko","31.5 x 22.0 x 21.0cm",NA,"30",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415379","Wilko Let's Create Watercolour Set","Wilko","38x26x20(cm)",NA,"8",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415380","Wilko Let's Create Acrylics Set","Wilko","35x26x20(cm)",NA,"8",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415381","Wilko Beech Studio Display Easel","Wilko","46x35x22(cm)",NA,"8",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415382","Wilko Let's Create Canvas Pad A3 220gsm 12 Sheets","Wilko","A3",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415383","Wilko Let's Create Canvas Pad A4 220gsm 12 Sheets","Wilko","A4",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415384","Wilko Let's Create Watercolour Pad A4 180gsm 24 Sheets","Wilko","A4",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","415385","Wilko Let's Create Watercolour Pad A3 180gsm 24 Sheets","Wilko","A3",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","ADU","433415","Wilko Portfolio Case with Handle A3 Black","Wilko","A3","Black","1","PP",NA,NA,NA,NA,NA,1
"SBK","ADU","94601","Wilko Sketch Pad A4 30 Sheets","Wilko","A4",NA,"30s",NA,NA,NA,NA,NA,NA,1
"SBK","KID","143208","Wilko Let's Create Watercolour Paints and Brush 22Colours","Wilko","22 pack",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","252783","Wilko Printed Paint Your Own Canvas","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.825
"SBK","KID","252785","Wilko Dough Accessories Set","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","252789","Wilko Dough Set","Wilko",NA,NA,"1",NA,NA,NA,NA,"36 Months",NA,0.883333333333333
"SBK","KID","253155","Wilko Pipe cleaners 50pk","Wilko",NA,"Multi","1",NA,NA,NA,NA,"36 Months",NA,1
"SBK","KID","253159","Wilko Wiggly Eyes 64pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","253180","Wilko Safety Scissors","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","253187","Wilko Glitter Shaker 6pk","Wilko",NA,"Multi","6pk",NA,NA,NA,NA,"3 Years",NA,1
"SBK","KID","253459","Wilko A4 Scrap Book Assorted Colours Sheets 100GSM","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","253466","Wilko A5 Rainbow Pad 40 Assorted Coloured Sheets","Wilko","A5",NA,"40s",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","279656","Wilko Foam Handbag 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,"36 Months",NA,0.883333333333333
"SBK","KID","279657","Wilko Felt Hand Puppet 2pk","Wilko",NA,"Multi","2pk",NA,NA,NA,NA,"3 Years",NA,0.941666666666667
"SBK","KID","279694","Wilko Craft Time Make Your Own Animal GlassesAssorted","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3 Years",NA,0.941666666666667
"SBK","KID","279734","Wilko Bumper Pom Poms 100pk","Wilko",NA,"Multi",NA,NA,NA,NA,NA,"36 Months",NA,0.93
"SBK","KID","279737","Wilko Coloured Lolly Sticks 50pk","Wilko",NA,NA,"50pk",NA,NA,NA,NA,"36 Months",NA,0.93
"SBK","KID","316723","Wilko Bumper Craft Pack","Wilko",NA,NA,"1",NA,NA,NA,NA,"4 Years",NA,0.93
"SBK","KID","316785","Wilko Paint Tray 7 pots","Wilko",NA,NA,"7pcs",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","316885","Wilko Paint Pots Non Spill 3pk","Wilko","Medium",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","316887","Wilko Let's Create Assorted Foam Shapes 180pk","Wilko",NA,NA,"1",NA,NA,NA,NA,"36 Months",NA,0.93
"SBK","KID","316896","Wilko Wooden Lolly Sticks 50pk","Wilko",NA,NA,"50pk",NA,NA,NA,NA,"36 Months",NA,0.93
"SBK","KID","316900","Wilko Make Your Own Keyring 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,"36 Months",NA,0.883333333333333
"SBK","KID","316902","Wilko Animal Keyring 2pk","Wilko",NA,NA,"2pcs",NA,NA,NA,NA,"3 Years",NA,0.883333333333333
"SBK","KID","316904","Wilko Ribbon Bracelet 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,"36 Months",NA,0.883333333333333
"SBK","KID","316974","Wilko Paint Your Own Coin Bank","Wilko",NA,NA,"1",NA,NA,NA,NA,"3 Years",NA,0.883333333333333
"SBK","KID","317023","Wilko Glue Spreader 4pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"SBK","KID","317053","Wilko Let's Create Foam Stickers Animals 36pk","Wilko",NA,"Multi","36pk",NA,NA,NA,NA,"36 Months",NA,0.941666666666667
"SBK","KID","317054","Wilko Let's Create Foam Stickers Letters 52pk","Wilko",NA,"Multi","52pk",NA,NA,NA,NA,"36 Months",NA,0.941666666666667
"SBK","KID","317071","Wilko Let's Create Foam Stickers Flowers 48pk","Wilko",NA,"Multi","48pk",NA,NA,NA,NA,"36 Months",NA,1
"SBK","KID","317076","Wilko Let's Create Mixed Sequins","Wilko",NA,NA,NA,NA,NA,NA,NA,"36 Months",NA,0.86
"SBK","KID","317087","Wilko Let's Create Assorted Feathers","Wilko",NA,"Multi",NA,NA,NA,NA,NA,"4 Years",NA,0.93
"SBK","KID","318101","Wilko Spoon People Bride and Groom","Wilko",NA,NA,NA,NA,NA,NA,NA,"36 Months",NA,0.825
"SBK","KID","318125","Wilko Make Your Own Foam Fairies 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,"36 Months",NA,0.883333333333333
"SBK","KID","319309","Wilko Assorted Buttons 50pk","Wilko",NA,"Multi","50",NA,NA,NA,NA,"36 Months",NA,1
"SBK","KID","333593","Wilko Sew Your Own Animals","Wilko",NA,NA,"1",NA,NA,NA,NA,"3 Years",NA,0.93
"SBK","KID","333673","Wilko Apron 2pk","Wilko",NA,"White","1",NA,NA,NA,NA,"4 Years",NA,1
"SBK","KID","333715","Wilko Cut Out Shapes 15 pack","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","349453","Wilko Animal Colouring Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","349529","Wilko Paint Brushes 6pk","Wilko",NA,NA,"6pk",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349531","Wilko Messy Mat","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","349532","Wilko Modelling Clay Rolls 32pk","Wilko",NA,NA,"32",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349533","Wilko Colouring Dough Set 4 x 150g","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349545","Wilko Sticker Book Princess 500 Stickers","Wilko",NA,NA,"500pcs",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349546","Wilko Sticker Book Dinosaur 500 Stickers","Wilko",NA,NA,"500pcs",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349547","Wilko Let's Create Stickers Smiling Face 36Stickers","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"SBK","KID","349551","Wilko Let's Create Embelishment Polka Dot Flower","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"SBK","KID","349563","Wilko Let's Create Beads Alphabet 30g","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349610","Wilko Let's Create Beads Multi Coloured Flower 30g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","349613","Wilko Let's Create Beads Multi Coloured Striped30g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","349614","Wilko Let's Create Bead Threading String andClasps","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349616","Wilko Glitter Mega Pack","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349619","Wilko My Amazing Doodle Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","349624","Wilko Let's Create Puzzle Foam Dinosaur Assorted","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"SBK","KID","349632","Wilko Colouring Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","349634","Wilko Build It Jet Car","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","349645","Wilko Colouring Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","350708","Wilko Wobbly Eyes Colouring Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","414913","Wilko Small Air Clay Characters","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","414914","Wilko Animal Foam Stamps With 1 Ink Pad","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.883333333333333
"SBK","KID","415133","Wilko Make Your Own Teddy Bear","Wilko","38x32x27(cm)",NA,"1","polyester/PE/PP/polyester","No",NA,NA,"8 years+","22-1058-WK",0.65
"SBK","KID","415279","Wilko Cross Stitch Kit","Wilko",NA,NA,"1",NA,NA,NA,NA,"8 years+",NA,0.883333333333333
"SBK","KID","415280","Wilko Bumper Craft Kit 700pcs","Wilko",NA,NA,"1",NA,NA,NA,NA,"3+",NA,0.883333333333333
"SBK","KID","415283","Wilko Finger Paint 28ml 4pcs","Wilko",NA,NA,"4",NA,NA,NA,NA,NA,NA,0.86
"SBK","KID","416109","Wilko Fashion Fun Assorted Book","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","416353","Wilko White Card 220GSM A4 FSC 15 Sheets","Wilko","A4","White","15",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416354","Wilko Card 220GSM A4 FSC Black 10 Sheets","Wilko","A4","Black","10",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416355","Wilko Card 220GSM A3 FSC White 8 Sheets","Wilko",NA,"White","8",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416356","Wilko Felt Sheets A4 65 Micron 8pk Assorted","Wilko",NA,"Multi","8",NA,NA,NA,NA,"4+",NA,1
"SBK","KID","416357","Wilko Scrap Pack FSC 220GSM 50pcs","Wilko",NA,"Multi","50",NA,NA,NA,NA,"4+",NA,1
"SBK","KID","416358","Wilko A4 Card Holographic 220gsm Assorted","Wilko",NA,"Multi","8",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416359","Wilko Mirror Card FSC A4 220GSM 8pk","Wilko",NA,NA,"8",NA,NA,NA,NA,NA,NA,0.9125
"SBK","KID","416360","Wilko Card FSC A4 Pastel 220GSM Assorted","Wilko",NA,"Multi","8",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416361","Wilko Glitter Card A5 220GSM 10pk","Wilko",NA,"Multi","10",NA,NA,NA,NA,"4+",NA,1
"SBK","KID","416362","Wilko Card FSC A4 Bright 220GSM Assorted","Wilko",NA,"Multi","8",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416365","Wilko FSC A4 Coloured Paper 120GSM 12pk","Wilko",NA,"Multi","12",NA,NA,NA,NA,"4+",NA,1
"SBK","KID","416366","Wilko PaperTissue FSC 16GSM 10pk","Wilko",NA,"Multi","10",NA,NA,NA,NA,NA,NA,1
"SBK","KID","416368","Wilko Pearlised Card FSC A4 220GSM 10pk","Wilko",NA,"Multi","10",NA,NA,NA,NA,"4+ Years",NA,1
"SBK","KID","433038","Wilko Let's Create Doodle Pad A5 40 Sheets 80GSM","Wilko","A5",NA,"1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","433039","Wilko Let's Create Doodle Pad A4 40 Sheets 80GSM","Wilko","A4",NA,"1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","433417","Wilko Make Your Own Pom Pom Puppies","Wilko",NA,"Multi","2",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","433418","Wilko Make Your Own Foam Treasure Chest Assorted","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","433419","Wilko Make Your Own Foam Pull Along Foam Animals","Wilko",NA,"Multi","4",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","433420","Wilko Make Your Own Diva Glasses 2Pk","Wilko",NA,"Multi","2",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","433421","Wilko Make Your Own Pom Pom Animals","Wilko",NA,"Multi","10",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","433422","Wilko Circular Paint Tray","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","452683","Wilko Make Your Own Fairy Wind Chime","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"SBK","KID","452684","Wilko Make Your Own Pom Pom Fairies","Wilko",NA,"Multi","3",NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","KID","452685","Wilko Make Your Own Ragdoll","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","KID","452686","Wilko Felt Picture Play Set Assorted","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","452687","Wilko Glitter Stars","Wilko","3 X 5.5 cm","Multi","1",NA,NA,NA,NA,NA,NA,1
"SBK","KID","452688","Wilko Foam Face Shape with Accessories","Wilko",NA,"Multi","4",NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","KID","452689","Wilko Glow In The Dark Stickers Asst","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","452690","Wilko 3D Sticker Asst","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"SBK","KID","452691","Wilko Foam Wand and Tiara","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","KID","452693","Wilko Animal Print Tissue Paper 10pk","Wilko","50 X 65cm","Multi","10",NA,NA,NA,NA,NA,NA,1
"SBK","KID","452694","Wilko A4 Animal Print Card 220gsm 10pk","Wilko","21 X 29.7cm","Multi","10",NA,NA,NA,NA,NA,NA,1
"SBK","KID","452695","Wilko Kraft Card A4 10 Sheets","Wilko","21 X 29.7cm","Multi","10",NA,NA,NA,NA,NA,NA,1
"SBK","KID","452696","Wilko Smart Filled Paint Brushes 4pk","Wilko",NA,NA,"4",NA,NA,NA,NA,NA,NA,0.9125
"SBK","KID","253457","Wilko A3 Activity Paper 45pk Assorted Colours","Wilko Functional","A3","Multi","50pk",NA,NA,NA,NA,NA,NA,0.95
"SBK","KID","253462","Wilko White Paper Roll 5m","Wilko Functional",NA,"White","1",NA,"No",NA,NA,NA,NA,0.6
"SBK","KID","253463","Wilko Functional A4 Fluorescent Pad 35 Sheets","Wilko Functional",NA,"Multi","1",NA,NA,NA,NA,NA,NA,1
"SBK","SPC","294184","Wilko Xmas Paperchain Make Your Own","Wilko","20 Sheet",NA,"20","Paper","No",NA,NA,"3 Years",NA,0.65
"SBK","SPC","294191","Wilko Xmas Door Hanger Make Your Own","Wilko",NA,NA,"3pk",NA,"No",NA,NA,"3 Years",NA,0.65
"SBK","SPC","294372","Wilko Xmas Glitter Pots 3pk Asst","Wilko",NA,NA,NA,NA,"No",NA,NA,"3 Years",NA,0.65
"SBK","SPC","336784","Wilko Christmas Tree Decorations Make Your Own Glass Effect 4pk","Wilko",NA,NA,NA,"Paper","No",NA,NA,"3 Years",NA,0.65
"SBK","SPC","405973","Wilko Christmas Decoration Make Your Own Spoon Angel","Wilko",NA,NA,NA,NA,"No",NA,NA,NA,NA,0.65
"SBK","SPC","405974","Wilko Christmas Decoration Make Your Own Paper Stars 4pk","Wilko",NA,NA,"4","paper","No",NA,NA,NA,NA,0.65
"SBK","SPC","405981","Wilko Christmas Tree Foam Shapes 15cm 10pk","Wilko",NA,NA,"10",NA,"No",NA,NA,NA,NA,0.65
"SBK","SPC","440490","Wilko Xmas themed EVA Foam Craft Shapes Platter","Wilko","Assorted Sizes",NA,"150","Foam, Polyester","No",NA,NA,NA,"271969WK",0.65
"SBK","SPC","440492","Wilko Crochet Your Own Festive Dog","Wilko","30G Wool, 9 G Stuffing",NA,"1","Wool, Pp, Felt,","No",NA,NA,NA,"271946WK",0.65
"SBK","SPC","440493","Wilko Cross Stitch Fun Asst","Wilko","Plastic Net 125X150Mm, 5 Coloured Wool",NA,"1","Pp, Wool, Paper","No",NA,NA,NA,"271977WK",0.65
"SBK","SPC","440496","Craft Crazy Ribbons 4 x 1m Asst","Wilko","Ribbon Size 12 X 1000 Mm",NA,"4","Fabric","No",NA,NA,NA,"271899WK",0.6
"SBK","SPC","440498","Wilko Xmas Themed EVA Stickers 100pk","Wilko","Foam Stickers",NA,"100","Foam, Paper","No",NA,NA,NA,"F1179WK",0.65
"SBK","SPC","440500","Wilko 3D Stickers","Wilko","35X45 Mm, 55X45Mm, 30X33 Mm, 45X45 Mm, 37X55 Mm, 2",NA,"12","Pvc","No",NA,NA,NA,"271863WK",0.65
"SBK","SPC","440624","Wilko Xmas Glitter Glasses","Wilko","Glasses 125 X 54 X 120 Mm",NA,"2","Pp, Foam. Paper","No",NA,NA,NA,"271867WK",0.65
"SBK","SPC","457530","Wilko Xmas Themed Stocking Foam Shapes 10pk","Wilko","12.8x14.3x0.4 cm","Multi","10","foam","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457531","Wilko Make Your Own Angel Tree Topper","Wilko","wool 10m, double side tape 15 pc x 6mm x 100 mm,4","Multi","1","foam. Paper, metal, paint, plastic","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457532","Wilko Craft Bells 30pk","Wilko","bell 13x13x14mm, 11x11x10mm, 10x10x9.5mm","Silver","30","metal","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457533","Wilko Make Your Own Pom Pom Characters 2pk","Wilko","finished product approx 7x7x5 cm","Multi","2","paper, wool, felt, plastic","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457534","Wilko Felt Sheets 8pk","Wilko","21x29.7 x 0.1 m","Multi","8","felt","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457535","Wilko Make Your Own Eva Photo Frame Ornament","Wilko","finished product approx 6.6x14x1 cm","Multi","3","foam, paper","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457536","Wilko Foam Mask 2pk","Wilko","finished size approx 24x16cm","Multi","2","foam, paper","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457537","Wilko Character Shapes Diecut 9pk","Wilko","approx 132x220 mm","Multi","9","paper, plastic,","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457538","Wilko Make Your Own Elves 3pk","Wilko","finished size approx 7x13.5x3.2 cm","Multi","3","metal, polyester, wool.paint, paper","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457539","Wilko Elfie Photobooth Props","Wilko","bamboo rod: 200 mm length, glitter card : assorted","Multi","10","bamboo, paper","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457541","Wilko Christmas Sticker Sheet","Wilko","12x25 cm","Multi","3","paper, plastic,","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457542","Wilko Felt Tree Shapes 32pk","Wilko","4x6x0.2 cm","Multi","32","felt","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457544","Wilko Wooden Trees 24pk","Wilko","16?8 mm","Brown","24","wood","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457545","Wilko Wooden Stars 12pk","Wilko","5x5 cm","Brown","12","wood","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457546","Wilko Decorative Tape 3 x 5m","Wilko","500 x 1.5 cm","Multi","3","paper","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457548","Wilko Festive Craft Baubles","Wilko","4.6x4.6x11 cm","Multi","6","paper, plastic,","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457549","Wilko 3D Wooden Stars Decoration 3pk","Wilko","finished size 11.5x11.5x21.5 cm","Multi","3","wood, plastic","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457550","Wilko 3D Wooden Christmas Tree 2pk","Wilko","finished size 11.5x11.5x14cm","Brown","2","wood","No",NA,"Yes","3+",NA,0.65
"SBK","SPC","457551","Wilko Sew Your Own Felt Characters 5pk","Wilko","finsihed approx size 7x 16x2.5 cm","Multi","5","felt, meal, polyester,","No",NA,"Yes","3+",NA,0.65
"TOY","POC","334760","Wilko Play Expanding Ball","Wilko",NA,"Multi","1",NA,NA,NA,NA,"3+ Years",NA,0.941666666666667
"XMD","CRA","400534","Wilko Christmas Cello Wrap Clear 3m","Wilko","300 x 70cm",NA,"1","Polypropylene","No",NA,NA,NA,NA,0.65
"XMD","CRA","401492","Wilko Christmas Craft Hamper Accessory Pack","Wilko",NA,"Multi","1","Polypropylene","No",NA,NA,NA,NA,0.65
"XMD","CRA","401519","Wilko Christmas Craft Ribbons 6 x 1.8mAssorted","Wilko","6 x 1.8m",NA,"6","Fabric","No",NA,NA,NA,NA,0.65
"XMD","CRA","419832","Wilko Christmas Craft Organza Bags 5pk","Wilko","22 x 14.5cm",NA,"5","Polyester","No",NA,NA,"3+","F150602A",0.65
"XMD","CRA","438641","Wilko Christmas Craft Shredded Paper Red 28g","Wilko",NA,"Red","1","Paper","No",NA,NA,"3+",NA,0.65
"XMD","CRA","438672","Wilko Christmas Gift Tag and String Set","Wilko",NA,"Multi","30","Card","No",NA,NA,NA,NA,0.65
"XMD","FOI","334658","Wilko Christmas Decoration White Paper Snowflake Small","Wilko","32 x 30 cm","White","1","PVC","No",NA,NA,NA,NA,0.65
"XMD","FOI","401272","Wilko Christmas Mini Window Stickers Kids Characters 5pk","Wilko","Assorted","Multi","5","PVC","No",NA,NA,NA,NA,0.65
