"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Model Number","DQ Score"
"DEC","WAL","436889","Superfresco Wallpaper Industry Noir","Superfresco","10m x 0.52m","Black","1","Paper","No",NA,NA,"5.2m²","7668",0.65
"DEC","WAL","436897","Superfresco Wallpaper Java Stripe Plum","Superfresco","10m x 0.52m","Purple","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436906","Superfresco Wallpaper Java Stripe Red","Superfresco","10m x 0.52m","Red","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436912","Superfresco Wallpaper Java Stripe Spring Green","Superfresco","10m x 0.52m","Green","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436918","Superfresco Wallpaper Classica Damask Duck Egg","Superfresco","10m x 0.52m","Blue","1","Paper",NA,NA,NA,"5.2m²",NA,0.95
"DEC","WAL","436919","Superfresco Wallpaper Classica Damask Neutral","Superfresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436938","Superfresco Wallpaper Apollo Mink","Superfresco","10m x 0.52m","Grey","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436939","Superfresco Wallpaper Orla Grey/Silver","Superfresco","10m x 0.52m","Multi","1","Paper","No",NA,NA,"5.2m²","20-750",0.65
"DEC","WAL","436940","Superfresco Wallpaper Vienna Cream/Silver","Superfresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436941","Superfresco Wallpaper Athena White Gold","Superfresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436943","Superfresco Wallpaper Lucy Plum","Superfresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436944","Superfresco Wallpaper Aurora Black/Grey","Superfresco","10m x 0.52m","Multi","1","Paper","No",NA,NA,"5.2m²","20-708",0.65
"DEC","WAL","436949","Superfresco Wallpaper Lucy Teal","Superfresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436951","Superfresco Wallpaper Silken Stria White Shimmer","Superfresco","10m x 0.52m","Cream","1","Paper",NA,NA,NA,"5.2m²",NA,1
"DEC","WAL","436952","Superfresco Wallpaper Classica Damask Black/Red","Superfresco","10m x 0.52m","Multi","1","Paper",NA,NA,NA,"5.2m²",NA,1
