"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DIY","DOO","343996","Wilko Versailles Latch Matt Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343997","Wilko Versailles Lock Matt Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343999","Wilko Toulouse Latch Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344000","Wilko Toulouse Lock Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344001","Wilko Toulouse Round Rose Door Handle Chrome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344003","Wilko Toulouse Lock Matt Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344005","Wilko S Shaped Round Rose Handle Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344010","Wilko Escutcheon Brass","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344011","Wilko Escutcheon Chrome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344014","Wilko Door Stopper Floor Mounted Chrome","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344015","Wilko Door Stopper Floor Mounted Brass","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344021","Wilko Casement Stay Chrome  Effect 10in","Wilko","10in",NA,"1",NA,0.93
"DIY","DOO","344022","Wilko Cylinder Pull Chrome","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344023","Wilko Cylinder Pull Brass","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344025","Wilko Slim Door Knocker Chrome Plated","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344026","Wilko Standard Brass Door Knocker","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344027","Wilko Brass Letter Plate 10in","Wilko","10in",NA,NA,NA,0.825
"DIY","DOO","344029","Wilko Casement Stay Brass 10in","Wilko","10in",NA,NA,NA,0.86
"DIY","DOO","344030","Wilko Letter Plate Chrome 10in","Wilko","10in",NA,NA,NA,0.825
"DIY","DOO","344060","Wilko Seville Latch  Black Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344062","Wilko Seville Round Rose Sat/Black","Wilko","2 Pack","Black","1",NA,0.941666666666667
"DIY","DOO","344067","Wilko Chateau Latch Matt Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344068","Wilko Chateau Round Rose Mat Crome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344070","Wilko Belmont Round Rose Satin","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344072","Wilko Ambassador  Round Rose","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344073","Wilko Paris Latch Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344074","Wilko Paris Lock Chrome Effect","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344969","Wilko Belmont Lock Brass Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","345454","Wilko Paris Latch Black Satin Nickel","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","345456","Wilko Ambassador Latch Chrome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","345457","Wilko Ambassador Lock Chrome","Wilko","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","343132","Wilko Plastic D Shape Handles White 100mm","Wilko Functional","105mm","White","4pk",NA,0.891666666666667
"DIY","DOO","343507","Wilko Plastic Knob White 32mm 8pk","Wilko Functional","32mm","White","1",NA,0.891666666666667
"DIY","DOO","343508","Wilko Plastic Knob White 48mm 8pk","Wilko Functional","48mm","White","1",NA,0.891666666666667
"DIY","DOO","344049","Wilko Functional Lever Latch Aluminium","Wilko Functional","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344050","Wilko Functional Lever Lock Aluminium","Wilko Functional","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344051","Wilko Functional Georgian Latch Brass","Wilko Functional","2 Pack",NA,NA,NA,0.825
"DIY","DOO","344052","Wilko Functional  Georgian Lock Brass","Wilko Functional","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344053","Wilko Functional Victorian Scroll Latch","Wilko Functional","2 Pack",NA,NA,NA,0.825
"DIY","DOO","344054","Wilko Functional  Victorian Scroll Lock","Wilko Functional","2 Pack",NA,"1",NA,0.883333333333333
"DIY","DOO","344055","Wilko Victorian Functional Latch Chrome","Wilko Functional","2 Pack",NA,NA,NA,0.775
"DIY","DOO","344056","Wilko  Functional  Victorian lock Chrome","Wilko Functional","2 Pack",NA,"1",NA,0.833333333333333
"DIY","DOO","344057","Wilko Functional Victorian Knob Chrome","Wilko Functional",NA,NA,"1",NA,0.825
"DIY","DOO","344058","Wilko Functional Victorian Knob Brass","Wilko Functional",NA,NA,"1",NA,0.825
"DIY","DOO","344059","Wilko  Functional Georgian knob Brass","Wilko Functional",NA,NA,"1",NA,0.775
"DIY","FIX","343556","Wilko Victorian Pull Handle 150mm Brass Effect","Wilko","6in",NA,NA,NA,0.825
"DIY","FIX","344016","Wilko Hat and Coat Hook Black","Wilko",NA,"Black","1",NA,0.883333333333333
"DIY","FIX","344017","Wilko Single Robe Hook Black","Wilko",NA,"Black","2pk",NA,0.883333333333333
