"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","HOL","435875","Wilko Copper Saucepan Tri Ply 16cm","Wilko","16cm",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","HOL","435877","Wilko Colander Copper Effect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","HOL","435878","Wilko Tea and Coffee Canisters Copper Effect","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","HOL","435879","Wilko Knife Block Copper Effect 5pcs","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","HOL","453014","Wilko Scales Copper Effect","Wilko",NA,"Metal","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","HOL","453015","Wilko Stand Mixer Copper Effect 4.5L","Wilko","26.8 x 42 x 34.9cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","MUG","206676","Wilko Best White Bone China Mug","Wilko",NA,"White","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","MUG","328586","Wilko Bamboo Mug Tree","Wilko",NA,"Brown","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","MUG","409318","Wilko Glass Cafetiere 350ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","MUG","409319","Wilko Glass Cafetiere 800ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"KIT","MUG","451170","Wilko Tray Round Silver","Wilko","35cm",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"KIT","OTT","453016","Wilko Casserole Dish Round Grey and White","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","OTT","453017","Wilko Rectangular Roaster Grey and White 45cm","Wilko","17.5in","Multi","1",NA,NA,NA,NA,NA,NA,1
"KIT","OTT","453018","Wilko Rectangular Roaster Grey and White 28cm","Wilko","10.5in","Multi","1",NA,NA,NA,NA,NA,NA,1
"KIT","OTT","453019","Wilko Square Roaster Grey and White 36cm","Wilko",NA,"Multi","1",NA,NA,NA,NA,NA,NA,0.93
"KIT","PLA","206517","Wilko Stainless Steel Utensil Holder","Wilko",NA,"Metal","1","Stainless Steel",NA,NA,NA,NA,NA,0.9
"KIT","PLA","328650","Wilko Stainless Steel Window Storage Canister3pk","Wilko","3 Piece","Metal","1","Stainless Steel",NA,NA,NA,NA,NA,0.95
"KIT","SPC","440878","Wilko Silver Charger","Wilko","2cm x 33cm x 33cm",NA,"1","Stainless Steel","No",NA,NA,NA,NA,0.65
