"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Washable","Coverage","DQ Score"
"HOM","BLI","446179","Square Eyelet Blind Royal Blue120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446180","Square Eyelet Blind Royal Blue150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446181","Square Eyelet Blind Royal Blue180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446182","Square Eyelet Blind Royal Blue210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446183","Square Eyelet Blind Taupe 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446184","Square Eyelet Blind Taupe 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446185","Square Eyelet Blind Taupe 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446186","Square Eyelet Blind Taupe 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446187","Square Eyelet Blind Taupe 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446188","Square Eyelet Blind Taupe 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446189","Square Eyelet Blind White 60 wide x 165cm drop","Global","Width 60cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446190","Square Eyelet Blind White 90 wide x 165cm drop","Global","Width 90cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446191","Square Eyelet Blind White 120 wide x 165cm drop","Global","Width 120cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446192","Square Eyelet Blind White 150 wide x 165cm drop","Global","Width 150cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446193","Square Eyelet Blind White 180 wide x 165cm drop","Global","Width 180cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","BLI","446194","Square Eyelet Blind White 210 wide x 165cm drop","Global","Width 210cm x Drop 165cm",NA,"100% Polyester",NA,NA,0.8
"HOM","CUR","421925","Seattle Eyelet Lined Curtains Natural 122 x 137cm","Global","Curtains 2 pieces each 46x54''",NA,"100% Polyester",NA,"Window",0.8
"HOM","CUR","421926","Seattle Eyelet Lined Curtains Natural 122 x 183cm","Global","Curtains 2 pieces each 46x72''",NA,"100% Polyester",NA,"Window",0.8
"HOM","CUR","421929","Seattle Eyelet Lined Curtains Natural 173 x 183cm","Global","Curtains 2 pieces each 66x72''",NA,"100% Polyester",NA,"Window",0.8
"HOM","CUR","421930","Seattle Eyelet Lined Curtains Natural 173 x 228cm","Global","Curtains 2 pieces each 66x90''",NA,"100% Polyester",NA,"Window",0.8
"HOM","CUR","421932","Seattle Eyelet Lined Curtains Natural 228 x 228cm","Global","Curtains 2 pieces each 90x90''",NA,"100% Polyester",NA,"Window",0.8
"HOM","CUR","422105","Leaves Eyelet Lined Curtains Taupe 122 x 137cm","Global","46 x 54in","Brown",NA,"Wash at 40",NA,0.85
"HOM","CUR","422106","Leaves Eyelet Lined Curtains Taupe 122 x 183cm","Global",NA,"Brown","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
"HOM","CUR","422108","Leaves Eyelet Lined Curtains Taupe 173 x 137cm","Global",NA,"Brown","100% Cotton ½ Panama with 50/50 Polycotton Lining","Wash at 40",NA,0.85
