"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Coverage","DQ Score"
"PAI","ICI","166442","Dulux Silk Emulsion PaintLemon Tropics 2.5L","Dulux","2.5L","Yellow",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166460","Dulux Silk Emulsion PaintCalico 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","166461","Dulux Silk Emulsion PaintNatural Hessian 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166468","Dulux Silk Emulsion PaintNatural Wicker 2.5L","Dulux","2.5L","Wood",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166471","Dulux Matt Emulsion PaintBlue Babe 2.5L","Dulux","2.5L","Blue",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166492","Dulux Matt Emulsion PaintCalico 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166493","Dulux Matt Emulsion PaintNatural Hessian 2.5L","Dulux","2.5L","Brown",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166508","Dulux Matt Emulsion PaintWicker 2.5L","Dulux","2.5L","Cream",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166516","Dulux Natural Hints Matt Emulsion PaintApple White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","166523","Dulux Natural Hints Matt Emulsion PaintJasmine White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166526","Dulux Natural Hints Matt Emulsion PaintBlossom White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166528","Dulux Natural Hints Matt Emulsion PaintAlmond White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","166530","Dulux Natural Hints Matt Emulsion PaintViolet White 2.5L","Dulux","2.5L","White",NA,NA,"32m²",0.941666666666667
"PAI","ICI","166532","Dulux Natural Hints Matt Emulsion PaintCornflower White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","166533","Dulux Matt Emulsion PaintJade White 2.5L","Dulux","2.5L","White","1",NA,"32m²",1
"PAI","ICI","186687","Dulux Matt Emulsion Paint Tester PotAlmond White 50ml","Dulux","50ml","White","1",NA,NA,0.941666666666667
"PAI","ICI","186688","Dulux Matt Emulsion Paint Tester PotApple White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","186701","Dulux Matt Emulsion Paint Tester PotBlossom White 50ml","Dulux","50ml","White","1",NA,NA,0.941666666666667
"PAI","ICI","186704","Dulux Matt Emulsion Paint Tester PotBlue Babe 50ml","Dulux","50ml","Blue",NA,NA,NA,0.883333333333333
"PAI","ICI","186717","Dulux Matt Emulsion Paint Tester PotButtermilk 50ml","Dulux","50ml","Cream","1",NA,NA,0.941666666666667
"PAI","ICI","186720","Dulux Matt Emulsion Paint Tester PotCornflower White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","186725","Dulux Matt Emulsion Paint Tester PotIvory 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","186726","Dulux Matt Emulsion Paint Tester PotJade White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","186727","Dulux Matt Emulsion Paint Tester PotJasmine White 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","186729","Dulux Matt Emulsion Paint Tester PotLemon Tropics 50ml","Dulux","50ml","Yellow",NA,NA,NA,0.883333333333333
"PAI","ICI","186731","Dulux Matt Emulsion Paint Tester PotMagnolia 50ml","Dulux","50ml","Cream",NA,NA,NA,0.883333333333333
"PAI","ICI","186734","Dulux Matt Emulsion Paint Tester PotNatural Calico 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","186737","Dulux Matt Emulsion Paint Tester PotNatural Hessian 50ml","Dulux","50ml","Brown",NA,NA,NA,0.883333333333333
"PAI","ICI","186744","Dulux Matt Emulsion Paint Tester PotNatural Wicker 50ml","Dulux","50ml","Wood",NA,NA,NA,0.883333333333333
"PAI","ICI","186774","Dulux Matt Emulsion Paint Tester PotSoft Peach 50ml","Dulux","50ml","Orange",NA,NA,NA,0.883333333333333
"PAI","ICI","186785","Dulux Matt Emulsion Paint Tester PotViolet 50ml","Dulux","50ml","White",NA,NA,NA,0.883333333333333
"PAI","ICI","190562","Dulux Matt Emulsion PaintIvory Lace 2.5L","Dulux","2.5L","Yellow",NA,NA,"32m²",0.941666666666667
"PAI","ICI","190563","Dulux Matt Emulsion PaintApricot Crush 2.5L","Dulux","2.5L","Orange",NA,NA,"32m²",0.941666666666667
