"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"313871","Elite Aquarium Check Valve","Elite","Aeration, Pumps and Filters",NA,"1",NA,0.86
"313875","Elite 2-Way Air Control Valve","Elite","Aeration, Pumps and Filters",NA,"1",NA,0.86
"314086","Elite Stingray 5 Underwater Filter","Elite","Aeration, Pumps and Filters",NA,"1",NA,0.86
"314326","Elite Stingray 5 Replacement Filter Foam","Elite","Aeration, Pumps and Filters",NA,"1",NA,0.86
"453098","Evolution Pure Aquarium Ball Pack 25 Balls","Evolution Aqua","Cleaning and Water Control",NA,"25","25pk",0.88
"313954","Glo Sun-Glo Daylight Aquarium Bulb T8 15W","Glo","Lighting",NA,"1","15w",0.93
"313956","Glo Sun-Glo Daylight Aquarium Bulb T8 20W","Glo","Lighting",NA,NA,"20w",0.86
"313962","Glo Sun-Glo Daylight Aquarium Bulb T8 25W","Glo","Lighting",NA,NA,"25w",0.86
"313763","Hagen Green-X Phosphate Remover 4g","Hagen","Cleaning and Water Control",NA,NA,"4g",0.86
"303722","King British Aquarium Alfgae Wafers 40g","King British","Food",NA,NA,"40g",0.86
"303723","King British Aquarium Fish Pellets 65g","King British","Food",NA,"1","65g",0.93
"303724","King British Aquarium 6 in 1 Water Test Strips150pk","King British","Cleaning and Water Control",NA,NA,NA,0.79
"313747","Marina i25 Internal Filter","Marina","Aeration, Pumps and Filters",NA,"1",NA,0.86
"313749","Marina i25 3 in 1 Power Cartridge 2pk","Marina","Aeration, Pumps and Filters",NA,"2pk",NA,0.86
"313844","Marina Multi Aquarium Gravel Washer","Marina","Cleaning and Water Control",NA,"1",NA,0.86
"313846","Marina Aquarium Glass Cleaning Kit","Marina","Cleaning and Water Control",NA,"1",NA,0.86
"313853","Marina Aquarium Algae Magnet Cleaner","Marina","Cleaning and Water Control",NA,"1",NA,0.86
"313855","Marina Easy Clean","Marina","Cleaning and Water Control",NA,"1","10in, 25.5cm",0.93
"313863","Marina Air Pump up to 60L","Marina","Aeration, Pumps and Filters",NA,"1","60L",0.93
"313866","Marina Air Pump up to 100L","Marina","Aeration, Pumps and Filters",NA,"1",NA,0.86
"313891","Marina LCD Digital Aquarium Thermometer","Marina","Heaters and Thermometers",NA,NA,"17.8x0.6cm",0.86
"313946","Marina Polywool 40g","Marina","Aeration, Pumps and Filters",NA,NA,"40g",0.86
"314010","Marina Submersible Aquarium Heater 17w C17 up to 17L","Marina","Heaters and Thermometers",NA,"1","17w",0.93
"314026","Marina Micro LED Aquarium Light Green","Marina","Lighting",NA,"1",NA,0.86
"314034","Marina Slim Filter Cartridge Bio-Carb 3pk","Marina","Aeration, Pumps and Filters",NA,"3pk",NA,0.86
"314846","Marina 100 Air Pump","Marina","Aeration, Pumps and Filters",NA,"1",NA,0.86
"334269","Marina Replacement Cartridge Filter 360 Degree Splash Carbon","Marina","Aeration, Pumps and Filters",NA,"1",NA,0.86
"314041","Nutrafin Basix 3 Day Fish Feeder 16g","Nutrafin","Food",NA,NA,"16g",0.86
"453099","Rosewood Quiet Air Pump","Rosewood","Aeration, Pumps and Filters","220v mains 1.8w","1",NA,0.93
"121965","Wilko Aquarium Bubble Stone","Wilko","Aeration, Pumps and Filters",NA,"1",NA,0.86
"121966","Wilko Aquarium Airline 244cm","Wilko","Aeration, Pumps and Filters",NA,NA,"244cm",0.86
"121996","Wilko Aquarium Fish Net Approx 10cm","Wilko","Cleaning and Water Control",NA,NA,"10cm",0.86
"165272","Wilko Tropical Fish Flakes 25g","Wilko","Food",NA,"1","25g",0.93
"189470","Wilko Aquarium Glass Thermometer","Wilko","Heaters and Thermometers",NA,"1",NA,0.86
"204926","Wilko Tropical Fish Flakes 100g","Wilko","Food",NA,"1","100g",0.93
"303725","Wilko Aquarium Disease Clear Medicine 100ml","Wilko","Cleaning and Water Control",NA,"1","100ml",0.93
