"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Age","Size","DQ Score"
"448328","Vtech Splash and Swim Penguin","Vtech","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"448329","Vtech Stack Sort and Store Tree","Vtech","Learning Toys","Multi",NA,"1","9 Months +",NA,0.891666666666667
"448488","Vtech Crawl and Learn Bright Lights Ball","Vtech","Learning Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"298208","Wilko Baby Roller","Wilko","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"305999","Wilko My First Mobile","Wilko","Play Phones","Multi",NA,"1",NA,NA,0.93
"306003","Wilko Remote Control","Wilko","Play Phones","Multi",NA,"1",NA,NA,0.93
"320534","Wilko Wooden Train Set","Wilko","Wooden Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"320546","Wilko Wooden Number Puzzle","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"320547","Wilko Wooden Farm Puzzle","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"320591","Wilko Play Little Medics Set","Wilko","Play Dress Up","Multi",NA,"1",NA,NA,0.93
"336093","Wilko Wooden Birthday Cake","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"336094","Wilko Wooden Sandwich Set","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"336096","Wilko Play Tool Box","Wilko","Play DIY","Multi",NA,"1",NA,NA,0.93
"336097","Wilko Play Food Basket","Wilko","Play Shops","Multi",NA,"1",NA,NA,0.93
"336211","Wilko Play Police Helmet","Wilko","Play Dress Up","Multi",NA,"1",NA,NA,0.93
"336212","Wilko Play Firefighter Helmet","Wilko","Play Dress Up","Multi",NA,"1",NA,NA,0.93
"336215","Wilko Play Builders Helmet","Wilko","Play Dress Up","Multi",NA,"1",NA,NA,0.93
"336221","Wilko Wooden Beads","Wilko","Wooden Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"336250","Wilko Drop and Spin Slide","Wilko","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"336251","Wilko Stacking Cups 10pcs","Wilko","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"350450","Wilko Wooden Clock Puzzle","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"350454","Wilko Wooden Snake Letter Puzzle","Wilko","Wooden Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"350459","Wilko Teether and Rattle Assorted","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"350544","Wilko Tumbling Dino","Wilko","Pushchair Toys","Multi",NA,"1","6 Years +",NA,0.941666666666667
"350955","Wilko Wind Up Bath Toy Assorted","Wilko","Water Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"402735","Wilko Play Toaster","Wilko","Play Kitchens","Multi",NA,"1","3 Years +",NA,0.941666666666667
"417307","Wilko Water Wheel Duck","Wilko","Water Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"417314","Wilko Play Magnetic Numbers and Letters 79pcs","Wilko","Learning Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"417316","Wilko Safari Pull Along Elephant","Wilko","Wooden Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"417317","Wilko Safari Dominos","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417319","Wilko Play Teatime Playset with Accessories","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"417355","Wilko Safari Talk Back Elephant/Zebra Assortment","Wilko","Soft Toys","Multi","3x AA Batteries Included","1","3 Years +",NA,0.95
"417360","Wilko Safari Wooden Shape Sorter","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"417361","Wilko Safari Wooden Shape Train","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417362","Wilko Safari Wooden Pull Along Bus","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417366","Wilko Safari Wooden Puzzle Assortment","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417367","Wilko Safari Maracas Assorted","Wilko","Wooden Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"417368","Wilko Safari Tambourine Assorted","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"417371","Wilko Safari Recorder Assorted","Wilko","Wooden Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"417372","Wilko Safari Xylophone Assorted","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417374","Wilko Safari Wooden Puzzle","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"417987","Wilko Bathtime Benny Shape Sorting Water Toy","Wilko","Water Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"417988","Wilko Charlie The Pull Along Caterpillar","Wilko","Pull Along Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"417989","Wilko Ball Popping Steam Train","Wilko","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"418002","Wilko Safari Talk Back Lion/Giraffe Assortment","Wilko","Soft Toys","Multi","3x AA Batteries Included","1","3 Years +",NA,0.95
"419486","Wilko Safari Small Beads Coaster","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"438422","Wilko Safari 4 in 1 Puzzle Box","Wilko","Wooden Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"438423","Wilko Safari Matching Cards 20pk","Wilko","Learning Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"438446","Wilko Safari Wooden Stacking Hoops","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"438477","Wilko Wooden Swiss Roll","Wilko","Play Kitchens","Multi",NA,"1","3 Years +",NA,0.941666666666667
"438480","Wilko Safari Large Beads Coaster","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"438481","Wilko Wooden Grocery Set","Wilko","Play Shops","Multi",NA,"1",NA,NA,0.93
"438656","Wilko Safari Soft Building Bricks 4pk","Wilko","Learning Toys","Multi",NA,"4","From Birth",NA,0.941666666666667
"438658","Wilko Safari Baby Book","Wilko","Learning Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"438659","Wilko Safari Soft Ball","Wilko","Play Balls","Multi",NA,"1","From Birth",NA,0.941666666666667
"438665","Wilko Play Multi Tool Set","Wilko","Play DIY","Multi",NA,"1",NA,NA,0.93
"438666","Wilko Bath Time Light Up Floats","Wilko","Water Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"438667","Wilko Play Tea Set In Carry Case","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"438668","Wilko Safari Disc Drum","Wilko","Musical Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"456232","Wilko Safari Baby Giraffe Plush","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"456233","Wilko Safari Baby Giraffe Comforter","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"456234","Wilko Safari Baby Giraffe Rattle","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"456235","Wilko Safari Hippo Plush Rattle","Wilko","Plush","Multi",NA,"1","From Birth",NA,0.941666666666667
"456236","Wilko Safari Lion Plush Rattle","Wilko","Plush","Multi",NA,"1","From Birth",NA,0.941666666666667
"456237","Wilko Safari Zebra Plush Rattle","Wilko","Plush","Multi",NA,"1","From Birth",NA,0.941666666666667
"456238","Wilko Safari Plush Comforter Assorted","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"456241","Wilko Safari Lion Plush","Wilko","Plush","Multi",NA,"1","From Birth",NA,0.941666666666667
"456243","Wilko Safari Buddies Plush Toy Assorted","Wilko","Plush","Multi",NA,"1","From Birth",NA,0.941666666666667
"456245","Wilko Safari Monkey/Lion Pram Hanger","Wilko","Pushchair Toys","Multi",NA,"1","From Birth",NA,0.941666666666667
"456476","Wilko Play Cleaning Set","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"456488","Wilko Safari Learn to Tie Wooden Shoe","Wilko","Wooden Toys","Multi",NA,"1","3 Years +",NA,0.941666666666667
"456490","Wilko Safari Walker with Bricks","Wilko","Wooden Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"456494","Wilko Alphabet Matching Cards Game","Wilko","Learning Toys","Multi",NA,"1","2 Years +",NA,0.941666666666667
"456496","Wilko Wooden Pots and Pans Set","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"456509","Wilko Wooden Cake Stand Play Set","Wilko","Play Kitchens","Multi",NA,"1",NA,NA,0.93
"456510","Wilko Wooden Car Transporter","Wilko","Wooden Toys","Multi",NA,"1","18 Months +",NA,0.941666666666667
"456535","Wilko Jumbo Stacking Cups","Wilko","Learning Toys","Multi",NA,"1","12 Months +",NA,0.941666666666667
"456536","Wilko Pop Up Friends Toy","Wilko","Figure Playsets","Multi",NA,"1","18 Months +",NA,0.941666666666667
"456537","Wilko Spinning Popping Pals","Wilko","Learning Toys","Multi",NA,"1","6 Months +",NA,0.941666666666667
"456596","Wilko Baby Dinosaurs Assorted","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,0.941666666666667
"456597","Wilko Baby Jungle Animals Assorted","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,0.941666666666667
"456598","Wilko Baby Farm Animals Assorted","Wilko","Animal Figures","Multi",NA,"1","3 Years +",NA,0.941666666666667
