"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Capacity","Pack Qty","DQ Score"
"p100124","Boston-Lyon Bedside Chest 2 Drawers","Lyon","Bedside Cabinets","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"p200122","Boston-Lyon Wardrobe White + Ash 1 Door","Lyon","Wardrobes","Wood",NA,"Yes","Ash Veneer Top and Plywood",NA,NA,0.941666666666667
"440352","Monza Coffee Table Oak Effect","Monza","Coffee Tables","Wood","100cm x 60cm X 46cm","Yes",NA,NA,NA,0.941666666666667
"440353","Monza Dining Set Oak Effect","Monza","Dining Sets 4 Seat","Wood","60cm x 40cm x 45cm","Yes",NA,NA,NA,0.941666666666667
"440355","Monza Lamp Table Oak Effect","Monza","Lamp Tables","Wood","60cm x 40cm x 45cm","Yes",NA,NA,NA,0.941666666666667
"440356","Monza Nest of 2 Tables Oak Effect","Monza","Nested Tables","Wood",NA,"Yes",NA,NA,NA,0.883333333333333
"117286","Mr Sheen Multi-Surface Polish 300ml","Mr Sheen","Furniture Polish",NA,"300ml",NA,NA,NA,NA,0.9125
"p200036","Oakridge 2 Door Wardrobe","Oakleigh","Wardrobes","Wood",NA,"Yes","Oak Finish",NA,NA,0.891666666666667
"448021","Marbella 2 Door 2 Drawer Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448022","Marbella 2 Door Midi Wardrobe White","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448023","Marbella 2 Door Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448024","Marbella 3 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 69.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448025","Marbella 3 Drawer Bedside Cabinet White","Other","Bedside Cabinets",NA,"H 69.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448026","Marbella 4 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 88.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448027","Marbella 4 Drawer Deep Chest of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448028","Marbella 5 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448029","Marbella 6 Drawer Midi Chest Of Drawers White","Other","Drawer Chests",NA,"H 79.5cm x W 112cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448030","Marbella Blanket Box White","Other","Ottomans",NA,"H 41.5cm x W 84cm x D 41.5cm",NA,"MDF",NA,"1",0.85
"448031","Marbella Childs Wardrobe White","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448032","Marbella 6 Drawer Kneehole Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 127.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448033","Marbella Large Mirror White","Other","Mirrors",NA,"H 49cm x W 74.5cm x D 14cm",NA,NA,NA,"1",0.88
"448034","Marbella Sliding Wardrobe White","Other","Wardrobes",NA,"H 198cm x W 100.5cm x D 59.5cm","No","MDF",NA,NA,0.891666666666667
"448035","Marbella Small Mirror White","Other","Mirrors",NA,"H 50.5cm x W 48cm x D 14cm",NA,NA,NA,"1",0.88
"448036","Marbella Stool White","Other","Stool",NA,"H 51cm x W 48cm x D 37.5cm","No","MDF, glass",NA,NA,0.891666666666667
"448037","Marbella 3 Drawer Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448038","Cadiz 2 Drawer Bedside Cabinet White","Other","Bedside Cabinets",NA,"H 50.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448039","Cadiz 2 Door 2 Drawer Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448040","Cadiz 2 Door Midi Wardrobe White","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448041","Cadiz 2 Door Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448042","Cadiz 3 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 69.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448043","Cadiz 3 Drawer Bedside Cabinet White","Other","Bedside Cabinets",NA,"H 69.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448044","Cadiz 4 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 88.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448045","Cadiz 4 Drawer Deep Chest of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448046","Cadiz 5 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448047","Cadiz 6 Drawer Midi Chest Of Drawers White","Other","Drawer Chests",NA,"H 79.5cm x W 112cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448048","Cadiz Blanket Box White","Other","Ottomans",NA,"H 41.5cm x W 84cm x D 41.5cm",NA,"MDF",NA,"1",0.85
"448049","Cadiz 6 Drawer Kneehole Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 127.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448050","Cadiz Large Mirror White","Other","Mirrors",NA,"H 49cm x W 74.5cm x D 14cm",NA,NA,NA,"1",0.88
"448051","Cadiz Sliding Wardrobe White","Other","Wardrobes",NA,"H 198cm x W 100.5cm x D 59.5cm","No","MDF",NA,NA,0.891666666666667
"448052","Cadiz Small Mirror White","Other","Mirrors",NA,"H 50.5cm x W 48cm x D 14cm",NA,NA,NA,"1",0.88
"448053","Cadiz Stool White","Other","Stool",NA,"H 51cm x W 48cm x D 37.5cm","No","MDF",NA,NA,0.891666666666667
"448054","Cadiz 3 Drawer Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448055","Altea 2 Drawer Bedside Cabinet White","Other","Bedside Cabinets",NA,"H 50.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448056","Altea 2 Door 2 Drawer Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448057","Altea 2 Door Midi Wardrobe White","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448058","Altea 2 Door Wardrobe White","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448059","Altea 3 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 69.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448060","Altea 3 Drawer Bedside Cabinet White","Other","Bedside Cabinets",NA,"H 69.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448061","Altea 4 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 88.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448062","Altea 4 Drawer Deep Chest of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448063","Altea 5 Drawer Chest Of Drawers White","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448064","Altea 6 Drawer Midi Chest Of Drawers White","Other","Drawer Chests",NA,"H 79.5cm x W 112cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448065","Altea Blanket Box White","Other","Ottomans",NA,"H 41.5cm x W 84cm x D 41.5cm",NA,"MDF",NA,"1",0.85
"448066","Altea Childs White Wardrobe","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448067","Altea 6 Drawer Kneehole Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448068","Altea Large Mirror White","Other","Mirrors",NA,"H 50.5cm x W 39.5cm x D 41.5cm",NA,NA,NA,"1",0.88
"448069","Altea Sliding Wardrobe White","Other","Wardrobes",NA,"H 198cm x W 100.5cm x D 59.5cm","No","MDF",NA,NA,0.891666666666667
"448070","Altea Small Mirror White","Other","Mirrors",NA,"H 50.5cm x W 48cm x D 14cm",NA,NA,NA,"1",0.88
"448071","Altea Stool White","Other","Stool",NA,"H 51cm x W 48cm x D 37.5cm","No","MDF",NA,NA,0.891666666666667
"448072","Altea 3 Drawer Vanity White","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448073","Javea 2 Drawer Bedside Cabinet Grey","Other","Bedside Cabinets",NA,"H 50.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448074","Javea 2 Door 2 Drawer Wardrobe Grey","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448075","Javea 2 Door Midi Wardrobe Grey","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448076","Javea 2 Door Wardrobe Grey","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448077","Javea 3 Drawer Chest Of Drawers Grey","Other","Wardrobes",NA,"H 69.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448078","Javea 3 Drawer Bedside Cabinet Grey","Other","Bedside Cabinets",NA,"H 69.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448079","Javea 4 Drawer Chest Of Drawers Grey","Other","Drawer Chests",NA,"H 88.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448080","Javea 4 Drawer Deep Chest of Drawers Grey","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448081","Javea 5 Drawer Chest Of Drawers Grey","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448082","Javea 6 Drawer Midi Chest Of Drawers Grey","Other","Drawer Chests",NA,"H 79.5cm x W 112cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448083","Javea Blanket Box Grey","Other","Ottomans",NA,"H 41.5cm x W 84cm x D 41.5cm",NA,"MDF",NA,"1",0.85
"448084","Javea Childs Wardrobe Grey","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448085","Javea 6 Drawer Kneehole Vanity Grey","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448086","Javea Large Mirror Grey","Other","Mirrors",NA,"H 49cm x W 74.5cm x D 14cm",NA,NA,NA,"1",0.88
"448087","Javea Sliding Wardrobe Grey","Other","Wardrobes",NA,"H 198cm x W 100.5cm x D 59.5cm","No","MDF, glass",NA,NA,0.891666666666667
"448088","Javea Small Mirror Grey","Other","Wardrobes",NA,"H 50.5cm x W 48cm x D 14cm","No","MDF, glass",NA,NA,0.891666666666667
"448089","Javea Stool Grey","Other","Stool",NA,"H 51cm x W 48cm x D 37.5cm","No","MDF",NA,NA,0.891666666666667
"448090","Javea 3 Drawer Vanity Grey","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448091","Valencia 2 Drawer Cream Bedside Cabinet","Other","Bedside Cabinets",NA,"H 50.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448092","Valencia 2 Door 2 Drawer Cream Wardrobe","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448093","Valencia 2 Door Midi Cream Wardrobe","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448094","Valencia 2 Door Cream Wardrobe","Other","Wardrobes",NA,"H 182.5cm x W 74cm x D 53cm","No","MDF",NA,NA,0.891666666666667
"448095","Valencia 3 Drawer Cream Chest Of Drawers","Other","Drawer Chests",NA,"H 69.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448096","Valencia 3 Drawer Bedside Cream Cabinet","Other","Bedside Cabinets",NA,"H 69.5cm x W 39.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448097","Valencia 4 Drawer Cream Chest Of Drawers","Other","Drawer Chests",NA,"H 88.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448098","Valencia 4 Drawer Cream Deep Chest of Drawers","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448099","Valencia 5 Drawer Cream Chest Of Drawers","Other","Drawer Chests",NA,"H 107.5cm x W 76.5cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448100","Valencia 6 Drawer Midi Cream Chest Of Drawers","Other","Drawer Chests",NA,"H 79.5cm x W 112cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448101","Valencia Cream Blanket Box","Other","Ottomans",NA,"H 41.5cm x W 84cm x D 41.5cm",NA,"MDF",NA,"1",0.85
"448102","Valencia Childs Cream Wardrobe","Other","Wardrobes",NA,"H 127cm x W 77cm x D 53.5cm","No","MDF",NA,NA,0.891666666666667
"448103","Valencia 6 Drawer Kneehole Cream Vanity","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"448104","Valencia Large Mirror Cream","Other","Mirrors",NA,"H 49cm x W 74.5cm x D 14cm",NA,NA,NA,"1",0.88
"448105","Valencia Sliding Cream Wardrobe","Other","Wardrobes",NA,"H 198cm x W 100.5cm x D 59.5cm","No","MDF",NA,NA,0.891666666666667
"448106","Valencia Small Mirror Cream","Other","Mirrors",NA,"H 50.5cm x W 48cm x D 14cm",NA,NA,NA,"1",0.88
"448107","Valencia Cream Stool","Other","Stool",NA,"H 51cm x W 48cm x D 37.5cm","No","MDF",NA,NA,0.891666666666667
"448108","Valencia 3 Drawer Cream Vanity","Other","Dressing Tables",NA,"H 79.5cm x W 93cm x D 41.5cm","No","MDF",NA,NA,0.891666666666667
"440364","Paulo 1 Drawer Bookcase Pine","Paulo","Bookcases",NA,"87cm x 28.5cm x 120cm","Yes",NA,NA,"1",0.86875
"440365","Paulo 2 door 2 Drawer Sideboard Pine","Paulo","Sideboards",NA,"1020 x 465 x 830","Yes","Wood",NA,NA,0.941666666666667
"440366","Paulo Coffee Table Pine","Paulo","Coffee Tables",NA,"100cm x 60cm x 45.5cm","Yes",NA,NA,NA,0.883333333333333
"440368","Paulo TV Unit Pine","Paulo","TV Units",NA,"107cm x 44.5cm x 52cm","Yes",NA,NA,NA,0.883333333333333
"440369","Paulo Lamp Table Pine","Paulo","Lamp Tables",NA,"56cm x 56cm x 54cm","Yes",NA,NA,NA,0.883333333333333
"440370","Paulo Nest of 2 Tables Pine","Paulo","Nested Tables",NA,"table 1 66x43.5x54cm / table 2, 45x36x41.5cm","Yes","Wood",NA,NA,0.941666666666667
"166221","Pledge Dry Dusting Cloths Citrus 20pk","Pledge","Dusters","White","20 Pack",NA,NA,NA,"1",0.941666666666667
"221896","Pledge Dusters Starter Kit","Pledge","Dusters","Multi",NA,NA,NA,NA,"1",0.883333333333333
"221897","Pledge Fluffy Duster Refills 5pk","Pledge","Duster Refil","White","5 Pack",NA,NA,NA,"1",0.941666666666667
"440471","Regal Cheval Mirror Antique Pine","Seconique","Full Length Mirror",NA,"59 x 51.5 x 150cm",NA,NA,NA,"1",0.88
"440472","Regal Cheval Mirror White","Seconique","Full Length Mirror",NA,"59 x 51.5 x 150cm",NA,NA,NA,"1",0.88
"440473","Regal Dressing Table Mirror White","Seconique","Dressing Table Mirror",NA,"48 x 12 x 57cm",NA,NA,NA,"1",0.88
"420737","Wilko Scandinavia Ladder Bookcase Oak","Wilko","Bookcases",NA,"1754x640x386mm","Yes","PARTICAL BOARD",NA,"1",0.9125
"420738","Wilko Scandinavia Ladder Corner Unit Oak","Wilko","Display Units",NA,"1754x386x386mm","Yes","PARTICAL BOARD",NA,"1",0.9125
"420739","Wilko Scandinavia Ladder Desk Oak","Wilko","Desk",NA,"1754x840x500mm","Yes","PARTICAL BOARD",NA,NA,0.941666666666667
"420740","Wilko Scandinavia Ladder TV Unit Oak","Wilko","TV Units",NA,NA,"No",NA,NA,NA,0.825
"420741","Wilko Scandinavia Ladder Bookcase White","Wilko","Bookcases",NA,NA,"No",NA,NA,NA,0.78125
"420742","Wilko Scandinavia Ladder Corner Unit White","Wilko","Display Units",NA,NA,"No",NA,NA,NA,0.78125
"420744","Wilko Scandinavia Ladder TV Unit White","Wilko","TV Units",NA,"1754 x 640 x 386mm","Yes","PARTICAL BOARD",NA,NA,0.941666666666667
"428486","Clovelly 4 Door Centre Mirror Robe Grey","Wilko","Wardrobes",NA,"193.2H x 169.7L x 55.8W","Yes","MDF and Chipboard",NA,NA,0.891666666666667
"428487","Clovelly 3 Door Centre Mirror Robe Grey","Wilko","Wardrobes",NA,"193.2H x 129.7L x 55.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428488","Clovelly 2 Door Robe Grey","Wilko","Wardrobes",NA,"193.2H x 89.7L x 55.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428489","Clovelly 2 Door 1 Drawer Robe Grey","Wilko","Wardrobes",NA,"193.2H x 89.7L x 55.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428490","Clovelly 5 Drawer Chest Grey","Wilko","Drawer Chests",NA,"115.2H x 88L x 45W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428491","Clovelly 6 Drawer Chest Grey","Wilko","Drawer Chests",NA,"74.4H x 128L x 45W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428492","Clovelly 3 Drawer Large Chest Grey","Wilko","Drawer Chests",NA,"74.4H x 88L x 45W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428493","Clovelly 3 Drawer Narrow Chest Grey","Wilko","Drawer Chests",NA,"74.4H x 48L x 45W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428494","Clovelly Large Bookcase Grey","Wilko","Bookcases",NA,"186.7H x 87.5L x 42.8W","No","MDF and Chipboard",NA,"1",0.8625
"428495","Clovelly Large Sideboard Grey","Wilko","Sideboards",NA,"76.9H x 127.5L x 42.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428496","Clovelly Compact Sideboard Grey","Wilko","Sideboards",NA,"76.9H x 87.5L x 42.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428497","Clovelly Long Entertainment Unit Grey","Wilko","Entertainment Units",NA,"53H x 127.5L x 42.8W","No","MDF and Chipboard",NA,NA,0.891666666666667
"428498","Clovelly Coffee Table Grey","Wilko","Coffee Tables",NA,"53H x 87.5L x 40W","No","MDF and Chipboard",NA,NA,0.891666666666667
"430045","Siren 4 Door Mirror Robe White","Wilko","Wardrobes",NA,"167L x 55.1W x 195.2H","No","MDF and Chipboard",NA,NA,0.891666666666667
"430046","Siren 3 Door Mirror Robe 2 Drawers White","Wilko","Wardrobes",NA,"127L x 55.1W x 195.2H","No","MDF and Chipboard",NA,NA,0.891666666666667
