"Article","Web Description","Brand","DQ Score"
"448096","Valencia 3 Drawer Bedside Cream Cabinet","Other",0.891666666666667
"448097","Valencia 4 Drawer Cream Chest Of Drawers","Other",0.891666666666667
"448098","Valencia 4 Drawer Cream Deep Chest of Drawers","Other",0.891666666666667
"448099","Valencia 5 Drawer Cream Chest Of Drawers","Other",0.891666666666667
"448100","Valencia 6 Drawer Midi Cream Chest Of Drawers","Other",0.891666666666667
"448101","Valencia Cream Blanket Box","Other",0.85
"448102","Valencia Childs Cream Wardrobe","Other",0.891666666666667
"448103","Valencia 6 Drawer Kneehole Cream Vanity","Other",0.891666666666667
"448104","Valencia Large Mirror Cream","Other",0.88
"448105","Valencia Sliding Cream Wardrobe","Other",0.891666666666667
"448106","Valencia Small Mirror Cream","Other",0.88
"448107","Valencia Cream Stool","Other",0.891666666666667
"448108","Valencia 3 Drawer Cream Vanity","Other",0.891666666666667
"440471","Regal Cheval Mirror Antique Pine","Seconique",0.88
"440472","Regal Cheval Mirror White","Seconique",0.88
"440473","Regal Dressing Table Mirror White","Seconique",0.88
"428486","Clovelly 4 Door Centre Mirror Robe Grey","Wilko",0.891666666666667
"428487","Clovelly 3 Door Centre Mirror Robe Grey","Wilko",0.891666666666667
"428488","Clovelly 2 Door Robe Grey","Wilko",0.891666666666667
"428489","Clovelly 2 Door 1 Drawer Robe Grey","Wilko",0.891666666666667
"428490","Clovelly 5 Drawer Chest Grey","Wilko",0.891666666666667
"428491","Clovelly 6 Drawer Chest Grey","Wilko",0.891666666666667
"428492","Clovelly 3 Drawer Large Chest Grey","Wilko",0.891666666666667
"428493","Clovelly 3 Drawer Narrow Chest Grey","Wilko",0.891666666666667
"428494","Clovelly Large Bookcase Grey","Wilko",0.8625
"428495","Clovelly Large Sideboard Grey","Wilko",0.891666666666667
"428496","Clovelly Compact Sideboard Grey","Wilko",0.891666666666667
"428497","Clovelly Long Entertainment Unit Grey","Wilko",0.891666666666667
"428498","Clovelly Coffee Table Grey","Wilko",0.891666666666667
"430045","Siren 4 Door Mirror Robe White","Wilko",0.891666666666667
"430046","Siren 3 Door Mirror Robe 2 Drawers White","Wilko",0.891666666666667
"430047","Siren 2 Door Robe White","Wilko",0.891666666666667
"430049","Siren 6 Drawer Chest White","Wilko",0.891666666666667
"430050","Siren 3 Drawer Narrow Chest White","Wilko",0.891666666666667
"430051","Siren Dressing Table and Stool White","Wilko",0.891666666666667
"440345","Caxton Computer Desk Oak Effect","Wilko",0.891666666666667
"p100156","Havana Bedside Cabinet","Wilko",0.891666666666667
"p100157","Havana 5 Drawer Chest","Wilko",0.95
"p200154","Havana Double Wardrobe","Wilko",0.95
