"Article","Web Description","Brand","Type","Power","Pack Qty","Size","Colour","Model Number","DQ Score"
"343336","Wilko Weatherproof Aluminium Padlock 57mm","Wilko","Padlocks",NA,"1","57mm",NA,NA,0.93
"343339","Wilko Security Chain 4  x 60mm PVC Sleeve","Wilko","Security Chain",NA,NA,"4x60mm",NA,NA,0.86
"343853","Wilko  Portable Standard Door Chime","Wilko","Door Bells and Chimes",NA,"1","L7 x W3.5 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,NA,0.93
"343868","Wilko  Plug In Standard Door Chime","Wilko","Door Bells and Chimes",NA,"1","L7 x W6.6 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,NA,0.93
"343869","Wilko Portable Standard Twin Door Chime","Wilko","Door Bells and Chimes",NA,"1","L7 x W3.5 x H9.8cm, L2.8 x W1.7 x H7.8cm",NA,NA,0.93
"343941","Wilko Standard Portable Plug In Twin Door Chime","Wilko","Door Bells and Chimes",NA,"1","L7xW3.5xH9.8cm, L7xW6.6xH9.8cm, L2.8xW1.7xH7.8cm",NA,NA,0.93
"343988","Wilko Standard Level  Push Bell","Wilko","Door Bells and Chimes",NA,"1",NA,NA,NA,0.86
"344086","Wilko Modern Port  Door Chime","Wilko","Door Bells and Chimes",NA,"1","L8 x W2.7 x H12.5cm, L3 x W1.9 x H8cm",NA,NA,0.93
"344087","Wilko Modern Plug In Door Chime","Wilko","Door Bells and Chimes",NA,"1","L8 x W5.6 x H12cm, L3 x W1.9 x H8cm",NA,NA,0.93
"344097","Wilko Modern Plug Through Door Chime","Wilko","Door Bells and Chimes",NA,"1","L8 x W7.1 x H13.9cm, L3 x W1.9 x H8cm",NA,NA,0.93
"344099","Wilko Modern Portable Plug In Twin Door Chime","Wilko","Door Bells and Chimes",NA,"1","L8xW2.7xH12.5cm, L8xW5.6xH12cm, L3xW1.9xH8cm",NA,NA,0.93
"344109","Wilko Modern Bell Push","Wilko","Door Bells and Chimes",NA,"1",NA,NA,NA,0.86
"425927","Sterling Keyminder Large","Wilko","Key Minder",NA,"1",NA,NA,NA,0.81
"59358","Wilko Double Locking Padlock Brass 50mm","Wilko","Padlocks",NA,NA,"50mm",NA,NA,0.86
"59360","Wilko Locking Hasp 76mm","Wilko","Hasp and Staple",NA,NA,"76mm",NA,NA,0.86
"69112","Wilko Laminated Padlock Double Locking 40mm","Wilko","Padlocks",NA,"1","40mm",NA,NA,0.93
"72082","Wilko Brass Padlock Double Locking 30mm","Wilko","Padlocks",NA,NA,"30mm",NA,NA,0.86
"72083","Wilko Padlock Double Locking 40mm","Wilko","Padlocks",NA,NA,"40mm",NA,NA,0.86
"83944","Wilko Brass Padlock Double Locking 40mm","Wilko","Padlocks",NA,NA,"40mm",NA,NA,0.86
"187997","Wilko Combination Padlock 20mm","Wilko Functional","Padlocks",NA,"1","20mm",NA,NA,0.88
"26372","Wilko Laminated Padlock 30mm","Wilko Functional","Padlocks",NA,NA,"30mm",NA,NA,0.81
"26373","Wilko Laminated Padlock 40mm","Wilko Functional","Padlocks",NA,NA,"40mm",NA,NA,0.81
"26374","Wilko Laminated Padlock 50mm","Wilko Functional","Padlocks",NA,NA,"50mm",NA,NA,0.81
"4582140","Wilko Padlock Brass 20mm","Wilko Functional","Padlocks",NA,"1","20mm",NA,NA,0.88
"4582440","Wilko Padlock Brass 30mm","Wilko Functional","Padlocks",NA,NA,"30mm",NA,NA,0.81
"4582640","Wilko Padlock Brass 40mm","Wilko Functional","Padlocks",NA,NA,"40mm",NA,NA,0.81
