"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"KIT","BAP","328711","Kilner Coloured Clip Top Jar 0.5L","Kilner","11.2CM","13.0CM","10.5CM","Storage Jars","5L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","328712","Kilner Coloured Clip Top Jar 1L","Kilner","18.1CM","13.2CM","11.0CM","Storage Jars","1L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAP","435783","Kilner Shaker","Kilner","8.2CM","8.0CM","8.0CM","Shaker","8cm x 8cm x 8.2cm",NA,"1","Soda Lime Stainless Steel",NA,NA,NA,"0.25lt",NA,NA,NA,0.9
"KIT","BAP","451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft","3.6CM","10.0CM","26.5CM","Icing, Bags and Nozzles",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","BAP","451709","Kitchen Kraft Ribbons Assorted 5pk","Kitchen Kraft","15.2CM","5.4CM","5.6CM","Ribbon and String",NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft","1.1CM","10.3CM","22.2CM","Gift Tags",NA,NA,"1pk",NA,NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","BAP","451713","Kitchen Craft Jam Jar Gift Tags Home Made Slogan24pk","Kitchen Kraft","2.0CM","10.0CM","17.0CM","Gift Tags","24 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft","6.4CM","6.6CM","9.5CM","Decorative Lables","100 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","451716","Kitchen Craft Self Adhesive Jam Jar Labels Pack of100 Assorted","Kitchen Kraft","6.4CM","6.6CM","9.6CM","Decorative Lables","100 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","BAP","453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft","3.4CM","8.0CM","21.0CM","Icing, Bags and Nozzles",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.81
